,Unnamed: 0,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,0,"a small, green desk",2.4365672996006623e-13,topk,0.017483869669438396,a green desk facing right,7.327689389169939e-14,topk,0.02407091870809782,a green desk facing forward,4.255869428452904e-05,topk,0.012403811144847891,"a large desk, facing to the left",5.656069931681879e-15,topk,0.016692239669290614,"a small, green chair (5)",6.406308440012694e-06,topk,0.027713255156092707,"a large, green chair facing forwards <|user|>",1.0364832807461955e-05,topk,0.015815953522216465,"a large, grey chair ",1.1735904583267473e-13,topk,0.027767249244401326
1,1,"a small, green desk facing to the right",1.523519852664887e-14,topk,0.0,"a small green desk, facing to the right",1.2103199082769394e-14,topk,0.015430076094934499,"a large, green table",3.072124772289372e-05,topk,0.03349029009108931,"a large, grey desk, facing to the left",1.009530709989033e-15,topk,0.014056622879402621,"a small, green desk chair facing to the right",4.799524480726872e-05,topk,0.0,"a large, green chair facing forwards;",2.8289017028596167e-05,topk,0.019235619148641647,a grey chair ,3.294320424906635e-15,topk,0.04271884499138666
2,2,"a green desk, facing forwards",1.4193218808609546e-13,topk,0.011454949093769984,"a small, green desk facing the right",1.8395896369290363e-13,topk,0.016715915769512372,"a small, green desk",5.732876386041381e-05,topk,0.0,"a large, grey desk;",1.1751445342748087e-14,topk,0.028113245758805243,"a small, green desk facing the right",6.886822884024507e-06,topk,0.0,a chair facing forwards,0.00011223918873241947,topk,0.030944256891293074,"a large, grey chair faces to the left",6.052875751841905e-15,topk,0.01500932391589261
3,3,"a small, green desk facing forwards",3.756693831683405e-13,topk,0.018982487069675973,"a small, green desk  (2)",8.193762058797953e-15,topk,0.012536936827134281,a large green desk is facing forwards,4.076523294632922e-05,topk,0.018102859508696924,"a large, grey desk  (4)",7.729073260632995e-15,topk,0.023223985626839114,"a small, green desk",2.6408200088107838e-05,topk,0.0,"a large, green chair",0.005190157424719344,topk,0.03558589542498704,"a large, grey chair facing to the left",4.797031561752452e-11,topk,0.014614341707579645
4,4,"a small desk, facing forwards",4.848648697687134e-14,topk,0.022909898187539968,"a small, green desk",3.156927551513194e-12,topk,0.015836130729011723,a large green desk facing to the front,2.418999079785263e-05,topk,0.01762646846899437,"a small, green desk facing to the right",4.270207402800299e-15,topk,0.0,"a small, green chair  ",2.2272614515278e-05,topk,0.030232641988464776,"a large, green chair ",0.000272927668086753,topk,0.03389132897617814,"a grey, large chair facing to the left",3.1216780982375197e-15,topk,0.014614341707579645
5,5,a small desk in the room,3.039095229790114e-14,topk,0.01384139682163873,"a small, green desk facing  to the right",7.460462563986789e-15,topk,0.015044324192561138,"a green desk, facing forwards",3.00166892305303e-05,topk,0.011548375893479072,"a large, grey chair facing to the left",5.757791462103307e-14,topk,0.0,"a small, green desk facing to the left",3.10169591469602e-06,topk,0.0,"a large, green chair  facing forwards",0.00010577958414751276,topk,0.019235619148641647,"a small, green desk facing forwards",2.914111628377519e-15,topk,0.0
6,6,a desk facing forwards,2.2387064088474562e-13,topk,0.015099705623605889,"a small, green desk (2)",1.28442851032079e-14,topk,0.013082021037009684,"a small, green desk facing forwards",0.0001220179123582112,topk,0.0,"a large, grey desk face to the left",2.6499672352217032e-14,topk,0.015261476269065702,"a small, green desk facing to the right",0.00042275450187695776,topk,0.0,"a large, green chair is facing forwards",6.049055388911463e-05,topk,0.018249177141018993,a grey chair,3.294320424906635e-15,topk,0.046278748740668875
7,7,a small green desk facing the front,3.174173863989885e-14,topk,0.018982487069675973,a small green desk on the right,9.755550570716796e-15,topk,0.01941203121620792,"a large, green desk ",0.0012270997620464216,topk,0.03349029009108931,"a small, green desk facing forwards",3.4670501872913205e-14,topk,0.0,"a large, grey chair facing to the left",1.4269461140879878e-05,topk,0.0,"a large, green chair facing forwards """,3.106940703642222e-05,topk,0.01872941864473002,a large grey chair,3.7333670788359015e-15,topk,0.030852499160445915
8,8,"a small, green desk 1",2.8351914646257093e-14,topk,0.01581873922472998,a desk facing to the right,3.324706368588389e-13,topk,0.02314511414240175,"a large, green desk  (3)",3.155890402145913e-05,topk,0.027908575075907754,"a large, grey desk",1.0518103015038764e-11,topk,0.029675092745405533,"a small, green chair",0.00941663302330936,topk,0.03325590618731126,"a large, green chair facing forwards  (6)",1.10711253447636e-05,topk,0.017358973378042458,"a large, grey chair;",2.869972393943379e-15,topk,0.027767249244401326
9,9,a small green desk  facing forwards,8.620617056178427e-14,topk,0.018982487069675973,"a small, green desk faced to the right",1.8253495011828127e-14,topk,0.015836130729011723,"a large, green desk that is facing forwards",2.3313169062527634e-05,topk,0.015576879112134562,"a large, grey desk in the room",6.883433187590745e-15,topk,0.017805055647243318,"a small, green desk facing forwards",2.2127293679405156e-05,topk,0.0,"a large, green chair facing forwards'",7.453177509582399e-05,topk,0.019235619148641647,a large grey chair facing to the left,9.485928219665621e-15,topk,0.01500932391589261
10,10,a green desk facing forwards,2.6810408138194538e-14,topk,0.011864054418547484,"a small, green desk, facing to the right",1.316690465970803e-13,topk,0.015044324192561138,a green desk,0.0004717906068921975,topk,0.018605716717271834,a grey chair facing to the left,1.8495130961582347e-14,topk,0.0,"a small, green chair 5",2.3971946662468177e-05,topk,0.030232641988464776,"a large, green chair facing forwards in the room",5.033949526532108e-06,topk,0.014827456427077933,a grey chair facing left,3.4833870429206302e-15,topk,0.023139374370334437
11,11,a small green desk ,1.304459225890614e-13,topk,0.017483869669438396,"a small, green desk, facing right",7.243282554962304e-15,topk,0.018235544475831682,"a large, green desk in the room",1.4749552792599121e-05,topk,0.021606638768444715,"a large, grey desk facing left",5.0296558718190036e-14,topk,0.017805055647243318,a green chair facing the right,4.6989163825364766e-05,topk,0.02217060412487417,a large chair facing forwards,0.00016686120501543003,topk,0.02454199684481865,"a large, grey chair facing the left",1.7224466396962695e-14,topk,0.015866999568229328
12,12,"a small, green desk is facing forwards",6.182336428677429e-14,topk,0.017483869669438396,"a small, green desk on the right side of the room",2.0156229435719275e-15,topk,0.012281080973519294,a desk facing forwards,4.994079661683275e-05,topk,0.015222859132313322,"a large, grey desk  ",3.5083402250154464e-14,topk,0.026707583470864982,"a small, green chair is facing to the right",5.4015021688054805e-05,topk,0.015467863342935468,"a large, green chair facing forwards in a room with other objects",8.993926490513103e-07,topk,0.010949506284611398,a large chair facing to the left,1.8293465635844446e-14,topk,0.01735453077775083
13,13,"a small green desk, facing forwards",2.038034938889672e-13,topk,0.018982487069675973,"a small, green desk that is facing to the right",7.72979744626662e-15,topk,0.01280368016388182,"a large, green desk facing to the left",8.25316502249241e-06,topk,0.0,a green desk facing forwards,1.355873790159619e-14,topk,0.0,"a small, green chair in the room",1.5180204507600401e-05,topk,0.020784941367069532,"a large, green chair facing forwards in a room with 7 objects",7.92963720504356e-07,topk,0.011667506696717064,a grey desk facing to the left,6.242085131345439e-15,topk,0.0
14,14,"a small desk, green",7.636015961757413e-14,topk,0.017483869669438396,a green desk facing to the right,2.756436108986461e-13,topk,0.01880540524070142,a green desk facing forwards,0.0017000010796934567,topk,0.01196081788967475,a large grey desk ,2.5013364878763254e-14,topk,0.029675092745405533,"a small, green chair to the right",7.43444297655911e-05,topk,0.020155094658976518,"a large, green chair, facing forwards",7.958585940700681e-05,topk,0.019235619148641647,"a large, grey chair face to the left",5.326606886048272e-15,topk,0.015426249580222958
15,15,"a small, green desk - facing forwards",3.0254632752898614e-14,topk,0.017956406687531328,a small green desk to the right,4.987261618228776e-14,topk,0.01941203121620792,"a large, green desk  ",6.0146529724591465e-05,topk,0.031895514372466,"a large, grey desk facing the left",5.525619115971834e-14,topk,0.01571034321815587,a chair facing to the right,4.2159957535274955e-05,topk,0.024634004583193522,"a large, green chair facing forwards to distinguish from other objects",2.515202706229775e-06,topk,0.010167398692853439,"a large, grey chair facing left",5.2781461223733214e-14,topk,0.01791435435122666
16,16,"a small, green desk  (1)",2.8166713657694472e-14,topk,0.01384139682163873,"a small, green desk turned to the right",1.441375471800711e-14,topk,0.015430076094934499,"a large, green desk",0.0006916161725669646,topk,0.03525293693798874,"a large, green desk facing forwards",7.330819085177445e-14,topk,0.0,"a small, green chair faced to the right",1.6598485780781248e-05,topk,0.017054310865287824,a large chair,1.9397548131893462e-05,topk,0.027373765711528494,a grey desk chair facing to the left,2.3213833539947325e-15,topk,0.0
17,17,a small green desk,6.066298771990541e-14,topk,0.018455195762184975,a small green desk ,1.030812155417481e-14,topk,0.015836130729011723,a large green desk  facing forwards,2.5088877393874488e-05,topk,0.019137308623479603,"a large, grey desk ",6.218681845078296e-13,topk,0.028113245758805243,"a small, green chair facing right",0.00022066908487617146,topk,0.020155094658976518,"a large green chair facing forwards""",2.5285182242107753e-05,topk,0.019769941902770576,"a large, grey chair to the left",1.2153601507902189e-14,topk,0.01791435435122666
18,18,"a small, green, desk facing forwards",6.095003574896762e-14,topk,0.018455195762184975,"a small, green desk faces to the right",6.398749343101369e-15,topk,0.015836130729011723,"a large, green desk facing to the right",1.0205109062779207e-05,topk,0.0,"a  large, grey desk",3.557503628354744e-14,topk,0.028113245758805243,"a small, green chair, facing to the right",0.0001446537428469181,topk,0.016222393262103053,"a large, green chair facing forwards, ",1.8899188671016198e-05,topk,0.01872941864473002,a grey chair facing to the left,1.2133959777136206e-14,topk,0.01791435435122666
19,19,"a small, green desk that is facing forwards",2.4106424395335305e-14,topk,0.015450861568340907,"a small, green desk facing right",1.7869406932706644e-13,topk,0.01880540524070142,a green table,8.872057833642449e-05,topk,0.017174507739020156,a grey desk,3.9555970897783965e-12,topk,0.048559242674299966,"a  small, green chair facing to the right",1.4126854651853149e-05,topk,0.016222393262103053,a green desk chair facing forwards,3.610306454682644e-05,topk,0.0,a large grey chair ,3.646883723602408e-15,topk,0.02922868341515929
20,20,a small green desk facing forwards,1.9115718604311465e-13,topk,0.019540795512901738,"a small, green desk turning to the right",1.5362982207588927e-14,topk,0.015044324192561138,"a large, green desk facing forwards",0.0056960095405614915,topk,0.019137308623479603,"a large desk, grey in color, facing to the left",4.070525798211389e-16,topk,0.01136492913653829,"a green, small chair facing to the right",1.1287836028474907e-05,topk,0.01662795309365563,"a large, green desk chair facing forwards",5.780422117628663e-05,topk,0.0,"a large, grey chair  facing to the left",2.0345650800924886e-14,topk,0.014239614997128884
21,21,"a small, green, desk, facing forwards",3.5264545462202006e-14,topk,0.017956406687531328,"a large, green desk facing to the right",8.816385879831387e-14,topk,0.0,a large green desk ,0.00011206586245605398,topk,0.03525293693798874,"a large, grey desk to the left",2.401024184503955e-14,topk,0.017805055647243318,a green desk chair facing to the right,1.063079345491404e-05,topk,0.0,"a large, green desk facing forwards",0.00010681764832190008,topk,0.0,"a large, grey chair, facing to the left",2.1104984478153834e-14,topk,0.014239614997128884
