|Sequence|Object|p_llm
0|a green small desk facing forwards|0|-30.205095291137695
1|a small desk facing forwards|0|-26.41082000732422
2|a desk|0|-30.16376495361328
3|a small green desk facing to the right|0|-30.49671745300293
4|a small, green desk facing forwards'|0|-29.833345413208008
5|a little green desk facing forward|0|-30.5502872467041
6|a small, green desk facing forwards in a room|0|-29.328577041625977
7|a small green desk |0|-29.400909423828125
8|a small|0|-30.305822372436523
9|a small desk|0|-28.31230354309082
10|a small, green desk  |0|-30.533485412597656
11|a small, green desk facing forwards, |0|-30.166858673095703
12|a desk facing forwards|0|-28.89951515197754
13|a small green desk, facing forwards|0|-29.41836929321289
14|a small, green desk |0|-27.611610412597656
15|a small green desk  facing forwards|0|-29.85392951965332
16|a small, green desk facing forwards is in the room|0|-30.04186248779297
17|a small, green desk facing forwards 1|0|-30.048555374145508
18|a green desk facing forwards|0|-26.267642974853516
19|a small, green desk facing forwards  |0|-30.200532913208008
20|a small, green, desk facing forwards|0|-30.247316360473633
21|a green desk, facing forwards|0|-29.993602752685547
22|a small green desk|0|-30.182159423828125
23|a green desk facing forwards in the room|0|-30.115942001342773
24|a green desk facing forwards |0|-29.681705474853516
25|a small green desk facing forwards|0|-29.034839630126953
26|a|0|-29.434616088867188
27|a small, green desk is facing forwards|0|-30.186214447021484
28|"a small, green desk facing forwards"""|0|-27.942720413208008
29|a small, green desk|0|-28.814735412597656
30|a small green facing forwards desk|0|-30.530412673950195
31|a small, green desk facing forwards |0|-26.263032913208008
32|a small, green desk  facing forwards|0|-28.458303451538086
33|a small green desk is facing forwards|0|-30.531225204467773
34|a small, green desk, facing forwards|0|-30.648380279541016
35|a small, green desk facing forwards|0|-23.630220413208008
36|a small, green desk facing forwards  (1)|0|-30.600133895874023
37|a green, small desk facing forwards|0|-28.929101943969727
38|a small, green desk facing forwards in the room|0|-31.1527099609375
0|a large, green desk facing to the right|1|-8.080897331237793
1|a green desk facing the right|1|-9.709351539611816
2|a small, green desk facing to the right of the room|1|-9.107526779174805
3|a small green desk facing to the right|1|-9.407398223876953
4|a desk facing to the right|1|-6.753542423248291
5|a desk facing right|1|-9.03217887878418
6|a small green desk facing the right|1|-7.960010528564453
7|a desk facing the right|1|-9.896890640258789
8|a small, green desk facing to the right'|1|-9.228060722351074
9|a small desk|1|-9.986363410949707
10|a small desk facing to the right|1|-7.213443279266357
11|a small green desk facing right|1|-7.215271949768066
12|a green desk facing right|1|-8.265849113464355
13|a small, green desk |1|-7.276175498962402
14|a small desk facing right|1|-8.413561820983887
15|a small, green desk is facing to the right|1|-9.848675727844238
16|a small, green desk, facing to the right|1|-9.89993953704834
17|a small, green desk facing to the right in the room|1|-10.704771041870117
18|a green desk facing to the right|1|-6.940986156463623
19|a small green desk to the right|1|-8.650620460510254
20|"a small, green desk facing to the right"""|1|-6.540561199188232
21|a small, green desk to the right|1|-7.004265308380127
22|a small, green desk turned to the right|1|-9.255342483520508
23|a small, green desk facing to the right|1|-2.478060722351074
24|a small, green desk facing right|1|-8.989748001098633
25|a small, green desk  facing to the right|1|-10.829487800598145
26|a|1|-8.47574234008789
27|a small, green desk facing to the right,|1|-6.899936199188232
28|a small, green desk|1|-4.502737998962402
29|a small, green desk facing to the right  |1|-9.087435722351074
30|a small, green desk facing the right|1|-7.345386028289795
31|a small, green desk facing to the right |1|-5.431186199188232
32|a small, green desk facing to the right in a room|1|-9.646347045898438
33|a small, green desk facing to the right;|1|-9.118685722351074
34|a small, green desk facing to the right is in the room|1|-9.704729080200195
0|a large,|2|-10.579401016235352
1|a small desk facing forwards|2|-11.038887977600098
2|a desk|2|-8.870912551879883
3|a large green desk facing to the left|2|-11.012840270996094
4|a large green desk  facing forwards|2|-9.769688606262207
5|a large, grey desk|2|-10.783343315124512
6|a green chair facing forwards|2|-10.821761131286621
7|a large green desk facing forwards|2|-11.563932418823242
8|a  large, green desk  facing forwards|2|-11.163811683654785
9|a large green desk facing to the front|2|-11.033411026000977
10|a large, green desk|2|-1.4452286958694458
11|a large green facing forwards desk|2|-11.067056655883789
12|a large green desk is facing forwards|2|-9.6624116897583
13|a large green desk |2|-11.060365676879883
14|a green table|2|-10.189329147338867
15|a desk facing forwards|2|-8.691246032714844
16|a large green desk, facing forwards|2|-11.407718658447266
17|a large green desk that is facing forwards|2|-10.920673370361328
18|a large|2|-10.452936172485352
19|a forward-facing green desk|2|-10.604225158691406
20|a large green table|2|-10.683655738830566
21|a large, green, desk facing forwards|2|-11.503284454345703
22|a big green desk facing forward|2|-10.180520057678223
23|a large grey desk|2|-10.689404487609863
24|a large, green table facing forwards|2|-11.329305648803711
25|a large, green, desk, facing forwards|2|-11.989723205566406
26|a  large, green desk facing forwards|2|-10.7644681930542
27|a small green desk|2|-10.275235176086426
28|a green large desk facing forwards|2|-10.310976028442383
29|a large, green table|2|-10.17480754852295
30|a large green desk facing the front|2|-9.472841262817383
31|a small, green desk facing to the right|2|-12.228828430175781
32|a small green desk facing forwards|2|-9.873995780944824
33|a large table|2|-11.080381393432617
34|a|2|-7.850569725036621
35|a large, green, forward-facing desk|2|-10.817739486694336
36|a small, green desk|2|-9.550960540771484
37|a green desk|2|-5.471960544586182
38|a large green desk facing the camera|2|-11.580315589904785
39|a small, green desk facing forwards|2|-7.78228759765625
40|a green, large desk facing forwards|2|-11.11382007598877
41|a large, green chair facing forwards|2|-10.714163780212402
42|a large green desk faces forwards|2|-10.722555160522461
43|a large green desk facing to the right|2|-10.021467208862305
44|a forward-facing large green desk|2|-11.123624801635742
45|a large green table facing forward|2|-11.08306884765625
46|a big green table facing forward|2|-10.865596771240234
0|a large desk|3|-32.455726623535156
1|a large grey desk, facing to the left|3|-32.47507095336914
2|a large desk, grey in color, facing to the left|3|-32.61143112182617
3|a grey, large desk facing left|3|-32.81578826904297
4|a large green desk facing to the left|3|-32.84642791748047
5|a grey, large desk facing to the left|3|-32.00733947753906
6|a grey chair|3|-32.958900451660156
7|a large grey desk facing left|3|-29.541461944580078
8|a large desk facing to the left|3|-29.35297393798828
9|a large, grey desk|3|-23.66344451904297
10|a  large, grey desk facing to the left|3|-31.723552703857422
11|a large green desk facing forwards|3|-30.357666015625
12|a large, green desk|3|-33.052555084228516
13|a large desk, grey in color, facing left|3|-34.367881774902344
14|a large green desk|3|-32.18714904785156
15|a big grey desk facing left|3|-32.786983489990234
16|a large, grey table|3|-31.92906951904297
17|a large grey desk facing to the left|3|-27.51199722290039
18|a large desk facing the left|3|-32.34776306152344
19|a large gray desk facing left|3|-32.96925735473633
20|a large grey desk|3|-28.318235397338867
