|Sequence|Object|p_llm
0|a large, grey chair |0|-28.607345581054688
1|a large grey chair facing backwards in the room|0|-29.971343994140625
2|a grey chair |0|-30.39471435546875
3|a large, grey chair facing the opposite direction of the other chairs|0|-35.84254455566406
4|a large, grey chair facing backwards|0|-28.650625228881836
5|a large chair facing backwards|0|-28.35926055908203
6|a backwards grey chair|0|-30.040510177612305
7|a grey chair that is facing backwards|0|-31.520814895629883
8|a large, grey chair, facing backwards|0|-32.10293960571289
9|a grey chair|0|-31.15252685546875
10|a large grey chair|0|-30.3201961517334
11|a large, grey chair that is facing backwards|0|-30.416324615478516
12|a chair facing backwards|0|-28.193395614624023
13|a large grey chair facing the opposite direction of the other chairs|0|-34.9428825378418
14|a large grey chair facing backwards 1|0|-31.590206146240234
15|a large grey chair |0|-29.6405086517334
16|a large grey chair facing backwards in a room|0|-31.859325408935547
17|a grey chair facing away|0|-30.30780601501465
18|a large chair|0|-30.702777862548828
19|a large, grey chair  facing backwards|0|-30.26949691772461
20|a large grey facing backwards chair|0|-30.40345573425293
21|a grey chair is facing backwards|0|-30.492603302001953
22|a grey, large chair, facing backwards|0|-31.530967712402344
23|a large grey chair, facing backwards|0|-30.049440383911133
24|a large grey chair facing backwards|0|-25.233036041259766
25|a large, grey chair facing backward|0|-30.004615783691406
26|a large grey chair facing forwards|0|-30.388717651367188
27|a large grey chair that is facing backwards|0|-30.889724731445312
28|a backwards facing grey chair|0|-31.006391525268555
29|"a large grey chair facing backwards"""|0|-30.756473541259766
30|a chair, grey, large, facing backwards|0|-32.055057525634766
31|a backwards-facing grey chair|0|-28.80329704284668
32|a large grey chair is facing backwards|0|-30.882692337036133
33|a grey, large chair facing backwards|0|-31.738723754882812
34|a large, grey chair 1|0|-30.65612030029297
35|a large, grey chair facing forwards|0|-29.379615783691406
36|a backwards-facing large grey chair|0|-30.918582916259766
37|a grey chair facing forwards|0|-30.80780601501465
38|a large, grey, backwards-facing chair|0|-30.612775802612305
39|a large, grey chair is facing backwards|0|-31.375110626220703
40|a large|0|-31.081453323364258
41|a grey chair, facing backwards|0|-29.02666664123535
42|a grey chair backwards|0|-30.37908935546875
43|a large, grey chair|0|-29.544845581054688
44|a big grey chair facing away|0|-30.61952018737793
45|a|0|-29.42753791809082
46|a large grey chair  facing backwards|0|-31.07670021057129
47|a large grey chair facing backwards is in the room|0|-31.480806350708008
48|a large grey chair facing backwards |0|-28.467411041259766
49|a large gray chair facing backwards|0|-30.25553321838379
0|a large, grey chair |1|-7.0326995849609375
1|a large gray chair facing forwards|1|-10.281970977783203
2|a large grey chair that is facing forwards|1|-11.037020683288574
3|a large, grey chair facing backwards|1|-9.19752025604248
4|a large grey chair facing the front|1|-10.661778450012207
5|a large grey chair, facing forwards|1|-10.187499046325684
6|a large, grey chair-facing forwards|1|-10.736502647399902
7|a large, grey chair that is facing forwards|1|-8.917179107666016
8|a forward-facing grey chair|1|-9.58892822265625
9|a grey chair|1|-9.225751876831055
10|a large chair facing forwards|1|-7.172751426696777
11|a large, grey desk|1|-10.477788925170898
12|a large grey chair|1|-10.601696968078613
13|a large, grey chair face forwards|1|-10.795003890991211
14|a  large, grey chair facing forwards|1|-12.356731414794922
15|a large chair|1|-10.147727012634277
16|a chair, large, grey, facing forwards|1|-10.885210037231445
17|a small grey chair facing backwards|1|-9.625496864318848
18|a large, grey chair, facing forwards|1|-10.622386932373047
19|a large grey chair facing forward|1|-8.65369987487793
20|a large, grey chair  |1|-10.321762084960938
21|a large grey chair facing backwards|1|-10.509449005126953
22|a large, grey chair is facing forwards|1|-8.949362754821777
23|a large grey chair facing forwards|1|-10.362399101257324
24|a small, grey desk facing backwards|1|-9.953380584716797
25|a large,|1|-9.852560997009277
26|a large, grey chair faces forwards|1|-10.170098304748535
27|a backwards-facing grey chair|1|-9.463263511657715
28|a large grey chair  facing forwards|1|-10.334177017211914
29|a large, grey chair facing forward|1|-10.336926460266113
30|a large, grey chair - facing forwards|1|-10.543654441833496
31|a large, grey chair  facing forwards|1|-7.912440776824951
32|a small, grey chair facing backwards|1|-10.379354476928711
33|a large, grey chair facing forwards|1|-0.9787704944610596
34|a grey chair facing forwards|1|-6.367899417877197
35|a chair, facing forwards|1|-10.683269500732422
36|a large|1|-9.700000762939453
37|a large, grey chair|1|-4.3842620849609375
38|a|1|-7.943454742431641
39|a large, grey desk facing forwards|1|-9.351945877075195
40|a large grey chair is facing forwards|1|-10.555809020996094
41|a chair, grey, large, facing forwards|1|-12.006251335144043
42|a large, grey chair that faces forwards|1|-10.701168060302734
0|a large, red chair facing the opposite direction of the other chairs|2|-34.804786682128906
1|a  red  chair|2|-31.680145263671875
2|a large, grey chair facing backwards|2|-32.116233825683594
3|a large, red chair faces backwards|2|-32.161956787109375
4|a large, red chair facing|2|-31.967426300048828
5|a large, red chair  (3)|2|-32.05947494506836
6|a large chair facing backwards|2|-31.413896560668945
7|a large, red chair facing backwards|2|-22.928363800048828
8|a large, red chair (3)|2|-31.785947799682617
9|a small, grey chair|2|-32.014007568359375
10|a chair facing backwards|2|-31.72233772277832
11|a large red chair facing backwards|2|-29.993215560913086
12|a large chair|2|-30.576210021972656
13|a large chair that is red in color and facing backwards|2|-34.06174850463867
14|a small grey chair facing backwards|2|-31.18413543701172
15|a large, red chair that is facing backwards|2|-31.13329315185547
16|a red chair|2|-24.99635887145996
17|a large red chair, facing backwards|2|-31.716632843017578
18|"a large, red chair"""|2|-31.472286224365234
19|a large, red chair facing forwards|2|-31.277969360351562
20|a large, red desk|2|-29.699626922607422
21|a red desk|2|-30.330026626586914
22|a chair is red|2|-31.845905303955078
23|a large, red chair in the room|2|-33.022918701171875
24|a large, red chair with its back to you|2|-34.02421188354492
25|a large,|2|-30.69542694091797
26|a large red chair is facing backwards|2|-31.785381317138672
27|a large, red chair face backwards|2|-32.46988296508789
28|a small, grey chair facing backwards|2|-32.267738342285156
29|a large, red chair is facing backwards|2|-30.81001091003418
30|a large, grey chair facing forwards|2|-32.338016510009766
31|a large, red chair  |2|-31.417598724365234
32|a large|2|-30.68383026123047
33|a  large, red chair facing backwards|2|-31.91168212890625
34|a small, grey desk|2|-30.753408432006836
35|a large, red chair-facing backwards|2|-31.637720108032227
36|a large, red chair facing backward|2|-30.499942779541016
37|a large, red chair facing |2|-32.24086380004883
38|a large, red chair |2|-28.230098724365234
39|a|2|-28.986095428466797
40|a large, red chair, facing backwards|2|-29.534584045410156
41|a large, red chair|2|-25.175411224365234
42|a large, red chair  facing backwards|2|-30.561174392700195
0|a small, grey chair that is facing backwards|3|-32.4588508605957
1|a large, grey chair facing backwards|3|-28.714601516723633
2|a small grey chair|3|-30.0018310546875
3|a small, grey chair  (4)|3|-32.09299850463867
4|a grey, small chair facing backwards|3|-31.643096923828125
5|a small, grey chair  facing backwards|3|-31.008296966552734
6|a grey desk facing backwards|3|-30.59610939025879
7|a small grey chair |3|-29.6268310546875
8|a small chair facing backwards|3|-29.288095474243164
9|a large, red chair facing backwards|3|-29.284358978271484
10|a small, grey chair|3|-31.175251007080078
11|a small, grey chair facing the opposite direction of the other chairs|3|-35.31497573852539
12|a small chair|3|-30.304065704345703
13|a chair facing backwards|3|-30.977874755859375
14|a small grey chair facing backwards in a room|3|-32.10049819946289
15|a small, gray chair facing backwards|3|-31.868793487548828
16|a small grey chair facing backwards|3|-25.384899139404297
17|a small grey chair facing backwards is in the room|3|-32.19301986694336
18|a small grey chair facing backwards, |3|-32.184547424316406
19|a red chair|3|-31.150217056274414
20|a small, grey chair  |3|-31.065876007080078
21|a small-grey-chair-facing-backwards|3|-32.040287017822266
22|a small, grey chair is facing backwards|3|-30.66938591003418
23|a small grey desk facing backwards|3|-29.567047119140625
24|a small gray chair facing backwards|3|-31.318336486816406
25|a small, grey chair |3|-30.628376007080078
26|a  small, grey chair facing backwards|3|-31.066211700439453
27|a small, grey chair facing forwards|3|-30.7893009185791
28|a small grey chair facing backwards in the room|3|-30.267824172973633
29|a small grey chair that is facing backwards|3|-31.575305938720703
30|a small, grey chair facing backwards|3|-30.271860122680664
31|a large, grey chair facing forwards|3|-30.320993423461914
32|"a small grey chair facing backwards"""|3|-30.627086639404297
33|a grey chair facing backwards|3|-29.384967803955078
34|a small, grey chair, facing backwards|3|-31.833152770996094
35|a small, grey desk|3|-27.539077758789062
36|a large, grey chair|3|-31.3020076751709
37|a small grey chair, facing backwards|3|-32.67343521118164
38|a|3|-28.858808517456055
39|a large, grey desk facing forwards|3|-30.619712829589844
40|a small grey chair facing backwards |3|-28.861461639404297
41|a small,|3|-31.220909118652344
42|a small grey chair is facing backwards|3|-30.5506591796875
0|a  large, grey desk  facing forwards|4|-32.197601318359375
1|a desk that is facing forwards|4|-32.200462341308594
2|a grey desk facing forward|4|-31.234941482543945
3|a grey desk facing forwards |4|-31.85697364807129
4|a chair facing forwards|4|-31.845745086669922
5|a large desk|4|-29.442184448242188
6|a large, grey  desk facing forwards|4|-32.25640106201172
7|a large desk, facing forwards|4|-32.21890640258789
8|a desk facing forwards|4|-29.580326080322266
9|a  large, grey desk facing forwards|4|-30.237884521484375
10|a large grey desk |4|-30.972347259521484
11|a small grey chair facing backwards|4|-32.330833435058594
12|a large grey desk  facing forwards|4|-31.334199905395508
13|a large grey desk is facing forwards|4|-31.94906997680664
14|a desk facing forward|4|-32.17034912109375
15|a chair|4|-32.16878890991211
16|a small, grey desk facing backwards|4|-30.67078971862793
17|a small grey desk facing backwards|4|-31.524375915527344
18|a grey desk, facing forwards|4|-31.792808532714844
19|a grey, large desk facing forwards|4|-31.827285766601562
20|a  large, grey desk|4|-32.26409149169922
21|a large,|4|-31.98434066772461
22|a desk, facing forwards|4|-31.504688262939453
23|a large grey desk|4|-31.245784759521484
24|a large desk facing forwards|4|-29.625581741333008
25|a large gray desk facing forwards|4|-32.3074951171875
26|a small, grey chair facing backwards|4|-31.29876136779785
27|a large, grey chair facing forwards|4|-30.101696014404297
28|a desk|4|-29.076845169067383
29|a large grey facing forwards|4|-32.10495376586914
30|a grey chair facing forwards|4|-31.887195587158203
31|a large|4|-32.105838775634766
32|a small, grey desk|4|-32.34540939331055
33|a|4|-29.479459762573242
34|a large grey desk, facing forwards|4|-31.890167236328125
35|a large desk is facing forwards|4|-32.240779876708984
36|a desk, large, grey, facing forwards|4|-32.54263687133789
37|a large, grey table|4|-31.802637100219727
38|a grey desk facing forwards|4|-28.31791114807129
39|a large desk facing forwards |4|-32.40683364868164
40|a large grey desk facing forwards|4|-29.717849731445312
41|a facing forwards large grey desk|4|-32.07149124145508
0|a large desk|5|-30.823883056640625
1|a large, red desk, facing backwards|5|-29.644210815429688
2|a large, red chair facing backwards|5|-30.87993049621582
3|a large, red desk that is facing backwards|5|-31.609081268310547
4|a large, red desk  facing backwards|5|-30.217458724975586
5|a large, red desk facing backward|5|-29.42045783996582
6|a large, red desk facing backwards in the room|5|-42.40829086303711
7|a large, red desk facing backwards  (6)|5|-33.43873596191406
8|a large desk facing backwards|5|-29.67489242553711
9|"a large, red desk facing backwards"""|5|-27.95195198059082
10|a red chair|5|-31.372838973999023
11|a large, red desk|5|-26.087268829345703
12|a red desk|5|-26.97193717956543
