|Sequence|Object|p_llm
0|a green desk facing forwards, small in size|0|-10.360743522644043
1|a small, green desk|0|-8.04529094696045
2|a small, green desk facing to the right|0|-9.895011901855469
3|a green desk, facing forwards|0|-9.224069595336914
4|a green desk facing forwards in the room|0|-9.34641170501709
5|a small, green desk facing forwards|0|-8.002967834472656
6|a green desk facing forwards in a room|0|-10.212669372558594
7|a desk facing forwards|0|-8.129983901977539
8|a small, green desk 1|0|-9.052030563354492
9|a small green desk facing the front|0|-10.083420753479004
10|a green desk facing forwards|0|-5.498112201690674
11|a small green desk  facing forwards|0|-9.75498104095459
12|a small, green desk facing forwards |0|-10.581092834472656
13|a small green desk |0|-8.670093536376953
14|a small, green desk is facing forwards|0|-9.412263870239258
15|a small green desk, facing forwards|0|-8.223895072937012
16|a little green desk facing forward|0|-9.780755996704102
17|a small, green desk  (1)|0|-10.188425064086914
18|a small green desk|0|-9.435718536376953
19|a small, green desk in a room|0|-10.362177848815918
20|a small, green, desk facing forwards|0|-9.430996894836426
21|a small, green desk that is facing forwards|0|-10.340202331542969
22|a small green desk facing forwards|0|-8.287958145141602
23|a small, green, desk, facing forwards|0|-10.432188034057617
24|a small, green desk  facing forwards|0|-7.688858509063721
25|a small green desk facing to the right|0|-10.356576919555664
26|a small green facing forwards desk|0|-9.760879516601562
27|a green, small desk facing forwards|0|-8.159454345703125
28|a small, green desk in front|0|-10.495199203491211
29|a small, green desk (1)|0|-10.257362365722656
30|a small, green desk in the room|0|-9.89433479309082
31|a desk|0|-9.394233703613281
32|a green desk facing forwards |0|-8.912174224853516
33|a green desk is facing forwards|0|-10.218071937561035
34|a small, green, facing forwards desk|0|-10.25382137298584
35|a small, green desk |0|-6.842165946960449
36|a|0|-8.665083885192871
37|a small, green desk  |0|-9.764041900634766
38|a small,|0|-9.955533981323242
39|a green small desk facing forwards|0|-9.435564041137695
40|a small|0|-9.536290168762207
41|a small, green desk, facing forwards|0|-7.3868727684021
42|a small green desk is facing forwards|0|-9.792595863342285
43|a green desk, small and facing forwards|0|-10.34161376953125
0|a green desk facing right|1|-30.410024642944336
1|a small green desk, facing to the right|1|-31.02301025390625
2|a small, green desk facing the right|1|-29.645309448242188
3|a small, green desk|1|-25.84648895263672
4|a small, green desk facing to the right|1|-22.453184127807617
5|a small, green desk (2)|1|-31.35094451904297
6|a desk facing to the right|1|-28.097291946411133
7|a small, green desk faced to the right|1|-30.999486923217773
8|a small, green desk, facing to the right|1|-31.227413177490234
9|a small, green desk that is facing to the right|1|-31.466596603393555
10|a green desk facing to the right|1|-28.28473472595215
11|a small green desk to the right|1|-29.99437141418457
12|a small, green desk turned to the right|1|-30.59909439086914
13|a small green desk |1|-31.570911407470703
14|a small, green desk faces to the right|1|-31.587146759033203
15|a small, green desk facing right|1|-29.628435134887695
16|a small, green desk turning to the right|1|-32.07778549194336
17|a small green desk facing to the right of the room|1|-32.22847366333008
18|a large, green desk facing to the right|1|-29.424646377563477
19|a small green desk facing to the right in the room|1|-32.150421142578125
20|a small green desk turned to the right|1|-31.37315559387207
21|a desk facing right|1|-30.37592887878418
22|a small, green desk to the right|1|-28.3480167388916
23|a  small, green desk facing to the right|1|-31.4287109375
24|a small green desk facing the right|1|-29.303760528564453
25|a small desk facing to the right|1|-28.557191848754883
26|a small green desk facing to the right|1|-31.573524475097656
27|a desk facing the right|1|-31.24064064025879
28|a small, green table facing to the right|1|-31.451499938964844
29|a large, grey desk facing to the left|1|-32.21510696411133
30|a small, green desk 2|1|-31.302127838134766
31|a small, green desk |1|-28.61992645263672
32|a small, green desk  facing to the right|1|-29.313499450683594
33|a small desk facing right|1|-29.75731086730957
34|a|1|-29.81949234008789
35|a green desk facing the right|1|-31.0531005859375
36|a small desk|1|-31.33011245727539
37|a small desk facing the right|1|-31.361989974975586
38|a small, green desk  |1|-31.46367645263672
39|a small, green desk face|1|-30.85430145263672
40|a small|1|-31.520784378051758
41|a small, green desk turning right|1|-31.333526611328125
42|a small, green desk is facing to the right|1|-30.947158813476562
0|a green desk facing forward|2|-9.848876953125
1|a large, green table|2|-9.038978576660156
2|a small, green desk|2|-9.550960540771484
3|"a large, green desk  |   facing forwards"|2|-13.013910293579102
4|"a large, green desk  |  facing forwards"|2|-13.23633098602295
5|a large, green, forward-facing desk|2|-10.47793960571289
6|a green desk, facing forwards|2|-10.198009490966797
7|a small, green desk facing forwards|2|-7.78228759765625
8|a large, green desk faced forwards|2|-10.48091983795166
9|a large, green desk  (3)|2|-10.146334648132324
10|a large, green desk that is facing forwards|2|-12.546957015991211
11|a green large desk|2|-9.91481876373291
12|a large, green desk facing the front|2|-10.774806022644043
13|a desk facing forwards|2|-8.691246032714844
14|a large, green desk in the room|2|-10.90129280090332
15|a large, green desk facing to the left|2|-11.489181518554688
16|a green desk facing forwards|2|-9.023268699645996
17|a large, green desk 3|2|-11.069967269897461
18|a large, green desk facing to the right|2|-12.87395191192627
19|a green table|2|-10.189329147338867
20|a green desk, facing forwards, large|2|-11.44137954711914
21|a large, green desk facing forwards|2|-11.465415954589844
22|a large, green desk (3)|2|-11.051138877868652
23|a large, green desk  facing forwards|2|-7.900975704193115
24|a large green table|2|-9.435949325561523
25|a green chair facing forwards|2|-9.983290672302246
26|a large,|2|-10.579401016235352
27|a large, green desk, facing forwards|2|-7.717695713043213
28|a small green desk|2|-10.278332710266113
29|a green, large desk facing forwards|2|-11.11382007598877
