|Sequence|Object|p_llm
0|a small, green desk|0|-28.814823150634766
1|a small, green desk facing to the right|0|-33.183387756347656
2|a green desk, facing forwards|0|-29.993602752685547
3|a small, green desk facing forwards|0|-27.502275466918945
4|a small, green, desk, facing, forwards|0|-31.675336837768555
5|a small desk facing forwards in the room|0|-30.654052734375
6|a desk facing forwards|0|-30.39456558227539
7|a small, green desk 1|0|-29.821561813354492
8|a small green desk facing the front|0|-30.852951049804688
9|a small green desk  facing forwards|0|-29.85384178161621
10|a small green desk |0|-29.439624786376953
11|a small, green desk is facing forwards|0|-30.186302185058594
12|a green table|0|-30.50546646118164
13|a small green desk, facing forwards|0|-31.1132755279541
14|a small desk, green|0|-29.975122451782227
15|a small, green desk - facing forwards|0|-30.90093421936035
16|a small table|0|-30.61373519897461
17|a small green desk facing forward|0|-29.186222076416016
18|a small, green desk  (1)|0|-30.972442626953125
19|a small green desk|0|-30.205249786376953
20|a small, green, desk facing forwards|0|-30.757057189941406
21|a small, green desk that is facing forwards|0|-30.69843101501465
22|a small green desk facing forwards|0|-29.05748748779297
23|a small, green, desk, facing forwards|0|-31.1959228515625
24|a small, green desk  facing forwards|0|-28.458391189575195
25|a small green desk facing to the right|0|-30.496370315551758
26|a small green facing forwards desk|0|-30.530412673950195
27|a green, small desk facing forwards|0|-28.929101943969727
28|a small green desk facing to the left|0|-31.183870315551758
29|a small, green desk (1)|0|-31.027050018310547
30|a small, green desk in front|0|-31.26473045349121
31|a small, green desk in the room|0|-30.66386604309082
32|a desk|0|-30.16376495361328
33|a green desk is facing forwards|0|-30.707298278808594
34|a small, green, facing forwards desk|0|-31.010292053222656
35|a small, green desk |0|-27.611698150634766
36|a|0|-29.434616088867188
37|a small, green desk  |0|-30.533573150634766
38|a small desk|0|-28.31230354309082
39|a small desk facing forwards|0|-28.037294387817383
40|a small,|0|-30.725067138671875
41|a small|0|-30.305822372436523
42|a small, green desk, facing forwards|0|-28.157751083374023
43|a small green desk is facing forwards|0|-30.561378479003906
0|a green desk facing right|1|-8.265849113464355
1|a small green desk, facing to the right|1|-9.679259300231934
2|a small, green desk facing the right|1|-7.3453826904296875
3|a small, green desk  (2)|1|-10.456719398498535
4|a small, green desk|1|-4.502737998962402
5|a small, green desk (2)|1|-10.007192611694336
6|a desk facing to the right|1|-6.753542423248291
7|a small, green desk faced to the right|1|-9.65573787689209
8|a small, green desk, facing to the right|1|-7.679799556732178
9|a small, green desk, facing right|1|-10.209324836730957
10|a small, green desk that is facing to the right|1|-10.122845649719238
11|a green desk facing to the right|1|-10.227686882019043
12|a small green desk to the right|1|-9.648717880249023
13|a small, green desk turned to the right|1|-9.2550687789917
14|a small green desk |1|-10.227161407470703
15|a small, green desk faces to the right|1|-10.703989028930664
16|a small, green desk facing right|1|-8.284683227539062
17|a small, green desk turning to the right|1|-9.828131675720215
18|a large, green desk facing to the right|1|-8.080897331237793
19|a small green desk turned to the right|1|-10.029406547546387
20|a desk facing right|1|-9.03217887878418
21|a small, green desk to the right|1|-7.004265308380127
22|a  small, green desk facing to the right|1|-11.11657428741455
23|a small green desk facing the right|1|-7.960010528564453
24|a small table|1|-9.989408493041992
25|a small desk facing to the right|1|-8.85677433013916
26|a small green desk facing to the right|1|-9.407398223876953
27|a desk facing the right|1|-9.896890640258789
28|a small, green desk on the right|1|-10.462278366088867
29|a small, green desk facing to the  right|1|-10.74509048461914
30|a small, green table facing to the right|1|-10.107752799987793
31|a large, grey desk facing to the left|1|-10.23904037475586
32|a small, green desk |1|-7.276175498962402
33|a small, green desk  facing to the right|1|-7.969747066497803
34|a|1|-8.47574234008789
35|a small desk facing right|1|-9.264748573303223
