|Sequence|Object|p_llm
0|a grey desk facing forwards|0|-27.453414916992188
1|a large desk, grey in colour, facing forwards|0|-30.874528884887695
2|a large, grey desk in the room|0|-31.249406814575195
3|a grey desk facing forward|0|-30.805553436279297
4|a large grey desk, facing forwards|0|-29.959745407104492
5|a large grey desk facing forwards in a room|0|-30.953006744384766
6|a large desk that is grey in color and facing forwards|0|-32.461795806884766
7|a large desk|0|-28.61976432800293
8|"a large grey desk facing forwards"""|0|-30.791034698486328
9|a large, grey desk |0|-29.97537612915039
10|a grey large desk facing forwards|0|-30.308292388916016
11|a grey desk in the room|0|-30.00180435180664
12|a grey desk|0|-27.88892364501953
13|a large, grey desk, facing forwards|0|-29.150985717773438
14|a grey desk is facing forwards|0|-29.58340072631836
15|a large, grey desk  facing forwards|0|-29.557493209838867
16|a grey desk, facing forwards|0|-29.10051727294922
17|a large grey desk facing forwards |0|-28.931659698486328
18|a large grey desk facing forwards|0|-28.275484085083008
19|a large, grey desk  |0|-30.81912612915039
20|a grey table|0|-30.33085823059082
21|a large grey desk facing forwards is in the room|0|-31.01723861694336
22|a grey desk is in the room|0|-30.633466720581055
23|a large desk, grey in color, facing forwards|0|-30.66911506652832
24|a grey desk |0|-28.45615577697754
25|a large, grey desk|0|-31.280765533447266
26|a large grey desk is facing forwards|0|-30.357423782348633
27|a grey, large desk facing forwards|0|-31.63424301147461
28|a large grey facing forwards desk|0|-30.355073928833008
29|a large desk that is grey in color and is facing forwards|0|-32.743656158447266
30|a large, grey, desk, facing forwards|0|-31.386327743530273
31|a large gray desk|0|-29.567169189453125
32|a large, grey desk facing forwards|0|-30.565092086791992
33|a large desk facing forwards|0|-29.896648406982422
34|a large grey desk facing forwards 1|0|-32.539974212646484
35|a large, grey desk  (1)|0|-31.325368881225586
36|a desk facing forwards|0|-29.865795135498047
37|a large grey desk|0|-30.261775970458984
38|a large desk, grey in color|0|-32.12700653076172
39|a|0|-28.953624725341797
40|a large grey desk in the room|0|-31.343551635742188
41|a large, grey desk is facing forwards|0|-30.42980194091797
42|a large grey desk facing forward|0|-30.237689971923828
43|a large grey desk  facing forwards|0|-30.19649887084961
44|a large grey desk facing forwards in the room|0|-29.745140075683594
0|a  large, blue desk|1|-31.922134399414062
1|a large blue desk is facing forwards|1|-32.53196716308594
2|a large|1|-32.63103485107422
3|a large desk facing forwards is blue|1|-32.84636688232422
4|a large desk facing forwards, painted blue|1|-33.28289794921875
5|a large desk|1|-30.165061950683594
6|a blue desk that is facing forwards|1|-33.03255844116211
7|a blue table|1|-32.627742767333984
8|a blue desk facing forward|1|-32.517093658447266
9|a blue desk|1|-27.55714988708496
10|a large blue desk  facing forwards|1|-32.71919250488281
11|a large desk that is blue in colour|1|-33.52290725708008
12|a large desk, blue in colour|1|-33.56682586669922
13|a large,|1|-32.58927536010742
14|a blue desk is facing forwards|1|-31.920228958129883
15|a blue desk  facing forwards|1|-32.651123046875
16|a large, blue  desk|1|-32.73533248901367
17|a large desk, blue in colour, facing forwards|1|-32.202674865722656
18|a blue desk facing forwards|1|-27.1577205657959
19|a large blue desk, facing forwards|1|-32.238525390625
20|a  blue  desk|1|-32.78998947143555
21|a large blue desk facing forwards|1|-32.066680908203125
22|a blue desk |1|-30.38527488708496
23|a large desk in the room|1|-32.8587760925293
24|a large desk that is blue in colour and facing forwards|1|-33.19786834716797
25|a large desk facing forwards, colored blue|1|-32.251861572265625
26|a large desk, blue in color|1|-33.31285858154297
27|a blue desk is in the room|1|-32.44332504272461
28|a large desk that is blue in color, facing forwards|1|-34.03138732910156
29|a large desk is blue|1|-32.3256950378418
30|a blue desk in a room|1|-32.993064880371094
31|a blue desk faces forwards|1|-32.98109436035156
32|a large desk facing forwards|1|-32.85185623168945
33|a small, green desk facing to the left|1|-33.27594757080078
34|"a blue desk"""|1|-32.682151794433594
35|a large desk that is blue|1|-32.889976501464844
36|a large desk, blue, facing forwards|1|-32.26013946533203
37|a large desk, blue in color, facing forwards|1|-31.99028968811035
38|a desk facing forwards|1|-32.893714904785156
