|Sequence|Object|p_llm
0|a small, red chair facing to the right in the room|0|-30.669658660888672
1|a small red chair to the right|0|-30.23918914794922
2|a small, red chair, facing right|0|-29.916088104248047
3|a small, red chair facing to the right of the room|0|-31.32231903076172
4|a red chair |0|-30.80756187438965
5|a small red chair 1|0|-30.937488555908203
6|a small red chair facing to the left|0|-30.581695556640625
7|a small, red chair facing to the right 1|0|-31.411958694458008
8|a small, red chair facing to the right, facing to the right|0|-32.46272277832031
9|a small red chair|0|-30.254648208618164
10|a small, red chair facing to the right|0|-24.510417938232422
11|a small chair|0|-29.78470230102539
12|a small red chair |0|-29.887460708618164
13|a red chair, facing right|0|-30.295352935791016
14|a little red chair|0|-29.984495162963867
15|a small, red chair facing to the right'|0|-30.244792938232422
16|a red chair facing the right|0|-29.43301773071289
17|a small red chair facing the right|0|-28.906173706054688
18|a small red chair facing right|0|-29.716209411621094
19|a small, red chair |0|-30.43999671936035
20|a red chair, facing to the right|0|-30.607284545898438
21|"a small, red chair facing to the right"""|0|-28.221355438232422
22|a small red chair facing left|0|-30.652080535888672
23|a red chair facing right|0|-30.644071578979492
24|a small, red chair facing to the right, |0|-31.30158805847168
25|a red chair facing to the right|0|-30.851911544799805
26|a small, red chair, facing to the right|0|-28.767168045043945
27|a small, red chair to the right|0|-30.52774429321289
28|a small red chair, facing right|0|-30.848045349121094
29|a small, red, facing-right chair|0|-30.94782066345215
30|a small chair facing to the right|0|-28.61587142944336
31|a small, red chair facing to the right  (1)|0|-32.34783935546875
32|a|0|-30.156845092773438
33|a small, red chair is facing to the right|0|-30.20107078552246
34|a small red chair, facing to the right|0|-30.87725067138672
35|a small red chair is facing to the right|0|-30.908355712890625
36|a small, red chair 1|0|-29.841415405273438
37|a small, red chair  facing to the right|0|-30.19950294494629
38|a small,|0|-30.785995483398438
39|a small, red chair facing to the right |0|-27.229167938232422
40|a red chair facing left|0|-30.917856216430664
41|a small red chair facing to the right|0|-29.44266700744629
42|a small chair facing right|0|-29.92496681213379
0|a small, red chair facing the left|1|-8.105982780456543
1|a small, red chair facing to the left;|1|-9.455987930297852
2|a small, red chair facing to the left  |1|-9.151300430297852
3|a small red chair facing to the left|1|-5.63228702545166
4|a red chair facing to the left|1|-6.979221820831299
5|a small, red chair facing to the right|1|-6.63588809967041
6|a small red chair facing the left|1|-7.386974334716797
7|a small, red chair is facing to the left|1|-9.060418128967285
8|a small, red chair facing to the left,|1|-9.541925430297852
9|a small, red chair facing to the left (2)|1|-10.219037055969238
10|a small, red chair facing to the left  (2)|1|-9.548113822937012
11|a small, red chair facing to the left'|1|-8.862237930297852
12|a small, red chair, facing to the left|1|-7.080118656158447
13|a small, red chair that is facing to the left|1|-9.589715957641602
14|a small, red chair facing to the left, |1|-9.477977752685547
15|a small, red chair |1|-6.913983345031738
16|a small, red chair facing to the left in the room|1|-8.9879789352417
17|a small red chair facing left|1|-6.700980186462402
18|a small, red chair facing left|1|-6.819012641906738
19|a small, red chair|1|-4.249920845031738
20|a small, red chair facing to the left 2|1|-10.461280822753906
21|a small, red chair, facing left|1|-8.978933334350586
22|a chair facing left|1|-9.093761444091797
23|"a small, red chair facing to the left"""|1|-6.120050430297852
24|a red chair facing the left|1|-8.650960922241211
25|a small, red chair facing to the left|1|-2.5263004302978516
26|a small, red chair  facing to the left|1|-8.899423599243164
27|a|1|-8.618755340576172
28|a small, red chair facing to the left |1|-5.471612930297852
29|a chair facing to the left|1|-8.215622901916504
30|a small, red chair facing the right|1|-9.370416641235352
31|a small, red chair facing to the left, a small, red chair facing to the right|1|-10.391301155090332
32|a small, red chair facing to the left, facing to the left|1|-10.660602569580078
33|a small,|1|-9.638784408569336
34|a small red chair facing to the left |1|-9.22603702545166
35|a small chair facing to the left|1|-9.300613403320312
36|a small red chair facing to the right|1|-9.470937728881836
0|a blue chair facing backwards|2|-10.222389221191406
1|a small, blue chair in the room|2|-10.96431827545166
2|a blue chair, facing backwards|2|-9.662614822387695
3|a small blue chair is facing backwards|2|-10.473124504089355
4|a blue chair that is facing backwards|2|-9.222341537475586
5|a small, blue chair that is facing backward|2|-11.165684700012207
6|a small, blue chair with its back to us|2|-11.237650871276855
7|a small, blue chair facing backward|2|-9.32287311553955
8|a small, blue sofa facing backwards|2|-7.42061185836792
9|a small, blue chair is facing backwards|2|-8.721908569335938
10|a small, blue chair facing to the left|2|-9.232447624206543
11|a blue sofa facing backwards|2|-9.879711151123047
12|a small, blue chair facing the opposite direction of the other chairs|2|-12.318697929382324
13|a small, red chair facing to the right|2|-10.343620300292969
14|a small, blue chair turned around|2|-9.706157684326172
15|a blue chair is facing backwards|2|-8.957208633422852
16|a small, blue chair facing backwards|2|-9.18639087677002
17|a small, blue chair backwards|2|-10.237448692321777
18|a small, blue chair  |2|-9.654308319091797
19|a small, blue sofa|2|-9.837054252624512
20|a small, blue chair  facing backwards|2|-9.210758209228516
21|a small blue chair, facing backwards|2|-10.457088470458984
22|a backwards blue chair|2|-10.24990463256836
23|a small, blue chair  (3)|2|-10.399483680725098
24|a small, blue chair facing downwards|2|-10.252840995788574
25|a small, blue chair with its back facing the viewer|2|-11.404488563537598
