|Sequence|Object|p_llm
0|a chair, blue, large|0|-8.540968894958496
1|a blue chair facing left|0|-4.8052215576171875
2|a large, blue chair, facing to the left|0|-7.438509464263916
3|a large blue chair |0|-8.392463684082031
4|a large, blue chair 1|0|-8.459846496582031
5|a large blue chair facing to the left|0|-4.739990234375
6|a big blue chair facing left|0|-8.333407402038574
7|a blue chair facing the left|0|-7.651214122772217
8|a large, blue chair  facing to the 1|0|-23.338417053222656
9|a large, blue chair  facing to the  left|0|-14.774943351745605
10|a large chair facing to the left|0|-8.685497283935547
11|a blue chair is facing left|0|-9.248854637145996
12|a large, blue chair facing left|0|-6.157639026641846
13|a large blue chair|0|-8.501838684082031
14|a large blue chair is facing left|0|-9.306066513061523
15|a large chair|0|-8.948976516723633
16|a blue chair facing left |0|-8.719284057617188
17|a large, blue chair facing to the left|0|-6.051177501678467
18|a large blue chair facing left|0|-7.840082168579102
19|a large, blue chair is facing to the left|0|-8.930855751037598
20|a large chair facing left|0|-7.822782516479492
21|a blue chair |0|-9.191753387451172
22|a large blue chair, facing to the left|0|-8.827829360961914
23|a large, blue chair facing the left|0|-6.720342636108398
24|a large blue chair facing the left|0|-6.789999008178711
25|a large blue chair is facing to the left|0|-9.020853042602539
26|a chair facing left|0|-9.354799270629883
27|a large|0|-9.189472198486328
28|a blue chair, facing left|0|-8.268668174743652
29|a large, blue chair |0|-7.022708415985107
30|a large blue chair facing to the left |0|-8.708740234375
31|a large, blue chair|0|-7.757083415985107
32|a|0|-8.527873992919922
33|a chair facing to the left|0|-9.409873962402344
34|a blue chair facing to the left|0|-6.102607250213623
35|a large blue chair, facing left|0|-8.569149017333984
36|a large blue chair to the left|0|-8.739227294921875
37|a large, blue chair, facing left|0|-8.467657089233398
38|a blue chair|0|-9.387065887451172
0|a backwards-facing blue chair|1|-31.350332260131836
1|a blue chair facing backwards|1|-27.596010208129883
2|a large, blue chair facing backwards  (2)|1|-33.048744201660156
3|"a large, blue chair facing backwards <|user|>"|1|-32.45911407470703
4|a large blue chair facing backward|1|-30.527019500732422
5|a large, blue chair facing the opposite direction of the other chairs|1|-34.835391998291016
6|a small grey chair facing forwards|1|-30.97045135498047
7|a large, blue chair facing backwards  |1|-30.831174850463867
8|a chair facing backwards|1|-28.33632469177246
9|a large, blue chair, facing backwards|1|-30.229747772216797
10|a large, blue fan|1|-31.113525390625
11|a large blue chair, facing backwards|1|-31.74852752685547
12|a large, blue chair facing backwards,|1|-31.745237350463867
13|a large, blue chair facing to the left|1|-33.123538970947266
14|a large, blue fan facing backwards|1|-29.282039642333984
15|a small, grey fan facing forwards|1|-31.072599411010742
16|a large, blue chair facing backwards |1|-27.307737350463867
17|a large, blue chair facing backwards to distinguish from other objects|1|-33.70105743408203
18|a large, blue chair facing backwards|1|-24.104612350463867
19|a large, blue chair facing backwards'|1|-31.104612350463867
20|a large, blue chair is facing backwards|1|-30.819351196289062
21|a chair|1|-31.59718894958496
22|a backwards blue chair|1|-30.98517608642578
23|a large, blue chair facing backwards is object 2 in the room|1|-33.053096771240234
24|a large, blue chair facing backwards in the room|1|-33.24220657348633
25|a large, blue chair facing backwards is in the room|1|-31.08863639831543
26|a blue chair facing backward|1|-31.86163330078125
27|"a large, blue chair facing backwards"""|1|-28.917112350463867
28|"a large, blue chair facing backwards <|im_sep|>"|1|-32.57463836669922
29|a large, blue chair facing backwards in a room|1|-31.842254638671875
30|a small, grey chair facing forwards|1|-30.07996940612793
31|a large, blue chair  facing backwards|1|-31.632028579711914
32|a large, blue chair facing the opposite direction of the others|1|-33.751434326171875
33|a large|1|-31.838600158691406
34|a large, blue chair |1|-30.383338928222656
35|a large, blue chair facing backwards to distinguish from other objects using the fewest possible words|1|-34.56533432006836
36|a large, blue chair facing backwards;|1|-30.932737350463867
37|a large, blue chair facing forwards|1|-31.60450553894043
38|a|1|-30.497386932373047
39|a large, blue chair|1|-31.117713928222656
40|a large, blue chair facing backwards is object 2|1|-31.586925506591797
41|a large blue chair is facing backwards|1|-31.888818740844727
42|a large blue chair facing backwards|1|-26.339519500732422
43|a chair that is facing backwards|1|-31.78561019897461
44|a large, blue chair that is facing backwards|1|-31.454021453857422
0|a green chair to the left|2|-9.222468376159668
1|a green chair facing to the left|2|-9.644144058227539
2|"a green chair facing left"""|2|-9.916519165039062
3|a small grey chair|2|-9.53921890258789
4|a large green chair facing left|2|-6.349880695343018
5|a large green chair facing the left|2|-8.687725067138672
6|a large blue chair facing to the left|2|-9.584342002868652
7|a large chair, green|2|-9.468188285827637
8|"a large, green chair facing to the left"""|2|-10.177216529846191
9|a large, green chair  (3)|2|-10.901779174804688
10|a large, green chair |2|-9.525808334350586
11|a large, green chair facing left|2|-8.164314270019531
12|a large, green chair|2|-10.994489669799805
13|a green chair|2|-8.898480415344238
14|"a large, green chair"""|2|-9.76799488067627
15|a large, green chair facing to the left |2|-10.044404029846191
16|a large chair facing to the left|2|-8.219399452209473
17|a green chair, facing to the left|2|-10.424825668334961
18|a large chair|2|-9.679609298706055
19|a large, blue chair facing to the left|2|-8.87596321105957
20|a green chair facing the left|2|-9.82103443145752
21|a large, green fan facing to the left|2|-9.767903327941895
22|a green chair, facing left|2|-9.146686553955078
23|a green chair |2|-8.835980415344238
24|a large green chair facing to the left|2|-8.114042282104492
25|a large, green chair facing to the left|2|-6.208466529846191
26|a small, grey chair facing forwards|2|-9.819725036621094
27|a green chair is facing to the left|2|-9.35951042175293
28|a large, green chair  facing to the left|2|-9.281423568725586
29|a large, green chair that is facing to the left|2|-10.751893997192383
30|a green chair facing left|2|-9.968303680419922
31|a large green chair |2|-10.06265640258789
32|a large green chair|2|-9.90640640258789
33|a large, green chair, facing left|2|-10.34657096862793
34|a large, green chair, facing to the left|2|-10.750354766845703
35|a|2|-9.605329513549805
36|a green chair is facing left|2|-9.51834487915039
37|a large chair that is green and facing to the left|2|-11.229735374450684
38|a chair facing to the left|2|-9.534186363220215
39|a green chair facing left |2|-9.807144165039062
40|a large, green chair facing to the right|2|-10.884635925292969
41|a large, green chair is facing to the left|2|-9.582852363586426
0|a small, grey chair is facing forwards in a room with 7 objects|3|-18.48971939086914
1|a chair facing forwards|3|-9.204471588134766
2|a small grey chair|3|-5.5513434410095215
3|a small grey fan facing forwards|3|-8.106660842895508
4|a large blue chair facing to the left|3|-10.353857040405273
5|a small, grey chair is facing forwards in the room|3|-14.723226547241211
6|a small, grey chair is facing forwards in a room with other objects|3|-17.78982162475586
7|a small, grey chair in the room|3|-10.644868850708008
8|a small, grey chair is facing forwards in a room|3|-17.566753387451172
9|a small grey chair facing forwards|3|-3.441291332244873
10|a small grey chair facing forward|3|-7.503791332244873
11|a small grey chair facing to the front|3|-13.148138046264648
12|a grey chair|3|-5.286134719848633
13|a small grey chair |3|-8.37165641784668
14|a small, grey chair facing the front|3|-10.814810752868652
15|a small grey chair is facing forwards|3|-8.670873641967773
16|a small chair|3|-7.913632392883301
17|a small, gray chair facing forwards|3|-9.426199913024902
18|a small, grey chair that is facing forwards|3|-9.74224853515625
19|a small, grey chair is facing forwards in a room with other chairs and fans|3|-20.045562744140625
20|a large, blue chair facing to the left|3|-7.1313395500183105
21|a small, grey chair, facing forwards|3|-8.471403121948242
22|a grey, small chair facing forwards|3|-8.861778259277344
23|a small, grey chair faces forwards|3|-9.513551712036133
24|a chair|3|-9.154296875
25|a small grey chair faces forwards|3|-10.009641647338867
26|a large, green chair facing to the left|3|-8.604472160339355
27|a small, grey chair facing forwards|3|-10.525113105773926
