|Sequence|Object|p_llm
0|a |0|-32.9980354309082
1|a small, blue facing left fan|0|-33.06520462036133
2|a blue small fan|0|-30.104978561401367
3|a small blue facing left fan|0|-31.2877197265625
4|a small|0|-31.084491729736328
5|a small, green fan facing to the left|0|-32.81037521362305
6|a  small, blue fan facing to the left|0|-32.81554412841797
7|a small, bluefan|0|-32.602439880371094
8|a, blue fan|0|-32.09989547729492
9|a small, blue  fan|0|-32.34308624267578
10|a fan that is small and blue and facing to the left|0|-33.64609909057617
11|a blue, small fan facing the left|0|-33.32083511352539
12|a tiny blue fan|0|-32.668514251708984
13|a small, blue, fan, facing left|0|-33.34674835205078
14|a, small, blue fan|0|-31.383747100830078
15|a small , blue fan|0|-32.307926177978516
16|a large blue fan facing to the left|0|-32.56808090209961
17|a fan, blue, small, facing, left|0|-33.56650161743164
18|a small, blue, fan, facing, left|0|-34.874664306640625
19|a blue, small fan facing left|0|-30.918153762817383
20|a green fan|0|-30.848907470703125
21|a blue fan|0|-24.6661319732666
22|a small, blue|0|-32.196189880371094
23|a little blue fan|0|-31.20465850830078
24|a blue, small fan, facing left|0|-32.56108474731445
25|a small blue left-facing fan|0|-32.978515625
26|a small,|0|-31.248170852661133
27|a little blue fan facing left|0|-31.08212661743164
28|a blue, small fan facing to the left|0|-31.042110443115234
29|a large, blue fan facing to the left|0|-31.355796813964844
30|a little blue fan on the left|0|-33.177032470703125
31|a small blue fans|0|-32.81549835205078
32|a fan, small, blue, facing left|0|-33.12226486206055
33|a, small, blue, fan, facing, left|0|-33.54380798339844
34|a small blue|0|-33.058284759521484
35|a fan, blue, small, facing left|0|-33.34986877441406
36|a tiny blue fan facing left|0|-32.33702087402344
37|a|0|-29.943347930908203
38|a fan|0|-32.891944885253906
39|a small green fan facing to the left|0|-32.5158805847168
40|a fan facing to the left|0|-31.7209529876709
41|a blue, small, left-facing fan|0|-33.5425910949707
42|a  small blue fan|0|-32.59926223754883
43|a fan, blue, small, left-facing|0|-32.84438705444336
44|a small blue fan|0|-23.631563186645508
45|a small, blue, left-facing fan|0|-32.006103515625
46|a small, blue, facing-left fan|0|-32.511138916015625
47|a blue, small fan|0|-31.573068618774414
0|a small, green fan faced to the left|1|-32.10219192504883
1|a large, red fan facing backwards|1|-31.12493133544922
2|a small green sofa|1|-31.835521697998047
3|a little green fan facing left|1|-31.910720825195312
4|a small, green fan faces left|1|-32.136348724365234
5|a small, green fan to the left|1|-31.18701934814453
6|a small, green fan in a room|1|-32.017494201660156
7|a small fan facing left|1|-31.253347396850586
8|a small, green fan facing to the right|1|-32.14415740966797
9|a small, green fan facing to the left|1|-23.292593002319336
10|a small green fan|1|-25.491771697998047
11|a small, green fan is in the room|1|-31.370452880859375
12|a small, green fan, facing to the left|1|-33.40193557739258
13|a small, green fan (2)|1|-31.12563133239746
14|a small fan facing to the left, colored green|1|-31.698774337768555
15|"a small, green fan"""|1|-30.329299926757812
16|a green fan|1|-25.07581901550293
17|a small fan|1|-31.01277732849121
18|a blue fan|1|-31.934852600097656
19|a green sofa|1|-31.566320419311523
20|a large, green fan facing to the left|1|-30.303003311157227
21|a small, green fan facing the left|1|-29.647260665893555
22|a small, green sofa facing to the left|1|-30.717981338500977
23|a small, green fan that is facing to the left|1|-32.3041877746582
24|a large, blue fan facing to the left|1|-30.361473083496094
