|Sequence|Object|p_llm
0|a small blue fan facing to the left|0|-24.963571548461914
1|a fan facing to the left|0|-30.700424194335938
2|a small blue fan, facing left|0|-29.366193771362305
3|a small fan, blue in color, facing left|0|-31.207853317260742
4|a small fan facing left|0|-29.86309051513672
5|a small blue fan is in the room|0|-30.98381996154785
6|a blue fan on the left|0|-29.598237991333008
7|"a small blue fan"""|0|-30.54098129272461
8|a small fan that is blue in color and facing to the left|0|-31.528221130371094
9|a blue fan, small in size, facing left|0|-31.643503189086914
10|a small blue fan to the left|0|-29.405794143676758
11|a blue fan facing to the left|0|-27.209726333618164
12|a small blue fan  (1)|0|-30.763076782226562
13|a blue fan facing the left|0|-28.931007385253906
14|a blue fan |0|-28.965885162353516
15|a small fan facing the left|0|-30.846206665039062
16|a small fan facing to the left|0|-28.7901554107666
17|a blue fan|0|-26.325260162353516
18|a small blue fan in the room|0|-30.81778335571289
19|a small, blue fan|0|-22.704004287719727
20|a small blue fan 1|0|-29.834945678710938
21|a small fan, blue in color, facing to the left|0|-30.793773651123047
22|a small blue fan facing the left|0|-27.732540130615234
23|a small blue fan facing left|0|-25.165019989013672
24|a blue fan facing left|0|-26.284507751464844
25|a small fan in the room|0|-30.702545166015625
26|a small blue fan, facing to the left|0|-29.208593368530273
27|a small fan that is blue and facing to the left|0|-31.438419342041016
28|a small blue fan |0|-28.06441879272461
29|a small blue fan is facing to the left|0|-30.532663345336914
30|a small blue fan on the left|0|-29.55443572998047
31|a blue fan is facing left|0|-30.545089721679688
32|a blue fan, facing left|0|-28.80634880065918
33|a small blue fan|0|-25.47848129272461
34|a blue fan to the left|0|-29.312454223632812
35|a small fan|0|-28.546382904052734
36|a blue fan, small in size, facing to the left|0|-31.44864845275879
37|a|0|-29.943347930908203
38|a small fan, blue, facing left|0|-30.461111068725586
39|a blue fan is facing to the left|0|-30.753080368041992
0|"a small, green fan facing to the left"""|1|-28.572425842285156
1|a small, blue fan facing to the left|1|-30.603355407714844
2|a small, green fan (2)|1|-31.12563133239746
3|a small, green fan face|1|-31.219924926757812
4|a small, green fan, facing left|1|-31.587387084960938
5|a small, green fan|1|-25.157424926757812
6|a fan facing to the left|1|-31.658891677856445
7|a small, green fan facing to the left in the room|1|-31.51790428161621
8|a small, green fan facing to the left|1|-23.822425842285156
9|a small, green fan facing to the left'|1|-31.338050842285156
10|a small, green fan facing to the left |1|-28.330238342285156
11|a small, green fan facing to the left;|1|-31.400550842285156
12|a small, green sofa facing to the left|1|-30.717981338500977
13|a large, green fan facing to the left|1|-30.303003311157227
14|a large, blue fan facing to the left|1|-30.361473083496094
15|a small, green fan  (2)|1|-30.42795753479004
16|a small fan facing to the left|1|-30.713220596313477
17|a blue fan|1|-29.942554473876953
18|"a small, green fan"""|1|-30.329299926757812
19|a small, green fan is facing to the left|1|-30.31472396850586
20|a green fan|1|-25.07581901550293
21|a small, green fan facing the left|1|-28.846513748168945
22|a large, red fan facing backwards|1|-31.12493133544922
