|Sequence|Object|p_llm
0|a blue chair facing left|0|-8.607723236083984
1|a blue chair to the left|0|-8.866768836975098
2|a big blue chair facing left|0|-9.09671688079834
3|"a large blue chair facing left"""|0|-8.96020793914795
4|a large blue chair facing left in the room|0|-9.282661437988281
5|a blue, large chair facing left|0|-9.329008102416992
6|a large, blue chair facing left|0|-6.103921890258789
7|a large blue chair facing left |0|-7.968020439147949
8|a large, blue chair  facing to the left|0|-8.468351364135742
9|a large blue chair facing to the left |0|-8.639961242675781
10|a large chair facing to the left|0|-8.653676986694336
11|a blue chair, facing left|0|-7.808058261871338
12|a large, blue chair |0|-6.914981842041016
13|a large|0|-9.142544746398926
14|a large chair facing left|0|-7.801301956176758
15|a blue chair is facing left|0|-9.298042297363281
16|a large, blue chair facing to the left|0|-6.011998653411865
17|a large blue chair|0|-8.478989601135254
18|a large, blue chair facing the left|0|-6.642221450805664
19|a chair, blue, large, facing left|0|-9.955588340759277
20|a large chair|0|-8.910737037658691
21|a large blue chair facing leftwards|0|-9.099964141845703
22|a blue chair facing to the left|0|-5.379053115844727
23|a large blue chair is facing left|0|-8.896448135375977
24|a blue chair facing the left|0|-7.682379722595215
25|a large, blue chair is facing to the left|0|-9.15538215637207
26|a large blue chair facing left|0|-4.132082462310791
27|a large blue chair 1|0|-8.920201301574707
28|a large blue chair |0|-8.369614601135254
29|a|0|-8.502056121826172
30|a large, blue chair 1|0|-8.406038284301758
31|a blue chair |0|-9.197781562805176
32|a large blue chair to the left|0|-8.81783676147461
33|a large, blue chair, facing to the left|0|-9.86553955078125
34|a large, blue chair, facing left|0|-8.433823585510254
35|a large blue chair facing to the left|0|-9.051133155822754
36|a large blue chair facing to the left,|0|-9.413398742675781
37|a large blue chair, facing to the left|0|-8.809556007385254
38|a large blue chair is facing to the left|0|-9.264508247375488
39|a large blue chair facing the left|0|-8.566666603088379
40|a large, blue chair that is facing to the left|0|-10.043590545654297
41|a large blue chair, facing left|0|-8.566681861877441
42|a large, blue chair|0|-7.680606842041016
0|a large, blue chair  facing backwards|1|-8.829645156860352
1|"a large, blue chair facing backwards"""|1|-6.932544708251953
2|a large, blue chair is facing backwards|1|-8.551778793334961
3|a large, blue chair facing backwards|1|-2.120044708251953
4|a large, blue chair facing backwards,|1|-9.623879432678223
5|a large, blue chair facing forwards|1|-9.644512176513672
6|a large blue chair facing backward|1|-8.585329055786133
7|a large, blue chair facing backwards in a room|1|-9.877603530883789
8|"a large, blue chair facing backwards <|im_sep|>"|1|-11.36439037322998
9|a blue chair facing backwards|1|-6.311322212219238
10|a large, blue chair facing backwards in the room|1|-7.636880874633789
11|a large, blue chair facing backwards  |1|-8.846607208251953
12|a large, blue chair |1|-8.312480926513672
