|Sequence|Object|p_llm
0|a small fan, blue in color, facing left|0|-31.205974578857422
1|a blue, small fan facing to the left|0|-31.046140670776367
2|a small fan facing to the left, blue in color|0|-31.94550895690918
3|a blue fan on the left|0|-29.600317001342773
4|a small fan that is blue in color and facing to the left|0|-31.52839469909668
5|a blue fan, small in size, facing left|0|-31.643644332885742
6|a blue fan in the room|0|-30.8623046875
7|a blue, small fan facing left|0|-30.29438018798828
8|a blue fan, small and facing left|0|-31.450315475463867
9|a blue fan facing to the left|0|-30.089834213256836
10|a blue fan facing the left|0|-29.582550048828125
11|a blue fan |0|-28.965885162353516
12|a small fan that is blue in color and is facing to the left|0|-32.092838287353516
13|a large, blue fan facing to the left|0|-31.355796813964844
14|a small fan facing the left|0|-30.846206665039062
15|a blue fan|0|-29.301822662353516
16|a small fan facing to the left|0|-28.78463363647461
17|a little blue fan|0|-31.20465850830078
18|a small, blue fan|0|-22.704004287719727
19|a small fan that is blue|0|-31.553909301757812
20|a small fan, blue in color, facing to the left|0|-30.823144912719727
21|a little blue fan facing left|0|-31.08212661743164
22|a small blue facing left fan|0|-31.2877197265625
23|a blue fan facing left|0|-29.979820251464844
24|a small fan in the room|0|-30.702545166015625
25|a small fan that is blue and facing to the left|0|-31.419715881347656
26|"a blue fan"""|0|-31.262760162353516
27|a blue fan is facing left|0|-30.957509994506836
28|a small fan that is blue in color|0|-31.448122024536133
29|a blue fan is in the room|0|-31.21393394470215
30|a blue fan, small, facing left|0|-31.411270141601562
31|a blue fan, facing to the left|0|-29.51071548461914
32|a blue fan, facing left|0|-30.74871063232422
33|a small blue fan|0|-23.631563186645508
34|a blue fan to the left|0|-31.202289581298828
35|a blue small fan facing left|0|-31.356292724609375
36|a small fan|0|-28.546382904052734
37|a blue fan, small in size, facing to the left|0|-31.448789596557617
38|a|0|-29.943347930908203
39|a small fan, blue|0|-31.307945251464844
40|a small fan, blue, left-facing|0|-31.815937042236328
41|a small fan, blue in color|0|-31.488845825195312
42|a blue fan is facing to the left|0|-30.312362670898438
43|a small fan, blue, facing left|0|-31.191940307617188
44|a small,|0|-31.248170852661133
45|a small|0|-31.084491729736328
46|a blue fan faces left|0|-30.983003616333008
47|a small fan in a room|0|-31.173097610473633
0|"a small, green fan facing to the left"""|1|-28.587936401367188
1|a small, green fan (2)|1|-31.12628936767578
2|a small, green fan|1|-25.157424926757812
3|a small, green fan facing to the left, |1|-31.504589080810547
4|a small, green fan facing to the left in the room|1|-31.533414840698242
5|a small, green fan facing to the left|1|-24.35214614868164
6|a small, green fan 2|1|-31.101234436035156
7|a small, green fan facing to the left'|1|-31.330123901367188
8|a small, green fan facing to the left |1|-28.322311401367188
9|a small, green fan facing to the left;|1|-31.408248901367188
10|a small green fan facing the left|1|-29.742557525634766
11|a small, green sofa facing to the left|1|-30.71786880493164
12|a large, green fan facing to the left|1|-30.303003311157227
13|a large, blue fan facing to the left|1|-30.361473083496094
14|a small, green fan  (2)|1|-30.388813018798828
15|a fan, green|1|-31.431432723999023
16|a small fan facing to the left|1|-29.567977905273438
17|a blue fan|1|-29.942554473876953
18|a small, blue fan|1|-30.23138999938965
19|a small green fan facing to the left|1|-30.688936233520508
20|"a small, green fan"""|1|-30.329299926757812
21|a small, green fan is facing to the left|1|-30.585948944091797
22|a green fan|1|-25.07581901550293
23|a small, green fan facing the left|1|-28.8466796875
24|a large, red fan facing backwards|1|-31.12493133544922
25|a small green fan|1|-30.467376708984375
26|a small, green fan faces to the left|1|-31.375757217407227
27|a small, green fan |1|-27.665237426757812
28|a small, green fan  |1|-30.891799926757812
29|a small green fan, facing to the left|1|-31.11765480041504
30|a small fan|1|-31.01277732849121
31|a green sofa|1|-31.566320419311523
32|a small, green fan  facing to the left|1|-30.201614379882812
33|a|1|-30.581111907958984
34|a small, green fan, facing to the left|1|-29.579423904418945
35|a small green fan |1|-30.428314208984375
36|a small, green fan facing left|1|-28.5109920501709
37|a small, green fan in the room|1|-30.79752540588379
38|a small, green fan facing to the left  (2)|1|-32.061912536621094
39|a small, green fan facing to the left,|1|-32.97168731689453
40|a small, green fan is in the room|1|-31.3662109375
0|a small, blue fan facing to the left|2|-8.375683784484863
1|a  large, blue fan facing to the left|2|-9.67900276184082
2|a large blue fan facing to the left|2|-6.458527565002441
3|a large blue fan |2|-8.016514778137207
4|a large, blue fan faces to the left|2|-9.109893798828125
5|a large, blue fan, facing left|2|-9.935669898986816
6|a small, green fan facing to the left|2|-9.44381046295166
7|a large, blue fan facing left|2|-7.455997467041016
8|a large, blue fan is facing to the left|2|-8.308087348937988
9|a large, blue fan in the room|2|-10.38892650604248
10|a large fan that is blue and facing to the left|2|-10.351155281066895
11|a large, blue fan faces left|2|-9.835633277893066
12|a large, blue fan  (3)|2|-9.519384384155273
13|a large, blue fan|2|-3.5717737674713135
14|a large blue fan is facing to the left|2|-8.681722640991211
15|a large blue fan, facing to the left|2|-8.378713607788086
16|a large, blue sofa facing to the left|2|-9.98248291015625
17|a large, blue fan facing to the left|2|-2.1907150745391846
18|a blue fan|2|-6.83335018157959
19|a large, blue fan 3|2|-10.089353561401367
20|a large blue fan face|2|-9.610264778137207
21|a large blue fan to the left|2|-9.531846046447754
22|a large fan that is blue in color and facing to the left|2|-10.576055526733398
23|"a large, blue fan"""|2|-9.384273529052734
24|a large blue fan facing the left|2|-10.179769515991211
25|a large blue fan|2|-7.718653678894043
26|a fan|2|-8.002431869506836
27|a green fan|2|-9.78764533996582
28|a large blue fan, facing left|2|-9.282912254333496
29|a large fan, blue in color, facing to the left|2|-10.027836799621582
30|a large, blue fan  facing to the left|2|-8.530531883239746
31|a large blue fan faces left|2|-9.136035919189453
32|a large, blue fan  |2|-9.556148529052734
33|a large, blue fan facing the left|2|-8.697415351867676
34|a large, blue fan |2|-6.204586029052734
35|a large fan in the room|2|-9.744037628173828
36|a large, blue fan, facing to the left|2|-7.906702041625977
37|a large, blue fan;|2|-9.868648529052734
38|a|2|-8.189931869506836
39|a large, blue fan that is facing to the left|2|-10.004672050476074
40|a large fan facing to the left|2|-6.946225166320801
41|a large blue fan facing left|2|-7.647746562957764
42|a large blue fan is facing left|2|-9.788595199584961
43|a large blue sofa facing to the left|2|-9.938345909118652
44|a large blue fan faces to the left|2|-9.775762557983398
0|a small, blue fan facing to the left|3|-29.279621124267578
1|a large, red fan facing the opposite direction of the others|3|-32.698158264160156
2|a large fan that is red in color and facing backwards|3|-31.353466033935547
3|a small, green fan facing to the left|3|-28.45516586303711
4|a red sofa facing backwards|3|-28.80339813232422
5|a red fan that is facing backwards|3|-29.452608108520508
6|a large, red fan facing backward|3|-28.774934768676758
7|a large, red fan  (4)|3|-31.46554946899414
8|a large, red fan|3|-25.90658187866211
9|a red fan turned around|3|-29.914512634277344
10|a large, red fan facing forwards|3|-30.431184768676758
11|a red fan facing the opposite direction of the other fans|3|-31.820722579956055
12|a backwards red fan|3|-29.070110321044922
13|a backwards-facing red fan|3|-29.600635528564453
14|a large fan facing backwards|3|-27.414016723632812
15|a large fan|3|-29.43193244934082
