|Sequence|Object|p_llm
0|a chair facing to the right|0|-29.77015495300293
1|a small, red chair facing to the right in the room|0|-30.661155700683594
2|a small red chair, facing right|0|-30.851423263549805
3|a small, red chair facing to the right'|0|-30.23809814453125
4|a red chair to the right|0|-30.0561580657959
5|a small, red chair  facing to the right|0|-29.383607864379883
6|a small, red chair |0|-30.46450424194336
7|a small, red chair facing right|0|-30.6029052734375
8|a small, red chair 1|0|-30.917043685913086
9|a small, red chair facing to the right 1|0|-31.372316360473633
10|a small, red chair facing to the right of the room|0|-31.315624237060547
11|a red chair facing to the right|0|-30.850082397460938
12|a small red chair facing right|0|-29.716209411621094
13|a small red chair facing to the left|0|-30.581695556640625
14|a small red chair |0|-29.887460708618164
15|a small, red chair facing to the left|0|-29.867691040039062
16|a small chair facing to the right|0|-28.61587142944336
17|a small, red chair facing to the right,|0|-31.810518264770508
18|a small chair facing the right|0|-30.890317916870117
19|a small, red chair that is facing to the right|0|-31.75867462158203
20|a small red chair, facing to the right|0|-30.87725067138672
21|a small, red chair facing to the right |0|-27.22247314453125
22|a small, red, facing-right chair|0|-30.94782066345215
23|a small chair facing right|0|-29.92496681213379
24|a small, red chair in the room|0|-31.19347381591797
25|a small,|0|-30.785995483398438
26|a small, red chair is facing to the right|0|-30.22557830810547
27|a small, red chair facing to the right  (1)|0|-32.37588119506836
28|a chair|0|-30.143407821655273
29|a small, red chair, facing to the right|0|-28.776050567626953
30|a small, red chair to the right|0|-30.5756893157959
31|a red chair facing left|0|-30.163597106933594
32|a small chair|0|-29.78470230102539
33|a small, red chair facing right |0|-30.8997802734375
34|a red chair, facing right|0|-29.75588035583496
35|a|0|-30.156845092773438
36|a small red chair|0|-30.254648208618164
37|a small, red chair facing to the right  |0|-31.05059814453125
38|a red chair facing the right|0|-28.626554489135742
39|a small, red chair facing to the right, facing to the right|0|-33.10027313232422
40|a small red chair facing to the right|0|-29.44266700744629
41|"a small, red chair facing to the right"""|0|-28.21466064453125
42|a small, red chair facing to the right|0|-24.50372314453125
43|a small red chair facing the right|0|-28.153209686279297
44|a small, red chair facing to the right, |0|-31.294893264770508
45|a red chair |0|-30.80756187438965
0|a small, red chair facing  to the left|1|-32.77541732788086
1|a chair facing to the left|1|-31.241146087646484
2|a  small, red chair facing to the left|1|-32.29049301147461
3|a small, red chair that is facing to the left|1|-36.166812896728516
4|a small, red chair |1|-28.996017456054688
5|a small|1|-31.902355194091797
6|a small red chair  facing to the left|1|-33.303955078125
7|a small red chair facing to the left|1|-26.83422088623047
8|a small, red chair facing the right|1|-32.89531326293945
9|a small red chair |1|-32.01481628417969
10|a small, red chair facing left|1|-28.901044845581055
11|a chair, red, small, facing left|1|-32.9261474609375
12|a blue chair facing backwards|1|-32.30766296386719
13|a small red chair is facing to the left|1|-32.5584716796875
14|a small, red chair 2|1|-31.202621459960938
15|a small, red chair facing the left|1|-29.21807289123535
16|a small, red chair facing|1|-32.53385925292969
17|a small red chair, facing to the left|1|-33.833717346191406
18|a small, red chair  |1|-32.25382995605469
19|a small red chair facing left|1|-31.431726455688477
20|a small red chair, facing left|1|-32.172882080078125
21|a small, red chair  (2)|1|-32.30453109741211
22|a small,|1|-31.72081756591797
23|a small red chair facing left |1|-32.55883026123047
24|a small, red chair to the left|1|-31.960481643676758
25|a red chair facing the left|1|-32.367958068847656
26|a small, red chair (2)|1|-32.11109924316406
27|a red chair facing to the left|1|-29.061254501342773
28|a small, red chair, facing left|1|-31.48889923095703
29|a|1|-30.700786590576172
30|a small red chair|1|-29.225751876831055
31|a small red chair facing the left|1|-29.469005584716797
32|a small, red chair, facing to the left|1|-29.161724090576172
33|a small, red chair with its back to the right|1|-33.32217788696289
34|a second small, red chair|1|-32.379425048828125
35|a small red chair facing to the right|1|-31.55297088623047
36|a small, red chair|1|-26.331953048706055
37|a small, red chair facing to the right|1|-28.717920303344727
38|a chair facing left|1|-31.17579460144043
39|a small, red chair  facing to the left|1|-29.996400833129883
40|a small, red chair is facing to the left|1|-31.142452239990234
41|a small, red chair facing to the  left|1|-32.604976654052734
42|a small chair facing left|1|-31.209026336669922
0|a blue facing backwards|2|-31.91645622253418
1|a small, blue chair facing to the left|2|-31.269542694091797
2|a small, blue chair facing the opposite direction of the others|2|-33.44845199584961
3|a small, blue sofa facing backwards|2|-29.44600486755371
4|a blue chair|2|-32.00034713745117
5|a small, blue chair backwards|2|-31.414073944091797
6|a small blue chair |2|-32.15656661987305
7|a small, blue chair is facing backwards|2|-30.73567771911621
8|a blue, small chair facing backwards|2|-32.387855529785156
9|a small blue chair, facing backwards|2|-32.482479095458984
10|a small, blue chair facing to the right|2|-32.30653381347656
11|a blue chair facing backwards |2|-31.622854232788086
