|Sequence|Object|p_llm
0|a large grey desk facing forwards is in the room|0|-31.017314910888672
1|a large, grey, desk, facing forwards|0|-31.391544342041016
2|a grey desk facing forward|0|-30.805553436279297
3|a large grey desk facing forward|0|-30.24083709716797
4|a large desk|0|-28.61976432800293
5|"a large grey desk facing forwards"""|0|-30.77548599243164
6|a large, grey desk|0|-23.12887954711914
7|a grey desk faces forwards|0|-30.747468948364258
8|a large grey desk facing forwards in a room|0|-30.960525512695312
9|a large desk that is grey in colour and facing forwards|0|-32.847103118896484
10|a desk facing forwards|0|-29.125036239624023
11|a grey desk is facing forwards|0|-29.58340072631836
12|a large desk that is grey in color and facing forwards|0|-32.44559097290039
13|a large grey desk |0|-28.527400970458984
14|a large grey desk  facing forwards|0|-30.19649887084961
15|a large grey desk is facing forwards|0|-30.640329360961914
16|a grey desk in a room|0|-31.192249298095703
17|a large grey desk facing forwards in the room|0|-29.69015884399414
18|a large grey facing forwards desk|0|-30.979347229003906
19|a grey desk, facing forwards|0|-28.720792770385742
20|a grey desk, large|0|-30.536977767944336
21|a grey, large desk facing forwards|0|-31.63424301147461
22|a large, gray desk|0|-30.7977237701416
23|a large grey desk in the room|0|-30.788511276245117
24|a large desk, grey, facing forwards|0|-31.009563446044922
25|a large grey desk|0|-26.199275970458984
26|a grey large desk facing forwards|0|-30.308292388916016
27|a grey desk is in the room|0|-30.633466720581055
28|a large desk facing forwards|0|-27.97197723388672
29|a large desk, grey in color, facing forwards|0|-30.480791091918945
30|a large gray desk facing forwards|0|-30.042490005493164
31|a desk|0|-28.91809844970703
32|a grey desk in the room|0|-30.00180435180664
33|a large|0|-30.892784118652344
34|a large grey desk facing forwards |0|-28.92392349243164
35|a big grey desk facing forward|0|-31.172971725463867
36|a|0|-28.953624725341797
37|a large grey desk, facing forwards|0|-29.950958251953125
38|a large desk that is grey in color and is facing forwards|0|-32.73393630981445
39|a large desk, grey in colour, facing forwards|0|-30.868921279907227
40|a grey desk facing forwards|0|-29.659442901611328
41|a large grey desk facing forwards|0|-25.29111099243164
0|a large blue desk facing forwards |1|-9.662059783935547
1|a large, blue desk|1|-3.3130927085876465
2|a small, green desk facing to the left|1|-11.252509117126465
3|a large desk|1|-8.141624450683594
4|a large, blue desk facing forwards'|1|-9.101930618286133
5|a large, blue desk facing forwards  (2)|1|-10.613402366638184
6|a large blue desk, facing forwards|1|-10.215087890625
7|a large desk that is blue in color and facing forwards|1|-10.932373046875
8|a large, blue desk in the room|1|-9.961058616638184
9|a large, blue desk, facing forwards|1|-8.036808967590332
10|a  large, blue desk|1|-9.89869499206543
11|a large blue desk facing forwards|1|-8.176362037658691
12|a large desk, blue in colour, facing forwards|1|-10.177468299865723
13|a large, blue desk is in the room|1|-9.685359001159668
14|a large, blue desk facing forwards in the room|1|-8.645711898803711
15|a large desk, blue in color, facing forwards|1|-9.968452453613281
16|a large desk in the room|1|-9.702436447143555
17|a large, blue desk facing forwards in a room|1|-10.369747161865234
18|a large, blue desk |1|-5.5630927085876465
19|a large, blue desk facing forwards |1|-6.539430618286133
20|a large, blue desk that is facing forwards|1|-10.543893814086914
21|a blue table|1|-9.815522193908691
22|a large desk that is blue and facing forwards|1|-10.57183837890625
23|a large, blue desk  |1|-8.953718185424805
24|a large, blue desk facing forwards|1|-3.508180618286133
25|"a large, blue desk"""|1|-9.15295696258545
26|a large, blue desk faces forwards|1|-9.334239959716797
27|a large desk facing forwards, colored blue|1|-10.2280855178833
28|a large, blue desk face forwards|1|-9.870888710021973
29|a large, blue desk is facing forwards|1|-9.148982048034668
30|a|1|-8.53542709350586
31|a large, blue desk  facing forwards|1|-8.258027076721191
32|a large, blue desk facing forwards,|1|-8.609743118286133
33|a large desk, blue, facing forwards|1|-10.23830509185791
34|a large, blue desk  (2)|1|-9.155461311340332
35|"a large, blue desk facing forwards"""|1|-6.875368118286133
0|"a large, red desk"""|2|-30.577838897705078
1|a small, green desk|2|-30.86335563659668
2|a small, green desk facing to the left|2|-29.14759063720703
3|a large desk|2|-29.256744384765625
4|a desk facing backwards|2|-29.939180374145508
5|a large red desk|2|-27.555408477783203
6|a small, green fan facing to the left|2|-31.02854347229004
7|a large, red desk, facing backwards|2|-31.175031661987305
