|Sequence|Object|p_llm
0|a blue chair facing left|0|-8.607723236083984
1|a large, blue chair, facing to the left|0|-9.865569114685059
2|a large blue chair |0|-8.369614601135254
3|a large blue chair 1|0|-8.920201301574707
4|a blue chair is facing to the left|0|-9.294703483581543
5|a large, blue chair 1|0|-8.406038284301758
6|a large blue chair facing to the left|0|-8.41292667388916
7|a big blue chair facing left|0|-8.350525856018066
8|a large blue chair facing left in the room|0|-9.282661437988281
9|a blue chair facing the left|0|-7.032345771789551
10|a large chair facing to the left|0|-8.653676986694336
11|a large blue chair is facing left|0|-9.228581428527832
12|a blue chair is facing left|0|-9.298042297363281
13|a large blue chair|0|-8.478989601135254
14|a chair, blue, large, facing left|0|-9.955588340759277
15|a large chair|0|-8.910737037658691
16|a large, blue chair facing to the left|0|-6.011998653411865
17|a large blue chair facing left|0|-4.132082462310791
18|a large, blue chair is facing to the left|0|-9.15538215637207
19|a large chair facing left|0|-7.801301956176758
20|"a large blue chair facing left"""|0|-8.96020793914795
21|a blue chair |0|-9.197781562805176
22|a large blue chair, facing to the left|0|-9.184741973876953
23|a large, blue chair facing the left|0|-6.642221450805664
24|a large blue chair facing the left|0|-6.156599521636963
25|a large blue chair is facing to the left|0|-9.264667510986328
26|a blue chair, facing to the left|0|-9.702937126159668
27|a chair facing left|0|-9.337574005126953
28|a large blue chair facing left |0|-7.968020439147949
29|a blue chair to the left|0|-8.866768836975098
30|a large|0|-9.142544746398926
31|a blue chair, facing left|0|-8.3059663772583
32|a large, blue chair |0|-6.914981842041016
33|a large, blue chair that is facing to the left|0|-9.6175537109375
34|a large, blue chair|0|-7.680606842041016
35|a|0|-8.502056121826172
36|a chair facing to the left|0|-9.34891128540039
37|a blue chair facing to the left|0|-6.100192070007324
38|a large blue chair, facing left|0|-8.566681861877441
39|a large, blue chair  facing to the left|0|-8.468351364135742
40|a large blue chair to the left|0|-9.675747871398926
41|a large, blue chair, facing left|0|-8.43382740020752
42|a large blue chair facing leftwards|0|-9.099964141845703
43|a blue chair|0|-9.439969062805176
0|a backwards-facing blue chair|1|-31.23480224609375
1|a blue chair facing backwards|1|-27.603147506713867
2|a large, blue chair facing the wall|1|-31.90456771850586
3|a blue chair, facing backwards|1|-31.93647003173828
4|a large blue chair facing to the left|1|-32.60667419433594
5|a large blue chair facing backward|1|-30.546266555786133
6|a large, blue chair facing the opposite direction of the other chairs|1|-34.826725006103516
7|a small grey chair facing forwards|1|-32.37117004394531
8|a large, blue chair facing to the right|1|-32.673946380615234
9|a large, blue chair facing|1|-32.4732666015625
10|a chair facing backwards|1|-29.013818740844727
11|a large, blue chair, facing backwards|1|-30.10811424255371
12|a large, blue fan|1|-31.113924026489258
13|a large blue chair, facing backwards|1|-31.964759826660156
14|a blue chair is facing backwards|1|-32.27912521362305
15|a backwards large blue chair|1|-32.44069290161133
16|a large, blue chair facing backward|1|-30.215452194213867
17|a large, blue chair facing downwards|1|-32.0513916015625
18|a large, blue chair facing to the left|1|-33.087242126464844
19|a large, blue fan facing backwards|1|-29.262086868286133
20|a small, grey fan facing forwards|1|-31.00348663330078
21|a large, blue chair facing backwards|1|-31.13656234741211
22|a small grey fan|1|-31.711511611938477
23|a large, blue chair is facing backwards|1|-30.51271629333496
24|a chair|1|-31.601409912109375
25|a backwards blue chair|1|-30.903793334960938
26|a fan facing backwards|1|-32.23704147338867
27|a large, blue chair facing the left|1|-32.48269271850586
28|a large,|1|-32.14067077636719
29|a  large, blue chair facing backwards|1|-32.29853439331055
30|a small, grey chair facing forwards|1|-30.055910110473633
31|a large, blue chair  facing backwards|1|-31.527070999145508
32|a large, blue chair facing the opposite direction of the others|1|-34.17784118652344
33|a large|1|-31.838228225708008
34|a large, blue chair |1|-30.273418426513672
35|a chair is facing backwards|1|-32.33757019042969
36|a large, blue chair facing forwards|1|-32.11326217651367
37|a|1|-30.510772705078125
38|a large, blue chair|1|-31.046855926513672
39|a large, blue chair with its back to the viewer|1|-33.92108917236328
40|a large, blue chair facing  backwards|1|-32.403602600097656
41|a large, blue chair facing upwards|1|-31.7545166015625
42|a large blue chair is facing backwards|1|-31.848745346069336
43|a large blue chair facing backwards|1|-26.343141555786133
44|a chair that is facing backwards|1|-31.767982482910156
45|a large, blue chair that is facing backwards|1|-31.063570022583008
0|a green chair to the left|2|-9.166275978088379
1|a green chair facing to the left|2|-9.676765441894531
2|a chair that is green and large and facing to the left|2|-12.173591613769531
3|a large, green chair|2|-1.639832854270935
4|a large green chair facing left|2|-6.2874627113342285
5|a large green chair facing the left|2|-8.104378700256348
6|a large blue chair facing to the left|2|-9.620826721191406
