|Sequence|Object|p_llm
0|a large  red sofa|0|-31.012325286865234
1|a large sofa facing right|0|-30.083141326904297
2|a large, red sofa facing to the right|0|-23.37543487548828
3|a large, red sofa is in the room|0|-31.085662841796875
4|a large, red sofa  facing to the right|0|-29.540607452392578
5|a large, red sofa, facing to the right|0|-29.843231201171875
6|a large, red couch|0|-31.557979583740234
7|a large, red sofa 1|0|-31.268449783325195
8|a big red sofa facing right|0|-31.129608154296875
9|a red facing-right sofa|0|-31.527423858642578
10|a large, red sofa that is facing to the right|0|-31.204971313476562
11|a large, red facing right sofa|0|-31.59638214111328
12|a large, red sofa is facing right|0|-31.99135398864746
13|a large sofa, red in color, facing to the right|0|-42.409915924072266
14|a  large, red sofa facing to the right|0|-32.401371002197266
15|a large, red sofa (1)|0|-31.207244873046875
16|a large red facing right sofa|0|-30.769113540649414
17|a large, red sofa faces right|0|-31.608802795410156
18|a large, red sofa  (1)|0|-30.819549560546875
19|a large,|0|-30.757568359375
20|"a large, red sofa"""|0|-30.80885887145996
21|a large, red sofa, facing right|0|-31.322566986083984
22|a red, large sofa facing to the right|0|-32.21419143676758
23|a large, red sofa in the room|0|-31.750015258789062
24|a large, red, facing-right sofa|0|-31.479108810424805
25|a large, red sofa  #1|0|-31.5079345703125
26|a red sofa|0|-25.386690139770508
27|a large, red sofa  |0|-30.85573387145996
28|a large red sofa|0|-24.351089477539062
29|a large|0|-30.922576904296875
30|a large, red sofa |0|-27.20729637145996
31|a large, red sofa facing right|0|-27.687280654907227
32|a large sofa|0|-30.798686981201172
33|a large, red sofa is facing to the right|0|-34.35751724243164
34|a large, red sofa to the right|0|-31.26776123046875
35|a|0|-28.8812255859375
36|a, red sofa|0|-31.333587646484375
37|a large, red sofa faces to the right|0|-30.906021118164062
38|a large sofa facing to the right|0|-31.62211036682129
39|a  red sofa|0|-31.05776023864746
40|a large, red sofa|0|-24.51198387145996
0|a small red couch|1|-32.192989349365234
1|a little red couch|1|-32.29851150512695
2|a small, red desk|1|-32.33097457885742
3|a small sofa|1|-32.747314453125
4|a small, red|1|-31.68313217163086
5|a Small red sofa facing to the right|1|-33.17910385131836
6|a |1|-32.19195556640625
7|a large, red sofa facing to the right|1|-31.54114532470703
8|a small, red sofa|1|-22.464384078979492
9|a small red sofa|1|-24.80915069580078
10|a  small, red sofa facing to the right|1|-31.21660614013672
11|a small red couch facing to the right|1|-32.382225036621094
12|a small, red |1|-32.99563217163086
13|a small sofa that is red in color|1|-34.08344268798828
14|a small, red, sofa|1|-31.56795310974121
15|a small, red desk facing to the right|1|-31.228893280029297
16|a small, blue sofa|1|-31.46018409729004
17|a  small, red sofa|1|-32.65813064575195
18|a small, red  sofa facing to the right|1|-32.19245910644531
19|a small sofa that is red and facing to the right|1|-33.28466796875
20|a small red couch facing right|1|-33.186527252197266
21|a small , red sofa facing to the right|1|-32.16314697265625
22|a Small, red sofa facing to the right|1|-32.9700813293457
23|a small  red sofa|1|-30.91615104675293
