|Sequence|Object|p_llm
0|a large, grey desk in the room|0|-31.32177734375
1|a large desk, grey in colour, facing forwards|0|-30.947303771972656
2|a large|0|-30.978424072265625
3|a large grey desk, facing forwards|0|-30.028165817260742
4|a large desk that is grey in color and facing forwards|0|-32.50716018676758
5|a large desk|0|-28.704788208007812
6|a large, grey desk face forwards|0|-31.49414825439453
7|a large, grey desk |0|-27.378211975097656
8|a grey large desk facing forwards|0|-30.244918823242188
9|a large, grey desk, facing forwards|0|-29.221967697143555
10|a large, grey desk is in the room|0|-31.631587982177734
11|a large desk that is grey and facing forwards|0|-32.19807052612305
12|a large, grey desk  facing forwards|0|-29.593286514282227
13|a large grey desk facing forwards |0|-31.968509674072266
14|a large grey desk facing forwards|0|-28.327882766723633
15|a desk|0|-27.41736602783203
16|a large, grey desk  |0|-30.870399475097656
17|a large, grey desk faces forwards|0|-31.2437686920166
18|a grey table|0|-31.25554084777832
19|a large grey desk faces forwards|0|-31.230989456176758
20|a large grey desk |0|-30.991458892822266
21|a large desk, grey, facing forwards|0|-31.587858200073242
22|a large desk facing forwards, grey in color|0|-32.413818359375
23|a grey, large, desk, facing forwards|0|-32.421058654785156
24|a large desk, grey in color, facing forwards|0|-30.717517852783203
25|a large grey desk  (1)|0|-31.799943923950195
26|a large, grey desk|0|-25.292274475097656
27|a large grey desk is facing forwards|0|-30.665935516357422
28|a grey, large desk facing forwards|0|-29.07990837097168
29|a large grey facing forwards desk|0|-31.015796661376953
30|a large desk that is grey in color and is facing forwards|0|-32.84142303466797
31|a large, grey, desk, facing forwards|0|-31.13707160949707
32|a large, grey desk facing forwards|0|-23.526851654052734
33|a large desk facing forwards|0|-29.924968719482422
34|a large gray desk facing forwards|0|-30.082990646362305
35|a large, grey desk  (1)|0|-31.358190536499023
36|a large desk, facing forwards, grey in color|0|-32.814117431640625
37|a grey, large desk|0|-31.09422492980957
38|a large grey desk|0|-30.343021392822266
39|a large, grey desk that is facing forwards|0|-31.66314125061035
40|a large desk, grey in color|0|-32.200679779052734
41|a|0|-29.01111602783203
42|a large grey desk in the room|0|-30.908321380615234
43|a large, grey desk is facing forwards|0|-30.48322296142578
44|a large grey desk facing forward|0|-31.94502067565918
45|a large grey desk  facing forwards|0|-30.28810691833496
0|a large|1|-32.57085418701172
1|a large desk|1|-30.08172607421875
2|a large desk with a blue top|1|-33.494415283203125
3|a blue desk that is facing forwards|1|-32.925045013427734
4|a blue table|1|-31.712846755981445
5|a blue desk facing forward|1|-32.47798156738281
6|a blue desk|1|-27.455902099609375
7|a large desk that is blue in colour|1|-33.462928771972656
8|a large,|1|-32.52546691894531
9|a large  blue desk|1|-32.626434326171875
10|a blue desk is facing forwards|1|-31.80802345275879
11|a blue desk  facing forwards|1|-32.554141998291016
12|a big blue desk facing forward|1|-33.33056640625
13|a large, blue fan facing forwards|1|-33.395835876464844
14|a large desk, blue in colour, facing forwards|1|-32.15037536621094
15|a blue desk facing forwards|1|-27.056108474731445
16|a large desk in the room|1|-31.61842155456543
17|a  blue  desk|1|-32.649200439453125
18|a blue desk |1|-30.213714599609375
19|a large desk that is blue in colour and facing forwards|1|-33.282127380371094
20|a large desk, blue in color|1|-33.27925491333008
21|a large, blue table|1|-33.38762283325195
22|a blue desk is in the room|1|-32.32857131958008
23|a large desk is blue|1|-32.24724197387695
24|a blue desk in a room|1|-32.885013580322266
25|a large, blue|1|-32.946044921875
26|a blue desk faces forwards|1|-32.8856315612793
27|a blue desk  |1|-33.338714599609375
28|a large desk facing forwards|1|-29.166282653808594
29|a small, green desk facing to the left|1|-33.18477249145508
30|a Blue desk|1|-32.58660125732422
31|"a blue desk"""|1|-32.643402099609375
32|a large desk that is blue|1|-32.81392288208008
33|a large desk, blue, facing forwards|1|-32.682376861572266
34|a large desk, blue in color, facing forwards|1|-31.922670364379883
35|a desk facing forwards|1|-32.764835357666016
36|a blue desk in the room|1|-31.753026962280273
37|a large desk with a blue surface|1|-32.0312614440918
38|a  large, blue desk facing forwards|1|-32.694313049316406
39|a large blue desk|1|-26.43706703186035
40|a large desk is blue and facing forwards|1|-32.67353439331055
41|a|1|-30.467803955078125
42|a large desk, blue|1|-33.00444030761719
43|a large desk with a blue color|1|-32.88518142700195
44|a large desk that is blue in color and facing forwards|1|-32.69308090209961
