,Unnamed: 0,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,0,"a red sofa, facing to the right",3.723627053783592e-14,topk,0.008958264891138502,"a small, red sofa  (2)",8.954289197837538e-05,topk,0.01717722395196366,"a small, blue sofa faces to the right",3.7075101961307066e-05,topk,0.01242361308100901,"a small, green desk",8.498509516177152e-05,topk,0.000984496772138793,a small red desk facing the right,8.708564421102221e-05,topk,0.013833627765845288,a small blue desk ,6.305367511102083e-15,topk,0.025546556486359777,"a small, green desk",0.005607673716474219,topk,0.024610892828564584
1,1,a red sofa facing the right,2.478230093177299e-13,topk,0.010215058219555003,"a small, red sofa (2)",4.1508013185809733e-05,topk,0.018383096115745224,"a small, blue  sofa",1.8612722879387674e-05,topk,0.021775256087017515,"a small, green couch",0.00010475939648874142,topk,0.02067545282249549,"a small, red desk",0.023671543795509693,topk,0.0251510652904073,"a small, blue desk (6)",2.8768476848940676e-15,topk,0.018499764022310922,"a small, green desk facing to the left",4.7055775588843355e-05,topk,0.004690052577311412
2,2,a large sofa facing right,2.0599948386320675e-13,topk,0.019008365756306524,"a small, red sofa ",0.0023973858861179712,topk,0.026316827314370204,a blue small sofa,2.7680346852574056e-05,topk,0.024261310468270826,"a small, green sofa facing the back",1.0970856069084398e-05,topk,0.016129118149094877,"a small, red desk  (5)",2.4070342730350483e-05,topk,0.016454481608758304,"a small, blue  desk facing to the right",4.7720853882135975e-15,topk,0.012772798341209252,"a small, green sofa facing backwards",3.796140445783357e-05,topk,0.00016010701368593253
3,3,"a large, red sofa facing to the right",1.2590275175335785e-11,topk,0.012312883059081431,"a small, red sofa;",3.640238187374462e-05,topk,0.026612578733139748,"a small, blue couch facing to the right",1.456711122907704e-05,topk,0.01180131226773531,"a small, green sofa ",4.7377174539926095e-05,topk,0.022157276144994235,"a small, red desk ",0.0016490694234241007,topk,0.02438483083974852,"a  small, blue desk facing to the right",6.8899667907767905e-15,topk,0.012762392090624576,"a small, green desk facing backwards in the room",0.00014425195043323632,topk,0.012125721886873123
4,4,"a large, red sofa is in the room",4.3271930640308136e-14,topk,0.013051234912291503,a small red sofa facing the right,0.00012044097300384405,topk,0.01581902800027187,"a small, blue sofa facing backwards",2.8509380102243877e-05,topk,0.002993035603213924,"a small, green sofa facing backwards",5.93557569888052e-05,topk,0.01569519795392799,"a large, red sofa facing to the right",1.813711644768034e-05,topk,0.00012164107802836666,"a small, blue desk that faces to the right",5.008414644112739e-15,topk,0.011671224516984147,a desk facing backwards,5.85445482941811e-05,topk,0.01908246687843674
5,5,"a large, red sofa  facing to the right",1.9967601788836236e-13,topk,0.01258788048493585,a small red sofa is facing to the right,3.9009981848048495e-05,topk,0.013890187384790573,"a small, blue sofa faced to the right",2.125631564329234e-05,topk,0.012433733398087279,"a small, green sofa with its back to us",6.643837456497871e-06,topk,0.014192697842536595,"a small, red desk face to the right",5.190707337661548e-05,topk,0.012029628619832837,"a small, blue desk facing to the left",3.147232930548152e-15,topk,0.004680839650360661,"a small, green desk face backwards",2.9645571015461716e-05,topk,0.015478398314452814
6,6,"a large, red sofa, facing to the right",2.4714610533754636e-13,topk,0.012755709061658523,"a small, red sofa facing backwards",2.9598765616073337e-05,topk,0.004272506588400144,"a small, blue sofa is in the room",1.733771825410377e-05,topk,0.01165621665211354,"a small, green sofa facing the opposite direction of the others",6.2920107873338355e-06,topk,0.0072304730748438606,"a small red desk, facing to the right",2.0442734215810188e-05,topk,0.01288227296252266,"a small, blue desk facing right",1.698527976190333e-14,topk,0.01547128392634552,"a small, green desk facing backwards,",0.00012222322304055735,topk,0.015092200895853626
7,7,a red sofa ,1.146078781370018e-13,topk,0.027367381586766076,"a small, red sofa  facing to the right",0.00027529698383076096,topk,0.012515306909421138,a small blue sofa facing the right,8.337714720950286e-05,topk,0.01368312643274914,a green facing-backwards sofa,1.4230662107442033e-05,topk,0.019345625904629862,a small red desk is facing to the right,2.813641236682675e-05,topk,0.011951423463823198,"a small, blue desk  facing to the right",1.3344422361849233e-13,topk,0.012699447216434094,"a small, green desk facing to the right",2.1511799593480526e-05,topk,0.0036261600630289764
8,8,"a large, red couch",8.955051757868357e-14,topk,0.02501648087365073,"a small, red sofa",0.03207666855634793,topk,0.028357992995169546,"a small, blue sofa",0.021265391161230746,topk,0.023399023659222733,"a small, green sofa faces backwards",2.6290923994635867e-05,topk,0.016172329090029695,"a small, red desk is in the room",2.598056666275295e-05,topk,0.013383181551216145,"a small, blue desk ",1.95339568653934e-13,topk,0.023688990887250776,"a small, green desk facing forwards",0.00024129657016156697,topk,0.004717605113922594
9,9,"a large, red sofa facing the right",1.1776442362561949e-14,topk,0.013563479059651225,"a small, red sofa facing the right",0.00026921585595468864,topk,0.013823627174196617,a small blue sofa facing to the right,0.00010161751396447441,topk,0.012617789684315848,a green desk facing backwards,0.00011035080163539696,topk,0.0009386987210985863,a small  red desk facing to the right,2.403955646597445e-05,topk,0.012863083832007335,"a small blue desk, facing to the right",7.441962522410515e-15,topk,0.013216309131867505,"a small, green desk facing backwards  (7)",2.9646079919783773e-05,topk,0.012409794580390994
