,Sequence,o1,o2,o3,o4,o5,o6,o7
0,"a small, red sofa facing to the left",0,0,0,0,0,0,0
1,a red sofa facing to the left,0,0,0,0,0,0,0
2,a small green fan,0,1,0,0,0,0,0
3,"a large, red thing facing backwards",0,0,0,1,0,0,1
4,"a large, red sofa  facing backwards",0,0,0,0,0,0,1
5,"a small, red fan",0,0,0,0,0,0,0
6,"a small, green sofa facing left",0,0,0,0,1,0,0
7,"a small, blue thing facing to the left",1,0,0,0,0,0,0
8,a blue thing,1,0,1,0,0,1,0
9,a small blue fan 1,1,0,0,0,0,0,0
10,"a large, red sofa facing backwards  (7)",0,0,0,0,0,0,1
11,"a small, blue fan",1,0,0,0,0,0,0
12,"a large fan, blue",0,0,1,0,0,0,0
13,"a small fan, blue in color, facing left",1,0,0,0,0,0,0
14,a red fan,0,0,0,1,0,0,0
15,"a large, blue fan to the left",0,0,1,0,0,0,0
16,a blue fan facing the left,1,0,1,0,0,0,0
17,"a small, blue thing",1,0,0,0,0,0,0
18,a small blue fan on the left,1,0,0,0,0,0,0
19,"a large, blue thing",0,0,1,0,0,1,0
20,"a large, green sofa",0,0,0,0,0,0,0
21,a thing facing to the left,1,1,1,0,1,1,0
22,"a small, green sofa ",0,0,0,0,1,0,0
23,"a large, red fan faces backwards",0,0,0,1,0,0,0
24,a large blue fan facing to the left,0,0,1,0,0,0,0
25,"a  small, green fan",0,1,0,0,0,0,0
26,"a large, blue fan facing to the left",0,0,1,0,0,0,0
27,a blue sofa facing to the left,0,0,0,0,0,1,0
28,"a large, red sofa facing backwards 7",0,0,0,0,0,0,1
29,a blue sofa,0,0,0,0,0,1,0
30,a large blue fan faces left,0,0,1,0,0,0,0
31,a large blue fan facing to the left ,0,0,1,0,0,0,0
32,a green sofa facing backwards,0,0,0,0,0,0,0
33,a fan,1,1,1,1,0,0,0
34,a large fan that is blue,0,0,1,0,0,0,0
35,a large red fan facing backwards,0,0,0,1,0,0,0
36,a green sofa ,0,0,0,0,1,0,0
37,"a large, red fan facing the opposite direction of the other fans",0,0,0,1,0,0,0
38,"a large, blue sofa  (6)",0,0,0,0,0,1,0
39,a large blue sofa,0,0,0,0,0,1,0
40,a red fan is backwards,0,0,0,1,0,0,0
41,"a small, green sofa is in the room",0,0,0,0,1,0,0
42,a blue fan is facing left,1,0,1,0,0,0,0
43,"a large, red sofa facing to the right",0,0,0,0,0,0,0
44,"a large, red sofa facing backwards",0,0,0,0,0,0,1
45,"a large, red fan facing to the left",0,0,0,0,0,0,0
46,"a large, red sofa, facing backwards",0,0,0,0,0,0,1
47,a small blue fan ,1,0,0,0,0,0,0
48,"a large blue sofa, facing to the left",0,0,0,0,0,1,0
49,a blue fan facing backwards,0,0,0,0,0,0,0
50,a small fan facing to the left,1,1,0,0,0,0,0
51,a large blue fan,0,0,1,0,0,0,0
52,a green fan is to the left,0,1,0,0,0,0,0
53,"a large, red fan facing backwards""",0,0,0,1,0,0,0
