,Sequence,o1,o2,o3,o4,o5,o6,o7
0,a small red sofa facing right,0,1,0,0,0,0,0
1,"a blue desk, facing to the right",0,0,0,0,0,1,0
2,"a small, green couch facing backwards",0,0,0,1,0,0,1
3,"a small, blue desk facing backwards",0,0,0,0,0,0,0
4,"a small, green sofa is facing backwards",0,0,0,1,0,0,0
5,a big red couch,1,0,0,0,0,0,0
6,a blue desk is facing to the right,0,0,0,0,0,1,0
7,a blue thing,0,0,1,0,0,1,0
8,"a small, red desk faces to the right",0,0,0,0,1,0,0
9,"a small, green sofa with its back facing forward",0,0,0,0,0,0,0
10,"a small, red sofa facing to the right",0,1,0,0,0,0,0
11,"a small, red desk""",0,0,0,0,1,0,0
12,a small blue desk faces to the right,0,0,0,0,0,1,0
13,"a small, blue thing",0,0,1,0,0,1,0
14,"a small, green sofa with its back facing us",0,0,0,1,0,0,0
15,"a small, red desk facing  to the right",0,0,0,0,1,0,0
16,"a small, blue sofa facing right",0,0,1,0,0,0,0
17,a blue desk facing to the right,0,0,0,0,0,1,0
18,"a large, blue thing",0,0,0,0,0,0,0
19,"a large, green sofa",0,0,0,0,0,0,0
20,"a small, green sofa ",0,0,0,1,0,0,0
21,a little green sofa,0,0,0,1,0,0,0
22,"a small, green sofa with its back to us",0,0,0,1,0,0,0
23,"a  small, green sofa facing backwards",0,0,0,1,0,0,0
24,"a blue, small desk facing to the right",0,0,0,0,0,1,0
25,"a small, blue sofa faced to the right",0,0,1,0,0,0,0
26,"a small, green desk faces backwards",0,0,0,0,0,0,1
27,"a small, green desk facing  backwards",0,0,0,0,0,0,1
28,"a small, green desk facing the opposite direction of the other desks and sofas",0,0,0,0,0,0,0
29,"a small, green desk facing backwards",0,0,0,0,0,0,1
30,a small blue sofa ,0,0,1,0,0,0,0
31,a blue sofa,0,0,1,0,0,0,0
32,"a small, red desk facing to the left",0,0,0,0,0,0,0
33,"a small, blue table facing to the right",0,0,0,0,0,1,0
34,a green sofa facing backwards,0,0,0,1,0,0,0
35,a large red sofa to the right,1,0,0,0,0,0,0
36,a backwards-facing green sofa,0,0,0,1,0,0,0
37,a small,0,0,0,0,0,0,0
38,"a small blue desk, facing to the right",0,0,0,0,0,1,0
39,a small sofa facing to the right,0,1,1,0,0,0,0
40,"a small, green desk face backwards",0,0,0,0,0,0,1
41,"a small, red sofa (2)",0,1,0,0,0,0,0
42,a large red sofa is facing to the right,1,0,0,0,0,0,0
43,a small desk facing backwards,0,0,0,0,0,0,1
44,"a small, green sofa faces backwards",0,0,0,1,0,0,0
45,"a  small, green desk facing backwards",0,0,0,0,0,0,1
