,Sequence,o1,o2,o3,o4,o5,o6,o7
0,"a large, red chair faces backwards",0,0,1,0,0,0,0
1,a large desk facing backwards,0,0,0,0,0,1,0
2,a large grey desk is facing forwards,0,0,0,0,1,0,0
3,a chair,1,1,1,1,0,0,0
4,"a grey, large chair, facing backwards",1,0,0,0,0,0,0
5,"a large, grey chair  ",1,1,0,0,0,0,0
6,"a  large, grey chair facing forwards",0,1,0,0,0,0,0
7,"a  large, grey desk facing forwards",0,0,0,0,1,0,0
8,a small grey facing backwards chair,0,0,0,1,0,0,0
9,"a large, red thing facing backwards",0,0,1,0,0,1,0
10,a large grey desk ,0,0,0,0,1,0,0
11,a small gray chair facing backward,0,0,0,1,0,0,0
12,a small grey desk facing backwards',0,0,0,0,0,0,1
13,"a large, grey desk faces forwards",0,0,0,0,1,0,0
14,"a large, red desk that is facing backwards",0,0,0,0,0,1,0
15,a desk facing forwards,0,0,0,0,1,0,0
16,"a large, red desk with its back facing you",0,0,0,0,0,1,0
17,a grey chair that is facing backwards,1,0,0,1,0,0,0
18,a small grey desk that is facing backwards,0,0,0,0,0,0,1
19,a large grey chair that is facing backwards,1,0,0,0,0,0,0
20,a grey chair facing backwards is in the room,1,0,0,1,0,0,0
21,a small grey desk facing backwards,0,0,0,0,0,0,1
22,a small chair,0,0,0,1,0,0,0
23,"a large, grey desk is facing forwards",0,0,0,0,1,0,0
24,"a  small, grey chair facing backwards",0,0,0,1,0,0,0
25,a large grey chair facing forward,0,1,0,0,0,0,0
26,a large grey chair facing backwards,1,0,0,0,0,0,0
27,a small chair facing backwards,0,0,0,1,0,0,0
28,"a red desk, facing backwards",0,0,0,0,0,1,0
29,a large chair facing forward,0,1,0,0,0,0,0
30,"a large, grey chair is facing forwards",0,1,0,0,0,0,0
31,a grey chair is facing backwards,1,0,0,1,0,0,0
32,"a grey, large chair facing backwards",1,0,0,0,0,0,0
33,"a large, red chair is facing backwards",0,0,1,0,0,0,0
34,"a large, red chair  facing backwards",0,0,1,0,0,0,0
35,"a large, grey desk  (5)",0,0,0,0,1,0,0
36,"a large, red desk face",0,0,0,0,0,1,0
37,a grey chair ,1,1,0,1,0,0,0
38,"a large, red chair in the room",0,0,1,0,0,0,0
39,a large chair,1,1,1,0,0,0,0
40,"a large, red desk (6)",0,0,0,0,0,1,0
41,"a large, grey chair that is facing forwards",0,1,0,0,0,0,0
42,a small,0,0,0,0,0,0,0
43,a small grey desk facing forwards,0,0,0,0,0,0,0
44,a small grey desk face backwards,0,0,0,0,0,0,1
45,a small grey desk,0,0,0,0,0,0,1
46,"a large, red desk with its back facing the viewer",0,0,0,0,0,1,0
47,a grey thing,1,1,0,1,1,0,1
48,"a large, grey thing",1,1,0,0,1,0,0
49,"a large, red desk facing forwards",0,0,0,0,0,0,0
50,a grey chair facing forward,0,1,0,0,0,0,0
51,a small desk facing backwards,0,0,0,0,0,0,1
52,"a small, grey chair",0,0,0,1,0,0,0
53,"a small, grey chair face",0,0,0,1,0,0,0
54,"a large, grey desk  ",0,0,0,0,1,0,0
55,a large red chair is facing backwards,0,0,1,0,0,0,0
56,"a large, grey chair faces forwards",0,1,0,0,0,0,0
57,"a large, red desk, facing backwards",0,0,0,0,0,1,0
58,"a small, gray desk facing backwards",0,0,0,0,0,0,1
59,"a grey chair, facing backwards, large",1,0,0,0,0,0,0
60,a red desk facing backwards,0,0,0,0,0,1,0
61,"a large, grey desk face forwards",0,0,0,0,1,0,0
62,a thing facing forwards,0,1,0,0,1,0,0
63,"a grey chair facing backwards, large in size",1,0,0,0,0,0,0
64,"a grey, large desk facing forwards",0,0,0,0,1,0,0
65,"a small grey desk facing backwards""",0,0,0,0,0,0,1
66,"a small, grey thing",0,0,0,1,0,0,1
67,a grey chair,1,1,0,1,0,0,0
68,a large red chair facing backwards,0,0,1,0,0,0,0
69,a grey chair facing forwards ,0,1,0,0,0,0,0
70,a backwards-facing grey chair,1,0,0,1,0,0,0
71,"a small, grey chair""",0,0,0,1,0,0,0
72,"a large, red desk  facing backwards",0,0,0,0,0,1,0
73,"a small, red desk",0,0,0,0,0,0,0
74,"a large, red chair facing",0,0,1,0,0,0,0
75,a grey desk facing forwards,0,0,0,0,1,0,0
76,a red thing facing forwards,0,0,0,0,0,0,0
77,"a large, red chair""",0,0,1,0,0,0,0
78,a large grey desk facing forward,0,0,0,0,1,0,0
79,a large grey chair  facing forwards,0,1,0,0,0,0,0
80,a backwards-facing red desk,0,0,0,0,0,1,0
81,"a small, grey chair  (4)",0,0,0,1,0,0,0
82,"a small, grey chair that is facing backwards",0,0,0,1,0,0,0
83,"a large, red desk is facing backwards",0,0,0,0,0,1,0
84,"a small, red desk facing backwards",0,0,0,0,0,0,0
85,"a small, grey chair facing backward",0,0,0,1,0,0,0
86,a small gray desk facing backwards,0,0,0,0,0,0,1
87,a grey thing facing backwards,1,0,0,1,0,0,1
88,a large red desk facing backward,0,0,0,0,0,1,0
89,"a small, grey, backwards-facing desk",0,0,0,0,0,0,1
90,a small gray chair facing backwards,0,0,0,1,0,0,0
91,a small desk,0,0,0,0,0,0,1
92,"a large, red desk",0,0,0,0,0,1,0
93,"a large, grey chair  facing forwards",0,1,0,0,0,0,0
94,a backwards grey chair,1,0,0,1,0,0,0
95,a small grey chair facing backwards,0,0,0,1,0,0,0
96,"a large, grey chair that faces forwards",0,1,0,0,0,0,0
97,a large grey chair facing backward,1,0,0,0,0,0,0
98,a chair facing forwards,0,1,0,0,0,0,0
99,"a small, red thing facing backwards",0,0,0,0,0,0,0
100,a grey desk facing backwards,0,0,0,0,0,0,1
101,a grey chair facing backwards,1,0,0,1,0,0,0
102,"a large,",0,0,0,0,0,0,0
103,a large gray chair facing forward,0,1,0,0,0,0,0
104,"a large, grey chair facing backward",1,0,0,0,0,0,0
105,"a large, grey thing facing forwards",0,1,0,0,1,0,0
106,a large chair facing backwards,1,0,1,0,0,0,0
107,a large thing facing forwards,0,1,0,0,1,0,0
108,"a large, grey chair facing backwards",1,0,0,0,0,0,0
109,"a large, grey desk facing backwards",0,0,0,0,0,0,0
110,"a large, red chair that is facing backwards",0,0,1,0,0,0,0
111,a big grey chair facing away,1,0,0,0,0,0,0
112,a red thing,0,0,1,0,0,1,0
113,"a large, grey desk",0,0,0,0,1,0,0
114,"a small, grey chair  ",0,0,0,1,0,0,0
115,"a small, grey chair ",0,0,0,1,0,0,0
116,a grey thing facing forwards,0,1,0,0,1,0,0
117,"a small, red thing",0,0,0,0,0,0,0
118,a red desk facing forwards,0,0,0,0,0,0,0
119,"a large grey chair, facing backwards",1,0,0,0,0,0,0
120,"a large, grey desk that is facing forwards",0,0,0,0,1,0,0
121,"a small, grey chair facing backwards",0,0,0,1,0,0,0
122,"a large, grey chair facing forward",0,1,0,0,0,0,0
123,"a grey, small chair facing backwards",0,0,0,1,0,0,0
124,"a large, red desk facing backwards",0,0,0,0,0,1,0
125,"a large, red desk facing the opposite direction of the other objects",0,0,0,0,0,1,0
126,"a red, large chair facing backwards",0,0,1,0,0,0,0
127,a large grey desk facing forwards,0,0,0,0,1,0,0
128,a thing,1,1,1,1,1,1,1
129,"a large, grey chair is facing backwards",1,0,0,0,0,0,0
130,a large chair that is red in color and facing backwards,0,0,1,0,0,0,0
131,a forward-facing grey chair,0,1,0,0,0,0,0
132,a large grey chair is facing forwards,0,1,0,0,0,0,0
133,a large grey facing backwards chair,1,0,0,0,0,0,0
134,"a small, grey chair faces backwards",0,0,0,1,0,0,0
135,a large desk facing forwards,0,0,0,0,1,0,0
136,"a large, red desk faced backwards",0,0,0,0,0,1,0
137,"a large, red desk ",0,0,0,0,0,1,0
138,a large grey chair backwards,1,0,0,0,0,0,0
139,"a large, red chair facing the opposite direction of the other chairs",0,0,1,0,0,0,0
140,a small grey desk  facing backwards,0,0,0,0,0,0,1
141,a small thing facing backwards,0,0,0,1,0,0,1
142,a desk facing backwards,0,0,0,0,0,1,1
143,a small grey desk facing backwards 7,0,0,0,0,0,0,1
144,a large grey chair facing forwards,0,1,0,0,0,0,0
145,a small grey desk facing backwards ,0,0,0,0,0,0,1
146,"a large, red desk facing away",0,0,0,0,0,1,0
147,"a large, red table facing backwards",0,0,0,0,0,1,0
148,"a large, grey desk facing forward",0,0,0,0,1,0,0
149,"a large, red thing facing forwards",0,0,0,0,0,0,0
150,"a large, red chair faced backwards",0,0,1,0,0,0,0
151,"a small, red chair",0,0,0,0,0,0,0
152,"a small, grey thing facing backwards",0,0,0,1,0,0,1
153,"a  large, red chair facing backwards",0,0,1,0,0,0,0
154,a small grey table,0,0,0,0,0,0,1
155,a large,0,0,0,0,0,0,0
156,"a large, grey desk ",0,0,0,0,1,0,0
157,"a grey desk, facing forwards",0,0,0,0,1,0,0
158,a large desk,0,0,0,0,1,1,0
159,a small grey desk ,0,0,0,0,0,0,1
160,"a large, grey chair ",1,1,0,0,0,0,0
161,a small grey chair,0,0,0,1,0,0,0
162,a grey desk facing forward,0,0,0,0,1,0,0
163,a small thing,0,0,0,1,0,0,1
164,"a large, red desk faces backwards",0,0,0,0,0,1,0
165,a small grey desk facing backwards is in the room,0,0,0,0,0,0,1
166,a ,0,0,0,0,0,0,0
167,"a grey chair, facing backwards",1,0,0,1,0,0,0
168,"a large, red chair facing ",0,0,1,0,0,0,0
169,"a large, grey desk  |   facing forwards",0,0,0,0,1,0,0
170,a desk,0,0,0,0,1,1,1
171,a red chair facing backwards,0,0,1,0,0,0,0
172,"a large, grey chair that is facing backwards",1,0,0,0,0,0,0
173,"a small, grey table facing backwards",0,0,0,0,0,0,1
174,"a large, red chair  ",0,0,1,0,0,0,0
175,a large grey chair ,1,1,0,0,0,0,0
176,a thing facing backwards,1,0,1,1,0,1,1
177,a large grey chair that is facing forwards,0,1,0,0,0,0,0
178,"a large, grey chair facing forwards",0,1,0,0,0,0,0
179,"a small, grey chair facing forwards",0,0,0,0,0,0,0
180,"a large, red desk  (6)",0,0,0,0,0,1,0
181,a small grey table facing backwards,0,0,0,0,0,0,1
182,a large chair facing forwards,0,1,0,0,0,0,0
183,a small red chair,0,0,0,0,0,0,0
184,a large grey chair facing the front,0,1,0,0,0,0,0
185,"a large, red chair, facing backwards",0,0,1,0,0,0,0
186,"a small, grey, backwards-facing chair",0,0,0,1,0,0,0
187,"a large, red desk facing",0,0,0,0,0,1,0
188,a red desk ,0,0,0,0,0,1,0
189,"a large, grey desk, facing forwards",0,0,0,0,1,0,0
190,"a small, grey chair is facing backwards",0,0,0,1,0,0,0
191,"a large, red desk""",0,0,0,0,0,1,0
192,"a chair, grey, large, facing backwards",1,0,0,0,0,0,0
193,a red desk facing backward,0,0,0,0,0,1,0
194,a large thing facing backwards,1,0,1,0,0,1,0
195,a large grey chair,1,1,0,0,0,0,0
196,"a small, grey desk facing backwards",0,0,0,0,0,0,1
197,a grey chair facing backwards ,1,0,0,1,0,0,0
198,"a large, red chair ",0,0,1,0,0,0,0
199,"a small, grey chair  facing backwards",0,0,0,1,0,0,0
200,"a large grey desk, facing forwards",0,0,0,0,1,0,0
201,"a large, grey desk faced forwards",0,0,0,0,1,0,0
202,a small grey desk facing backwards in a room,0,0,0,0,0,0,1
203,"a large, grey thing facing backwards",1,0,0,0,0,0,0
204,"a small, grey chair, facing backwards",0,0,0,1,0,0,0
205,"a large, red chair (3)",0,0,1,0,0,0,0
206,a red desk,0,0,0,0,0,1,0
207,"a large, grey desk facing forwards",0,0,0,0,1,0,0
208,"a large, grey desk 5",0,0,0,0,1,0,0
209,a red table,0,0,0,0,0,1,0
210,"a large, red chair facing forwards",0,0,0,0,0,0,0
211,"a small, grey table",0,0,0,0,0,0,1
212,a small grey desk facing backwards in the room,0,0,0,0,0,0,1
213,a small grey desk is facing backwards,0,0,0,0,0,0,1
214,"a grey, small desk facing backwards",0,0,0,0,0,0,1
215,a red chair,0,0,1,0,0,0,0
216,"a small, red chair facing backwards",0,0,0,0,0,0,0
217,a grey desk facing forwards ,0,0,0,0,1,0,0
218,a grey chair facing backwards in the room,1,0,0,1,0,0,0
219,a red thing facing backwards,0,0,1,0,0,1,0
220,"a large, red desk facing backward",0,0,0,0,0,1,0
221,"a  small, grey desk facing backwards",0,0,0,0,0,0,1
222,"a small,",0,0,0,0,0,0,0
223,a large grey desk  facing forwards,0,0,0,0,1,0,0
224,"a large, grey, backwards chair",1,0,0,0,0,0,0
225,"a large, grey chair, facing forwards",0,1,0,0,0,0,0
226,"a large, grey desk  facing forwards",0,0,0,0,1,0,0
227,"a large, red chair facing backward",0,0,1,0,0,0,0
228,"a small, grey chair faced backwards",0,0,0,1,0,0,0
229,"a large grey chair, facing forwards",0,1,0,0,0,0,0
230,"a large, red chair facing backwards",0,0,1,0,0,0,0
231,a large grey chair is facing backwards,1,0,0,0,0,0,0
232,"a large, red chair  (3)",0,0,1,0,0,0,0
233,a red chair facing forwards,0,0,0,0,0,0,0
234,"a small, grey desk",0,0,0,0,0,0,1
235,"a large red chair, facing backwards",0,0,1,0,0,0,0
236,"a large, grey chair",1,1,0,0,0,0,0
237,a chair facing backwards,1,0,1,1,0,0,0
238,a large gray chair facing backwards,1,0,0,0,0,0,0
239,"a large, red desk  ",0,0,0,0,0,1,0
240,"a grey chair facing backwards, large",1,0,0,0,0,0,0
241,"a large desk, facing forwards",0,0,0,0,1,0,0
242,"a small grey desk, facing backwards",0,0,0,0,0,0,1
243,"a large, grey chair, facing backwards",1,0,0,0,0,0,0
244,"a large, grey chair facing",1,1,0,0,0,0,0
245,"a large, red chair-facing backwards",0,0,1,0,0,0,0
246,a large grey desk,0,0,0,0,1,0,0
247,"a large, grey, backwards-facing chair",1,0,0,0,0,0,0
248,"a small, grey chair facing",0,0,0,1,0,0,0
249,"a large, red thing",0,0,1,0,0,1,0
250,"a large, red chair",0,0,1,0,0,0,0
251,a,0,0,0,0,0,0,0
252,a grey desk,0,0,0,0,1,0,1
253,a large thing,1,1,1,0,1,1,0
254,a grey chair facing forwards,0,1,0,0,0,0,0
255,"a  large, red desk facing backwards",0,0,0,0,0,1,0
