,Sequence,o1,o2,o3,o4,o5,o6,o7
0,"a large fan, facing forwards",0,0,0,0,1,0,0
1,a blue fan faces forwards,0,0,0,0,1,0,0
2,"a  large, grey desk facing forwards",1,0,0,0,0,0,0
3,a small green fan,0,0,0,0,0,0,1
4,a red desk facing to the left,0,0,0,0,0,0,0
5,"a large, red thing facing backwards",0,0,1,0,0,1,0
6,"a small, red fan",0,0,0,0,0,0,0
7,"a small, blue thing facing to the left",0,0,0,0,0,0,0
8,"a small, green desk that faces to the left",0,0,0,1,0,0,0
9,"a large, blue desk-facing forwards",0,1,0,0,0,0,0
10,a blue thing,0,1,0,0,1,0,0
11,"a large, red desk that is facing backwards",0,0,1,0,0,0,0
12,a desk facing forwards,1,1,0,0,0,0,0
13,a large red desk facing backwards,0,0,1,0,0,0,0
14,"a small, blue fan",0,0,0,0,0,0,0
15,a red fan,0,0,0,0,0,1,0
16,"a small, green desk facing left",0,0,0,1,0,0,0
17,"a small, blue thing",0,0,0,0,0,0,0
18,a blue desk is facing forwards,0,1,0,0,0,0,0
19,"a large, blue thing",0,1,0,0,1,0,0
20,"a large, red fan facing forwards",0,0,0,0,0,0,0
21,"a large, blue desk facing backwards",0,0,0,0,0,0,0
22,"a large, red fan faces backwards",0,0,0,0,0,1,0
23,a large desk that is blue in color and facing forwards,0,1,0,0,0,0,0
24,"a large, blue desk is in the room",0,1,0,0,0,0,0
25,a large red desk,0,0,1,0,0,0,0
26,"a small, green desk to the left",0,0,0,1,0,0,0
27,"a grey, large desk",1,0,0,0,0,0,0
28,a large blue fan facing forwards,0,0,0,0,1,0,0
29,"a small, red desk facing to the left",0,0,0,0,0,0,0
30,a green desk facing to the left,0,0,0,1,0,0,0
31,a fan,0,0,0,0,1,1,1
32,a grey large desk facing forwards,1,0,0,0,0,0,0
33,a grey thing,1,0,0,0,0,0,0
34,"a large, grey thing",1,0,0,0,0,0,0
35,"a large, red desk facing forwards",0,0,0,0,0,0,0
36,a small green desk,0,0,0,1,0,0,0
37,"a small, blue desk",0,0,0,0,0,0,0
38,"a large, red desk facing backwards'",0,0,1,0,0,0,0
39,"a blue, large fan facing forwards",0,0,0,0,1,0,0
40,"a green, small desk facing to the left",0,0,0,1,0,0,0
41,a large blue desk facing forwards,0,1,0,0,0,0,0
42,a large blue fan ,0,0,0,0,1,0,0
43,"a small, grey thing",0,0,0,0,0,0,0
44,"a small, green fan facing to the left is in the room",0,0,0,0,0,0,1
45,"a small, green desk faced to the left",0,0,0,1,0,0,0
46,a grey desk  ,1,0,0,0,0,0,0
47,a  red  desk,0,0,1,0,0,0,0
48,"a large, red fan facing to the left",0,0,0,0,0,0,0
49,a grey fan facing backwards,0,0,0,0,0,0,0
50,"a large, red fan ",0,0,0,0,0,1,0
51,a grey fan,0,0,0,0,0,0,0
52,a blue fan facing backwards,0,0,0,0,0,0,0
53,a small fan facing to the left,0,0,0,0,0,0,1
54,a large blue fan,0,0,0,0,1,0,0
55,a blue fan in the room,0,0,0,0,1,0,0
56,"a small, green desk faces left",0,0,0,1,0,0,0
57,"a large, red desk is facing backwards",0,0,1,0,0,0,0
58,a grey thing facing backwards,0,0,0,0,0,0,0
59,a small desk,0,0,0,1,0,0,0
60,a small desk facing to the left,0,0,0,1,0,0,0
61,"a large, red desk",0,0,1,0,0,0,0
62,"a large, blue desk  #2",0,1,0,0,0,0,0
63,"a small, green fan facing to the left  ",0,0,0,0,0,0,1
64,a grey desk facing forwards in a room,1,0,0,0,0,0,0
65,"a large, red desk turning away",0,0,1,0,0,0,0
66,a green fan,0,0,0,0,0,0,1
67,a grey desk facing backwards,0,0,0,0,0,0,0
68,"a small, green desk  ",0,0,0,1,0,0,0
69,a large blue fan is facing forwards,0,0,0,0,1,0,0
70,"a large desk, blue in colour, facing forwards",0,1,0,0,0,0,0
71,"a large fan, blue in color, facing forwards",0,0,0,0,1,0,0
72,"a large, red fan (6)",0,0,0,0,0,1,0
73,"a large, blue desk",0,1,0,0,0,0,0
74,a large blue fan  facing forwards,0,0,0,0,1,0,0
75,a large  red fan,0,0,0,0,0,1,0
76,a red thing,0,0,1,0,0,1,0
77,"a large, red desk with its back facing us",0,0,1,0,0,0,0
78,"a large, red fan facing to the right",0,0,0,0,0,0,0
79,"a large, red fan  facing backwards",0,0,0,0,0,1,0
80,a grey thing facing forwards,1,0,0,0,0,0,0
81,"a large, green desk facing forwards",0,0,0,0,0,0,0
82,"a large blue fan, facing forwards",0,0,0,0,1,0,0
83,a  large grey desk,1,0,0,0,0,0,0
84,"a grey desk facing forwards, large",1,0,0,0,0,0,0
85,"a large, blue desk face forwards",0,1,0,0,0,0,0
86,a green fan facing left,0,0,0,0,0,0,1
87,"a large, red desk facing backwards is in the room",0,0,1,0,0,0,0
88,a large red fan,0,0,0,0,0,1,0
89,"a large desk facing forwards, colored blue",0,0,0,0,0,0,0
90,"a large, red desk facing the opposite direction of the others",0,0,1,0,0,0,0
91,"a large, red fan facing to the back",0,0,0,0,0,1,0
92,a green thing facing to the left,0,0,0,1,0,0,1
93,"a small, green fan facing to the left;",0,0,0,0,0,0,1
94,"a large, green fan facing backwards",0,0,0,0,0,0,0
95,a desk facing backwards,0,0,1,0,0,0,0
96,a grey desk facing forwards is in the room,1,0,0,0,0,0,0
97,"a large, blue desk facing forwards",0,1,0,0,0,0,0
98,a grey desk ,1,0,0,0,0,0,0
99,"a small, green desk (4)",0,0,0,1,0,0,0
100,"a large, red fan facing backward",0,0,0,0,0,1,0
101,"a small, green desk faces to the left",0,0,0,1,0,0,0
102,"a large, red desk facing away",0,0,1,0,0,0,0
103,"a large, blue desk ",0,1,0,0,0,0,0
104,"a small, blue desk facing to the left",0,0,0,0,0,0,0
105,a grey desk facing forwards in the room,1,0,0,0,0,0,0
106,"a large, blue thing facing backwards",0,0,0,0,0,0,0
107,"a small, green desk is in the room",0,0,0,1,0,0,0
108,a blue fan facing to the left,0,0,0,0,0,0,0
109,"a large, green thing",0,0,0,0,0,0,0
110,"a large, blue desk  facing forwards",0,1,0,0,0,0,0
111,a large desk,1,1,1,0,0,0,0
112,"a large, red desk facing backwards  (3)",0,0,1,0,0,0,0
113,"a large, green fan facing forwards",0,0,0,0,0,0,0
114,a small thing,0,0,0,1,0,0,1
115,"a large, grey, desk facing forwards",1,0,0,0,0,0,0
116,"a large, red desk faces backwards",0,0,1,0,0,0,0
117,a large blue desk,0,1,0,0,0,0,0
118,"a small, green fan on the left side of the room",0,0,0,0,0,0,1
119,"a green, small fan facing to the left",0,0,0,0,0,0,1
120,"a large, grey fan facing forwards",0,0,0,0,0,0,0
121,"a large desk, blue in color, facing forwards",0,1,0,0,0,0,0
122,a desk,1,1,1,1,0,0,0
123,"a large, red fan faced backwards",0,0,0,0,0,1,0
124,a thing facing backwards,0,0,1,0,0,1,0
125,a large blue desk ,0,1,0,0,0,0,0
126,"a blue desk, facing forwards",0,1,0,0,0,0,0
127,"a small, grey desk facing to the left",0,0,0,0,0,0,0
128,a small fan facing left,0,0,0,0,0,0,1
129,a grey desk in a room,1,0,0,0,0,0,0
130,"a large, blue fan facing forwards",0,0,0,0,1,0,0
131,"a small, green fan",0,0,0,0,0,0,1
132,"a green, small desk",0,0,0,1,0,0,0
