,Sequence,o1,o2,o3,o4,o5,o6,o7
0,"a small, red sofa facing to the left",0,0,0,0,0,0,0
1,a red sofa facing to the left,0,0,0,0,0,0,0
2,a small green fan,0,1,0,0,0,0,0
3,"a large, red thing facing backwards",0,0,0,1,0,0,1
4,"a large, red sofa  facing backwards",0,0,0,0,0,0,1
5,"a small, green fan facing left",0,1,0,0,0,0,0
6,"a small, red fan",0,0,0,0,0,0,0
7,"a small, blue thing facing to the left",1,0,0,0,0,0,0
8,"a large, blue sofa face to the left",0,0,0,0,0,1,0
9,"a small, green sofa facing to the left ",0,0,0,0,1,0,0
10,a blue thing,1,0,1,0,0,1,0
11,"a small, blue fan",1,0,0,0,0,0,0
12,"a small fan, blue in color, facing left",1,0,0,0,0,0,0
13,a red fan,0,0,0,1,0,0,0
14,a blue fan facing the left,1,0,1,0,0,0,0
15,"a small, blue thing",1,0,0,0,0,0,0
16,"a large, blue thing",0,0,1,0,0,1,0
17,"a large, green sofa",0,0,0,0,0,0,0
18,"a small, green sofa ",0,0,0,0,1,0,0
19,"a large fan, facing backwards",0,0,0,1,0,0,0
20,"a large, blue fan facing to the left",0,0,1,0,0,0,0
21,"a small, green fan, facing left",0,1,0,0,0,0,0
22,a blue sofa facing to the left,0,0,0,0,0,1,0
23,a blue sofa,0,0,0,0,0,1,0
24,a small green fan to the left,0,1,0,0,0,0,0
25,a green sofa facing backwards,0,0,0,0,0,0,0
26,"a large, blue sofa faced to the left",0,0,0,0,0,1,0
27,a fan,1,1,1,1,0,0,0
28,"a small, blue fan in the room",1,0,0,0,0,0,0
29,"a large, blue fan face to the left",0,0,1,0,0,0,0
30,a green sofa ,0,0,0,0,1,0,0
31,"a  large, blue fan facing to the left",0,0,1,0,0,0,0
32,a large blue sofa,0,0,0,0,0,1,0
33,"a large, blue sofa  (6)",0,0,0,0,0,1,0
34,a red fan is backwards,0,0,0,1,0,0,0
35,"a large, red sofa facing to the right",0,0,0,0,0,0,0
36,"a large, red sofa facing backwards",0,0,0,0,0,0,1
37,"a large, red fan facing to the left",0,0,0,0,0,0,0
38,"a large, red sofa, facing backwards",0,0,0,0,0,0,1
39,"a small, green sofa facing to the left,",0,0,0,0,1,0,0
40,a blue fan facing backwards,0,0,0,0,0,0,0
41,"a large, red sofa  ",0,0,0,0,0,0,1
42,a small fan facing to the left,1,1,0,0,0,0,0
43,"a small, blue fan, facing to the left, in the room",1,0,0,0,0,0,0
44,a large blue fan,0,0,1,0,0,0,0
45,"a large, blue fan  facing to the left",0,0,1,0,0,0,0
46,a small fan that is blue in color and is facing to the left,1,0,0,0,0,0,0
47,a large thing facing to the left,0,0,1,0,0,1,0
48,a green sofa facing the left,0,0,0,0,1,0,0
49,"a green sofa, facing left",0,0,0,0,1,0,0
50,a green fan,0,1,0,0,0,0,0
51,"a large, blue sofa facing to the  left",0,0,0,0,0,1,0
52,"a large, blue fan""",0,0,1,0,0,0,0
