,Sequence,o1,o2,o3,o4,o5,o6,o7
0,"a small, green couch facing backwards",0,0,0,1,0,0,1
1,"a small, blue desk facing backwards",0,0,0,0,0,0,0
2,"a small, green sofa is facing backwards",0,0,0,1,0,0,0
3,"a  small, green sofa",0,0,0,1,0,0,0
4,"a small, blue sofa, ",0,0,1,0,0,0,0
5,"a small, blue desk that is facing to the right",0,0,0,0,0,1,0
6,a blue thing,0,0,1,0,0,1,0
7,a small sofa that is red in color,0,1,0,0,0,0,0
8,"a small, red desk faces to the right",0,0,0,0,1,0,0
9,"a small, green desk facing backwards """,0,0,0,0,0,0,1
10,"a small, blue desk facing to the",0,0,0,0,0,1,0
11,"a small, red sofa facing to the right",0,1,0,0,0,0,0
12,"a small, red desk""",0,0,0,0,1,0,0
13,"a small, blue thing",0,0,1,0,0,1,0
14,"a large, blue thing",0,0,0,0,0,0,0
15,"a small, red desk facing  to the right",0,0,0,0,1,0,0
16,"a small, blue sofa facing right",0,0,1,0,0,0,0
17,a blue desk facing to the right,0,0,0,0,0,1,0
18,"a large, green sofa",0,0,0,0,0,0,0
19,"a small, green sofa ",0,0,0,1,0,0,0
20,"a small, green desk facing backwards'",0,0,0,0,0,0,1
21,a green sofa facing backward,0,0,0,1,0,0,0
22,"a small, blue sofa faced to the right",0,0,1,0,0,0,0
23,"a small, green desk faces backwards",0,0,0,0,0,0,1
24,"a small, green desk facing the opposite direction of the other desks and sofas",0,0,0,0,0,0,0
25,"a small, green desk facing backwards",0,0,0,0,0,0,1
26,a blue sofa,0,0,1,0,0,0,0
27,"a small, red desk facing to the left",0,0,0,0,0,0,0
28,"a small, blue desk facing right",0,0,0,0,0,1,0
29,a green sofa facing backwards,0,0,0,1,0,0,0
30,a backwards-facing green sofa,0,0,0,1,0,0,0
31,a small,0,0,0,0,0,0,0
32,"a small, red  sofa",0,1,0,0,0,0,0
33,"a small blue desk, facing to the right",0,0,0,0,0,1,0
34,a small sofa facing to the right,0,1,1,0,0,0,0
35,"a small, green table facing backwards",0,0,0,0,0,0,1
36,a small  red sofa,0,1,0,0,0,0,0
37,a small sofa in the room,0,1,1,1,0,0,0
38,"a small, green sofa faces backwards",0,0,0,1,0,0,0
39,"a  small, green desk facing backwards",0,0,0,0,0,0,1
40,a small desk facing backwards,0,0,0,0,0,0,1
41,a large sofa facing to the right,1,0,0,0,0,0,0
42,"a small, blue sofa  facing to the right",0,0,1,0,0,0,0
43,"a large, red couch",1,0,0,0,0,0,0
44,"a small, blue desk",0,0,0,0,0,1,0
45,"a small, green desk facing to the right",0,0,0,0,0,0,0
46,"a small, green desk facing backwards ",0,0,0,0,0,0,1
47,"a large, blue thing facing to the right",0,0,0,0,0,0,0
48,"a small, green desk facing backwards is object 7",0,0,0,0,0,0,1
49,"a small, blue desk  facing to the right",0,0,0,0,0,1,0
50,"a small, blue desk facing to the  right",0,0,0,0,0,1,0
51,"a large, red sofa, facing right",1,0,0,0,0,0,0
52,"a small, green sofa  ",0,0,0,1,0,0,0
53,a small green couch facing backwards,0,0,0,1,0,0,1
54,"a large, red sofa facing to the right",1,0,0,0,0,0,0
55,a small Red sofa facing to the right,0,1,1,0,0,0,0
56,a sofa facing to the right,1,1,1,0,0,0,0
57,"a small, blue desk facing the right",0,0,0,0,0,1,0
58,"a large, red sofa  ",1,0,0,0,0,0,0
59,"a large, red sofa  #1",1,0,0,0,0,0,0
60,"a small, red",0,1,0,0,1,0,0
61,"a small, blue sofa""",0,0,1,0,0,0,0
62,"a small, blue",0,0,1,0,0,1,0
63,"a small, red desk facing backwards",0,0,0,0,0,0,0
64,"a small, blue sofa, facing to the right",0,0,1,0,0,0,0
65,"a small,  red sofa",0,1,0,0,0,0,0
66,a small desk,0,0,0,0,1,1,1
67,a small thing facing to the right,0,1,1,0,1,1,0
68,"a small, blue desk (6) facing to the right",0,0,0,0,0,1,0
69,a desk facing to the right,0,0,0,0,1,1,0
70,"a small, green desk  ",0,0,0,0,0,0,1
71,"a large, red sofa (1)",1,0,0,0,0,0,0
72,"a small, green thing facing backwards",0,0,0,1,0,0,1
73,"a  small, red sofa",0,1,0,0,0,0,0
74,a sofa,1,1,1,1,0,0,0
75,a blue small sofa,0,0,1,0,0,0,0
76,"a large, red sofa faces to the right",1,0,0,0,0,0,0
77,"a small, blue sofa faces right",0,0,1,0,0,0,0
78,a red thing,1,1,0,0,1,0,0
79,"a small, red desk  facing to the right",0,0,0,0,1,0,0
80,"a small, blue sofa (3)",0,0,1,0,0,0,0
81,"a small, green sofa-facing backwards",0,0,0,1,0,0,0
82,"a small, blue sofa face to the right",0,0,1,0,0,0,0
83,"a small, green sofa facing backward",0,0,0,1,0,0,0
84,"a small, blue sofa facing to the left",0,0,0,0,0,0,0
85,a desk facing backwards,0,0,0,0,0,0,1
86,"a small, red desk face",0,0,0,0,1,0,0
87,"a small, green desk facing backwards""",0,0,0,0,0,0,1
88,"a large, red sofa 1",1,0,0,0,0,0,0
89,"a small, blue desk facing to the left",0,0,0,0,0,0,0
90,"a small, red desk facing to the right",0,0,0,0,1,0,0
91,"a small, blue sofa is facing to the right",0,0,1,0,0,0,0
92,"a large, red sofa, facing to the right",1,0,0,0,0,0,0
