,Sequence,o1,o2,o3,o4,o5,o6,o7
0,a huge blue chair facing left,1,0,0,0,0,0,0
1,"a small, grey chair facing forwards in a room with 7 objects",0,0,0,1,0,0,0
2,"a small, blue thing facing forwards",0,0,0,0,0,0,0
3,"a chair, blue, large, facing left",1,0,0,0,0,0,0
4,a blue thing,1,1,0,0,1,0,0
5,"a large, green chair facing backwards",0,0,0,0,0,0,0
6,a large chair that is green in color and facing to the left,0,0,1,0,0,0,0
7,a small gray fan facing forwards,0,0,0,0,0,0,1
8,"a small, blue fan",0,0,0,0,0,0,0
9,"a large, blue, facing-left chair",1,0,0,0,0,0,0
10,"a grey, small chair facing forwards",0,0,0,1,0,0,0
11,"a large blue chair, facing backwards",0,1,0,0,0,0,0
12,"a small, blue thing",0,0,0,0,0,0,0
13,"a large, blue thing",1,1,0,0,1,0,0
14,"a small, blue fan facing forwards",0,0,0,0,0,0,0
15,a blue chair facing backwards in the room,0,1,0,0,0,0,0
16,"a large chair, blue, facing left",1,0,0,0,0,0,0
17,a chair that is green and facing left,0,0,1,0,0,0,0
18,"a large, blue fan facing to the left",0,0,0,0,0,0,0
19,"a large, green chair  (3)",0,0,1,0,0,0,0
20,"a large, blue chair that is facing to the left",1,0,0,0,0,0,0
21,a fan,0,0,0,0,1,1,1
22,a grey thing,0,0,0,1,0,0,1
23,"a large, grey thing",0,0,0,0,0,0,0
24,a large chair facing left,1,0,1,0,0,0,0
25,a large blue fan ,0,0,0,0,1,0,0
26,"a small, grey thing",0,0,0,1,0,0,1
27,a large chair that is green and facing to the left,0,0,1,0,0,0,0
28,a grey fan facing backwards,0,0,0,0,0,0,0
29,"a small, grey chair""",0,0,0,1,0,0,0
30,"a large, blue chair facing upwards",0,0,0,0,0,0,0
31,a grey fan,0,0,0,0,0,0,1
32,a blue fan facing backwards,0,0,0,0,1,0,0
33,"a small, grey chair facing forwards in a room",0,0,0,1,0,0,0
34,a small grey fan ,0,0,0,0,0,0,1
35,"a large, blue chair facing the opposite direction of the others",0,1,0,0,0,0,0
36,"a large chair, green in color, facing left",0,0,1,0,0,0,0
37,a small grey facing forwards chair,0,0,0,1,0,0,0
38,a large blue fan facing backwards in the room,0,0,0,0,1,0,0
39,a large blue fan,0,0,0,0,1,0,0
40,a fan facing left,0,0,0,0,0,1,0
41,a grey thing facing backwards,0,0,0,0,0,0,0
42,"a large, blue chair facing to the left",1,0,0,0,0,0,0
43,a large thing facing to the left,1,0,1,0,0,1,0
44,a green fan,0,0,0,0,0,1,0
45,"a chair that is large, green, and facing to the left",0,0,1,0,0,0,0
46,"a large, blue fan""",0,0,0,0,1,0,0
47,a small grey fan facing forward,0,0,0,0,0,0,1
48,"a small, grey fan ",0,0,0,0,0,0,1
49,"a large, blue chair  (1)",1,1,0,0,0,0,0
50,"a small, grey chair facing forwards in the room",0,0,0,1,0,0,0
51,"a large, green fan to the left",0,0,0,0,0,1,0
52,a large green fan facing the left,0,0,0,0,0,1,0
53,"a small, grey chair facing forwards  ",0,0,0,1,0,0,0
54,a green fan that is facing to the left,0,0,0,0,0,1,0
55,"a large chair, blue in color, facing to the left",1,0,0,0,0,0,0
56,"a small, grey chair, facing forwards",0,0,0,1,0,0,0
57,a small grey fan facing forwards ,0,0,0,0,0,0,1
58,"a chair, green, large, facing left",0,0,1,0,0,0,0
59,"a green fan, facing to the left",0,0,0,0,0,1,0
60,a large chair facing to the left,1,0,1,0,0,0,0
61,a large blue chair facing left,1,0,0,0,0,0,0
62,"a large, blue chair 1",1,1,0,0,0,0,0
63,"a small, grey chair ",0,0,0,1,0,0,0
64,a small grey fan  facing forwards,0,0,0,0,0,0,1
65,a grey thing facing forwards,0,0,0,1,0,0,1
66,"a large, green fan faces to the left",0,0,0,0,0,1,0
67,a green fan facing left,0,0,0,0,0,1,0
68,"a small, grey chair  facing forwards",0,0,0,1,0,0,0
69,"a large green fan, facing to the left",0,0,0,0,0,1,0
70,"a small grey fan facing forwards""",0,0,0,0,0,0,1
71,a small gray chair facing forwards,0,0,0,1,0,0,0
72,a blue chair,1,1,0,0,0,0,0
73,a small grey fan facing forwards,0,0,0,0,0,0,1
74,a green thing facing to the left,0,0,1,0,0,1,0
75,"a small, grey fan  facing forwards",0,0,0,0,0,0,1
76,"a large chair, green in color, facing to the left",0,0,1,0,0,0,0
77,"a large, green fan facing backwards",0,0,0,0,0,0,0
78,"a small, grey thing facing forwards",0,0,0,1,0,0,1
79,"a large, blue fan, facing backwards",0,0,0,0,1,0,0
80,"a large, blue fan faces backwards",0,0,0,0,1,0,0
81,"a small, grey fan facing forward",0,0,0,0,0,0,1
82,a large green fan to the left,0,0,0,0,0,1,0
83,a blue chair facing backwards ,0,1,0,0,0,0,0
84,"a large, blue thing facing backwards",0,1,0,0,1,0,0
85,a blue fan facing to the left,0,0,0,0,0,0,0
86,a large blue fan is facing backwards,0,0,0,0,1,0,0
87,"a small, grey chair facing forwards'",0,0,0,1,0,0,0
88,"a large, green thing",0,0,1,0,0,1,0
89,a small grey fan facing to the front,0,0,0,0,0,0,1
90,"a small grey fan, facing forwards",0,0,0,0,0,0,1
91,a small grey chair,0,0,0,1,0,0,0
92,a small thing,0,0,0,1,0,0,1
93,a large blue chair is facing backwards,0,1,0,0,0,0,0
94,"a  large, green chair facing to the left",0,0,1,0,0,0,0
95,"a small, gray fan facing forwards",0,0,0,0,0,0,1
96,"a large, grey thing facing to the left",0,0,0,0,0,0,0
97,a blue chair is facing backwards,0,1,0,0,0,0,0
98,"a large, green chair is facing to the left",0,0,1,0,0,0,0
99,"a large, green thing facing to the left",0,0,1,0,0,1,0
100,a big blue chair facing left,1,0,0,0,0,0,0
101,a backwards-facing blue chair,0,1,0,0,0,0,0
102,"a large, green chair",0,0,1,0,0,0,0
103,a thing facing backwards,0,1,0,0,1,0,0
104,"a chair, green, large, facing, left",0,0,1,0,0,0,0
105,a green chair,0,0,1,0,0,0,0
106,a large blue chair facing the left,1,0,0,0,0,0,0
