,Sequence,o1,o2,o3,o4,o5,o6,o7
0,"a small, blue sofa facing backwards ",0,0,0,0,0,1,0
1,"a small, red chair  facing to the left",0,1,0,0,0,0,0
2,"a small, red sofa facing to the left",0,0,0,0,1,0,0
3,"a small, blue sofa with its back to us",0,0,0,0,0,1,0
4,"a small, red chair to the left",0,1,0,0,0,0,0
5,a grey sofa,0,0,0,0,0,0,1
6,"a large, grey sofa  facing forwards",0,0,0,0,0,0,1
7,a small  red sofa facing to the left,0,0,0,0,1,0,0
8,a red sofa facing to the left,0,0,0,0,1,0,0
9,"a small, blue couch facing backwards",0,0,1,0,0,1,0
10,a large grey facing forwards,0,0,0,1,0,0,1
11,"a small, blue thing facing to the left",0,0,0,0,0,0,0
12,"a small, blue chair facing downwards",0,0,1,0,0,0,0
13,a blue thing,0,0,1,0,0,1,0
14,"a small, red chair facing to the left;",0,1,0,0,0,0,0
15,a large grey chair facing forwards ,0,0,0,1,0,0,0
16,"a large, gray chair facing forwards",0,0,0,1,0,0,0
17,a blue chair facing to the right,0,0,0,0,0,0,0
18,"a small, blue thing",0,0,1,0,0,1,0
19,"a small, blue chair, facing backwards",0,0,1,0,0,0,0
20,"a large, blue thing",0,0,0,0,0,0,0
21,"a small, red chair facing to the left """,0,1,0,0,0,0,0
22,a small red chair facing left,0,1,0,0,0,0,0
23,a large grey sofa,0,0,0,0,0,0,1
24,"a small, red chair facing to the left ",0,1,0,0,0,0,0
25,a blue sofa facing to the left,0,0,0,0,0,0,0
26,a small red chair  facing to the right,1,0,0,0,0,0,0
27,a blue facing backwards,0,0,1,0,0,1,0
28,a blue sofa,0,0,0,0,0,1,0
29,a small blue chair facing to the right,0,0,0,0,0,0,0
30,"a large, grey facing forwards sofa",0,0,0,0,0,0,1
31,a blue sofa facing forwards,0,0,0,0,0,0,0
32,a small,0,0,0,0,0,0,0
33,"a small, blue sofa facing the wall",0,0,0,0,0,1,0
34,"a small, red chair facing to the left",0,1,0,0,0,0,0
35,a grey thing,0,0,0,1,0,0,1
36,"a small, red chair, facing left",0,1,0,0,0,0,0
37,a large grey sofa facing forwards,0,0,0,0,0,0,1
38,"a large, grey thing",0,0,0,1,0,0,1
39,a large chair that is grey and facing forwards,0,0,0,1,0,0,0
40,"a small, red chair, facing right",1,0,0,0,0,0,0
41,"a small, red chair that is facing to the left",0,1,0,0,0,0,0
42,"a small, red chair facing to the left, a small, red chair facing to the right",0,0,0,0,0,0,0
43,"a small, blue chair that's facing backwards",0,0,1,0,0,0,0
44,"a large, grey sofa",0,0,0,0,0,0,1
