|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a grey thing facing forwards|-44.50722122192383|-20.10242462158203|-21.8170108795166|-39.49396896362305|-43.31623458862305|-22.12432861328125|-17.116060256958008
1|a grey thing facing to the left|-47.12309265136719|-23.506444931030273|-24.886837005615234|-46.674095153808594|-48.203617095947266|-24.63052749633789|-24.592674255371094
2|a grey thing|-42.08917236328125|-18.147483825683594|-19.312969207763672|-37.27631759643555|-41.53715896606445|-20.15641212463379|-15.907934188842773
3|a grey thing facing backwards|-46.43070983886719|-21.137393951416016|-24.80245018005371|-46.067501068115234|-47.189239501953125|-24.375450134277344|-24.101749420166016
4|a grey chair facing forwards|-33.71013641357422|-10.373220443725586|-11.833420753479004|-26.46245574951172|-35.098297119140625|-13.730441093444824|-8.987289428710938
5|a grey chair facing to the left|-36.32584762573242|-13.261117935180664|-15.045318603515625|-32.17424774169922|-38.188331604003906|-15.93332576751709|-13.363073348999023
6|a grey chair|-32.81173324584961|-9.740854263305664|-10.443243980407715|-25.77403450012207|-33.865264892578125|-12.335180282592773|-8.074462890625
7|a grey chair facing backwards|-36.42599868774414|-11.837596893310547|-15.78071403503418|-33.86061477661133|-37.73726272583008|-16.27392578125|-14.131013870239258
8|a grey fan facing forwards|-35.46559524536133|-11.430103302001953|-12.518797874450684|-30.478580474853516|-31.715036392211914|-11.506952285766602|-5.150326728820801
9|a grey fan facing to the left|-38.47164535522461|-14.87214469909668|-16.143415451049805|-34.649417877197266|-36.11430358886719|-14.798661231994629|-11.097713470458984
10|a grey fan|-34.71812057495117|-10.90174674987793|-11.692876815795898|-29.28507423400879|-31.20565414428711|-11.076423645019531|-4.733978271484375
11|a grey fan facing backwards|-38.652687072753906|-14.936887741088867|-16.950210571289062|-36.46404266357422|-36.17938995361328|-15.169342041015625|-12.686503410339355
12|a green thing facing forwards|-49.43928146362305|-24.44571304321289|-24.131750106811523|-46.90094757080078|-48.605995178222656|-25.039203643798828|-25.23114013671875
13|a green thing facing to the left|-43.535987854003906|-19.971939086914062|-17.115060806274414|-41.53044509887695|-42.22978973388672|-17.11469268798828|-19.272123336791992
14|a green thing|-40.449066162109375|-17.38953399658203|-13.051769256591797|-38.124080657958984|-38.95975875854492|-14.028533935546875|-16.2294864654541
15|a green thing facing backwards|-48.239288330078125|-22.935914993286133|-24.485698699951172|-45.70192337036133|-46.66670608520508|-24.512252807617188|-23.542522430419922
16|a green chair facing forwards|-38.26106262207031|-14.940730094909668|-12.980499267578125|-38.04450225830078|-38.616851806640625|-15.293323516845703|-16.115833282470703
17|a green chair facing to the left|-31.915447235107422|-9.923351287841797|-4.258095741271973|-32.13863754272461|-32.9078483581543|-6.960014343261719|-10.192097663879395
18|a green chair|-31.210643768310547|-9.385727882385254|-2.7181520462036133|-30.73557472229004|-31.24345588684082|-6.023190975189209|-8.605315208435059
19|a green chair facing backwards|-37.262168884277344|-13.383788108825684|-13.669919967651367|-37.13819122314453|-36.682350158691406|-14.264944076538086|-14.431000709533691
20|a green fan facing forwards|-41.62667465209961|-18.282373428344727|-20.82765769958496|-40.75154495239258|-38.00200653076172|-13.756453514099121|-16.186872482299805
21|a green fan facing to the left|-35.48630142211914|-12.832639694213867|-12.204501152038574|-35.03277587890625|-30.930553436279297|-4.23314905166626|-9.597844123840332
22|a green fan|-34.8394660949707|-12.21333122253418|-10.554083824157715|-33.892242431640625|-29.787752151489258|-3.3334898948669434|-8.780653953552246
23|a green fan facing backwards|-39.99384307861328|-16.632587432861328|-20.252038955688477|-39.18418884277344|-36.108585357666016|-13.145474433898926|-14.322135925292969
24|a thing facing forwards|-51.99553680419922|-24.831127166748047|-29.034812927246094|-43.7625617980957|-49.4684944152832|-27.234018325805664|-20.809829711914062
25|a thing facing to the left|-45.13704299926758|-24.209320068359375|-22.207656860351562|-51.17977523803711|-48.686580657958984|-20.510665893554688|-27.745162963867188
26|a thing|-37.29286193847656|-14.691226959228516|-15.578712463378906|-37.7913818359375|-36.47295379638672|-15.310569763183594|-15.56164836883545
27|a thing facing backwards|-49.76412582397461|-18.599523544311523|-29.154441833496094|-50.2358512878418|-43.57320022583008|-26.364511489868164|-27.447364807128906
28|a chair facing forwards|-37.77855682373047|-11.457259178161621|-15.445560455322266|-29.699615478515625|-34.82415008544922|-14.483987808227539|-9.2337064743042
29|a chair facing to the left|-29.402828216552734|-10.317890167236328|-7.306396961212158|-35.54426574707031|-34.78626251220703|-9.478105545043945|-11.984959602355957
30|a chair|-27.194488525390625|-4.7987165451049805|-5.67564058303833|-28.10675048828125|-30.81282615661621|-7.987782955169678|-7.7609477043151855
31|a chair facing backwards|-36.17947006225586|-5.309151649475098|-15.731483459472656|-36.95436477661133|-32.83981704711914|-12.462629318237305|-12.147195816040039
32|a fan facing forwards|-38.6704216003418|-13.886053085327148|-20.760751724243164|-35.89368438720703|-34.05047607421875|-15.331523895263672|-7.473099708557129
33|a fan facing to the left|-38.716285705566406|-12.84581184387207|-14.948274612426758|-39.91472625732422|-33.23648452758789|-7.08945369720459|-13.147928237915039
34|a fan|-35.64601135253906|-8.192154884338379|-13.568826675415039|-34.561988830566406|-26.65805435180664|-6.4280009269714355|-6.571082592010498
35|a fan facing backwards|-37.941619873046875|-9.210491180419922|-19.530324935913086|-40.57717514038086|-28.350791931152344|-14.48811149597168|-14.453690528869629
36|a blue thing facing forwards|-48.86895751953125|-23.552776336669922|-26.107221603393555|-42.208580017089844|-45.40376281738281|-22.182727813720703|-21.05182456970215
37|a blue thing facing to the left|-42.29336929321289|-22.629383087158203|-20.239988327026367|-39.66255187988281|-43.96831130981445|-19.910537719726562|-19.05642318725586
38|a blue thing|-37.154483795166016|-14.372406005859375|-15.696443557739258|-36.15449523925781|-36.14299392700195|-15.948612213134766|-14.723880767822266
39|a blue thing facing backwards|-47.31300735473633|-16.712326049804688|-24.468334197998047|-41.25821304321289|-39.01286697387695|-19.00151824951172|-17.992258071899414
40|a blue chair facing forwards|-35.066646575927734|-11.024101257324219|-16.035179138183594|-34.20546340942383|-36.153316497802734|-15.791952133178711|-13.824440002441406
41|a blue chair facing to the left|-26.288450241088867|-9.051017761230469|-9.846643447875977|-29.95382308959961|-31.111980438232422|-10.214167594909668|-8.728137969970703
42|a blue chair|-24.554296493530273|-4.417930603027344|-8.342642784118652|-28.989770889282227|-29.77707290649414|-9.246617317199707|-7.575505256652832
43|a blue chair facing backwards|-34.13982391357422|-4.626590728759766|-14.152823448181152|-32.42845916748047|-32.47236251831055|-13.013339042663574|-11.492903709411621
44|a blue fan facing forwards|-39.22506332397461|-13.31085205078125|-16.211132049560547|-33.9569091796875|-31.973581314086914|-12.665313720703125|-11.932168960571289
45|a blue fan facing to the left|-38.012046813964844|-12.186166763305664|-14.488319396972656|-32.977169036865234|-30.548826217651367|-11.14840030670166|-10.630661010742188
46|a blue fan|-35.50035858154297|-8.156360626220703|-11.895296096801758|-30.295082092285156|-25.01260757446289|-8.375716209411621|-7.283684730529785
47|a blue fan facing backwards|-36.763362884521484|-8.849784851074219|-13.368800163269043|-31.716995239257812|-26.050874710083008|-9.214963912963867|-8.208263397216797
48|a large, grey thing facing to the left|-48.613216400146484|-27.26527214050293|-24.50303840637207|-47.70235824584961|-48.668277740478516|-25.10808753967285|-25.93619728088379
49|a large, grey thing|-46.27431106567383|-22.971906661987305|-22.722753524780273|-43.52518081665039|-44.39373016357422|-23.492206573486328|-21.724018096923828
50|a large, grey thing facing backwards|-49.45673751831055|-24.386581420898438|-27.389053344726562|-47.515811920166016|-46.20418167114258|-27.535903930664062|-25.560813903808594
51|a large, grey chair facing to the left|-37.440643310546875|-17.745031356811523|-14.015321731567383|-37.76298141479492|-39.386566162109375|-16.793134689331055|-15.740439414978027
52|a large, grey chair|-36.64759826660156|-14.852434158325195|-13.530070304870605|-34.613101959228516|-37.20871353149414|-15.604052543640137|-13.331245422363281
53|a large, grey chair facing backwards|-39.006919860839844|-15.21458625793457|-17.203157424926758|-38.23422622680664|-38.88421630859375|-17.935588836669922|-15.833023071289062
54|a large, grey fan facing to the left|-41.180240631103516|-18.01871681213379|-15.820473670959473|-38.17342758178711|-37.28750228881836|-13.515129089355469|-14.512051582336426
55|a large, grey fan|-38.874141693115234|-15.520296096801758|-14.551936149597168|-34.97115707397461|-34.256797790527344|-12.879424095153809|-11.175479888916016
56|a large, grey fan facing backwards|-41.197410583496094|-17.259593963623047|-17.201107025146484|-38.28538513183594|-35.96729278564453|-16.150285720825195|-14.667407035827637
57|a large, green thing facing to the left|-47.84423065185547|-24.91060447692871|-16.11751937866211|-42.27683639526367|-45.0351676940918|-17.34754753112793|-19.015642166137695
58|a large, green thing|-46.57850646972656|-23.89659881591797|-15.072766304016113|-40.48992156982422|-43.70899963378906|-16.353330612182617|-17.825515747070312
59|a large, green thing facing backwards|-54.27272415161133|-28.801862716674805|-25.61472511291504|-47.91032791137695|-50.00645446777344|-26.21540069580078|-24.73430061340332
60|a large, green chair facing to the left|-34.081687927246094|-12.282035827636719|-0.7783682346343994|-29.1531982421875|-33.918182373046875|-6.376564979553223|-6.6751203536987305
61|a large, green chair|-33.95903778076172|-12.144760131835938|-0.6250277757644653|-28.938888549804688|-33.52457046508789|-6.198771953582764|-6.4413042068481445
62|a large, green chair facing backwards|-40.33256530761719|-16.45501708984375|-11.873884201049805|-36.064178466796875|-38.474369049072266|-12.440862655639648|-12.496227264404297
63|a large, green fan facing to the left|-39.35856628417969|-15.477631568908691|-8.699731826782227|-33.65749740600586|-31.982505798339844|-0.7847907543182373|-4.971541404724121
64|a large, green fan|-39.125343322753906|-15.281003952026367|-8.318230628967285|-33.30821990966797|-31.703392028808594|-0.6477810740470886|-4.82997989654541
65|a large, green fan facing backwards|-43.81322479248047|-19.123188018798828|-16.340600967407227|-39.008338928222656|-37.442962646484375|-9.839232444763184|-11.724504470825195
66|a large thing facing to the left|-43.674373626708984|-24.799955368041992|-21.755870819091797|-44.34374237060547|-48.36806106567383|-20.71038055419922|-24.26517105102539
67|a large thing|-37.34360122680664|-15.466645240783691|-16.622922897338867|-39.58863830566406|-36.73588562011719|-16.491558074951172|-17.853618621826172
68|a large thing facing backwards|-47.73734664916992|-19.49387550354004|-29.337249755859375|-45.91399383544922|-43.34449005126953|-27.27887725830078|-23.472593307495117
69|a large chair facing to the left|-28.72451400756836|-11.092867851257324|-7.230427265167236|-32.58121871948242|-34.999656677246094|-11.471793174743652|-12.143980026245117
70|a large chair|-27.187875747680664|-6.649819850921631|-5.991003036499023|-30.886268615722656|-32.102073669433594|-10.579315185546875|-10.28272533416748
71|a large chair facing backwards|-34.415611267089844|-7.169390678405762|-14.593769073486328|-34.034786224365234|-33.09760665893555|-14.336554527282715|-12.638163566589355
72|a large fan facing to the left|-38.796653747558594|-13.228754997253418|-14.402270317077637|-34.61106491088867|-31.922107696533203|-6.480662822723389|-10.028900146484375
73|a large fan|-36.797664642333984|-9.781126022338867|-13.74947452545166|-32.8330192565918|-26.60028839111328|-6.087129592895508|-8.16818904876709
74|a large fan facing backwards|-37.990482330322266|-10.30722713470459|-18.551307678222656|-34.896507263183594|-27.336824417114258|-13.527000427246094|-9.870549201965332
75|a large, blue thing facing to the left|-40.15154266357422|-20.179351806640625|-20.641698837280273|-41.367252349853516|-43.493656158447266|-23.93480110168457|-20.32512664794922
76|a large, blue thing|-38.0806884765625|-14.656188011169434|-18.579833984375|-39.23655319213867|-37.091861724853516|-20.957691192626953|-16.698726654052734
77|a large, blue thing facing backwards|-46.95713806152344|-15.470587730407715|-23.739036560058594|-44.02207946777344|-38.57581329345703|-22.931198120117188|-18.717906951904297
78|a large, blue chair facing to the left|-22.70916175842285|-7.481366157531738|-7.889966011047363|-27.657987594604492|-29.581954956054688|-10.977092742919922|-5.738343715667725
79|a large, blue chair|-22.527379989624023|-0.06252319365739822|-7.677433967590332|-27.463247299194336|-28.86501693725586|-10.758136749267578|-5.547640800476074
80|a large, blue chair facing backwards|-31.060564041137695|-0.08790034800767899|-11.382022857666016|-30.973360061645508|-30.02753257751465|-13.642611503601074|-9.07058334350586
81|a large, blue fan facing to the left|-34.09326171875|-10.198734283447266|-13.110310554504395|-34.00958251953125|-29.164859771728516|-11.943801879882812|-10.10144329071045
82|a large, blue fan|-32.16657257080078|-5.9748005867004395|-11.349995613098145|-30.6212158203125|-21.87940216064453|-9.149564743041992|-5.05660343170166
83|a large, blue fan facing backwards|-32.86516571044922|-6.28535795211792|-12.005576133728027|-31.144447326660156|-22.2951717376709|-9.526995658874512|-5.249113082885742
84|a small, grey thing facing forwards|-44.62181854248047|-19.735002517700195|-20.923494338989258|-38.42765426635742|-40.61714553833008|-21.077138900756836|-16.39650535583496
85|a small, grey thing|-43.10857009887695|-18.593536376953125|-19.419864654541016|-37.457664489746094|-39.53602600097656|-19.809541702270508|-15.729557037353516
86|a small, grey chair facing forwards|-31.96268653869629|-7.148067474365234|-8.761438369750977|-22.462602615356445|-30.21593475341797|-9.85949993133545|-6.109696388244629
87|a small, grey chair|-31.725053787231445|-6.954168796539307|-8.45879077911377|-22.208932876586914|-29.93708610534668|-9.546086311340332|-5.831059455871582
88|a small, grey fan facing forwards|-31.944711685180664|-8.085341453552246|-9.456900596618652|-26.61017608642578|-27.15205955505371|-8.352102279663086|-0.521525502204895
89|a small, grey fan|-31.6937198638916|-7.9204182624816895|-9.175665855407715|-26.153297424316406|-27.02393913269043|-8.206402778625488|-0.43305855989456177
90|a small, green thing facing forwards|-49.694034576416016|-24.87906265258789|-27.17835807800293|-48.156898498535156|-46.7545280456543|-28.532302856445312|-26.14352798461914
91|a small, green thing|-44.827476501464844|-20.532506942749023|-21.346092224121094|-44.574974060058594|-42.05254364013672|-22.3255672454834|-22.140697479248047
92|a small, green chair facing forwards|-39.188087463378906|-14.57561206817627|-14.869220733642578|-36.76124572753906|-35.74356460571289|-16.929460525512695|-15.491497993469238
93|a small, green chair|-35.28679656982422|-11.305927276611328|-11.182031631469727|-34.55600357055664|-32.94999694824219|-12.925819396972656|-13.059270858764648
94|a small, green fan facing forwards|-38.43267059326172|-15.272397994995117|-16.614723205566406|-39.0489387512207|-34.38200759887695|-16.442121505737305|-13.715449333190918
95|a small, green fan|-35.97540283203125|-12.320884704589844|-14.644598960876465|-37.932857513427734|-31.6735897064209|-11.261560440063477|-12.468948364257812
96|a small thing facing forwards|-46.03144073486328|-22.48165512084961|-24.24657440185547|-41.71346664428711|-44.81791687011719|-23.940860748291016|-19.78044319152832
97|a small thing|-42.04270553588867|-17.86441421508789|-19.104520797729492|-37.098487854003906|-39.13829803466797|-19.05132293701172|-15.552074432373047
98|a small chair facing forwards|-34.40956115722656|-11.067222595214844|-12.017597198486328|-28.415109634399414|-33.58362579345703|-13.22823715209961|-9.05789566040039
99|a small chair|-33.314697265625|-10.067194938659668|-10.561822891235352|-26.93479347229004|-32.31157684326172|-11.824735641479492|-8.382065773010254
100|a small fan facing forwards|-37.44438552856445|-13.24637508392334|-15.269538879394531|-35.96029281616211|-31.264873504638672|-11.819217681884766|-6.8490471839904785
101|a small fan|-36.79518127441406|-12.627942085266113|-14.374828338623047|-35.16089630126953|-30.532894134521484|-11.208534240722656|-6.289734840393066
102|a small, blue thing facing forwards|-48.80453872680664|-24.4738712310791|-25.214719772338867|-45.45215606689453|-44.11769485473633|-24.69480323791504|-24.184432983398438
103|a small, blue thing|-44.53825759887695|-19.977493286132812|-20.856346130371094|-43.763885498046875|-41.0478515625|-20.991458892822266|-22.474384307861328
104|a small, blue chair facing forwards|-36.86781311035156|-14.16797161102295|-15.62168025970459|-35.153053283691406|-33.84323501586914|-15.482887268066406|-14.676237106323242
105|a small, blue chair|-34.04488754272461|-10.561440467834473|-12.961371421813965|-34.58172607421875|-32.47697448730469|-12.8114652633667|-13.70797061920166
106|a small, blue fan facing forwards|-37.949462890625|-13.361223220825195|-15.73528003692627|-36.84321975708008|-32.01410675048828|-14.407024383544922|-13.192270278930664
107|a small, blue fan|-37.16703796386719|-12.060973167419434|-14.277061462402344|-36.20376205444336|-30.996368408203125|-12.87363338470459|-12.849883079528809
