|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a red thing|-16.31764793395996|-36.72550582885742|-41.25654220581055|-40.125030517578125|-17.543973922729492|-19.858062744140625|-20.215389251708984
1|a red thing facing to the right|-20.221256256103516|-39.80741500854492|-44.121337890625|-42.79216384887695|-20.24666976928711|-22.365142822265625|-23.186159133911133
2|a red thing facing backwards|-26.37010955810547|-45.50886535644531|-48.72535705566406|-45.40876388549805|-27.183534622192383|-26.525691986083984|-25.53290557861328
3|a red sofa|-3.4083826541900635|-27.299222946166992|-32.71396255493164|-31.483936309814453|-9.857009887695312|-12.042595863342285|-11.375849723815918
4|a red sofa facing to the right|-4.422820568084717|-28.196895599365234|-33.906375885009766|-32.410667419433594|-11.262487411499023|-13.153404235839844|-12.855864524841309
5|a red sofa facing backwards|-13.073675155639648|-34.26631164550781|-38.75108337402344|-36.628936767578125|-16.53207015991211|-17.660717010498047|-16.637285232543945
6|a red desk|-14.224864959716797|-32.59553909301758|-35.92428970336914|-34.011966705322266|-5.868995189666748|-11.650235176086426|-12.729161262512207
7|a red desk facing to the right|-15.155353546142578|-33.82345962524414|-37.03848648071289|-34.795440673828125|-6.715356826782227|-12.137785911560059|-13.509750366210938
8|a red desk facing backwards|-18.351627349853516|-37.08770751953125|-40.1728630065918|-37.52622985839844|-15.562253952026367|-17.397441864013672|-17.19561004638672
9|a green thing|-20.3636531829834|-41.39971923828125|-39.22910690307617|-33.972900390625|-19.66689109802246|-19.308612823486328|-15.479146957397461
10|a green thing facing to the right|-27.200363159179688|-47.78316116333008|-48.35297775268555|-44.537696838378906|-27.135221481323242|-25.099580764770508|-25.160715103149414
11|a green thing facing backwards|-22.182708740234375|-43.185821533203125|-41.53055191040039|-35.352481842041016|-21.332000732421875|-20.81724739074707|-16.649843215942383
12|a green sofa|-11.570422172546387|-33.13783264160156|-31.571659088134766|-25.39765167236328|-12.388957977294922|-11.584525108337402|-9.905288696289062
