|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a thing facing forwards|-20.30459213256836|-49.0712776184082|-20.27726936340332|-27.163488388061523|-49.515464782714844|-42.603057861328125|-50.5305061340332
1|a thing facing to the left|-28.506839752197266|-48.96734619140625|-26.747188568115234|-20.675912857055664|-48.43141555786133|-48.3671760559082|-42.2293815612793
2|a thing|-16.19663429260254|-37.66355895996094|-15.035714149475098|-15.408823013305664|-37.84295654296875|-37.85650634765625|-37.686134338378906
3|a thing facing to the right|-27.861780166625977|-41.86569595336914|-26.708663940429688|-27.47089385986328|-42.70454025268555|-48.51139831542969|-49.594173431396484
4|a chair facing forwards|-12.779717445373535|-35.23120880126953|-11.22433090209961|-16.74135398864746|-35.49253845214844|-29.875673294067383|-37.07786560058594
5|a chair facing to the left|-12.732217788696289|-32.90648651123047|-11.698840141296387|-9.484911918640137|-33.41789245605469|-34.443214416503906|-28.125329971313477
6|a chair|-10.291718482971191|-29.959461212158203|-9.471972465515137|-8.633408546447754|-27.568347930908203|-29.288257598876953|-27.486610412597656
7|a chair facing to the right|-12.155309677124023|-31.034027099609375|-13.284379005432129|-14.944880485534668|-28.28618812561035|-34.91779327392578|-34.71904373168945
8|a desk facing forwards|-7.063196182250977|-35.32109832763672|-7.697422027587891|-13.779311180114746|-36.65092086791992|-33.233951568603516|-36.59151077270508
9|a desk facing to the left|-14.882601737976074|-34.26142120361328|-13.151206970214844|-6.175554275512695|-35.118553161621094|-36.34305191040039|-33.16179656982422
10|a desk|-6.312949180603027|-26.668418884277344|-6.344276428222656|-5.061233043670654|-30.879714965820312|-31.839962005615234|-30.936519622802734
11|a desk facing to the right|-13.924660682678223|-27.113224029541016|-13.010099411010742|-12.352741241455078|-32.47328186035156|-35.69835662841797|-34.61960983276367
12|a grey thing facing forwards|-27.486486434936523|-50.894962310791016|-29.75554847717285|-25.865447998046875|-49.43506622314453|-52.533634185791016|-49.04755401611328
13|a grey thing facing to the left|-24.022794723510742|-45.549224853515625|-24.103822708129883|-18.986774444580078|-43.216331481933594|-47.411216735839844|-41.19096374511719
14|a grey thing|-21.269432067871094|-42.214237213134766|-19.934215545654297|-15.558027267456055|-40.63518524169922|-44.68362808227539|-38.47752380371094
15|a grey thing facing to the right|-25.738880157470703|-47.70281982421875|-28.144813537597656|-25.170513153076172|-45.99533462524414|-49.98891067504883|-48.04473876953125
16|a grey chair facing forwards|-17.64480972290039|-40.410675048828125|-19.326919555664062|-16.06817626953125|-38.48777389526367|-41.06449890136719|-35.41220474243164
