|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a red thing|-42.063846588134766|-43.432376861572266|-19.233875274658203|-14.4898681640625|-41.22901153564453|-41.456199645996094|-35.918216705322266
1|a red thing facing backwards|-44.19739532470703|-45.447792053222656|-21.294235229492188|-16.000354766845703|-43.098121643066406|-43.37556076049805|-37.24482727050781
2|a red thing facing to the left|-48.39413833618164|-49.99567413330078|-26.16610336303711|-23.369842529296875|-47.050865173339844|-47.722434997558594|-43.53169250488281
3|a red fan|-33.61606979370117|-34.770687103271484|-11.424979209899902|-1.8899306058883667|-34.64699172973633|-34.94318389892578|-31.70909881591797
4|a red fan facing backwards|-34.3846549987793|-35.57090377807617|-12.391680717468262|-2.6215908527374268|-36.330631256103516|-36.21888732910156|-32.8317756652832
5|a red fan facing to the left|-38.115928649902344|-39.48183822631836|-16.38016700744629|-9.046451568603516|-38.78818130493164|-39.30068588256836|-37.21123504638672
6|a red sofa|-33.61509704589844|-34.989315032958984|-10.942070960998535|-6.533387184143066|-32.477378845214844|-32.73430633544922|-25.572607040405273
7|a red sofa facing backwards|-34.3973274230957|-35.60553741455078|-11.746953010559082|-6.959798812866211|-32.96676254272461|-33.151283264160156|-25.85979652404785
8|a red sofa facing to the left|-38.738399505615234|-39.6956672668457|-15.608365058898926|-12.55665111541748|-36.76809310913086|-37.51176071166992|-31.408870697021484
9|a green thing|-39.480224609375|-35.79778289794922|-16.887737274169922|-17.1881103515625|-34.909358978271484|-38.19281005859375|-39.22489547729492
10|a green thing facing backwards|-47.83964920043945|-46.71905517578125|-25.60232162475586|-21.70130157470703|-46.08647918701172|-46.17495346069336|-44.59048080444336
11|a green thing facing to the left|-42.45193099975586|-38.53864288330078|-20.208669662475586|-20.279266357421875|-37.722877502441406|-40.93519973754883|-42.37728500366211
12|a green fan|-29.86532974243164|-24.120004653930664|-8.803597450256348|-8.349369049072266|-28.99958038330078|-30.518245697021484|-31.10303497314453
13|a green fan facing backwards|-36.09347915649414|-34.22462463378906|-15.207817077636719|-13.817411422729492|-37.138587951660156|-36.60110092163086|-36.90646743774414
14|a green fan facing to the left|-30.802413940429688|-25.16168975830078|-10.026662826538086|-9.66002082824707|-30.933029174804688|-31.973310470581055|-32.94737243652344
15|a green sofa|-32.61097717285156|-30.56460189819336|-10.815319061279297|-10.916793823242188|-23.592472076416016|-29.777570724487305|-30.736888885498047
16|a green sofa facing backwards|-37.60063934326172|-38.819854736328125|-16.238513946533203|-15.92905044555664|-35.234256744384766|-36.17800521850586|-35.772865295410156
17|a green sofa facing to the left|-33.7291374206543|-31.8280029296875|-12.192153930664062|-12.314410209655762|-24.472782135009766|-30.39349365234375|-31.65480613708496
18|a thing|-36.991058349609375|-37.472373962402344|-15.035772323608398|-14.623392105102539|-36.601470947265625|-36.796104431152344|-35.09327697753906
19|a thing facing backwards|-50.3231201171875|-48.97914123535156|-28.189769744873047|-18.969764709472656|-48.26899337768555|-48.62297821044922|-38.866214752197266
20|a thing facing to the left|-44.31447219848633|-42.852630615234375|-21.31524085998535|-25.910730361938477|-40.973060607910156|-41.11195373535156|-44.847434997558594
21|a fan|-27.437397003173828|-28.22348403930664|-6.995634078979492|-5.328620433807373|-31.904272079467773|-32.86089324951172|-31.110763549804688
22|a fan facing backwards|-38.276580810546875|-36.836952209472656|-17.64419174194336|-6.232724189758301|-38.564476013183594|-39.8089599609375|-33.114566802978516
23|a fan facing to the left|-29.6800479888916|-29.66404914855957|-9.059910774230957|-11.816476821899414|-33.81537628173828|-34.388607025146484|-35.38142395019531
24|a sofa|-35.57469940185547|-34.34125518798828|-12.962434768676758|-11.745525360107422|-27.887245178222656|-30.175518035888672|-28.682422637939453
25|a sofa facing backwards|-39.129913330078125|-40.25677490234375|-18.263565063476562|-12.367119789123535|-38.77684020996094|-40.26325607299805|-29.210416793823242
26|a sofa facing to the left|-37.948326110839844|-35.939430236816406|-14.493350982666016|-16.80069923400879|-28.851764678955078|-30.901317596435547|-34.60190200805664
27|a blue thing|-36.597694396972656|-37.52485275268555|-15.577640533447266|-16.630216598510742|-36.54676818847656|-36.88510513305664|-38.462791442871094
28|a blue thing facing backwards|-48.672035217285156|-47.713417053222656|-26.78557777404785|-21.750253677368164|-44.474952697753906|-48.01957702636719|-45.210113525390625
29|a blue thing facing to the left|-41.47552490234375|-40.48832702636719|-18.991601943969727|-19.59212875366211|-38.94667053222656|-39.557098388671875|-41.381221771240234
30|a blue fan|-23.715681076049805|-29.01101303100586|-5.8310465812683105|-8.473124504089355|-29.7762393951416|-32.176326751708984|-30.608230590820312
31|a blue fan facing backwards|-35.98701858520508|-36.989646911621094|-16.365501403808594|-13.938960075378418|-36.22430419921875|-40.95935821533203|-36.92835998535156
32|a blue fan facing to the left|-25.432924270629883|-30.100994110107422|-7.23912239074707|-9.97602367401123|-31.499990463256836|-33.5323600769043|-32.47029113769531
33|a blue sofa|-36.44725799560547|-33.425453186035156|-8.948102951049805|-11.494793891906738|-28.552968978881836|-26.888225555419922|-30.24626350402832
