|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a thing facing forwards|-41.11123275756836|-27.739246368408203|-41.53117370605469|-27.163488388061523|-49.515464782714844|-20.63821792602539|-28.51683807373047
1|a thing facing to the left|-49.3134765625|-27.635313034057617|-48.001094818115234|-20.675912857055664|-48.43141555786133|-26.402334213256836|-20.215707778930664
2|a thing|-37.003273010253906|-16.331527709960938|-36.28961944580078|-15.408823013305664|-37.84295654296875|-15.891664505004883|-15.672463417053223
3|a thing facing to the right|-48.668418884277344|-20.533660888671875|-47.96257019042969|-27.47089385986328|-42.70454025268555|-26.546558380126953|-27.580501556396484
4|a chair facing forwards|-33.58635711669922|-13.899175643920898|-32.47823715209961|-16.74135398864746|-35.49253845214844|-7.910830020904541|-15.064193725585938
5|a chair facing to the left|-33.538856506347656|-11.574454307556152|-32.9527473449707|-9.484911918640137|-33.41789245605469|-12.478372573852539|-6.111658573150635
6|a chair|-31.098358154296875|-8.627429008483887|-30.725879669189453|-8.633408546447754|-27.568347930908203|-7.323414325714111|-5.472939491271973
7|a chair facing to the right|-32.96194839477539|-9.701992988586426|-34.53828811645508|-14.944880485534668|-28.28618812561035|-12.952951431274414|-12.705371856689453
8|a desk facing forwards|-27.86983871459961|-13.989068984985352|-28.951330184936523|-13.779311180114746|-36.65092086791992|-11.269107818603516|-14.577841758728027
9|a desk facing to the left|-35.68924331665039|-12.929389953613281|-34.40511703491211|-6.175554275512695|-35.118553161621094|-14.37820816040039|-11.148126602172852
10|a desk|-27.119590759277344|-5.336387634277344|-27.598182678222656|-5.061233043670654|-30.879714965820312|-9.875118255615234|-8.922847747802734
11|a desk facing to the right|-34.731300354003906|-5.781192779541016|-34.26401138305664|-12.352741241455078|-32.47328186035156|-13.733511924743652|-12.605939865112305
12|a grey thing facing forwards|-48.293128967285156|-29.56293296813965|-51.009456634521484|-25.865447998046875|-49.43506622314453|-30.568790435791016|-27.03388214111328
13|a grey thing facing to the left|-44.829437255859375|-24.217199325561523|-45.357730865478516|-18.986774444580078|-43.216331481933594|-25.446372985839844|-19.177291870117188
14|a grey thing|-42.076072692871094|-20.882205963134766|-41.18812561035156|-15.558027267456055|-40.63518524169922|-22.71878433227539|-16.463851928710938
15|a grey thing facing to the right|-46.5455207824707|-26.37079429626465|-49.398719787597656|-25.170513153076172|-45.99533462524414|-28.024066925048828|-26.031064987182617
16|a grey chair facing forwards|-38.45145034790039|-19.07863998413086|-40.58082580566406|-16.06817626953125|-38.48777389526367|-19.09965705871582|-13.39853286743164
17|a grey chair facing to the left|-33.32644271850586|-13.080159187316895|-34.49102020263672|-8.782905578613281|-31.772066116333008|-13.635132789611816|-5.24791955947876
18|a grey chair|-32.777191162109375|-12.556631088256836|-33.60038757324219|-7.949710369110107|-31.297584533691406|-13.092132568359375|-4.642057418823242
19|a grey chair facing to the right|-35.860626220703125|-15.902976989746094|-37.98726272583008|-14.32354736328125|-35.367454528808594|-16.85616111755371|-11.960527420043945
20|a grey desk facing forwards|-36.21988296508789|-17.74515724182129|-37.767913818359375|-11.978689193725586|-37.704345703125|-18.546756744384766|-14.743511199951172
21|a grey desk facing to the left|-33.419734954833984|-12.008811950683594|-32.660247802734375|-4.594428539276123|-33.7921257019043|-14.91431713104248|-9.26783275604248
22|a grey desk|-32.6341552734375|-11.30544662475586|-31.30724334716797|-3.397914409637451|-32.43488311767578|-13.722118377685547|-7.628805160522461
23|a grey desk facing to the right|-35.22529602050781|-14.28948974609375|-36.390953063964844|-10.816226959228516|-35.59528732299805|-16.648679733276367|-12.073813438415527
24|a green thing facing forwards|-38.67600631713867|-26.722105026245117|-38.95176696777344|-20.501522064208984|-47.52928924560547|-18.865575790405273|-20.521240234375
25|a green thing facing to the left|-46.7004508972168|-25.8183650970459|-45.666473388671875|-22.0199031829834|-46.07516860961914|-25.322227478027344|-22.912094116210938
26|a green thing|-37.122554779052734|-15.92917537689209|-36.53215789794922|-17.288179397583008|-37.81147384643555|-16.642131805419922|-17.934295654296875
27|a green thing facing to the right|-46.506568908691406|-19.076581954956055|-45.64228439331055|-21.430255889892578|-40.807899475097656|-25.37913703918457|-23.414260864257812
28|a green chair facing forwards|-32.02705383300781|-14.48121452331543|-30.232315063476562|-10.387812614440918|-33.309532165527344|-4.968921661376953|-9.358856201171875
29|a green chair facing to the left|-34.13881301879883|-12.98243522644043|-33.91018295288086|-11.318645477294922|-32.07848358154297|-10.12567138671875|-11.89765739440918
30|a green chair|-31.048757553100586|-9.63094711303711|-29.691314697265625|-9.243278503417969|-25.958904266357422|-4.727174758911133|-8.873520851135254
31|a green chair facing to the right|-32.96929168701172|-10.322956085205078|-34.44557571411133|-11.726404190063477|-26.48224449157715|-10.069450378417969|-12.680784225463867
32|a green desk facing forwards|-24.585113525390625|-14.200887680053711|-26.41717529296875|-9.015182495117188|-34.38542175292969|-10.79208755493164|-11.029088020324707
33|a green desk facing to the left|-31.769094467163086|-12.597616195678711|-32.13698959350586|-10.752917289733887|-33.825191497802734|-14.717706680297852|-13.283535957336426
34|a green desk|-24.399995803833008|-5.321382522583008|-25.718830108642578|-7.908048629760742|-28.637409210205078|-8.299406051635742|-9.903916358947754
35|a green desk facing to the right|-31.41863250732422|-5.903401851654053|-31.801658630371094|-10.249661445617676|-30.94365119934082|-14.16490364074707|-12.645857810974121
36|a large thing facing forwards|-46.35860824584961|-28.560165405273438|-40.74834060668945|-27.170957565307617|-48.46943283081055|-20.912172317504883|-28.732526779174805
37|a large thing facing to the left|-47.613346099853516|-27.08781623840332|-47.17938995361328|-20.58868980407715|-45.92306137084961|-27.537500381469727|-20.24225425720215
38|a large thing|-42.876670837402344|-20.791080474853516|-36.930702209472656|-16.41863250732422|-42.153411865234375|-16.914634704589844|-16.74183464050293
39|a large chair facing forwards|-36.53639221191406|-16.454753875732422|-32.64338302612305|-18.134780883789062|-37.60922622680664|-7.491333484649658|-16.714000701904297
40|a large chair facing to the left|-33.59422302246094|-13.633234024047852|-32.93754959106445|-11.840774536132812|-33.57199478149414|-12.017569541931152|-8.123032569885254
41|a large chair|-32.88084030151367|-12.775908470153809|-31.445261001586914|-11.336254119873047|-32.909400939941406|-7.132547378540039|-7.707737445831299
42|a large desk facing forwards|-33.202720642089844|-15.218647003173828|-26.209386825561523|-12.634248733520508|-37.35724639892578|-11.309231758117676|-15.329850196838379
43|a large desk facing to the left|-34.752838134765625|-13.776138305664062|-31.591753005981445|-5.550470352172852|-35.54240798950195|-14.648056983947754|-11.826796531677246
44|a large desk|-32.34837341308594|-10.482255935668945|-25.37317657470703|-4.714843273162842|-34.31418228149414|-10.399402618408203|-10.858896255493164
45|a large, grey thing facing forwards|-51.281654357910156|-30.321943283081055|-53.91416931152344|-27.20248031616211|-52.2005729675293|-31.95552635192871|-27.094255447387695
46|a large, grey thing facing to the left|-45.96392059326172|-24.166881561279297|-47.50222396850586|-19.002681732177734|-44.70952224731445|-26.095813751220703|-17.25809097290039
47|a large, grey thing|-44.456947326660156|-22.6313419342041|-45.83109664916992|-17.90235137939453|-43.552738189697266|-24.975826263427734|-16.540599822998047
48|a large, grey chair facing forwards|-38.97817611694336|-19.448326110839844|-43.39434814453125|-15.872591972351074|-39.66086196899414|-19.260103225708008|-12.929277420043945
49|a large, grey chair facing to the left|-31.88546371459961|-11.83117961883545|-35.93555450439453|-7.676816463470459|-30.277551651000977|-12.124545097351074|-0.2687503695487976
50|a large, grey chair|-31.761432647705078|-11.715716361999512|-35.73582458496094|-7.425858497619629|-30.198963165283203|-11.99118423461914|-0.18998026847839355
51|a large, grey desk facing forwards|-37.509883880615234|-16.511117935180664|-38.9933967590332|-11.894572257995605|-38.67273712158203|-18.5157470703125|-11.591364860534668
52|a large, grey desk facing to the left|-32.185359954833984|-9.305386543273926|-31.353775024414062|-1.2402935028076172|-32.99905014038086|-14.112902641296387|-5.760164260864258
53|a large, grey desk|-32.013458251953125|-9.156344413757324|-30.927871704101562|-0.5816827416419983|-32.66454315185547|-13.792022705078125|-5.4559526443481445
54|a large, green thing facing forwards|-43.930965423583984|-26.56698989868164|-39.72265625|-22.109750747680664|-43.53522872924805|-18.521238327026367|-24.05673599243164
55|a large, green thing facing to the left|-47.373748779296875|-25.717557907104492|-46.65421676635742|-24.358076095581055|-47.021385192871094|-25.088743209838867|-27.813339233398438
56|a large, green thing|-43.157875061035156|-20.74928092956543|-38.8694953918457|-20.724952697753906|-42.38679504394531|-17.68547821044922|-23.271236419677734
57|a large, green chair facing forwards|-30.90538787841797|-11.405981063842773|-31.0128231048584|-10.038969039916992|-28.291162490844727|-0.663575291633606|-10.079769134521484
58|a large, green chair facing to the left|-33.837032318115234|-14.148416519165039|-36.43745803833008|-13.413372993469238|-33.753604888916016|-8.84160041809082|-15.536416053771973
59|a large, green chair|-30.777921676635742|-11.146678924560547|-30.87270736694336|-9.865455627441406|-28.222604751586914|-0.6045618057250977|-10.007340431213379
60|a large, green desk facing forwards|-30.146032333374023|-13.23846435546875|-21.934438705444336|-7.190399169921875|-32.66306686401367|-7.908417224884033|-13.185321807861328
61|a large, green desk facing to the left|-33.73326110839844|-12.46550178527832|-30.826536178588867|-10.6881685256958|-35.6314811706543|-13.039284706115723|-16.573612213134766
62|a large, green desk|-30.02276611328125|-7.024238586425781|-21.7025089263916|-6.994479656219482|-32.342655181884766|-7.300244331359863|-12.982583045959473
63|a small thing facing forwards|-39.91564178466797|-27.409507751464844|-43.51944351196289|-24.583446502685547|-49.196266174316406|-25.34273338317871|-26.901500701904297
64|a small thing|-36.07187271118164|-16.09078025817871|-38.91233444213867|-18.666362762451172|-36.916778564453125|-20.4468994140625|-19.988677978515625
65|a small thing facing to the right|-46.758121490478516|-20.68962287902832|-45.873565673828125|-23.812829971313477|-41.70728302001953|-26.25012969970703|-24.927043914794922
66|a small chair|-31.817195892333984|-11.38321590423584|-32.777259826660156|-11.568498611450195|-28.38442611694336|-13.039192199707031|-12.577423095703125
67|a small chair facing to the right|-32.73748016357422|-12.046051979064941|-34.26032257080078|-13.221020698547363|-28.915193557739258|-14.153952598571777|-13.786046028137207
68|a small desk facing forwards|-25.40278434753418|-13.903905868530273|-31.255615234375|-11.734148979187012|-32.7874755859375|-14.050253868103027|-13.998464584350586
69|a small desk|-24.949899673461914|-5.643287181854248|-29.88870620727539|-10.089910507202148|-30.64504623413086|-12.714558601379395|-12.508323669433594
70|a small desk facing to the right|-31.739070892333984|-6.189215183258057|-33.4182243347168|-12.00156021118164|-32.178951263427734|-15.023630142211914|-15.065783500671387
71|a small, grey thing facing forwards|-46.46586608886719|-27.419055938720703|-49.55807876586914|-28.013280868530273|-47.672489166259766|-29.758975982666016|-29.543275833129883
72|a small, grey thing|-44.662803649902344|-22.063209533691406|-45.249534606933594|-21.990684509277344|-43.04404067993164|-25.600080490112305|-23.489547729492188
73|a small, grey thing facing to the right|-47.38954162597656|-23.56703758239746|-48.47541809082031|-25.677318572998047|-44.81803894042969|-28.64651870727539|-27.028955459594727
74|a small, grey chair|-35.06633758544922|-12.630022048950195|-35.11489486694336|-12.61880874633789|-32.7559928894043|-15.428322792053223|-12.656991958618164
75|a small, grey chair facing to the right|-36.98490905761719|-13.741218566894531|-36.906124114990234|-14.861351013183594|-34.117393493652344|-17.056901931762695|-14.854162216186523
76|a small, grey desk facing forwards|-34.65797805786133|-16.287145614624023|-36.949066162109375|-14.468170166015625|-35.823402404785156|-17.789731979370117|-15.987869262695312
77|a small, grey desk|-33.653934478759766|-10.910126686096191|-34.505245208740234|-10.435140609741211|-33.67726516723633|-15.717385292053223|-13.723949432373047
78|a small, grey desk facing to the right|-35.36932373046875|-11.361907005310059|-36.178001403808594|-12.279267311096191|-34.978458404541016|-17.251670837402344|-15.147269248962402
79|a small, green thing facing forwards|-38.433929443359375|-26.804561614990234|-42.784908294677734|-22.097126007080078|-46.17718505859375|-23.507129669189453|-22.934864044189453
80|a small, green thing|-37.440956115722656|-17.42889404296875|-41.09400939941406|-19.610862731933594|-37.23316955566406|-21.75927734375|-20.514436721801758
81|a small, green thing facing to the right|-45.680152893066406|-18.632421493530273|-45.86983871459961|-22.691633224487305|-38.39580154418945|-24.765785217285156|-22.82929229736328
82|a small, green chair|-30.37191390991211|-9.58056354522705|-33.2786865234375|-11.004022598266602|-21.053966522216797|-9.77483081817627|-10.21226692199707
83|a small, green chair facing to the right|-30.704174041748047|-9.744759559631348|-33.69099426269531|-11.372272491455078|-21.169355392456055|-10.14892578125|-10.35732650756836
84|a small, green desk facing forwards|-21.388710021972656|-11.2134428024292|-28.00432014465332|-8.027864456176758|-29.910236358642578|-10.560056686401367|-9.344276428222656
85|a small, green desk|-21.28829002380371|-0.027832461521029472|-27.684532165527344|-7.480916500091553|-26.595924377441406|-9.996975898742676|-8.95916748046875
86|a small, green desk facing to the right|-29.70482063293457|-0.11485906690359116|-31.399709701538086|-8.999619483947754|-26.955371856689453|-11.550636291503906|-10.899214744567871
