|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a thing facing forwards|-41.11123275756836|-27.739246368408203|-41.53117370605469|-49.225990295410156|-49.515464782714844|-42.603057861328125|-28.51683807373047
1|a thing facing to the left|-49.3134765625|-27.635313034057617|-48.001094818115234|-42.7384147644043|-48.43141555786133|-48.3671760559082|-20.215707778930664
2|a thing|-37.003273010253906|-16.331527709960938|-36.28961944580078|-37.4713249206543|-37.84295654296875|-37.85650634765625|-15.672463417053223
3|a thing facing to the right|-48.668418884277344|-20.533660888671875|-47.96257019042969|-49.53339385986328|-42.70454025268555|-48.51139831542969|-27.580501556396484
4|a chair facing forwards|-33.58635711669922|-13.899175643920898|-32.47823715209961|-38.803855895996094|-35.49253845214844|-29.875673294067383|-15.064193725585938
5|a chair facing to the left|-33.538856506347656|-11.574454307556152|-32.9527473449707|-31.547412872314453|-33.41789245605469|-34.443214416503906|-6.111658573150635
6|a chair|-31.098358154296875|-8.627429008483887|-30.725879669189453|-30.69590950012207|-27.568347930908203|-29.288257598876953|-5.472939491271973
7|a chair facing to the right|-32.96194839477539|-9.701992988586426|-34.53828811645508|-37.007381439208984|-28.28618812561035|-34.91779327392578|-12.705371856689453
8|a desk facing forwards|-27.86983871459961|-13.989068984985352|-28.951330184936523|-35.84181213378906|-36.65092086791992|-33.233951568603516|-14.577841758728027
9|a desk facing to the left|-35.68924331665039|-12.929389953613281|-34.40511703491211|-28.238054275512695|-35.118553161621094|-36.34305191040039|-11.148126602172852
10|a desk|-27.119590759277344|-5.336387634277344|-27.598182678222656|-27.123733520507812|-30.879714965820312|-31.839962005615234|-8.922847747802734
11|a desk facing to the right|-34.731300354003906|-5.781192779541016|-34.26401138305664|-34.41524124145508|-32.47328186035156|-35.69835662841797|-12.605939865112305
12|a grey thing facing forwards|-48.293128967285156|-29.56293296813965|-51.009456634521484|-47.92795181274414|-49.43506622314453|-52.533634185791016|-27.03388214111328
13|a grey thing facing to the left|-44.829437255859375|-24.217199325561523|-45.357730865478516|-41.04927444458008|-43.216331481933594|-47.411216735839844|-19.177291870117188
14|a grey thing|-42.076072692871094|-20.882205963134766|-41.18812561035156|-37.62052917480469|-40.63518524169922|-44.68362808227539|-16.463851928710938
15|a grey thing facing to the right|-46.5455207824707|-26.37079429626465|-49.398719787597656|-47.23301315307617|-45.99533462524414|-49.98891067504883|-26.031064987182617
16|a grey chair facing forwards|-38.45145034790039|-19.07863998413086|-40.58082580566406|-38.13067626953125|-38.48777389526367|-41.06449890136719|-13.39853286743164
17|a grey chair facing to the left|-33.32644271850586|-13.080159187316895|-34.49102020263672|-30.84540557861328|-31.772066116333008|-35.599979400634766|-5.24791955947876
