|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a grey thing facing forwards|-22.579483032226562|-42.06726837158203|-43.39513397216797|-39.49396896362305|-21.927562713623047|-22.12432861328125|-38.44809341430664
1|a grey thing facing to the left|-25.19535255432129|-45.47128677368164|-46.46495819091797|-46.674095153808594|-26.814952850341797|-24.63052749633789|-45.92470932006836
2|a grey thing|-20.16143798828125|-40.112327575683594|-40.89109420776367|-37.27631759643555|-20.148488998413086|-20.15641212463379|-37.239967346191406
3|a grey thing facing backwards|-24.502973556518555|-43.102237701416016|-46.38057327270508|-46.067501068115234|-25.800567626953125|-24.375450134277344|-45.43378448486328
4|a grey chair facing forwards|-11.782400131225586|-32.33806610107422|-33.41154861450195|-26.46245574951172|-13.709628105163574|-13.730441093444824|-30.319318771362305
5|a grey chair facing to the left|-14.398107528686523|-35.2259635925293|-36.623443603515625|-32.17424774169922|-16.799663543701172|-15.93332576751709|-34.695106506347656
6|a grey chair|-10.883997917175293|-31.705698013305664|-32.02136993408203|-25.77403450012207|-12.476594924926758|-12.335180282592773|-29.406494140625
7|a grey chair facing backwards|-14.498260498046875|-33.80244064331055|-37.35884094238281|-33.86061477661133|-16.34859275817871|-16.27392578125|-35.463043212890625
8|a grey fan facing forwards|-13.537861824035645|-33.39494705200195|-34.096923828125|-30.478580474853516|-10.326363563537598|-11.506952285766602|-26.482358932495117
9|a grey fan facing to the left|-16.543912887573242|-36.83699035644531|-37.72154235839844|-34.649417877197266|-14.725629806518555|-14.798661231994629|-32.429744720458984
10|a grey fan|-12.790386199951172|-32.86659240722656|-33.27100372314453|-29.28507423400879|-9.81698226928711|-11.076423645019531|-26.066009521484375
11|a grey fan facing backwards|-16.72495460510254|-36.9017333984375|-38.52833938598633|-36.46404266357422|-14.790716171264648|-15.169342041015625|-34.01853561401367
12|a green thing facing forwards|-27.511550903320312|-46.41055679321289|-45.709877014160156|-46.90094757080078|-27.217327117919922|-25.039203643798828|-46.56317138671875
13|a green thing facing to the left|-21.608257293701172|-41.93678283691406|-38.69318771362305|-41.53044509887695|-20.841121673583984|-17.11469268798828|-40.604148864746094
14|a green thing|-18.52133560180664|-39.35437774658203|-34.6298942565918|-38.124080657958984|-17.571086883544922|-14.028533935546875|-37.56151580810547
15|a green thing facing backwards|-26.31155776977539|-44.9007568359375|-46.06382751464844|-45.70192337036133|-25.278038024902344|-24.512252807617188|-44.87455368041992
16|a green chair facing forwards|-16.333328247070312|-36.90557098388672|-34.558624267578125|-38.04450225830078|-17.228179931640625|-15.293323516845703|-37.4478645324707
17|a green chair facing to the left|-9.987715721130371|-31.88819122314453|-25.836219787597656|-32.13863754272461|-11.51917839050293|-6.960014343261719|-31.52412986755371
18|a green chair|-9.28291130065918|-31.350570678710938|-24.296276092529297|-30.73557472229004|-9.85478401184082|-6.023190975189209|-29.937347412109375
