|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a thing|-14.591679573059082|-37.50672149658203|-15.091959953308105|-36.88613510131836|-36.78667068481445|-36.15840148925781|-15.765118598937988
1|a thing facing forwards|-25.907859802246094|-41.55805969238281|-28.017879486083984|-49.64893341064453|-40.976234436035156|-46.27849197387695|-26.863662719726562
2|a thing facing backwards|-20.224702835083008|-45.94804763793945|-22.330078125|-42.936214447021484|-45.31690979003906|-40.4969596862793|-20.30645179748535
3|a chair|-4.7553253173828125|-27.023183822631836|-6.1546311378479|-27.948226928710938|-28.761798858642578|-28.90969467163086|-7.513963222503662
4|a chair facing forwards|-11.13171100616455|-27.5368709564209|-12.946806907653809|-35.20946502685547|-29.99134635925293|-31.78072738647461|-13.089664459228516
5|a chair facing backwards|-5.509995460510254|-32.81446838378906|-7.91495418548584|-29.0690975189209|-31.003572463989258|-29.74907875061035|-8.338134765625
6|a desk|-10.689793586730957|-30.831111907958984|-10.981058120727539|-31.956567764282227|-26.582164764404297|-27.876558303833008|-7.493420124053955
7|a desk facing forwards|-12.464144706726074|-31.965579986572266|-15.470523834228516|-37.192501068115234|-27.585058212280273|-33.863311767578125|-13.947683334350586
8|a desk facing backwards|-12.44718074798584|-33.37744903564453|-12.097811698913574|-32.882022857666016|-34.048362731933594|-28.484256744384766|-8.512960433959961
9|a grey thing|-15.179536819458008|-38.10736083984375|-17.2181396484375|-36.79453659057617|-38.146751403808594|-38.83998489379883|-16.579084396362305
10|a grey thing facing forwards|-23.768125534057617|-40.12575912475586|-22.311325073242188|-46.16915512084961|-40.44649887084961|-41.223575592041016|-25.386028289794922
11|a grey thing facing backwards|-18.19853973388672|-44.580379486083984|-19.68606185913086|-39.34907531738281|-45.619422912597656|-41.63038635253906|-18.728179931640625
12|a grey chair|-2.254554510116577|-27.142749786376953|-8.065573692321777|-26.88159942626953|-30.277652740478516|-30.809574127197266|-8.39676570892334
13|a grey chair facing forwards|-8.144072532653809|-27.325759887695312|-9.646493911743164|-33.225685119628906|-30.940853118896484|-31.789926528930664|-13.491575241088867
14|a grey chair facing backwards|-2.4840753078460693|-32.42133331298828|-9.138936996459961|-27.509437561035156|-32.546932220458984|-31.882692337036133|-8.946919441223145
15|a grey desk|-10.578075408935547|-31.47148895263672|-10.988679885864258|-28.7667293548584|-26.131101608276367|-30.28743553161621|-6.41659688949585
16|a grey desk facing forwards|-11.33022403717041|-31.897737503051758|-12.144501686096191|-32.8173828125|-26.524335861206055|-30.83195686340332|-11.85657024383545
17|a grey desk facing backwards|-12.470736503601074|-35.04665756225586|-12.35449504852295|-29.5616455078125|-33.672916412353516|-32.05384063720703|-6.853245735168457
18|a red thing|-19.23472023010254|-41.12431716918945|-14.417837142944336|-38.85639953613281|-41.01882553100586|-36.94268798828125|-18.91432762145996
19|a red thing facing forwards|-25.733890533447266|-48.4213752746582|-24.32137680053711|-45.00233840942383|-48.26893997192383|-45.92353820800781|-24.611095428466797
20|a red thing facing backwards|-21.882293701171875|-43.93693923950195|-17.856117248535156|-41.65966796875|-43.57227325439453|-39.70795440673828|-21.641094207763672
21|a red chair|-9.371896743774414|-31.946613311767578|-2.3759121894836426|-30.12757682800293|-33.54310607910156|-30.328388214111328|-10.640302658081055
22|a red chair facing forwards|-12.15350341796875|-33.78718948364258|-10.273862838745117|-33.031166076660156|-36.49415969848633|-34.875946044921875|-12.574435234069824
23|a red chair facing backwards|-9.93478012084961|-32.532508850097656|-3.5160505771636963|-31.023387908935547|-34.26551055908203|-30.819049835205078|-11.459744453430176
24|a red desk|-11.940187454223633|-34.326236724853516|-7.726372241973877|-31.911945343017578|-32.257667541503906|-25.897315979003906|-10.946294784545898
25|a red desk facing forwards|-15.333954811096191|-38.06129455566406|-14.586579322814941|-35.48590087890625|-36.83253479003906|-32.52762222290039|-14.033583641052246
26|a red desk facing backwards|-12.566657066345215|-34.979583740234375|-9.300006866455078|-32.77728271484375|-32.76408767700195|-26.33533477783203|-11.4734468460083
27|a large thing|-15.752718925476074|-38.439453125|-16.13549041748047|-39.24375915527344|-37.76657485961914|-37.4925422668457|-19.689586639404297
28|a large thing facing forwards|-25.380538940429688|-42.71220016479492|-27.046545028686523|-44.25373840332031|-41.69118118286133|-46.74010467529297|-24.325727462768555
