|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a grey thing facing forwards|-18.079648971557617|-22.945526123046875|-20.550579071044922|-42.907161712646484|-41.847900390625|-42.02853775024414|-43.08622360229492
1|a grey thing facing to the left|-29.565235137939453|-30.403423309326172|-27.02969741821289|-48.01399612426758|-47.59061050415039|-47.3234748840332|-47.853271484375
2|a grey thing|-15.777976989746094|-20.481937408447266|-18.102453231811523|-40.71228790283203|-39.54962158203125|-39.71979522705078|-40.67020034790039
3|a grey thing facing backwards|-26.059207916259766|-29.152385711669922|-25.163021087646484|-47.396034240722656|-46.727535247802734|-46.31485366821289|-47.25791931152344
4|a grey fan facing forwards|-18.496536254882812|-22.34408187866211|-20.7607364654541|-43.25801467895508|-36.12469482421875|-36.187347412109375|-37.27754211425781
5|a grey fan facing to the left|-21.889995574951172|-24.405282974243164|-22.79678726196289|-43.24909973144531|-39.73582458496094|-39.55272674560547|-38.04278564453125
6|a grey fan|-16.650333404541016|-20.522140502929688|-18.724336624145508|-40.85422134399414|-34.91215133666992|-34.98090744018555|-35.46503829956055
7|a grey fan facing backwards|-21.058320999145508|-22.76325798034668|-20.44807243347168|-43.922672271728516|-38.992637634277344|-36.840179443359375|-38.79379653930664
8|a grey desk facing forwards|-3.1799850463867188|-12.86823558807373|-11.505708694458008|-33.64380645751953|-32.90335464477539|-33.16107177734375|-34.329917907714844
9|a grey desk facing to the left|-15.137739181518555|-19.90142059326172|-18.539684295654297|-39.778873443603516|-39.42402648925781|-39.78013229370117|-40.58052062988281
10|a grey desk|-2.135112762451172|-10.84472370147705|-9.247369766235352|-31.625574111938477|-30.868040084838867|-31.496191024780273|-32.114051818847656
11|a grey desk facing backwards|-13.120199203491211|-19.902740478515625|-18.350616455078125|-39.79552459716797|-39.536109924316406|-39.78607940673828|-40.57606506347656
12|a red thing facing forwards|-27.82925033569336|-26.473175048828125|-23.308040618896484|-47.39204788208008|-48.01461410522461|-45.45743942260742|-48.369197845458984
13|a red thing facing to the left|-28.33028221130371|-27.868362426757812|-24.607521057128906|-47.80622863769531|-48.69192123413086|-45.5579719543457|-48.033084869384766
14|a red thing|-21.19436264038086|-21.481969833374023|-14.426118850708008|-41.82012939453125|-41.70188522338867|-37.156917572021484|-41.74506378173828
15|a red thing facing backwards|-23.393239974975586|-23.638309478759766|-16.67156982421875|-44.019920349121094|-43.624778747558594|-38.951290130615234|-43.96412658691406
16|a red fan facing forwards|-17.65281105041504|-18.371381759643555|-14.563369750976562|-39.46621322631836|-36.95246887207031|-31.93219757080078|-37.425621032714844
17|a red fan facing to the left|-18.74558448791504|-19.12620735168457|-14.21434211730957|-39.682640075683594|-37.42845916748047|-31.460458755493164|-37.403907775878906
18|a red fan|-13.528471946716309|-14.624404907226562|-7.644839286804199|-35.23666000366211|-31.786705017089844|-25.292156219482422|-32.51646423339844
19|a red fan facing backwards|-14.182950019836426|-15.544734001159668|-8.740996360778809|-36.17952346801758|-32.4748420715332|-25.8398380279541|-33.186920166015625
20|a red desk facing forwards|-14.95633316040039|-14.994064331054688|-9.541237831115723|-35.68988800048828|-37.030426025390625|-33.32350158691406|-37.05050277709961
21|a red desk facing to the left|-16.735183715820312|-17.03898811340332|-9.570701599121094|-37.097564697265625|-39.20289611816406|-34.074161529541016|-38.948692321777344
22|a red desk|-10.682876586914062|-11.859705924987793|-1.7075587511062622|-31.99334144592285|-33.311222076416016|-28.18671989440918|-33.247962951660156
23|a red desk facing backwards|-11.286445617675781|-12.74530029296875|-2.5379114151000977|-32.98002624511719|-34.57941818237305|-29.08563804626465|-34.5515251159668
24|a green thing facing forwards|-27.825571060180664|-26.93294906616211|-27.212434768676758|-46.65739440917969|-47.63418197631836|-47.13959884643555|-45.98514175415039
25|a green thing facing to the left|-22.13865089416504|-21.15859031677246|-21.534069061279297|-39.68926239013672|-41.98705291748047|-41.15166473388672|-38.78546905517578
