|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a thing|-14.591679573059082|-15.455939292907715|-36.662269592285156|-15.390040397644043|-36.78667068481445|-36.15840148925781|-15.765118598937988
1|a thing facing forwards|-25.907859802246094|-19.507278442382812|-49.58818817138672|-28.152841567993164|-40.976234436035156|-46.27849197387695|-26.863662719726562
2|a thing facing backwards|-20.224702835083008|-23.897266387939453|-43.900386810302734|-21.44011878967285|-45.31690979003906|-40.4969596862793|-20.30645179748535
3|a chair|-4.7553253173828125|-4.972402572631836|-27.724943161010742|-6.452132225036621|-28.761798858642578|-28.90969467163086|-7.513963222503662
4|a chair facing forwards|-11.13171100616455|-5.486090660095215|-34.517120361328125|-13.713371276855469|-29.99134635925293|-31.78072738647461|-13.089664459228516
5|a chair facing backwards|-5.509995460510254|-10.763688087463379|-29.485265731811523|-7.573002815246582|-31.003572463989258|-29.74907875061035|-8.338134765625
6|a desk|-10.689793586730957|-8.780330657958984|-32.551368713378906|-10.46047306060791|-26.582164764404297|-27.876558303833008|-7.493420124053955
7|a desk facing forwards|-12.464144706726074|-9.914798736572266|-37.04083251953125|-15.696407318115234|-27.585058212280273|-33.863311767578125|-13.947683334350586
8|a desk facing backwards|-12.44718074798584|-11.326669692993164|-33.668121337890625|-11.38592529296875|-34.048362731933594|-28.484256744384766|-8.512960433959961
9|a grey thing|-15.179536819458008|-16.056577682495117|-38.7884521484375|-15.298443794250488|-38.146751403808594|-38.83998489379883|-16.579084396362305
10|a grey thing facing forwards|-23.768125534057617|-18.074974060058594|-43.88163757324219|-24.673063278198242|-40.44649887084961|-41.223575592041016|-25.386028289794922
11|a grey thing facing backwards|-18.19853973388672|-22.52959632873535|-41.25637435913086|-17.852985382080078|-45.619422912597656|-41.63038635253906|-18.728179931640625
12|a grey chair|-2.254554510116577|-5.0919694900512695|-29.63588523864746|-5.3855061531066895|-30.277652740478516|-30.809574127197266|-8.39676570892334
13|a grey chair facing forwards|-8.144072532653809|-5.274979591369629|-31.216806411743164|-11.729592323303223|-30.940853118896484|-31.789926528930664|-13.491575241088867
14|a grey chair facing backwards|-2.4840753078460693|-10.37055492401123|-30.70924949645996|-6.013345718383789|-32.546932220458984|-31.882692337036133|-8.946919441223145
15|a grey desk|-10.578075408935547|-9.420708656311035|-32.558990478515625|-7.270636558532715|-26.131101608276367|-30.28743553161621|-6.41659688949585
16|a grey desk facing forwards|-11.33022403717041|-9.84695816040039|-33.714813232421875|-11.321290016174316|-26.524335861206055|-30.83195686340332|-11.85657024383545
17|a grey desk facing backwards|-12.470736503601074|-12.99587631225586|-33.9248046875|-8.065552711486816|-33.672916412353516|-32.05384063720703|-6.853245735168457
18|a red thing|-19.23472023010254|-19.073535919189453|-35.98815155029297|-17.360301971435547|-41.01882553100586|-36.94268798828125|-18.91432762145996
19|a red thing facing forwards|-25.733890533447266|-26.370594024658203|-45.89168930053711|-23.506240844726562|-48.26893997192383|-45.92353820800781|-24.611095428466797
20|a red thing facing backwards|-21.882293701171875|-21.886157989501953|-39.426429748535156|-20.1635684967041|-43.57227325439453|-39.70795440673828|-21.641094207763672
21|a red chair|-9.371896743774414|-9.895832061767578|-23.946224212646484|-8.631481170654297|-33.54310607910156|-30.328388214111328|-10.640302658081055
22|a red chair facing forwards|-12.15350341796875|-11.736411094665527|-31.844175338745117|-11.535069465637207|-36.49415969848633|-34.875946044921875|-12.574435234069824
23|a red chair facing backwards|-9.93478012084961|-10.481730461120605|-25.086362838745117|-9.527294158935547|-34.26551055908203|-30.819049835205078|-11.459744453430176
24|a red desk|-11.940187454223633|-12.275457382202148|-29.29668426513672|-10.415849685668945|-32.257667541503906|-25.897315979003906|-10.946294784545898
25|a red desk facing forwards|-15.333954811096191|-16.010513305664062|-36.156890869140625|-13.989805221557617|-36.83253479003906|-32.52762222290039|-14.033583641052246
26|a red desk facing backwards|-12.566657066345215|-12.928805351257324|-30.870319366455078|-11.281188011169434|-32.76408767700195|-26.33533477783203|-11.4734468460083
27|a large thing|-15.752718925476074|-16.388671875|-37.70580291748047|-17.747665405273438|-37.76657485961914|-37.4925422668457|-19.689586639404297
28|a large thing facing forwards|-25.380538940429688|-20.66141700744629|-48.61685562133789|-22.757644653320312|-41.69118118286133|-46.74010467529297|-24.325727462768555
29|a large thing facing backwards|-21.131195068359375|-25.180315017700195|-43.563148498535156|-21.523841857910156|-46.912322998046875|-41.0873908996582|-23.12465476989746
30|a large chair|-5.29135799407959|-5.782863140106201|-27.75322723388672|-8.584896087646484|-30.73123550415039|-30.613727569580078|-10.676118850708008
31|a large chair facing forwards|-10.326959609985352|-6.109294891357422|-32.08695602416992|-10.557086944580078|-31.388092041015625|-32.8282585144043|-12.350776672363281
32|a large chair facing backwards|-5.728748798370361|-11.084468841552734|-28.981599807739258|-9.881143569946289|-33.219017028808594|-31.158491134643555|-11.804704666137695
33|a large desk|-11.58236026763916|-10.328712463378906|-32.0024528503418|-10.351776123046875|-26.491050720214844|-27.366405487060547|-10.366687774658203
34|a large desk facing forwards|-12.480141639709473|-10.765338897705078|-35.273372650146484|-12.248255729675293|-27.07241439819336|-32.65211868286133|-12.128888130187988
35|a large desk facing backwards|-13.325812339782715|-13.027080535888672|-32.65305709838867|-11.501252174377441|-34.43133544921875|-27.78833770751953|-11.25525951385498
36|a large, grey thing|-16.860944747924805|-16.913970947265625|-40.882266998291016|-18.56325340270996|-38.506500244140625|-41.48644256591797|-19.033832550048828
37|a large, grey thing facing forwards|-24.190143585205078|-17.622833251953125|-43.8714485168457|-21.372575759887695|-39.80237579345703|-42.76311111450195|-21.38042640686035
38|a large, grey thing facing backwards|-18.604093551635742|-23.32470703125|-42.80678939819336|-20.432647705078125|-46.417091369628906|-43.92515563964844|-20.79021644592285
39|a large, grey chair|-0.649133026599884|0.08768265694379807|-29.713584899902344|-5.7119526863098145|-28.967681884765625|-30.9476375579834|-7.2916693687438965
40|a large, grey chair facing forwards|-6.774111747741699|0.04114478453993797|-30.71356964111328|-6.921069145202637|-29.09402847290039|-31.221242904663086|-8.080561637878418
41|a large, grey chair facing backwards|-0.7651282548904419|-8.229947090148926|-30.499034881591797|-6.200713634490967|-32.786827087402344|-32.69025421142578|-8.026598930358887
42|a large, grey desk|-10.288496971130371|-7.133768081665039|-32.85816192626953|-7.903316497802734|-22.046627044677734|-29.64349937438965|-7.010961055755615
43|a large, grey desk facing forwards|-10.569597244262695|-7.309322357177734|-33.55166244506836|-8.148340225219727|-22.270462036132812|-29.929349899291992|-7.3292717933654785
44|a large, grey desk facing backwards|-13.092111587524414|-12.280317306518555|-34.002967834472656|-10.787384033203125|-32.06922149658203|-31.584077835083008|-8.689641952514648
45|a large, red thing|-24.257614135742188|-24.19442367553711|-37.08092498779297|-19.103046417236328|-45.644081115722656|-37.19964599609375|-19.637908935546875
46|a large, red thing facing forwards|-28.883575439453125|-27.59918212890625|-45.17700958251953|-25.27285385131836|-50.145957946777344|-44.78388595581055|-24.938512802124023
47|a large, red thing facing backwards|-25.341842651367188|-25.204471588134766|-38.20150375366211|-21.217121124267578|-46.8999137878418|-38.223445892333984|-21.138662338256836
48|a large, red chair|-11.820749282836914|-11.965078353881836|-21.74227523803711|-6.58546257019043|-35.147682189941406|-28.30681610107422|-8.631599426269531
49|a large, red chair facing forwards|-13.96677017211914|-13.205936431884766|-29.153240203857422|-9.790481567382812|-37.089515686035156|-31.62575340270996|-11.038834571838379
50|a large, red chair facing backwards|-12.0677490234375|-12.430191040039062|-21.932323455810547|-6.744504928588867|-35.47146987915039|-28.43636131286621|-8.806246757507324
51|a large, red desk|-15.275123596191406|-15.096628189086914|-28.636640548706055|-9.68876838684082|-34.125160217285156|-22.038244247436523|-7.799352169036865
52|a large, red desk facing forwards|-18.037948608398438|-17.675865173339844|-33.63787841796875|-13.694308280944824|-37.54669952392578|-28.768924713134766|-11.846519470214844
53|a large, red desk facing backwards|-15.580078125|-15.460371017456055|-29.170780181884766|-10.01311206817627|-34.38753128051758|-22.137069702148438|-7.922329425811768
54|a small thing|-20.49100685119629|-19.556991577148438|-39.9656982421875|-15.147050857543945|-40.272064208984375|-39.90545654296875|-15.555999755859375
55|a small thing facing backwards|-24.103240966796875|-23.58668327331543|-44.71147155761719|-20.358341217041016|-43.810028076171875|-43.90727615356445|-20.23310661315918
56|a small chair|-11.481443405151367|-11.765726089477539|-31.503585815429688|-6.027268409729004|-32.96425247192383|-32.639644622802734|-8.445954322814941
57|a small chair facing backwards|-12.16295337677002|-12.525697708129883|-32.534976959228516|-6.841399192810059|-33.76114273071289|-33.46882629394531|-8.984585762023926
58|a small desk|-12.265533447265625|-11.843925476074219|-32.5048828125|-9.898426055908203|-31.518951416015625|-31.401622772216797|-6.646609783172607
59|a small desk facing backwards|-12.891990661621094|-12.391079902648926|-33.381649017333984|-10.599371910095215|-32.095394134521484|-31.930042266845703|-7.1614251136779785
60|a small, grey thing|-21.795429229736328|-20.979185104370117|-40.170162200927734|-16.44149398803711|-40.97845458984375|-40.51034164428711|-16.191205978393555
61|a small, grey thing facing backwards|-22.98398208618164|-22.37442970275879|-41.781272888183594|-17.424327850341797|-42.15914535522461|-41.852500915527344|-16.961593627929688
62|a small, grey chair|-8.920236587524414|-8.195289611816406|-28.535188674926758|-0.5141722559928894|-30.16861343383789|-29.84296226501465|-4.848292827606201
63|a small, grey chair facing backwards|-9.109941482543945|-8.402610778808594|-28.769527435302734|-0.7273311018943787|-30.341876983642578|-29.986055374145508|-4.976327419281006
64|a small, grey desk|-9.761104583740234|-8.856664657592773|-29.673446655273438|-5.044676303863525|-28.350868225097656|-28.58915138244629|-0.2690848708152771
65|a small, grey desk facing backwards|-9.97226333618164|-9.047110557556152|-29.94422149658203|-5.465127468109131|-28.56583023071289|-28.75474739074707|-0.40217164158821106
66|a small, red thing|-23.875713348388672|-23.4356746673584|-42.467323303222656|-23.715728759765625|-43.525264739990234|-42.20375061035156|-24.151077270507812
67|a small, red thing facing backwards|-26.413043975830078|-25.871952056884766|-44.8321533203125|-25.34808349609375|-45.57894515991211|-44.265811920166016|-25.68770980834961
68|a small, red chair|-12.82258129119873|-12.309066772460938|-30.96854591369629|-12.969182968139648|-33.58710479736328|-32.28029251098633|-14.528620719909668
69|a small, red chair facing backwards|-13.43607234954834|-12.844000816345215|-31.371782302856445|-13.355632781982422|-34.07999038696289|-32.77703857421875|-15.000835418701172
70|a small, red desk|-13.971665382385254|-13.612117767333984|-34.2586555480957|-14.7786865234375|-33.40663528442383|-31.915821075439453|-13.965544700622559
71|a small, red desk facing backwards|-14.448348045349121|-14.057887077331543|-34.80305099487305|-15.237929344177246|-33.77252960205078|-32.23301696777344|-14.322163581848145
