|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a thing|-14.591679573059082|-15.455939292907715|-15.091959953308105|-36.88613510131836|-15.235889434814453|-36.15840148925781|-15.765118598937988
1|a thing facing forwards|-25.907859802246094|-19.507278442382812|-28.017879486083984|-49.64893341064453|-19.425453186035156|-46.27849197387695|-26.863662719726562
2|a thing facing backwards|-20.224702835083008|-23.897266387939453|-22.330078125|-42.936214447021484|-23.766130447387695|-40.4969596862793|-20.30645179748535
3|a chair|-4.7553253173828125|-4.972402572631836|-6.1546311378479|-27.948226928710938|-7.211017608642578|-28.90969467163086|-7.513963222503662
4|a chair facing forwards|-11.13171100616455|-5.486090660095215|-12.946806907653809|-35.20946502685547|-8.440564155578613|-31.78072738647461|-13.089664459228516
5|a chair facing backwards|-5.509995460510254|-10.763688087463379|-7.91495418548584|-29.0690975189209|-9.452790260314941|-29.74907875061035|-8.338134765625
6|a desk|-10.689793586730957|-8.780330657958984|-10.981058120727539|-31.956567764282227|-5.031383514404297|-27.876558303833008|-7.493420124053955
7|a desk facing forwards|-12.464144706726074|-9.914798736572266|-15.470523834228516|-37.192501068115234|-6.034276962280273|-33.863311767578125|-13.947683334350586
8|a desk facing backwards|-12.44718074798584|-11.326669692993164|-12.097811698913574|-32.882022857666016|-12.497579574584961|-28.484256744384766|-8.512960433959961
9|a grey thing|-15.179536819458008|-16.056577682495117|-17.2181396484375|-36.79453659057617|-16.59596824645996|-38.83998489379883|-16.579084396362305
10|a grey thing facing forwards|-23.768125534057617|-18.074974060058594|-22.311325073242188|-46.16915512084961|-18.895715713500977|-41.223575592041016|-25.386028289794922
11|a grey thing facing backwards|-18.19853973388672|-22.52959632873535|-19.68606185913086|-39.34907531738281|-24.068639755249023|-41.63038635253906|-18.728179931640625
12|a grey chair|-2.254554510116577|-5.0919694900512695|-8.065573692321777|-26.88159942626953|-8.726871490478516|-30.809574127197266|-8.39676570892334
13|a grey chair facing forwards|-8.144072532653809|-5.274979591369629|-9.646493911743164|-33.225685119628906|-9.390071868896484|-31.789926528930664|-13.491575241088867
14|a grey chair facing backwards|-2.4840753078460693|-10.37055492401123|-9.138936996459961|-27.509437561035156|-10.996150970458984|-31.882692337036133|-8.946919441223145
15|a grey desk|-10.578075408935547|-9.420708656311035|-10.988679885864258|-28.7667293548584|-4.580319881439209|-30.28743553161621|-6.41659688949585
16|a grey desk facing forwards|-11.33022403717041|-9.84695816040039|-12.144501686096191|-32.8173828125|-4.97355318069458|-30.83195686340332|-11.85657024383545
17|a grey desk facing backwards|-12.470736503601074|-12.99587631225586|-12.35449504852295|-29.5616455078125|-12.122133255004883|-32.05384063720703|-6.853245735168457
18|a red thing|-19.23472023010254|-19.073535919189453|-14.417837142944336|-38.85639953613281|-19.46804428100586|-36.94268798828125|-18.91432762145996
19|a red thing facing forwards|-25.733890533447266|-26.370594024658203|-24.32137680053711|-45.00233840942383|-26.71816062927246|-45.92353820800781|-24.611095428466797
20|a red thing facing backwards|-21.882293701171875|-21.886157989501953|-17.856117248535156|-41.65966796875|-22.021495819091797|-39.70795440673828|-21.641094207763672
21|a red chair|-9.371896743774414|-9.895832061767578|-2.3759121894836426|-30.12757682800293|-11.992324829101562|-30.328388214111328|-10.640302658081055
22|a red chair facing forwards|-12.15350341796875|-11.736411094665527|-10.273862838745117|-33.031166076660156|-14.943379402160645|-34.875946044921875|-12.574435234069824
23|a red chair facing backwards|-9.93478012084961|-10.481730461120605|-3.5160505771636963|-31.023387908935547|-12.714730262756348|-30.819049835205078|-11.459744453430176
