|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a grey thing facing forwards|-44.50722122192383|-42.06726837158203|-21.8170108795166|-39.49396896362305|-21.927562713623047|-22.12432861328125|-38.44809341430664
1|a grey thing facing to the left|-47.12309265136719|-45.47128677368164|-24.886837005615234|-46.674095153808594|-26.814952850341797|-24.63052749633789|-45.92470932006836
2|a grey thing|-42.08917236328125|-40.112327575683594|-19.312969207763672|-37.27631759643555|-20.148488998413086|-20.15641212463379|-37.239967346191406
3|a grey thing facing backwards|-46.43070983886719|-43.102237701416016|-24.80245018005371|-46.067501068115234|-25.800567626953125|-24.375450134277344|-45.43378448486328
4|a grey chair facing forwards|-33.71013641357422|-32.33806610107422|-11.833420753479004|-26.46245574951172|-13.709628105163574|-13.730441093444824|-30.319318771362305
5|a grey chair facing to the left|-36.32584762573242|-35.2259635925293|-15.045318603515625|-32.17424774169922|-16.799663543701172|-15.93332576751709|-34.695106506347656
6|a grey chair|-32.81173324584961|-31.705698013305664|-10.443243980407715|-25.77403450012207|-12.476594924926758|-12.335180282592773|-29.406494140625
7|a grey chair facing backwards|-36.42599868774414|-33.80244064331055|-15.78071403503418|-33.86061477661133|-16.34859275817871|-16.27392578125|-35.463043212890625
8|a grey fan facing forwards|-35.46559524536133|-33.39494705200195|-12.518797874450684|-30.478580474853516|-10.326363563537598|-11.506952285766602|-26.482358932495117
9|a grey fan facing to the left|-38.47164535522461|-36.83699035644531|-16.143415451049805|-34.649417877197266|-14.725629806518555|-14.798661231994629|-32.429744720458984
10|a grey fan|-34.71812057495117|-32.86659240722656|-11.692876815795898|-29.28507423400879|-9.81698226928711|-11.076423645019531|-26.066009521484375
11|a grey fan facing backwards|-38.652687072753906|-36.9017333984375|-16.950210571289062|-36.46404266357422|-14.790716171264648|-15.169342041015625|-34.01853561401367
12|a green thing facing forwards|-49.43928146362305|-46.41055679321289|-24.131750106811523|-46.90094757080078|-27.217327117919922|-25.039203643798828|-46.56317138671875
