,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a small, blue fan facing to the left",-23.227783203125,topk,,"a small, green fan facing to the left""",-28.57242584228516,topk,,"a small, blue fan facing to the left",-29.912792205810547,topk,,"a small, blue fan facing to the left",-29.279621124267575,topk,,a small green sofa facing left,-28.60480308532715,topk,,a large blue sofa is facing to the left,-9.816811561584473,topk,,"a large, red sofa facing forwards",-9.335271835327148,topk,
1,"a small, blue fan is facing to the left",-30.325986862182617,topk,,"a small, green fan (2)",-31.12327003479004,topk,,a small blue fan facing to the left,-31.64790153503418,topk,,"a small, green fan",-30.399333953857425,topk,,"a small, green sofa  (5)",-30.354122161865234,topk,,"a small, blue fan facing to the left",-10.759930610656738,topk,,"a small, blue fan facing to the left",-9.647787094116213,topk,
2,"a small fan, blue in color, facing left",-31.23408508300781,topk,,a fan facing to the left,-31.658891677856445,topk,,a big blue fan facing left,-31.81095314025879,topk,,"a large, red fan facing the opposite direction of the others",-32.69209289550781,topk,,"a small, green fan",-30.64007568359375,topk,,"a large, blue sofa is facing to the left",-9.023148536682127,topk,,"a large, red sofa facing the opposite direction of the others",-12.532560348510742,topk,
3,"a small, blue fan in the room",-31.00801467895508,topk,,"a small, green fan, facing left",-31.263490676879883,topk,,"a  large, blue fan facing to the left",-31.21611213684082,topk,,"a small, green fan facing to the left",-28.45516586303711,topk,,"a small, green couch",-29.96820068359375,topk,,"a large, blue sofa (6)",-11.064139366149902,topk,,a large sofa facing backwards,-8.682686805725098,topk,
4,"a blue, small fan facing to the left",-31.05036354064941,topk,,"a small, green fan",-25.15742492675781,topk,,a large blue fan in the room,-31.96547508239746,topk,,a red sofa facing backwards,-28.80339813232422,topk,,"a small, green sofa ",-27.84142303466797,topk,,"a large, blue sofa  ",-10.879862785339355,topk,,a large red sofa facing backward,-9.268182754516602,topk,
5,"a small, blue fan  facing to the left",-29.92960548400879,topk,,"a small, green fan facing to the left in the room",-31.51790428161621,topk,,a large blue fan facing to the left,-30.36034202575684,topk,,a red fan that is facing backwards,-29.452608108520508,topk,,"a small, green sofa facing to the left is in the room",-31.31930923461914,topk,,"a large, blue sofa 6",-11.002281188964844,topk,,"a large, red sofa facing the opposite direction of other objects",-12.718465805053713,topk,
6,"a small, blue fan to the left",-30.33734130859375,topk,,"a small, green fan facing to the left",-23.82242584228516,topk,,a large blue fan ,-31.638017654418945,topk,,"a large, red fan facing the opposite direction",-32.21204376220703,topk,,"a small, green sofa facing to the left ",-27.877614974975582,topk,,"a large, blue couch",-9.869112014770508,topk,,"a large, red sofa is facing backwards",-8.687129020690918,topk,
7,a small fan that is blue in color and facing to the left,-31.53215789794922,topk,,"a small, green fan facing to the left'",-31.33805084228516,topk,,"a large blue fan""",-32.20832824707031,topk,,"a large, red fan  (4)",-31.460912704467773,topk,,a blue sofa facing to the left,-30.312856674194336,topk,,a large blue sofa  facing to the left,-9.814176559448242,topk,,a red sofa facing backwards,-9.14020824432373,topk,
8,"a blue, small fan facing left",-30.91078186035156,topk,,a small fan facing left,-31.253347396850582,topk,,"a small, green fan facing to the left",-32.19975662231445,topk,,"a large, red fan",-30.92631721496582,topk,,"a small, green sofa""",-30.74767303466797,topk,,"a  large, blue sofa facing to the left",-10.510786056518556,topk,,"a large, red sofa facing to the right",-12.258103370666504,topk,
9,"a small, blue fan, facing to the left",-30.75065803527832,topk,,"a small fan, green",-30.816123962402344,topk,,a large fan is facing to the left,-32.52167510986328,topk,,a large red fan ,-30.286544799804688,topk,,"a small, green sofa facing to the left""",-28.315114974975582,topk,,"a large, blue sofa""",-10.176737785339355,topk,,"a large, red sofa facing to the left",-9.79157257080078,topk,
10,"a small, blue fan  #1",-31.15523147583008,topk,,"a small, green fan facing to the left ",-28.33023834228516,topk,,a large fan that is blue and facing to the left,-31.88826560974121,topk,,a red fan facing the opposite direction of the other fans,-31.82573699951172,topk,,"a large, blue sofa facing to the left",-29.740636825561523,topk,,a blue sofa facing to the left,-7.71359395980835,topk,,"a large, red sofa faces backwards",-9.80400276184082,topk,
11,"a small, blue fan facing the left",-29.044872283935547,topk,,"a small, green fan facing to the left;",-31.40055084228516,topk,,"a large fan facing to the left, blue in color",-33.073585510253906,topk,,a backwards red fan,-29.07011032104492,topk,,"a small, green sofa facing to the left of the room",-30.94023895263672,topk,,a large blue sofa faces to the left,-11.101716995239258,topk,,a red sofa facing backward,-10.163125991821287,topk,
12,"a small, blue fan  (1)",-30.19295692443848,topk,,"a large, green fan facing to the left",-30.303003311157227,topk,,"a large, blue fan",-23.221397399902344,topk,,"a large, red fan faces backwards",-30.66634750366211,topk,,"a small, green sofa facing to the left",-23.893239974975582,topk,,"a large, blue sofa, facing left",-11.194642066955566,topk,,a red sofa is facing backwards,-9.922369003295898,topk,
13,a small fan facing the left,-30.84200668334961,topk,,"a large, blue fan facing to the left",-30.361473083496094,topk,,a large fan,-32.116966247558594,topk,,"a large red fan, facing backwards",-30.739870071411133,topk,,"a small, green sofa facing to the left;",-30.658864974975582,topk,,"a large, blue fan",-10.439424514770508,topk,,"a large, red sofa facing the wall",-10.535961151123049,topk,
14,"a large, blue fan facing to the left",-31.355796813964844,topk,,"a small, green fan  (2)",-30.42795753479004,topk,,a large blue fan  facing to the left,-32.12786102294922,topk,,a backwards-facing red fan,-29.600635528564453,topk,,a small green sofa facing the left,-29.36952209472656,topk,,"a large, blue sofa that is facing to the left",-10.524304389953612,topk,,"a large, blue sofa facing to the left",-8.635778427124023,topk,
15,"a small, blue fan on the left",-30.08501243591309,topk,,"a fan, green",-31.431432723999023,topk,,a large blue fan is facing to the left,-30.21074867248535,topk,,a red fan facing backward,-29.340354919433597,topk,,"a small, green sofa facing to the left in the room",-30.23338508605957,topk,,"a large, blue sofa in the room",-11.298611640930176,topk,,"a small, green sofa facing to the left",-10.587932586669922,topk,
16,a small fan facing to the left,-27.961400985717773,topk,,a blue fan,-29.942554473876957,topk,,"a large blue fan, facing to the left",-29.925273895263672,topk,,"a large, red fan  facing backwards",-30.380727767944336,topk,,"a small, green sofa, facing left",-30.633760452270508,topk,,"a large, blue sofa facing to the left",-1.9341503381729128,topk,,"a large, red sofa facing downwards",-10.486908912658691,topk,
17,a little blue fan,-29.251604080200195,topk,,a small fan facing to the left,-30.71322059631348,topk,,"a large, blue sofa facing to the left",-30.740697860717773,topk,,"a large, blue fan facing to the left",-29.701343536376957,topk,,a sofa,-28.931716918945312,topk,,"a small, green sofa facing to the left",-10.790922164916992,topk,,"a large, red, backwards-facing sofa",-10.610503196716309,topk,
18,a blue fan,-24.6661319732666,topk,,"a small, blue fan",-30.23138999938965,topk,,a large fan is blue and facing to the left,-32.97593307495117,topk,,"a large, red fan that is facing backwards",-29.749704360961918,topk,,"a small, green sofa facing to the left'",-30.393239974975582,topk,,"a large, blue sofa facing left",-7.371389865875244,topk,,a large red sofa facing backwards,-8.85002326965332,topk,
19,"a small, blue fan ",-27.006256103515625,topk,,"a small, green fan""",-30.32929992675781,topk,,a large fan that is blue in color,-32.7840690612793,topk,,"a large, red fan facing to the left",-30.645339965820312,topk,,a green fan,-30.02803421020508,topk,,"a large, blue sofa",-4.629862785339356,topk,,"a small, blue fan",-10.04940414428711,topk,
20,"a small, blue fan",-24.631256103515625,topk,,"a small, green fan is facing to the left",-30.58576011657715,topk,,a blue fan,-28.370460510253903,topk,,a large red fan facing backwards,-31.65778923034668,topk,,"a small, green sofa facing the left",-28.704042434692383,topk,,a large blue sofa faces left,-10.788023948669434,topk,,"a large, red sofa, facing backwards",-8.748821258544922,topk,
21,"a small fan, blue in color, facing to the left",-30.82000541687012,topk,,a green fan,-25.07581901550293,topk,,"a small, blue fan",-31.550762176513672,topk,,a red fan ,-28.880386352539062,topk,,"a small, green sofa is facing to the left",-28.428102493286133,topk,,a large sofa facing to the left,-8.773004531860352,topk,,a sofa,-10.515497207641602,topk,
22,"a small, blue fan 1",-29.280010223388672,topk,,"a small, green fan is in the room",-31.371906280517575,topk,,a large blue fan to the left,-31.043794631958008,topk,,a large red sofa facing backwards,-29.58570671081543,topk,,"a small, green sofa, facing to the left",-28.229923248291016,topk,,"a large, blue sofa  (6)",-10.728802680969238,topk,,"a large,",-10.05651569366455,topk,
23,"a fan, blue, small",-30.92941093444824,topk,,"a small, green fan facing the left",-28.846513748168945,topk,,a large blue fan face left,-31.782114028930664,topk,,"a small, blue fan",-30.24020004272461,topk,,"a large, red sofa facing backwards",-30.247690200805664,topk,,a green fan,-9.846129417419434,topk,,"a large, red sofa""",-10.170475006103516,topk,
24,a small blue facing left fan,-31.2877197265625,topk,,a small green fan,-25.491771697998047,topk,,a large fan that is blue in color and facing to the left,-32.11186981201172,topk,,a red fan facing the opposite direction of the others,-31.84803771972656,topk,,a small green sofa,-27.540695190429688,topk,,a blue sofa facing left,-7.95770263671875,topk,,a sofa facing backwards,-9.078755378723145,topk,
25,"a small, blue fan (1)",-30.514026641845703,topk,,"a small, green fan facing to the left (2)",-32.21379852294922,topk,,a large blue fan on the left,-32.51295471191406,topk,,a fan facing backwards,-28.147510528564453,topk,,"a small, green sofa 5",-30.6068058013916,topk,,"a large, blue sofa, facing to the left",-8.425086975097656,topk,,"a large, red fan facing backwards",-10.145180702209473,topk,
26,a small fan in the room,-30.702545166015625,topk,,"a small, green fan to the left",-31.18701934814453,topk,,a large blue fan facing the left,-31.06361198425293,topk,,"a red fan, facing backwards",-28.65132522583008,topk,,"a small, green sofa faces to the left",-30.20734977722168,topk,,"a large, blue sofa faces left",-10.91382884979248,topk,,"a large, red sofa face backwards",-10.78648853302002,topk,
27,"a small, blue fan faces left",-31.24970054626465,topk,,"a small, green fan ",-27.66523742675781,topk,,a large fan that is blue,-32.40705490112305,topk,,"a large, red fan, facing backwards",-28.74163818359375,topk,,"a small, green sofa facing to the left  (5)",-31.328514099121094,topk,,"a large, blue sofa ",-7.5361127853393555,topk,,"a large, red sofa  facing backwards",-8.811838150024414,topk,
28,"a small, blue fan  ",-30.334381103515625,topk,,"a small, green fan  ",-30.89179992675781,topk,,a large blue fan,-29.786455154418945,topk,,"a large, red fan facing backwards",-30.57575798034668,topk,,a small green sofa facing to the left,-28.004308700561523,topk,,a large blue sofa,-10.496871948242188,topk,,"a red, large sofa facing backwards",-10.463908195495604,topk,
29,"a small, blue fan is in the room",-31.080883026123047,topk,,a small blue fan,-30.920900344848636,topk,,"a  large, blue fan  facing to the left",-32.5797119140625,topk,,"a large, red, backwards-facing fan",-31.01642417907715,topk,,a green sofa,-24.66737365722656,topk,,"a large, blue sofa to the left",-10.507283210754396,topk,,"a large, red sofa facing backwards",-6.21344804763794,topk,
30,a small blue fan,-23.631563186645508,topk,,a small fan,-31.01277732849121,topk,,"a large,",-32.077327728271484,topk,,a red fan facing to the right,-29.87430763244629,topk,,"a small, green sofa facing to the left,",-28.955739974975582,topk,,a large blue sofa facing the left,-10.745545387268066,topk,,a red couch,-10.23114776611328,topk,
31,"a small, blue fan""",-30.193756103515625,topk,,a green sofa,-31.566320419311523,topk,,"a large blue fan, facing left",-30.801027297973636,topk,,"a large, red sofa facing backwards",-28.55161666870117,topk,,a,-29.541091918945312,topk,,"a large, blue sofa facing the left",-7.970925331115723,topk,,"a large, red sofa facing the opposite direction of the other objects",-12.410674095153809,topk,
32,a small fan,-28.54638290405273,topk,,"a small, green fan  facing to the left",-30.208534240722656,topk,,a large blue fan  (3),-32.459129333496094,topk,,"a large, red fan facing to the right",-30.129714965820312,topk,,a small sofa facing to the left,-29.70594024658203,topk,,a blue sofa,-8.685930252075195,topk,,"a large, red sofa  ",-10.467350006103516,topk,
33,"a small, blue fan, facing left",-29.49034309387207,topk,,a,-30.581111907958984,topk,,"a large fan, blue in color, facing to the left",-31.32734489440918,topk,,a red fan is backwards,-29.52197265625,topk,,a small green sofa ,-30.501632690429688,topk,,"a large, blue sofa faces to the left",-9.797619819641112,topk,,"a  large, red sofa facing backwards",-9.379236221313477,topk,
34,a,-29.943347930908203,topk,,"a small, green fan, facing to the left",-29.57998275756836,topk,,a large blue fan that is facing to the left,-32.269012451171875,topk,,a large red fan is facing backwards,-30.36768913269043,topk,,"a small, green sofa  facing to the left",-28.50150680541992,topk,,a blue sofa facing the left,-10.39469051361084,topk,,a large red sofa,-10.421998977661133,topk,
35,"a small fan, blue",-31.31443977355957,topk,,"a small, green fan facing left",-28.5109920501709,topk,,a large blue fan faces left,-31.153549194335938,topk,,a red fan is facing backwards,-27.93149185180664,topk,,"a green, small sofa facing to the left",-30.45000457763672,topk,,a green sofa,-9.103747367858888,topk,,a large blue sofa,-10.762755393981934,topk,
36,"a small fan, blue, facing left",-30.440509796142575,topk,,"a small, green fan in the room",-31.377077102661133,topk,,a large fan facing the left,-32.294132232666016,topk,,"a red, large fan facing backwards",-29.82228279113769,topk,,"a small, green sofa that is facing to the left",-30.390287399291992,topk,,a,-8.531357765197754,topk,,a blue sofa,-10.108503341674805,topk,
37,"a small, blue fan facing left",-27.7445011138916,topk,,"a small, green fan facing to the left  (2)",-32.12968063354492,topk,,a blue sofa,-31.48579788208008,topk,,a red fan,-25.56788444519043,topk,,"a small, green sofa",-28.32579803466797,topk,,"a large, blue sofa  facing to the left",-8.374774932861328,topk,,"a large, red sofa ",-7.451725006103516,topk,
38,"a small, blue fan that is facing to the left",-31.17812156677246,topk,,"a small, green fan facing to the left,",-29.77555084228516,topk,,a large,-32.16853713989258,topk,,a red fan facing backwards,-24.55882453918457,topk,,a red thing,-41.22901153564453,logic,,"a large blue sofa, facing to the left",-9.964725494384766,topk,,"a large, red sofa facing backward",-8.533783912658691,topk,
39,"a small,",-31.248170852661133,topk,,"a small, green sofa",-30.287250518798828,topk,,a large fan that is blue in color and is facing to the left,-32.95814514160156,topk,,"a large, red fan is facing backwards",-30.964820861816406,topk,,a red thing facing backwards,-43.098121643066406,logic,,a large  blue sofa,-10.675493240356444,topk,,a large sofa,-9.55606174468994,topk,
40,a small,-31.084491729736328,topk,,a red thing,-43.432376861572266,logic,,a,-29.72704124450684,topk,,a,-29.38344955444336,topk,,a red thing facing to the left,-47.05086517333984,logic,,"a large, blue sofa-facing to the left",-10.952499389648438,topk,,"a large, red, backwards sofa",-10.663190841674805,topk,
41,a red thing,-42.063846588134766,logic,,a red thing facing backwards,-45.447792053222656,logic,,a large blue fan is in the room,-32.64838790893555,topk,,"a large, red fan is facing backwards in the room",-32.22541809082031,topk,,a red fan,-34.64699172973633,logic,,a big blue sofa facing left,-10.775729179382324,topk,,"a large, red sofa-facing backwards",-10.759820938110352,topk,
42,a red thing facing backwards,-44.19739532470703,logic,,a red thing facing to the left,-49.99567413330078,logic,,a large blue facing left fan,-31.968854904174805,topk,,"a large, red fan turned around",-31.747150421142575,topk,,a red fan facing backwards,-36.33063125610352,logic,,a large blue sofa facing to the left,-10.870390892028809,topk,,a,-7.886533260345459,topk,
43,a red thing facing to the left,-48.39413833618164,logic,,a red fan,-34.770687103271484,logic,,"a large fan, blue, facing left",-32.04623794555664,topk,,a red fan facing the opposite direction,-31.7359619140625,topk,,a red fan facing to the left,-38.78818130493164,logic,,a large blue sofa facing left,-9.897217750549316,topk,,a large red sofa ,-10.203248977661133,topk,
44,a red fan,-33.61606979370117,logic,,a red fan facing backwards,-35.57090377807617,logic,,a large fan facing to the left,-32.32961654663086,topk,,"a large, red fan facing the opposite direction of the other fans",-32.22417449951172,topk,,a red sofa,-32.477378845214844,logic,,a red thing,-41.456199645996094,logic,,a large red sofa is facing backwards,-10.459118843078612,topk,
45,a red fan facing backwards,-34.3846549987793,logic,,a red fan facing to the left,-39.48183822631836,logic,,a large blue fan facing left,-29.87802124023437,topk,,a red fan facing the opposite direction of other fans,-32.20234298706055,topk,,a red sofa facing backwards,-32.96676254272461,logic,,a red thing facing backwards,-43.37556076049805,logic,,"a large, red sofa that is facing backwards",-10.51948356628418,topk,
46,a red fan facing to the left,-38.11592864990234,logic,,a red sofa,-34.989315032958984,logic,,"a large fan, facing to the left",-31.985034942626957,topk,,a red fan backwards,-29.013198852539062,topk,,a red sofa facing to the left,-36.76809310913086,logic,,a red thing facing to the left,-47.722434997558594,logic,,"a large, red sofa facing the opposite direction of all other objects",-12.58053970336914,topk,
47,a red sofa,-33.61509704589844,logic,,a red sofa facing backwards,-35.60553741455078,logic,,a large blue fan is facing left,-31.28645133972168,topk,,a red thing,-35.4351806640625,logic,,a green thing,-34.909358978271484,logic,,a red fan,-34.94318389892578,logic,,a  red sofa,-10.395889282226562,topk,
48,a red sofa facing backwards,-34.3973274230957,logic,,a red sofa facing to the left,-39.6956672668457,logic,,a large blue sofa facing to the left,-31.47545623779297,topk,,a red thing facing backwards,-36.9456672668457,logic,,a green thing facing backwards,-46.08647918701172,logic,,a red fan facing backwards,-36.21888732910156,logic,,"a large, red sofa",-8.248600006103516,topk,
