,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a small, blue fan facing to the left",-2.3488645553588867,topk,,"a small, blue fan facing to the left",-30.603355407714844,topk,,"a small, blue fan facing to the left",-8.375683784484863,topk,,"a small, blue fan facing to the left",-29.279598236083984,topk,,a small green sofa facing left,-30.138240814208984,topk,,a large blue sofa is facing to the left,-31.44572257995605,topk,,"a large, red sofa facing forwards",-30.9344482421875,topk,
1,"a small, blue fan is facing to the left",-9.445182800292969,topk,,"a small, green fan (2)",-31.12563133239746,topk,,"a  large, blue fan facing to the left",-9.67900276184082,topk,,a large fan is red and facing backwards,-31.141876220703125,topk,,"a small, green sofa  (5)",-30.355966567993164,topk,,"a large, blue sofa is facing to the left",-33.32160568237305,topk,,"a small, blue fan facing to the left",-30.745445251464844,topk,
2,a fan facing to the left,-9.82151985168457,topk,,"a small, green fan face",-31.21992492675781,topk,,a large blue fan facing to the left,-4.082469463348389,topk,,"a small, green fan",-30.399333953857425,topk,,a green couch facing left,-30.7510986328125,topk,,"a large, blue sofa  ",-32.50876998901367,topk,,"a large, red sofa facing the opposite direction of the others",-33.95917892456055,topk,
3,"a small, blue fan in the room",-10.128962516784668,topk,,"a small, green fan, facing left",-31.58035087585449,topk,,a large blue fan ,-8.014968872070312,topk,,"a large fan, facing backwards",-31.68260383605957,topk,,a green sofa is facing left,-30.39897727966309,topk,,"a large, blue sofa 6",-32.64036560058594,topk,,a large sofa facing backwards,-28.32720375061035,topk,
4,"a blue, small fan facing to the left",-10.778353691101074,topk,,"a small, green fan",-30.4548282623291,topk,,"a large, blue fan faces to the left",-9.109872817993164,topk,,a large fan that is red in color and facing backwards,-31.363506317138672,topk,,a small sofa,-28.93260383605957,topk,,"a  large, blue sofa facing to the left",-31.29966354370117,topk,,a large red sofa facing to the right,-32.709251403808594,topk,
5,"a small fan facing to the left, blue in color",-11.035771369934082,topk,,"a green fan""",-31.31148338317871,topk,,"a large, blue fan, facing left",-9.922029495239258,topk,,a large blue fan facing to the left,-31.242074966430664,topk,,"a small, green sofa faces left",-30.39191627502441,topk,,"a large, blue sofa""",-32.01072311401367,topk,,a large red sofa facing backward,-30.365840911865234,topk,
6,a small fan facing left,-8.049763679504395,topk,,"a small, green fan facing to the left",-30.043550491333008,topk,,"a small, green fan facing to the left",-10.49077320098877,topk,,a large fan is facing backwards,-31.74764442443848,topk,,a green sofa ,-30.042333602905277,topk,,a blue sofa facing to the left,-29.342500686645508,topk,,"a large, red sofa facing the opposite direction of other objects",-33.81210708618164,topk,
7,"a small, blue fan  facing to the left",-9.05156135559082,topk,,a small fan facing left,-31.27991104125977,topk,,"a large, blue fan facing left",-7.455976486206055,topk,,"a red, facing-backwards fan",-31.89069366455078,topk,,a blue sofa facing to the left,-30.312856674194336,topk,,a large blue sofa faces to the left,-32.74589920043945,topk,,"a large, red sofa is facing backwards",-32.90210723876953,topk,
8,"a small, blue fan to the left",-8.406272888183594,topk,,a green fan facing to the left,-30.09786796569824,topk,,"a large, blue fan is facing to the left",-8.309582710266113,topk,,"a small, green fan facing to the left",-28.45516586303711,topk,,a green small sofa,-30.191240310668945,topk,,"a large, blue sofa, facing left",-32.809288024902344,topk,,a red sofa facing backwards,-30.237865447998047,topk,
9,a small fan that is blue in color and facing to the left,-10.659334182739258,topk,,a green fan ,-29.85835838317871,topk,,"a large, blue fan in the room",-10.38890552520752,topk,,a large fan facing backwards is red,-31.5517578125,topk,,"a green sofa, facing to the left",-29.719165802001957,topk,,"a large, blue sofa that is facing to the left",-32.565025329589844,topk,,"a large, red sofa facing to the right",-33.35553741455078,topk,
10,"a blue, small fan facing left",-10.031879425048828,topk,,a green fan in the room,-31.14105033874512,topk,,"a large, blue fan faces left",-9.835612297058104,topk,,"a large, red, backwards fan",-30.711652755737305,topk,,"a large, blue sofa facing to the left",-29.184547424316406,topk,,"a large, blue sofa in the room",-32.92314147949219,topk,,"a large, red sofa faces backwards",-30.917179107666016,topk,
11,"a small, blue fan, facing to the left",-9.87175178527832,topk,,a green fan is facing to the left,-30.76923370361328,topk,,"a large, blue fan  (3)",-9.519363403320312,topk,,a fan that is red and facing backwards,-31.562898635864254,topk,,"a small, green sofa facing to the left",-33.127899169921875,topk,,"a large, blue sofa facing to the left",-29.990703582763672,topk,,a red sofa facing backward,-31.26078414916992,topk,
