,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a green desk facing forwards, small in size",-10.320303916931152,topk,,"a large, green desk facing to the right",-29.45849227905273,topk,,a large desk,-28.275035858154297,topk,,a grey desk facing the left,-31.61696052551269,topk,,a chair facing to the right,-9.384312629699709,topk,,"a large, green chair  ",-32.983848571777344,topk,,a chair facing to the left,-30.055709838867188,topk,
1,a green small desk facing forwards,-8.605273246765137,topk,,a green desk facing the right,-30.975595474243164,topk,,"a large, green desk facing to the right",-32.539337158203125,topk,,a large desk,-32.46104431152344,topk,,"a small, green chair  facing to the right",-8.637027740478516,topk,,"a large, green chair facing to the left",-34.66618347167969,topk,,"a large, grey chair facing the left",-30.42809295654297,topk,
2,a small desk facing forwards,-5.59566593170166,topk,,a small green desk facing to the right,-26.980880737304688,topk,,a desk,-30.09148406982422,topk,,a desk,-29.82398223876953,topk,,"a  small, green chair facing to the right",-10.550379753112791,topk,,a large green chair is facing forwards,-33.22079849243164,topk,,"a  large, grey chair facing to the left",-31.78912734985352,topk,
3,a small green desk facing forwards ,-7.253113269805908,topk,,"a  small, green desk facing to the right",-31.420795440673828,topk,,"a large desk, facing forwards, green",-32.22649383544922,topk,,a desk facing left,-31.22858619689941,topk,,a small green chair ,-10.678580284118652,topk,,a green chair that is facing forwards,-33.24382400512695,topk,,a grey chair facing the left,-31.658973693847656,topk,
4,a desk,-9.32651138305664,topk,,"a small green desk facing to the right""",-31.777755737304688,topk,,a large green desk facing to the left,-32.291282653808594,topk,,"a large desk, grey in color, facing to the left",-32.640174865722656,topk,,a small green desk facing to the right,-10.313884735107422,topk,,"a large, green chair  facing forwards",-30.968158721923828,topk,,"a large, grey chair face to the left",-32.364864349365234,topk,
5,a small green desk facing to the right,-9.674212455749512,topk,,a desk facing to the right,-31.542722702026367,topk,,a large green desk  facing forwards,-31.03593635559082,topk,,"a large desk, facing to the left, grey in color",-34.717620849609375,topk,,"a small, green chair 5",-10.007428169250488,topk,,"a  large, green chair facing forwards",-32.14179992675781,topk,,"a large, grey, chair facing to the left",-33.35900115966797,topk,
6,a small green desk facing forwards is in the room,-9.934700012207031,topk,,a desk facing right,-30.40802955627441,topk,,a green chair facing forwards,-31.214588165283203,topk,,"a grey, large desk facing to the left",-32.099666595458984,topk,,"a small, green chair, facing to the right",-8.223593711853027,topk,,a green chair facing forwards,-33.312252044677734,topk,,a grey chair,-32.89357376098633,topk,
7,a little green desk facing forward,-9.751577377319336,topk,,a small green desk facing the right,-29.30925750732422,topk,,"a large, green desk that is facing forwards",-31.376861572265625,topk,,a desk facing to the left,-30.064157485961918,topk,,a green desk chair facing to the right,-9.871045112609863,topk,,a large green chair facing to the right,-32.39060974121094,topk,,"a large, grey chair faced to the left",-33.449520111083984,topk,
8,a small green desk ,-8.638445854187012,topk,,a small green desk ,-31.52793502807617,topk,,"a large desk, facing forwards",-31.398822784423828,topk,,"a  large, grey desk facing to the left",-31.64458274841309,topk,,"a small, green chair facing  to the right",-10.87353229522705,topk,,a big green chair facing forward,-32.557701110839844,topk,,"a large, grey chair facing left",-30.09730529785156,topk,
9,a small,-9.517817497253418,topk,,"a small, green desk facing  to the right",-31.85988426208496,topk,,a large green desk facing forwards,-25.15310287475586,topk,,a large desk facing to the left,-29.37998962402344,topk,,a small,-10.71485424041748,topk,,"a large, green chair is facing forwards",-31.749988555908203,topk,,"a large, grey chair on the left",-32.949344635009766,topk,
10,a small desk,-7.481341361999512,topk,,a desk facing the right,-31.30674362182617,topk,,a large desk is facing forwards,-31.428503036499023,topk,,"a large, grey desk",-23.648136138916016,topk,,"a small, green chair""",-10.78441047668457,topk,,"a large, green chair facing to the right",-34.43186569213867,topk,,"a large, grey desk facing to the left",-32.82065963745117,topk,
11,"a small, green desk  ",-9.72380542755127,topk,,a small,-31.523473739624023,topk,,"a large, green desk",-31.22410011291504,topk,,a large green desk facing forwards,-30.43343162536621,topk,,"a small, green chair ",-7.09691047668457,topk,,a large chair facing forwards,-30.45692443847656,topk,,a grey chair ,-32.88576126098633,topk,
12,"a small, green, desk, facing forwards",-10.360180854797363,topk,,a small desk facing the right,-31.294788360595703,topk,,"a large, green desk is facing forwards",-30.395872116088867,topk,,a big grey desk,-31.72779083251953,topk,,a small chair facing to the right,-9.107211112976074,topk,,"a large, green desk chair facing forwards",-31.532602310180664,topk,,"a large, grey chair facing to the right",-32.83201599121094,topk,
13,a desk facing forwards,-8.071247100830078,topk,,"a small, green desk  (2)",-32.29758834838867,topk,,a large green desk is facing forwards,-31.17662811279297,topk,,a grey desk facing to the left of the room,-32.35507583618164,topk,,a small green chair to the right,-10.261735916137695,topk,,a large green chair  facing forwards,-33.19003677368164,topk,,a large grey chair facing to the left,-31.806127548217773,topk,
14,"a small green desk, facing forwards",-8.179275512695312,topk,,a small desk,-31.299072265625,topk,,a large green desk ,-30.14775276184082,topk,,a large grey chair facing to the left,-32.296485900878906,topk,,"a small, green chair",-4.11253547668457,topk,,"a large, green chair facing forward",-32.383644104003906,topk,,a large grey chair ,-32.76918411254883,topk,
15,"a small, green desk ",-6.794118404388428,topk,,"a small, green desk  ",-31.377765655517575,topk,,a large green desk,-27.24150276184082,topk,,a large green desk,-32.197139739990234,topk,,a small green chair facing to the right,-6.448318958282471,topk,,a green desk chair facing forwards,-31.92572593688965,topk,,a large gray chair facing to the left,-32.85185241699219,topk,
16,a small green desk  facing forwards,-9.033831596374512,topk,,a small green desk facing to the right of the room,-32.215576171875,topk,,a desk facing forwards,-29.930816650390625,topk,,a grey desk facing left,-30.42125701904297,topk,,a small chair facing right,-10.726635932922363,topk,,a large green chair facing forwards in the room,-32.19395446777344,topk,,"a grey, large chair facing to the left",-33.54774475097656,topk,
17,"a small, green desk (1)",-10.23224925994873,topk,,a small desk facing to the right,-28.504318237304688,topk,,"a large green desk, facing forwards",-30.42325592041016,topk,,"a large, grey table",-31.913761138916016,topk,,"a small, green desk chair facing to the right",-9.27606201171875,topk,,a large green chair,-32.90391540527344,topk,,"a large, grey chair to the left",-30.570964813232425,topk,
18,"a small, green desk in the room",-9.83488655090332,topk,,a green desk facing right,-29.56171226501465,topk,,a green table,-31.42839813232422,topk,,a large grey desk,-26.674001693725582,topk,,"a small, green chair that is facing to the right",-10.146103858947754,topk,,"a large green chair, facing forwards",-33.0639762878418,topk,,"a large, grey chair is facing to the left",-31.713483810424805,topk,
19,a green desk facing forwards,-5.50958251953125,topk,,"a small, green table facing to the right",-31.472257614135746,topk,,a large green table,-30.71573257446289,topk,,a grey desk in the room,-32.60093307495117,topk,,"a small, green chair to the right",-8.875892639160156,topk,,a green chair facing to the left,-33.11502456665039,topk,,a large chair facing to the left,-32.737186431884766,topk,
20,"a small, green, desk facing forwards",-9.924781799316406,topk,,"a small, green desk ",-28.534015655517575,topk,,"a large, green desk facing to the left",-32.78889083862305,topk,,a large gray desk facing to the left,-32.26817321777344,topk,,"a small, green chair is facing to the right",-9.228582382202148,topk,,"a large, green chair, facing forwards",-31.22036361694336,topk,,a large grey desk facing to the left,-31.86395835876465,topk,
21,"a green desk, facing forwards",-9.28333854675293,topk,,a small desk facing right,-29.735536575317383,topk,,a large green desk facing to the right,-31.825515747070312,topk,,a green desk facing forwards,-32.06472396850586,topk,,"a small, green chair face to the right",-10.60300350189209,topk,,a large green chair ,-32.67735290527344,topk,,"a large, grey desk chair facing to the left",-32.03421401977539,topk,
22,"a small green desk facing forwards""",-9.39373779296875,topk,,"a small, green desk faced to the right",-30.96733283996582,topk,,a large desk facing forward,-31.34220695495605,topk,,"a grey desk, facing left",-32.02660369873047,topk,,"a small,",-10.65598201751709,topk,,"a large, green chair facing the front",-33.170127868652344,topk,,"a large, grey chair in the room",-32.75873565673828,topk,
23,a small green desk facing to the left,-10.361712455749512,topk,,"a small, green desk, facing to the right",-29.32451057434082,topk,,"a large, green desk in the room",-31.570898056030277,topk,,a large desk that is grey in color and facing to the left,-33.56512451171875,topk,,a green chair facing to the right,-10.472497940063477,topk,,"a large, green chair",-26.98384666442871,topk,,"a large, grey chair that is facing to the left",-35.048091888427734,topk,
24,a small green desk,-9.357195854187012,topk,,"a small, green desk is facing to the right",-31.120615005493164,topk,,a green desk facing forwards,-31.01278114318848,topk,,"a large, grey chair",-30.429386138916016,topk,,"a small, green chair faces to the right",-10.24206829071045,topk,,"a large green chair facing forwards""",-32.293479919433594,topk,,"a large, grey chair faces to the left",-32.70878982543945,topk,
