,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey chair ",-28.607345581054688,topk,,"a large, grey chair ",-29.022933959960938,topk,,"a large, red chair  facing backwards",-31.50288963317871,topk,,"a small, grey chair that is facing backwards",-8.910994529724121,topk,,a chair facing forwards,-31.01290512084961,topk,,"a large, red desk with its back facing the viewer",-33.533329010009766,topk,,"a small, grey desk faced backwards",-10.023905754089355,topk,
1,a grey chair ,-30.39471435546875,topk,,"a large, grey chair facing forwards;",-32.642574310302734,topk,,a red chair ,-29.372732162475582,topk,,"a large, grey chair facing backwards",-7.212647914886475,topk,,a large desk,-29.442184448242188,topk,,"a large, red desk""",-31.876331329345703,topk,,"a large, grey chair facing backwards",-9.086336135864258,topk,
2,"a large, grey, backwards chair",-32.18389129638672,topk,,"a large, grey chair facing forwards is in the room",-31.50687789916992,topk,,a red chair facing backward,-29.885475158691406,topk,,a small grey chair,-8.499876976013184,topk,,"a large grey desk facing forwards""",-31.58265686035156,topk,,"a large, red desk facing the opposite direction of the other objects",-35.04232406616211,topk,,a desk facing backwards,-9.4962797164917,topk,
3,"a large, grey chair facing the opposite direction of the other chairs",-35.87861251831055,topk,,"a large, grey chair facing forwards,",-31.703039169311523,topk,,a  red  chair,-31.680145263671875,topk,,"a small, grey chair  (4)",-10.59104347229004,topk,,"a large, grey desk, facing forwards",-32.21390914916992,topk,,a large desk,-30.823883056640625,topk,,"a small, grey desk is facing backwards",-9.02696132659912,topk,
4,"a large, grey chair facing backwards",-28.65062522888184,topk,,"a large, grey chair that is facing forwards",-31.325851440429688,topk,,"a large, grey chair facing backwards",-32.116233825683594,topk,,"a grey, small chair facing backwards",-9.52704906463623,topk,,"a large, grey desk",-25.23326110839844,topk,,"a large, red desk, facing backwards",-29.642282485961918,topk,,"a small, grey desk ",-6.7946553230285645,topk,
5,a large chair facing backwards,-29.20745277404785,topk,,a grey chair,-31.21598625183105,topk,,"a large, red chair faces backwards",-32.16201400756836,topk,,"a small, grey chair  facing backwards",-9.506341934204102,topk,,a desk facing forwards,-30.064701080322266,topk,,a red desk facing backwards,-30.57756996154785,topk,,"a small, grey desk  facing backwards",-8.274221420288086,topk,
6,a backwards grey chair,-29.025775909423828,topk,,a large chair facing forwards,-29.16298484802246,topk,,"a large, red chair facing",-31.96748733520508,topk,,a grey chair,-8.411796569824219,topk,,"a  large, grey desk facing forwards",-30.23788452148437,topk,,"a large, red table facing backwards",-32.054866790771484,topk,,a grey desk facing backwards,-9.550668716430664,topk,
7,a grey chair that is facing backwards,-31.520814895629883,topk,,"a  large, grey chair facing forwards",-30.83134078979492,topk,,"a large, red chair  (3)",-32.05953598022461,topk,,a small grey chair ,-8.124876976013184,topk,,"a large, grey desk  ",-30.92076110839844,topk,,"a large, red chair facing backwards",-29.441146850585938,topk,,"a large, red chair facing backwards",-9.827927589416504,topk,
8,"a large, grey chair, facing backwards",-32.10293960571289,topk,,a large grey chair facing forwards ,-30.281139373779297,topk,,a large chair facing backwards,-31.413896560668945,topk,,"a large, grey desk",-8.877652168273926,topk,,a large grey desk ,-30.972347259521484,topk,,"a large, red desk that is facing backwards",-31.597675323486328,topk,,a small chair facing backwards,-10.045637130737305,topk,
9,a grey chair,-31.15252685546875,topk,,"a large, grey chair facing forwards <|user|>",-32.334930419921875,topk,,"a red chair, facing away",-31.89493751525879,topk,,a grey desk facing backwards,-9.094156265258787,topk,,a large grey desk  facing forwards,-31.334199905395508,topk,,a chair facing backwards,-31.73807716369629,topk,,"a small, grey chair",-8.826298713684082,topk,
