,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a small, blue fan facing to the left",-2.3488757610321045,topk,,"a small, blue fan facing to the left",-30.603355407714844,topk,,"a  large, blue fan facing to the left",-9.67900276184082,topk,,"a small, blue fan facing to the left",-29.279621124267575,topk,,a small green sofa facing left,-28.586870193481445,topk,,a large blue sofa is facing to the left,-34.11318588256836,topk,,"a large, red sofa facing forwards",-9.836790084838867,topk,
1,"a small, blue fan is facing to the left",-9.4470796585083,topk,,a fan facing to the left,-30.58946228027344,topk,,a large blue fan facing to the left,-8.836490631103516,topk,,"a large, red fan facing the opposite direction of the others",-32.69789505004883,topk,,"a small, green sofa  (5)",-30.355966567993164,topk,,"a small, blue fan facing to the left",-32.38883972167969,topk,,"a small, blue fan facing to the left",-9.647787094116213,topk,
2,a fan facing to the left,-9.82151985168457,topk,,"a small, green fan (2)",-31.12563133239746,topk,,"a large, blue fan faces to the left",-9.469146728515623,topk,,a large fan that is red in color and facing backwards,-31.217012405395508,topk,,a green sofa is facing left,-30.39897727966309,topk,,"a small, green fan",-32.43217849731445,topk,,a large sofa facing backwards,-7.229547023773193,topk,
3,"a small fan, blue in color, facing left",-10.35517692565918,topk,,"a small, green fan, facing left",-31.594968795776367,topk,,"a large, blue fan, facing left",-9.93564796447754,topk,,"a small, green fan facing to the left",-28.45516586303711,topk,,"a small, green sofa faces left",-30.804492950439453,topk,,"a large, blue couch",-31.49802017211914,topk,,a large red sofa facing to the right,-10.90161418914795,topk,
4,"a small, blue fan in the room",-10.129105567932127,topk,,"a small, green fan",-34.17539596557617,topk,,"a small, green fan facing to the left",-9.44381046295166,topk,,a red fan that is facing backwards,-29.452608108520508,topk,,a green sofa ,-30.042333602905277,topk,,a large blue sofa  facing to the left,-31.443140029907227,topk,,a large red sofa facing backward,-9.268182754516602,topk,
5,"a blue, small fan facing to the left",-10.17146110534668,topk,,"a green fan""",-31.31148338317871,topk,,"a large, blue fan facing left",-8.353967666625977,topk,,a large red fan facing backward,-29.496915817260746,topk,,"a small, green sofa is facing to the left in the room",-36.39550018310547,topk,,"a  large, blue sofa facing to the left",-31.29966354370117,topk,,"a large, red sofa is facing backwards",-8.45053482055664,topk,
6,a small fan facing left,-8.99560832977295,topk,,"a small, green fan, facing to the left, in a room",-36.392555236816406,topk,,"a large, blue fan is facing to the left",-8.311816215515137,topk,,a red sofa facing backwards,-29.567195892333984,topk,,a blue sofa facing to the left,-30.312856674194336,topk,,a large blue sofa faces to the left,-32.73086166381836,topk,,"a large, red sofa facing to the right",-9.54134750366211,topk,
7,"a small, blue fan  facing to the left",-9.845674514770508,topk,,"a small, green fan 2",-31.10123443603516,topk,,"a large, blue fan in the room",-9.662430763244627,topk,,"a large, red fan  (4)",-31.46554946899414,topk,,"a green sofa, facing to the left",-30.21576499938965,topk,,a large Blue sofa facing to the left,-33.43629455566406,topk,,"a large, red sofa facing to the left",-10.674409866333008,topk,
8,"a small, blue fan to the left",-8.406251907348633,topk,,"a small, green fan facing to the left",-32.31057357788086,topk,,a large fan that is blue and facing to the left,-10.35117530822754,topk,,"a large, red fan",-30.92818069458008,topk,,"a large, blue sofa facing to the left",-29.184547424316406,topk,,a large blue sofa in the room,-33.30586242675781,topk,,"a large, red sofa faces backwards",-10.165780067443848,topk,
9,a small fan that is blue in color and facing to the left,-10.447049140930176,topk,,"a small, green fan, facing to the left, next to the blue fan",-37.31957244873047,topk,,"a large, blue fan faces left",-9.835612297058104,topk,,"a large, red fan facing forwards",-31.411544799804688,topk,,"a small, green sofa facing to the left",-33.13530349731445,topk,,"a small, green sofa facing to the left",-32.41983413696289,topk,,a red sofa facing backward,-10.163125991821287,topk,
10,"a blue, small fan facing left",-9.419699668884276,topk,,a green fan facing to the left,-26.123842239379883,topk,,"a large, blue fan",-3.5717523097991943,topk,,a red fan facing the opposite direction of the other fans,-31.82072257995605,topk,,a green sofa facing the left,-28.54982566833496,topk,,"a large, blue fan facing to the left",-32.47992706298828,topk,,a red sofa is facing backwards,-10.28748607635498,topk,
11,"a small, blue fan;",-10.158599853515623,topk,,a green fan ,-29.85835838317871,topk,,a blue fan facing to the left,-8.240076065063477,topk,,a backwards red fan,-29.07011032104492,topk,,a small green sofa facing the left,-30.060449600219727,topk,,a blue fan,-33.13721466064453,topk,,"a large, red sofa facing upwards",-10.76805305480957,topk,
