,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey chair ",-6.964771270751953,topk,,"a large, grey chair ",-7.0326995849609375,topk,,a red chair ,-7.755543708801269,topk,,"a small, grey chair that is facing backwards",-30.009870529174805,topk,,"a large, grey desk face forwards",-31.94557762145996,topk,,"a large, red desk with its back facing the viewer",-12.01136875152588,topk,,"a large, grey chair facing backwards",-30.898836135864254,topk,
1,a large grey chair facing backwards in the room,-8.32905387878418,topk,,"a large, grey chair (2) facing forwards",-11.238306999206545,topk,,a red chair facing backward,-8.268287658691406,topk,,"a large, grey chair facing backwards",-28.714601516723636,topk,,"a large, grey desk-facing forwards",-32.03807067871094,topk,,"a large, red desk""",-10.318001747131348,topk,,a desk facing backwards,-31.30877685546875,topk,
2,a grey chair ,-8.7521390914917,topk,,a large gray chair facing forwards,-10.281970977783203,topk,,"a large, red chair facing backwards""",-6.795989036560059,topk,,a small grey chair,-30.0018310546875,topk,,"a  large, grey desk  facing forwards",-32.197601318359375,topk,,"a large, red desk facing the opposite direction of the other objects",-13.809388160705566,topk,,"a small, grey desk is facing backwards",-30.839460372924805,topk,
3,"a large, grey chair facing backwards",-7.008051872253418,topk,,a grey chair facing forward,-10.10227394104004,topk,,"a large, red chair facing backwards ",-5.819426536560059,topk,,"a small, grey chair  (4)",-32.13164138793945,topk,,a grey desk facing forward,-31.234941482543945,topk,,a large desk,-8.874666213989258,topk,,"a small, grey desk ",-28.607154846191406,topk,
4,a large chair facing backwards,-6.716684341430664,topk,,a large grey chair that is facing forwards,-10.66531753540039,topk,,"a large, red chair facing backwards",-2.6319265365600586,topk,,"a grey, small chair facing backwards",-31.643096923828125,topk,,a chair facing forwards,-31.84574508666992,topk,,"a large, red desk, facing backwards",-10.123008728027344,topk,,"a small, grey desk facing backwards, ",-31.284269332885746,topk,
5,"a large, grey chair, facing backwards",-7.460377693176269,topk,,"a large, grey chair facing backwards",-9.19752025604248,topk,,"a large, red chair facing backwards, ",-11.735626220703123,topk,,"a small, grey chair in the room",-31.65560531616211,topk,,a large desk,-29.442184448242188,topk,,a red desk facing backwards,-8.628351211547852,topk,,"a small, grey desk  facing backwards",-30.94140243530273,topk,
6,a backwards grey chair,-8.397932052612305,topk,,a large grey chair facing the front,-10.661778450012209,topk,,a large red chair facing backwards,-5.988864421844482,topk,,"a small, grey chair  facing backwards",-31.0086612701416,topk,,"a large, grey desk faced forwards",-31.996734619140625,topk,,"a large, red desk with its back facing us",-11.333836555480955,topk,,a grey desk facing backwards,-29.69685935974121,topk,
7,a grey chair that is facing backwards,-9.226198196411133,topk,,"a large grey chair, facing forwards",-9.839009284973145,topk,,a large chair,-8.959023475646973,topk,,a small grey chair ,-29.6268310546875,topk,,"a large, grey desk  |   facing forwards",-32.85467529296875,topk,,"a large red desk, facing backwards",-10.708720207214355,topk,,"a small, grey chair",-30.63879776000977,topk,
8,a large grey chair,-8.677618980407715,topk,,"a large, grey chair-facing forwards",-10.736502647399902,topk,,a large red chair,-6.3196539878845215,topk,,a small chair facing backwards,-29.288095474243164,topk,,"a large desk, facing forwards",-32.21890640258789,topk,,"a large, red chair facing backwards",-7.491929054260254,topk,,"a small, grey desk facing backwards""",-28.51456451416016,topk,
9,"a large, grey chair that is facing backwards",-9.187337875366213,topk,,"a large, grey chair that is facing forwards",-9.333806037902832,topk,,a small grey chair facing backwards,-9.566946983337402,topk,,"a large, red chair facing backwards",-29.284358978271484,topk,,"a large, grey desk, facing forwards",-32.21390914916992,topk,,"a large, red desk that is facing backwards",-9.65986156463623,topk,,"a small, grey desk facing backwards,",-31.408239364624023,topk,
10,a chair facing backwards,-7.478993415832519,topk,,a forward-facing grey chair,-10.290105819702148,topk,,"a large, red chair that is facing backwards",-9.514368057250977,topk,,"a small, grey chair",-31.17525100708008,topk,,"a large, grey desk",-25.23326110839844,topk,,a chair facing backwards,-9.788857460021973,topk,,"a small, grey desk facing backwards ",-27.41300201416016,topk,
