,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a small, blue fan facing to the left",-23.227783203125,topk,,"a small, blue fan facing to the left",-30.603355407714844,topk,,"a small, blue fan facing to the left",-29.912792205810547,topk,,"a small, blue fan facing to the left",-29.279598236083984,topk,,a small green sofa facing left,-31.035104751586918,topk,,"a large, blue sofa faced to the left",-11.000380516052246,topk,,"a large, red sofa facing forwards",-8.43992805480957,topk,
1,a small blue fan facing to the left,-27.762969970703125,topk,,a fan facing to the left,-30.58946228027344,topk,,a fan facing to the left,-31.593582153320312,topk,,a large fan is red and facing backwards,-31.516908645629883,topk,,a green sofa is facing left,-30.74138069152832,topk,,"a large, blue sofa is facing to the left",-11.693592071533203,topk,,"a small, blue fan facing to the left",-9.647787094116213,topk,
2,"a small blue fan, facing left",-31.241193771362305,topk,,"a small, green fan (2)",-31.127355575561523,topk,,a small blue fan facing to the left,-31.64790153503418,topk,,"a small, green fan",-30.399333953857425,topk,,a small sofa,-31.222450256347656,topk,,"a small, blue fan facing to the left",-11.866036415100098,topk,,a large sofa facing backwards,-7.229547023773193,topk,
3,"a small fan, blue in color, facing left",-31.21488571166992,topk,,"a small, green fan, facing left",-31.586950302124023,topk,,"a  large, blue fan facing to the left",-31.21611213684082,topk,,a red fan facing to the left,-30.87179946899414,topk,,"a small, green fan facing to the left",-31.198944091796875,topk,,"a large, blue sofa (6)",-11.06770133972168,topk,,a large red sofa facing to the right,-10.90161418914795,topk,
4,"a small, blue fan in the room",-30.310741424560547,topk,,"a small, green fan",-25.15742492675781,topk,,"a large blue fan facing to the left,",-31.839859008789062,topk,,a large fan that is red in color and facing backwards,-31.353466033935547,topk,,a small sofa facing left,-31.376609802246094,topk,,"a large, blue sofa 6",-11.009142875671388,topk,,a large red sofa facing backward,-9.268182754516602,topk,
5,a small blue fan is facing left,-30.880355834960938,topk,,a small blue fan facing to the left,-31.84414291381836,topk,,a large blue fan facing to the left,-26.410171508789062,topk,,"a small, green fan facing to the left",-28.45516586303711,topk,,a green sofa on the left,-30.930131912231445,topk,,"a large, blue couch",-9.869112014770508,topk,,"a large, red sofa facing the opposite direction of other objects",-12.749740600585938,topk,
6,a small fan facing left,-29.874515533447266,topk,,"a small, green fan facing to the left",-23.292600631713867,topk,,"a small, green fan facing to the left",-30.980920791625977,topk,,a red sofa facing backwards,-28.80339813232422,topk,,a green sofa ,-30.042333602905277,topk,,a large blue sofa  facing to the left,-9.814176559448242,topk,,"a large, red sofa is facing backwards",-8.673208236694336,topk,
7,"a small, blue fan  facing to the left",-29.942049026489254,topk,,"a small, green fan 2",-32.34693908691406,topk,,a large  blue fan,-31.86013603210449,topk,,a red fan that is facing backwards,-29.452608108520508,topk,,a green sofa faces to the left,-31.82132148742676,topk,,"a  large, blue sofa facing to the left",-10.729536056518556,topk,,a red sofa facing backwards,-9.14020824432373,topk,
8,"a small, blue fan to the left",-30.351184844970703,topk,,"a small, green fan faces left",-32.13566207885742,topk,,a large fan is facing to the left,-32.04280471801758,topk,,a large red fan facing backward,-29.496915817260746,topk,,a little green sofa facing left,-31.148439407348636,topk,,"a large, blue sofa on the left",-12.178197860717772,topk,,"a large, red sofa facing to the right",-9.54134750366211,topk,
9,"a small blue fan""",-30.54098129272461,topk,,"a small, green fan;",-32.18867492675781,topk,,a large blue fan facing to the left of the room,-32.50933837890625,topk,,"a large, red, backwards fan",-30.711652755737305,topk,,a green sofa that is facing to the left,-33.35981750488281,topk,,a blue sofa facing to the left,-9.834062576293944,topk,,"a large, red sofa facing to the left",-9.79134750366211,topk,
10,a small blue fan is in the room,-30.9832820892334,topk,,"a small, green fan faced to the left",-32.10208511352539,topk,,a large fan that is blue and facing to the left,-31.88828659057617,topk,,"a large, red fan",-22.69076919555664,topk,,"a green sofa, facing to the left",-29.719165802001957,topk,,"a large, blue sofa, facing left",-10.77053451538086,topk,,"a large, red sofa faces backwards",-10.165780067443848,topk,
11,a small fan that is blue in color and facing to the left,-34.267608642578125,topk,,"a small, green fan  #2",-32.4482421875,topk,,"a large, blue fan",-23.221397399902344,topk,,a large red fan ,-30.286544799804688,topk,,"a large, blue sofa facing to the left",-29.184547424316406,topk,,a large blue sofa faces to the left,-11.101716995239258,topk,,a red sofa facing backward,-10.163125991821287,topk,
12,"a blue, small fan facing left",-30.298603057861328,topk,,a blue fan facing to the left,-31.860469818115234,topk,,a blue fan facing to the left,-31.86794853210449,topk,,a red fan facing the opposite direction of the other fans,-32.34733581542969,topk,,a green sofa facing the left,-31.47195625305176,topk,,"a large, blue sofa that is facing to the left",-10.934986114501951,topk,,a red sofa is facing backwards,-9.922369003295898,topk,
13,a small blue fan to the left,-30.420116424560547,topk,,"a small, green fan-facing to the left",-31.848939895629883,topk,,a large blue fan  facing to the left,-31.394432067871094,topk,,a backwards red fan,-29.07011032104492,topk,,a small green sofa facing the left,-30.060449600219727,topk,,"a large, blue sofa in the room",-11.30507469177246,topk,,"a large, red sofa facing the wall",-10.5337495803833,topk,
