,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a large blue facing left chair,-31.2553653717041,topk,,"a large, blue chair with its back to us",-33.06171798706055,topk,,"a large green chair facing to the left""",-32.216278076171875,topk,,a small grey chair,-30.052059173583984,topk,,"a large blue fan, facing backwards",-9.116376876831056,topk,,a fan facing to the left,-30.920560836791992,topk,,"a small, grey fan face forwards",-10.149272918701172,topk,
1,a blue chair facing left,-30.43228912353516,topk,,a backwards-facing blue chair,-31.35033226013184,topk,,"a large, green chair facing the left",-32.56831359863281,topk,,"a small, grey chair in the room",-32.168113708496094,topk,,"a large, blue fan that is facing backwards",-9.867270469665527,topk,,"a large, green fan facing to the right",-33.46352005004883,topk,,"a grey, small fan facing forwards",-9.773614883422852,topk,
2,"a large, blue chair, facing to the left",-33.987937927246094,topk,,a blue chair facing backwards,-27.596010208129883,topk,,a chair that is green and large and facing to the left,-33.4307861328125,topk,,a small grey chair facing forwards,-27.942007064819336,topk,,a large blue fan ,-8.47895622253418,topk,,a green chair facing to the left,-29.824121475219727,topk,,a chair facing forwards,-10.233159065246582,topk,
3,a large blue chair ,-30.27722930908203,topk,,"a large, blue chair facing the wall",-32.533870697021484,topk,,"a large, green chair to the left",-32.12372589111328,topk,,a small grey chair facing forward,-29.748855590820312,topk,,a small grey fan facing forwards,-8.612635612487793,topk,,"a large, green chair",-31.99128150939941,topk,,"a small, grey fan is facing forwards",-8.792580604553223,topk,
4,a large blue chair 1,-30.808490753173828,topk,,a small grey fan facing forwards,-31.968141555786133,topk,,"a large, green chair",-32.21525955200195,topk,,a grey chair,-26.791994094848636,topk,,a large blue fan facing backwards ,-9.236515045166016,topk,,a large green fan to the left,-31.084306716918945,topk,,a small grey fan facing forwards,-8.570413589477539,topk,
5,a blue chair is facing to the left,-31.4992790222168,topk,,a large blue chair facing to the left,-31.44288825988769,topk,,a large green chair facing the left,-29.654157638549805,topk,,a small grey chair ,-29.87751579284668,topk,,"a large, blue fan in the room",-9.710159301757812,topk,,a small grey fan facing forwards,-32.07712936401367,topk,,"a large, green chair",-9.975319862365724,topk,
6,"a large, blue chair facing left ",-31.669828414916992,topk,,a large blue chair facing backward,-30.527019500732425,topk,,a large green chair facing left,-27.186708450317383,topk,,"a small, grey chair facing the front",-32.32067108154297,topk,,a blue fan facing backwards,-5.715134143829346,topk,,a green fan faces left,-32.07587432861328,topk,,a small grey fan  facing forwards,-9.995611190795898,topk,
7,a large blue chair facing leftward,-31.58965492248535,topk,,a small grey chair facing forwards,-31.811168670654297,topk,,a large blue chair facing to the left,-31.147932052612305,topk,,"a small, grey chair",-25.698396682739254,topk,,"a large, blue fan is in the room",-9.611726760864258,topk,,a green chair,-30.77117156982422,topk,,a large blue chair facing to the left,-10.375181198120115,topk,
8,"a large, blue chair 1",-30.34461212158203,topk,,"a large, blue chair facing to the right",-31.70377540588379,topk,,"a large, green chair  (3)",-32.49715805053711,topk,,a small grey chair is facing forwards,-30.176733016967773,topk,,"a large, blue fan",-3.314028739929199,topk,,a green fan facing to the left,-27.71837043762207,topk,,"a small, grey fan""",-9.996861457824709,topk,
9,a large blue chair facing to the left,-30.32084274291992,topk,,a blue fan facing backwards,-31.857261657714844,topk,,"a large green chair, facing to the left",-32.58726501464844,topk,,a small grey chair that is facing forwards,-32.46182632446289,topk,,a large fan facing backwards,-6.973246574401856,topk,,a green fan ,-31.869747161865234,topk,,a small grey chair facing forwards,-8.781007766723633,topk,
