,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large red sofa, facing to the right",-31.09949493408203,topk,,a small red couch,-30.850814819335938,topk,,"a small, blue sofa faces to the right",-9.909568786621094,topk,,"a large, red sofa",-30.634889602661133,topk,,"a small, red desk |",-31.776031494140625,topk,,a small blue desk ,-32.330467224121094,topk,,a small green desk facing the opposite direction,-31.862756729125977,topk,
1,"a large sofa, red",-30.84287452697754,topk,,"a small, red desk",-30.646678924560547,topk,,"a small, blue  sofa",-10.598668098449709,topk,,"a small, green sofa ",-30.452301025390625,topk,,a small red desk facing the right,-30.43585586547852,topk,,"a  small, blue desk facing to the right",-32.24180221557617,topk,,"a small, green desk",-25.559568405151367,topk,
2,a large red sofa facing to the right,-27.5954532623291,topk,,a little red sofa facing to the right,-32.19482421875,topk,,a small sofa,-9.184629440307615,topk,,a small green sofa facing backwards,-28.57209205627441,topk,,"a small, red desk",-24.830718994140625,topk,,"a small, blue desk facing to the left",-31.99420928955078,topk,,"a small, green desk facing to the left",-31.213661193847656,topk,
3,"a large, red, sofa, facing, right",-32.22369766235352,topk,,"a small, red",-31.709178924560547,topk,,"a small, blue sofa faces right",-10.983067512512209,topk,,"a small, green sofa facing backwards",-23.69112014770508,topk,,"a small, red desk  (5)",-31.72176742553711,topk,,"a small, blue desk facing right",-30.540401458740234,topk,,"a small, green deck facing backwards",-31.57921028137207,topk,
4,"a large, red, sofa, facing, to the right",-33.71482467651367,topk,,a small red sofa  (2),-32.85831451416016,topk,,"a small, blue sofa facing backwards",-10.172279357910156,topk,,a green sofa facing backward,-30.936187744140625,topk,,"a small, red desk ",-27.494781494140625,topk,,"a small blue desk, facing to the right",-32.16473388671875,topk,,a desk facing backwards,-30.121671676635746,topk,
5,a large red sofa is in the room,-32.057743072509766,topk,,a small red sofa is facing to the right,-33.128902435302734,topk,,"a small, blue sofa faced to the right",-10.465862274169922,topk,,"a small, green sofa facing backwards  ",-30.98799514770508,topk,,"a large, red sofa facing to the right",-31.10428047180176,topk,,"a small, blue desk ",-28.70181655883789,topk,,"a small, green desk face backwards",-30.802146911621094,topk,
6,"a large, red facing to the right",-31.57484436035156,topk,,a ,-32.21112823486328,topk,,"a small, blue sofa is in the room",-10.669631004333496,topk,,"a small, green sofa facing backwards'",-29.83174514770508,topk,,"a small, red desk face to the right",-30.953292846679688,topk,,a blue desk,-31.00394058227539,topk,,"a small, green desk facing to the right",-31.12137985229492,topk,
7,a large red sofa to the right,-30.12430191040039,topk,,"a large, red sofa facing to the right",-30.615942001342773,topk,,a small blue sofa facing the right,-9.719438552856444,topk,,"a small, green sofa with its back to us",-32.41413497924805,topk,,"a small red desk, facing to the right",-31.885120391845703,topk,,"a small, blue desk",-26.11587905883789,topk,,"a small, green desk facing",-31.330432891845703,topk,
8,"a large, red couch",-31.60997772216797,topk,,"a small, red sofa",-22.474802017211918,topk,,"a small, blue sofa",-3.5576767921447754,topk,,"a small, green sofa facing the opposite direction of the others",-32.810882568359375,topk,,"a small, red desk is in the room",-31.64539909362793,topk,,"a small, blue desk facing to the right, ",-31.98855972290039,topk,,"a large, red sofa facing to the right",-30.64366912841797,topk,
9,a large red sofa  facing to the right,-31.3150577545166,topk,,a small red sofa  facing to the right,-30.65757751464844,topk,,a small blue sofa facing to the right,-4.591923713684082,topk,,"a small, green sofa facing backwards""",-28.23018264770508,topk,,a small red desk is facing to the right,-31.831907272338867,topk,,a small blue desk facing right,-31.932252883911133,topk,,"a small, green desk facing the opposite direction of the others",-32.79960250854492,topk,
10,a large red sofa 1,-31.31782531738281,topk,,a small red sofa facing right,-32.77599334716797,topk,,a small blue sofa  facing to the right,-9.87289810180664,topk,,"a small, green sofa facing backward",-30.21990966796875,topk,,a small  red desk facing to the right,-31.723047256469727,topk,,"a small, blue desk facing to the right",-24.755355834960938,topk,,"a small, green desk facing forwards",-29.59355735778809,topk,
11,a big red sofa facing right,-31.12504005432129,topk,,"a small red sofa, facing to the right",-32.35401916503906,topk,,"a small, blue sofa facing right",-7.766029834747314,topk,,"a small, green sofa faces backwards",-30.733448028564453,topk,,"a small, red desk facing the right",-30.70263290405273,topk,,a small blue sofa facing to the right,-31.94625473022461,topk,,"a small, green desk facing the wall",-31.2185001373291,topk,
12,"a large red sofa, facing right",-31.133731842041016,topk,,a small red sofa that is facing to the right,-32.62811279296875,topk,,"a small, blue sofa that is facing to the right",-9.898789405822754,topk,,a green desk facing backwards,-29.60669708251953,topk,,"a small, blue desk facing to the right",-30.77166557312012,topk,,a small blue desk  facing to the right,-32.158348083496094,topk,,a green desk facing backwards,-31.386568069458008,topk,
13,a large red sofa facing the right,-30.68414306640625,topk,,a small red sofa 2,-32.32997131347656,topk,,"a small, blue sofa  ",-9.635801315307615,topk,,"a small, green sofa with its back facing the viewer",-32.253265380859375,topk,,"a small, red desk 5",-32.364112854003906,topk,,"a small, blue desk facing to the right  ",-32.20848083496094,topk,,"a small, green table facing backwards",-30.60249900817871,topk,
14,a red facing-right sofa,-31.48739051818848,topk,,a small  red sofa facing to the right,-31.78230857849121,topk,,a small red sofa facing to the right,-10.416337013244627,topk,,a green sofa is facing backwards,-30.65851402282715,topk,,"a small, red  desk facing to the right",-31.829545974731445,topk,,"a small, blue desk face",-30.89712905883789,topk,,"a small, green desk is facing backwards",-30.05690574645996,topk,
15,"a red, large sofa",-30.47547149658203,topk,,"a  small, red sofa",-30.47755241394043,topk,,a small blue couch,-10.57915496826172,topk,,"a small, green sofa facing backwards,",-28.85518264770508,topk,,"a small, red desk""",-31.018218994140625,topk,,"a small, blue desk facing to the right'",-30.239730834960938,topk,,"a small, green desk facing ",-31.752307891845703,topk,
16,"a large, red  sofa",-31.84506225585937,topk,,"a small, red  sofa facing to the right",-32.211238861083984,topk,,"a small, blue sofa facing the right",-8.154343605041504,topk,,"a small, green sofa facing backwards is in the room",-30.483924865722656,topk,,a small red desk ,-30.82962417602539,topk,,"a small, blue desk is facing to the right",-31.02037048339844,topk,,"a small, red desk facing to the right",-30.82948875427246,topk,
17,"a large, red facing right sofa",-31.562122344970703,topk,,a small sofa that is red and facing to the right,-33.266353607177734,topk,,"a small, blue sofa  (3)",-9.55925178527832,topk,,"a small, green sofa facing backwards;",-31.4125919342041,topk,,"a small, red desk faces to the right",-30.015405654907227,topk,,"a small, blue desk""",-31.46744155883789,topk,,"a small, blue desk facing to the right",-29.564271926879883,topk,
18,a large red facing-right sofa,-31.720779418945312,topk,,a small red sofa facing to the right,-34.19330596923828,topk,,"a small, blue sofa facing to the left",-10.628839492797852,topk,,"a small, green sofa that faces backwards",-31.126466751098636,topk,,"a small, red desk  ",-31.041656494140625,topk,,a small blue desk facing to the right,-30.394725799560547,topk,,a small desk facing backwards,-28.34923553466797,topk,
19,"a  large, red sofa facing to the right",-31.54508781433105,topk,,"a small , red sofa facing to the right",-32.1890983581543,topk,,"a small, blue sofa ",-6.417051792144775,topk,,"a small, green couch facing backwards",-30.336456298828125,topk,,"a small, red desk that is facing to the right",-33.98707580566406,topk,,"a small, blue desk faced to the right",-32.17862319946289,topk,,a small green desk ,-31.62206077575684,topk,
20,a large sofa is red and facing right,-33.07990264892578,topk,,"a small, red couch facing to the right",-30.91679000854492,topk,,"a small, blue sofa that faces to the right",-10.567320823669434,topk,,"a small, green sofa facing to the left",-30.59828186035156,topk,,"a small, red desk facing to the left",-32.1775016784668,topk,,"a small, blue desk facing to the right""",-27.864730834960938,topk,,a small green desk facing backward,-30.68265724182129,topk,
