,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey, desk, facing forwards",-31.395591735839844,topk,,a large blue desk facing forwards ,-31.685497283935547,topk,,"a large, red desk""",-9.486042976379396,topk,,"a small, green table",-29.59248733520508,topk,,"a large, blue desk",-30.285795211791992,topk,,"a large, red fan""",-29.771413803100582,topk,,"a small, green fan",-28.2175407409668,topk,
1,a grey desk facing forward,-30.805572509765625,topk,,a large desk that is blue in colour and facing forwards,-33.35417175292969,topk,,"a small, green desk",-9.77155876159668,topk,,a little green desk,-29.65340232849121,topk,,"a large, blue fan  facing forwards",-28.941425323486328,topk,,a large red fan facing backward,-30.512222290039062,topk,,"a small, green desk facing to the left",-29.62745475769043,topk,
2,a grey desk facing forwards ,-29.946727752685547,topk,,"a large, blue desk",-25.336530685424805,topk,,"a small, green desk facing to the left",-8.055795669555664,topk,,"a small, green desk",-22.45967674255371,topk,,"a small, green fan facing to the left",-31.161266326904297,topk,,"a small, green fan facing to the left",-32.332889556884766,topk,,"a small, green fan on the left",-31.729415893554688,topk,
3,a grey desk facing forwards in the room,-29.962818145751957,topk,,a large desk,-30.165061950683597,topk,,a large desk,-8.164946556091309,topk,,"a large, blue desk",-30.060768127441406,topk,,"a large, blue fan in the room",-31.480920791625977,topk,,a red desk facing backwards,-30.017112731933597,topk,,"a small, green fan facing to the left",-26.9591064453125,topk,
4,"a large desk, grey in color",-32.15141296386719,topk,,a large desk that is blue in color and facing forwards,-32.95140838623047,topk,,a large red desk is facing backwards,-10.32088851928711,topk,,"a small, green fan",-30.857383728027344,topk,,"a large, blue fan is in the room",-30.93155288696289,topk,,"a large, red fan facing backward",-29.40933609008789,topk,,a small fan facing left,-30.090749740600582,topk,
5,a large desk,-28.61976432800293,topk,,"a large blue desk, facing forwards",-32.238525390625,topk,,a large red desk,-6.463611125946045,topk,,"a small green desk""",-30.856586456298828,topk,,a blue desk,-28.77911758422852,topk,,"a large, red fan",-24.771413803100582,topk,,a small green fan is facing to the left,-30.4123477935791,topk,
6,a grey desk facing forwards in a room,-30.43361473083496,topk,,"a large, blue desk in the room",-31.96514892578125,topk,,"a large, red desk, facing backwards",-8.231789588928223,topk,,"a small, green fan facing to the left",-29.37472152709961,topk,,a large blue fan facing forwards in the room,-31.37837600708008,topk,,"a large, red fan facing forwards",-29.74527359008789,topk,,"a small, green fan faced to the left",-30.77821922302246,topk,
7,"a large, grey desk, facing forwards",-31.9770450592041,topk,,a blue desk,-27.55714988708496,topk,,"a small, green fan facing to the left",-9.93674659729004,topk,,"a large, grey desk",-30.812780380249023,topk,,"a large, blue fan",-24.72879409790039,topk,,a large red fan ,-30.633020401000977,topk,,a small green fan facing the left,-28.44891357421875,topk,
8,"a large, grey desk",-25.19150733947754,topk,,a blue desk in the room,-31.90653610229492,topk,,"a large, red desk with its back facing us",-10.974510192871094,topk,,"a small green desk, facing left",-30.863697052001957,topk,,a large fan,-28.68400001525879,topk,,"a large red fan, facing backwards",-30.981801986694336,topk,,a small green fan to the left,-28.44918632507324,topk,
9,"a large, grey desk in the room",-31.24770736694336,topk,,"a large, blue desk  | facing forwards",-32.71539306640625,topk,,"a large red desk, facing backwards",-10.193437576293944,topk,,"a green, small desk",-30.52413749694824,topk,,"a large, blue fan  (5)",-31.436986923217773,topk,,"a large, red fan faces backwards",-30.384639739990234,topk,,a small green fan facing left,-29.505056381225582,topk,
