,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey chair facing backwards ",-30.30333709716797,topk,,"a large,",-31.84265518188477,topk,,"a large,",-30.69908905029297,topk,,"a small, grey chair is facing backwards",-30.63363265991211,topk,,"a large,",-10.487171173095703,topk,,a large desk,-8.885726928710938,topk,,"a small, grey desk ",-28.672964096069336,topk,
1,a large grey chair facing away,-30.626270294189453,topk,,"a  large, grey chair facing forwards",-32.140804290771484,topk,,"a  large, red chair facing backwards",-30.909502029418945,topk,,"a small, grey chair facing backwards is object 4",-32.56339263916016,topk,,a desk,-7.538908004760742,topk,,"a large,",-9.854369163513184,topk,,a small gray desk facing backwards,-31.347705841064453,topk,
2,"a large, grey chair  facing backwards",-30.27120590209961,topk,,"a large, grey chair is facing forwards",-31.27486801147461,topk,,"a large, red chair is facing backwards",-30.80172348022461,topk,,a grey desk facing backwards,-30.55599594116211,topk,,"a large grey desk, facing forwards",-10.340744972229004,topk,,a desk,-9.089237213134766,topk,,"a small grey desk, facing backwards",-31.31791114807129,topk,
3,"a grey chair, facing backwards",-29.026952743530277,topk,,"a large, grey chair, facing forwards, in the room",-34.39781188964844,topk,,a grey chair,-30.694067001342773,topk,,"a large, red chair facing backwards",-30.17858123779297,topk,,"a grey, large desk facing forwards",-10.32537841796875,topk,,a red desk facing backwards,-9.4132661819458,topk,,a grey desk facing backwards,-29.656383514404297,topk,
4,a large grey chair that is facing backwards,-31.296972274780277,topk,,a large grey chair  facing forwards,-32.2393684387207,topk,,"a large, red chair facing backwards",-23.672019958496094,topk,,"a small, grey chair facing backwards;",-30.65786361694336,topk,,"a large, grey desk that faces forwards",-10.712331771850586,topk,,a large desk facing backwards,-6.8235764503479,topk,,a grey chair,-31.21588516235352,topk,
5,"a large, grey, backwards-facing chair",-31.078548431396484,topk,,"a large, grey chair faces forwards",-32.16785430908203,topk,,"a large, red chair that is facing backwards",-31.51144218444824,topk,,a small gray chair facing backwards,-30.527114868164062,topk,,"a large, grey desk;",-10.590757369995115,topk,,"a large, red desk facing",-10.211036682128906,topk,,"a large, red chair facing backwards",-31.69710350036621,topk,
6,a backwards grey chair,-29.06953811645508,topk,,"a large, grey chair  facing forwards",-30.991369247436523,topk,,"a large, red chair""",-31.45518112182617,topk,,"a small, grey chair facing backwards in the room",-33.34458541870117,topk,,"a large, grey desk",-3.7938830852508554,topk,,"a large, red chair facing backwards",-7.463570117950439,topk,,"a small, grey desk facing",-31.717357635498047,topk,
7,"a grey, large chair facing backwards",-29.252965927124023,topk,,a backwards grey chair,-32.287940979003906,topk,,a red chair,-24.966646194458008,topk,,"a small, grey chair facing backwards""",-31.14223861694336,topk,,a large grey desk is facing forwards,-10.437151908874512,topk,,"a red desk, facing backwards",-9.298481941223145,topk,,"a small, grey table",-30.630516052246094,topk,
8,a grey chair ,-30.39608383178711,topk,,a large grey chair facing forwards,-33.07724380493164,topk,,"a large, red chair  ",-31.42393112182617,topk,,"a small, grey chair, facing backwards",-29.071195602416992,topk,,a grey desk facing forwards,-9.208760261535645,topk,,"a large, red desk, facing backwards",-10.029419898986816,topk,,"a large, grey desk facing backwards",-31.490331649780277,topk,
9,a large grey chair facing forwards,-30.415332794189453,topk,,"a large, grey chair  (2)",-33.103424072265625,topk,,a large,-30.69714736938477,topk,,a small grey chair is facing backwards,-30.924562454223636,topk,,"a  large, grey desk  facing forwards",-11.707686424255373,topk,,"a large, red desk with its back facing you",-11.525598526000977,topk,,a small grey desk,-30.958972930908203,topk,
10,"a large, grey chair facing backwards, object 1",-31.98664283752441,topk,,a large chair facing forwards,-29.070934295654297,topk,,"a large, red chair facing backwards  (3)",-31.661121368408203,topk,,"a small grey chair, facing backwards",-30.07239532470703,topk,,"a large, grey desk  (5)",-10.598891258239746,topk,,"a large, red desk that is facing backwards",-9.25169277191162,topk,,"a small, grey desk that is facing backwards",-31.15011405944824,topk,
11,a grey chair facing away,-30.416868209838867,topk,,a large grey chair facing forwards in a room,-33.65132522583008,topk,,"a large, red chair facing forwards",-30.03645133972168,topk,,"a small, grey chair facing backwards in a room",-32.48411560058594,topk,,"a large, grey desk facing forward",-9.896062850952148,topk,,a red chair,-9.386977195739746,topk,,a small grey desk facing backwards ,-29.7863826751709,topk,
12,"a large, grey chair facing backwards, ",-31.48637008666992,topk,,a large,-31.695932388305664,topk,,"a large, red chair facing backwards, ",-31.43192481994629,topk,,"a small, grey chair  facing backwards",-31.0078182220459,topk,,a desk facing forwards,-7.016176223754883,topk,,a large red desk facing backwards,-9.67253303527832,topk,,"a small, grey desk is facing backwards",-30.54498291015625,topk,
13,a large grey chair ,-29.700519561767575,topk,,a large grey chair facing the front of the room,-33.61587142944336,topk,,"a large, red desk",-31.21470642089844,topk,,a small grey chair that is facing backwards,-31.16259384155273,topk,,a large,-10.609332084655762,topk,,a red desk facing backward,-9.321685791015623,topk,,a small grey desk facing backwards in the room,-30.454158782958984,topk,
14,"a large, grey chair facing backwards 1",-30.76987075805664,topk,,a backwards-facing grey chair,-32.12910079956055,topk,,a large chair facing backwards,-31.43922615051269,topk,,"a  small, grey chair facing backwards",-31.069171905517575,topk,,a large grey desk facing forwards,-8.972763061523438,topk,,"a large, red desk""",-9.940288543701172,topk,,a small desk,-31.53173446655273,topk,
