,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, red sofa, facing to the right",-29.355567932128903,topk,,"a small, red sofa that is facing to the right",-30.96946144104004,topk,,"a small, blue sofa faces to the right",-9.59486198425293,topk,,"a small green sofa, facing backwards",-30.600282669067383,topk,,"a small , red desk facing to the right",-11.530808448791504,topk,,"a small, blue desk facing to the  right",-10.910174369812012,topk,,"a small, green desk face backwards",-31.46939849853516,topk,
1,"a large, red sofa  (1)",-30.82804107666016,topk,,"a small, red sofa - facing to the right",-31.5809326171875,topk,,"a small, blue sofa facing to the right",-1.8406122922897337,topk,,a small green sofa facing backwards in the room,-31.46243667602539,topk,,a red desk is facing to the right,-12.027017593383787,topk,,"a small, blue desk ",-6.902337551116943,topk,,a blue desk facing to the right,-31.55597877502441,topk,
2,"a large, red sofa facing right",-28.447166442871094,topk,,"a small, red sofa is facing to the right",-31.732887268066406,topk,,a small blue sofa facing to the left,-11.191699028015137,topk,,a green sofa that is facing backwards,-32.094486236572266,topk,,"a small, red  desk facing to the right",-10.849966049194336,topk,,a small blue desk  facing to the right,-10.136347770690918,topk,,a desk facing backwards,-30.08522224426269,topk,
3,"a large, red sofa facing the right",-30.372806549072266,topk,,a red sofa facing right,-31.64037322998047,topk,,a small blue sofa,-6.212444305419922,topk,,a green sofa facing backwards,-30.067140579223636,topk,,a blue desk facing to the right,-11.584434509277344,topk,,"a small, blue desk facing right",-8.467476844787598,topk,,"a small, green desk, facing backwards",-30.32343864440918,topk,
4,a large red sofa facing the right,-30.71918487548828,topk,,"a small, red couch facing to the right",-30.938947677612305,topk,,a small red sofa facing to the right,-10.51201057434082,topk,,a small green sofa facing the opposite direction of the other sofas,-33.154090881347656,topk,,"a small red desk, facing to the right",-10.833124160766602,topk,,"a small, blue sofa facing to the right",-7.678130626678467,topk,,a green desk facing backwards,-28.25682640075684,topk,
5,"a large, red sofa  facing to the right",-29.532426834106445,topk,,"a small, red desk facing to the right",-31.24510955810547,topk,,a small blue sofa ,-9.142131805419922,topk,,"a small, blue sofa facing to the right",-32.151607513427734,topk,,a green desk facing backwards,-11.498520851135254,topk,,"a small, blue desk that is facing to the right",-9.87274932861328,topk,,a small green desk facing backwards,-30.76100730895996,topk,
6,a red sofa facing right,-29.60674476623535,topk,,"a  small, red sofa",-30.517885208129883,topk,,"a small, blue sofa is facing to the right",-11.347393989562988,topk,,a small  green sofa facing backwards,-32.615875244140625,topk,,a small desk,-9.607732772827148,topk,,a blue desk facing to the right,-10.23736572265625,topk,,"a small, blue desk facing to the right",-30.606565475463867,topk,
7,a red sofa ,-30.197954177856445,topk,,"a small, red sofa (2)",-30.92225456237793,topk,,a blue sofa,-7.7354631423950195,topk,,a small green desk facing backwards,-30.608753204345703,topk,,a red desk facing the right,-11.71267318725586,topk,,a small blue desk ,-10.309345245361328,topk,,a small desk,-31.420928955078125,topk,
8,a large red sofa,-28.165977478027344,topk,,"a small, red  sofa",-31.287273406982425,topk,,"a small, blue sofa facing backwards",-10.183687210083008,topk,,a green facing backwards,-31.81702041625977,topk,,a large red sofa,-11.106107711791992,topk,,a green desk facing backwards,-10.83909797668457,topk,,"a small, green desk facing downwards",-31.52462387084961,topk,
9,"a large red sofa, facing to the right",-31.16208267211914,topk,,"a small, red sofa""",-30.494651794433597,topk,,"a small, blue sofa facing right",-7.824312686920166,topk,,a small green sofa facing backwards is in the room,-32.407997131347656,topk,,"a small desk, facing to the right",-12.354930877685549,topk,,"a small, blue desk facing the right",-9.208322525024414,topk,,a small desk facing backwards,-28.37111091613769,topk,
