,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a large blue facing left chair,-31.2551326751709,topk,,a backwards-facing blue chair,-31.853857040405277,topk,,"a large, green chair facing the left",-29.420433044433597,topk,,a small grey fan facing forwards,-29.61905860900879,topk,,"a large, blue fan that is facing backwards",-9.899890899658203,topk,,a fan facing to the left,-30.116453170776367,topk,,"a grey, small fan facing forwards",-30.469463348388672,topk,
1,a blue chair facing left,-31.213848114013672,topk,,a blue chair facing backwards,-27.603147506713867,topk,,"a large, green chair to the left",-32.1715202331543,topk,,a small grey chair,-31.27972412109375,topk,,"a large, blue fan facing backwards ",-6.478874683380127,topk,,a green chair facing to the left,-29.89356231689453,topk,,"a small, grey fan is facing forwards",-30.058935165405277,topk,
2,"a large, blue chair, facing to the left",-31.84775733947754,topk,,"a large, blue chair facing the wall",-31.90456771850586,topk,,a small grey chair,-31.048364639282227,topk,,a large blue chair facing to the left,-30.9229793548584,topk,,a small grey fan facing forwards,-8.579723358154297,topk,,"a large, green chair",-32.041648864746094,topk,,a small grey fan facing forwards,-25.51591110229492,topk,
3,a large blue chair ,-30.289539337158203,topk,,a large blue chair facing to the left,-31.47112274169922,topk,,a large green chair facing left,-27.89100456237793,topk,,a small grey chair facing forwards,-31.052440643310547,topk,,"a large, blue fan is in the room",-9.671992301940918,topk,,a large green fan to the left,-31.091642379760746,topk,,"a large, green chair",-31.159469604492188,topk,
4,a large blue chair 1,-30.840126037597656,topk,,a large blue chair facing backward,-31.242652893066406,topk,,a large green chair facing the left,-29.698240280151367,topk,,a grey chair,-26.78356170654297,topk,,"a large, blue fan",-3.34827733039856,topk,,a green fan facing to the left,-31.14889144897461,topk,,"a small, grey fan""",-30.733539581298828,topk,
5,a blue chair is facing to the left,-31.55943489074707,topk,,a small grey chair facing forwards,-30.904937744140625,topk,,a large blue chair facing to the left,-32.121421813964844,topk,,"a small, grey chair",-25.758792877197266,topk,,"a large, blue fan facing backwards  (5)",-10.465619087219238,topk,,a green fan ,-31.948925018310547,topk,,a small grey chair facing forwards,-30.90679359436035,topk,
6,"a large, blue chair 1",-30.32596206665039,topk,,"a large, blue chair facing to the right",-32.672664642333984,topk,,"a large, green chair",-32.27170181274414,topk,,a small grey chair is facing forwards,-30.432247161865234,topk,,a large fan facing backwards,-7.617487907409668,topk,,a large green fan facing the left,-31.340944290161133,topk,,a grey fan facing forward,-30.876739501953125,topk,
7,a big blue chair facing left,-31.016637802124023,topk,,a blue fan facing backwards,-31.87150001525879,topk,,"a large, green chair facing to the left""",-31.795879364013672,topk,,a small chair,-29.47624397277832,topk,,a large fan,-8.316731452941895,topk,,a green fan is facing to the left,-32.139915466308594,topk,,a blue fan facing backwards,-30.470539093017575,topk,
8,a blue chair facing the left,-28.952268600463867,topk,,a large blue chair facing backwards ,-30.77585792541504,topk,,"a large green chair facing left""",-32.26888656616211,topk,,"a small, gray chair facing forwards",-30.969970703125,topk,,"a large, blue fan face",-9.14515209197998,topk,,"a large, green fan, facing left",-31.84853744506836,topk,,a green chair,-30.859771728515625,topk,
9,a large chair facing to the left,-29.72327041625977,topk,,a chair facing backwards,-28.31914520263672,topk,,"a large, green chair ",-31.14670181274414,topk,,"a small, grey chair facing forwards ",-28.00157928466797,topk,,"a large, blue fan facing backward",-8.04344367980957,topk,,"a large, green fan  facing to the left",-30.214847564697266,topk,,a small grey fan facing forward,-29.23826789855957,topk,
