,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a large blue facing left chair,-31.2551326751709,topk,,a backwards-facing blue chair,-31.23480224609375,topk,,"a large, green chair facing the left",-29.420900344848636,topk,,"a  small, grey chair facing forwards",-32.01610565185547,topk,,"a large, blue fan that is facing backwards",-31.25535774230957,topk,,a fan facing to the left,-30.9368896484375,topk,,"a small, grey fan face forwards",-31.43225860595703,topk,
1,a blue chair facing left,-31.213848114013672,topk,,a blue chair facing backwards,-27.603147506713867,topk,,a green chair to the left,-31.83510971069336,topk,,a chair facing forwards,-30.764131546020508,topk,,a small grey fan facing forwards,-30.69340133666992,topk,,a green chair facing to the left,-29.89356231689453,topk,,"a grey, small fan facing forwards",-30.469463348388672,topk,
2,"a large, blue chair, facing to the left",-31.84775733947754,topk,,"a large, blue chair facing the wall",-32.46913146972656,topk,,a green chair facing to the left,-30.93410873413086,topk,,a grey chair facing forward,-31.01875686645508,topk,,"a large, blue fan in the room",-31.839025497436523,topk,,"a large, green chair",-32.041648864746094,topk,,"a small, grey fan is facing forwards",-29.845361709594727,topk,
3,a large blue chair ,-30.289539337158203,topk,,a small grey fan facing forwards,-32.00850296020508,topk,,"a green chair facing left""",-31.400928497314453,topk,,a grey chair ,-31.62067413330078,topk,,"a large, blue fan is in the room",-31.0274600982666,topk,,a large green fan to the left,-31.091642379760746,topk,,a small grey fan facing forwards,-29.14982414245605,topk,
4,a blue chair is facing to the left,-31.55943489074707,topk,,a large blue chair facing to the left,-31.47112274169922,topk,,"a large, green chair",-26.89670181274414,topk,,a small grey chair,-31.27972412109375,topk,,"a large, blue fan",-24.703744888305664,topk,,a small grey fan facing forwards,-32.16373825073242,topk,,"a large, green chair",-31.159469604492188,topk,
5,"a large, blue, facing-left chair",-31.50724029541016,topk,,a large blue chair facing backward,-30.546266555786133,topk,,a large blue chair facing to the left,-32.115699768066406,topk,,a small grey fan facing forwards,-31.33475112915039,topk,,a large fan facing backwards,-30.24639320373535,topk,,a green fan facing to the left,-31.14889144897461,topk,,a large blue chair facing to the left,-30.63096618652344,topk,
6,"a large, blue chair 1",-30.32596206665039,topk,,a small grey chair facing forwards,-30.904937744140625,topk,,"a large, green chair ",-29.16232681274414,topk,,a large blue chair facing to the left,-30.9229793548584,topk,,a large fan,-29.672199249267575,topk,,a green fan ,-31.948925018310547,topk,,a small grey fan  facing forwards,-31.235048294067383,topk,
7,a large blue chair facing to the left,-30.332868576049805,topk,,"a large, blue chair facing to the right",-31.727384567260746,topk,,"a large, green chair facing left",-29.80524253845215,topk,,"a small, grey chair is facing forwards in the room",-37.92170333862305,topk,,"a large, blue fan  (5)",-31.112607955932617,topk,,a large green fan facing the left,-31.340944290161133,topk,,"a small, grey fan""",-30.733539581298828,topk,
8,a big blue chair facing left,-30.27044677734375,topk,,a blue fan facing backwards,-31.87150001525879,topk,,a green chair,-27.60405731201172,topk,,"a small, grey chair in the room",-34.34955596923828,topk,,"a large, blue fan facing backward",-29.398910522460938,topk,,a green fan is facing to the left,-32.13991928100586,topk,,a small grey chair facing forwards,-30.02680015563965,topk,
9,a blue chair facing the left,-28.952268600463867,topk,,a large blue chair facing backwards ,-30.77585792541504,topk,,"a large, green chair""",-31.42795181274414,topk,,a small grey chair facing forwards,-28.765962600708008,topk,,"a large, blue chair facing to the left",-39.48558807373047,topk,,"a large, green fan, facing left",-32.21100616455078,topk,,a grey fan facing forward,-30.876739501953125,topk,
