,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey chair ",-28.607345581054688,topk,,"a large, grey chair ",-7.0326995849609375,topk,,"a large, red chair facing the opposite direction of the other chairs",-34.804786682128906,topk,,"a small, grey chair that is facing backwards",-32.4588508605957,topk,,"a  large, grey desk  facing forwards",-32.197601318359375,topk,,a large desk,-30.823883056640625,topk,,"a large, grey chair facing backwards",-10.019013404846191,topk,
1,a large grey chair facing backwards in the room,-29.971343994140625,topk,,a large gray chair facing forwards,-10.281970977783203,topk,,a  red  chair,-31.680145263671875,topk,,"a large, grey chair facing backwards",-28.714601516723636,topk,,a desk that is facing forwards,-32.200462341308594,topk,,"a large, red desk, facing backwards",-29.644210815429688,topk,,a desk facing backwards,-9.4962797164917,topk,
2,a grey chair ,-30.39471435546875,topk,,a large grey chair that is facing forwards,-11.037020683288574,topk,,"a large, grey chair facing backwards",-32.116233825683594,topk,,a small grey chair,-30.0018310546875,topk,,a grey desk facing forward,-31.234941482543945,topk,,"a large, red chair facing backwards",-30.87993049621582,topk,,"a small, grey desk is facing backwards",-8.763447761535645,topk,
3,"a large, grey chair facing the opposite direction of the other chairs",-35.84254455566406,topk,,"a large, grey chair facing backwards",-9.19752025604248,topk,,"a large, red chair faces backwards",-32.161956787109375,topk,,"a small, grey chair  (4)",-32.09299850463867,topk,,a grey desk facing forwards ,-31.85697364807129,topk,,"a large, red desk that is facing backwards",-31.609081268310547,topk,,"a small, grey desk ",-6.7946553230285645,topk,
4,"a large, grey chair facing backwards",-28.65062522888184,topk,,a large grey chair facing the front,-10.661778450012209,topk,,"a large, red chair facing",-31.967426300048828,topk,,"a grey, small chair facing backwards",-31.643096923828125,topk,,a chair facing forwards,-31.84574508666992,topk,,"a large, red desk  facing backwards",-30.217458724975582,topk,,"a small, grey desk  facing backwards",-9.127124786376951,topk,
5,a large chair facing backwards,-28.35926055908203,topk,,"a large grey chair, facing forwards",-10.187499046325684,topk,,"a large, red chair  (3)",-32.05947494506836,topk,,"a small, grey chair  facing backwards",-31.00829696655273,topk,,a large desk,-29.442184448242188,topk,,"a large, red desk facing backward",-29.42045783996582,topk,,"a small grey desk facing backwards""",-9.34174633026123,topk,
6,a backwards grey chair,-30.040510177612305,topk,,"a large, grey chair-facing forwards",-10.736502647399902,topk,,a large chair facing backwards,-31.413896560668945,topk,,a grey desk facing backwards,-30.59610939025879,topk,,"a large, grey  desk facing forwards",-32.25640106201172,topk,,"a large, red desk facing backwards in the room",-42.40829086303711,topk,,a grey desk facing backwards,-7.884363174438477,topk,
7,a grey chair that is facing backwards,-31.520814895629883,topk,,"a large, grey chair that is facing forwards",-8.917179107666016,topk,,"a large, red chair facing backwards",-22.928363800048828,topk,,a small grey chair ,-29.6268310546875,topk,,"a large desk, facing forwards",-32.21890640258789,topk,,"a large, red desk facing backwards  (6)",-33.43873596191406,topk,,"a large, red chair facing backwards",-9.827927589416504,topk,
8,"a large, grey chair, facing backwards",-32.10293960571289,topk,,a forward-facing grey chair,-9.58892822265625,topk,,"a large, red chair (3)",-31.785947799682617,topk,,a small chair facing backwards,-29.288095474243164,topk,,a desk facing forwards,-29.580326080322266,topk,,a large desk facing backwards,-29.67489242553711,topk,,"a small, grey chair",-8.826298713684082,topk,
9,a grey chair,-31.15252685546875,topk,,a grey chair,-9.225751876831056,topk,,"a small, grey chair",-32.014007568359375,topk,,"a large, red chair facing backwards",-29.284358978271484,topk,,"a  large, grey desk facing forwards",-30.23788452148437,topk,,"a large, red desk facing backwards""",-27.95195198059082,topk,,"a small, grey desk, facing backwards",-8.37308406829834,topk,
10,a large grey chair,-30.3201961517334,topk,,a large chair facing forwards,-7.172751426696777,topk,,a chair facing backwards,-31.72233772277832,topk,,"a small, grey chair",-31.17525100708008,topk,,a large grey desk ,-30.972347259521484,topk,,a red chair,-31.372838973999023,topk,,a small desk facing backwards,-8.197759628295898,topk,
11,"a large, grey chair that is facing backwards",-30.41632461547852,topk,,"a large, grey desk",-10.477788925170898,topk,,a large red chair facing backwards,-29.99321556091309,topk,,"a small, grey chair facing the opposite direction of the other chairs",-35.31497573852539,topk,,a small grey chair facing backwards,-32.330833435058594,topk,,"a large, red desk",-26.087268829345703,topk,,a small grey chair facing backwards,-8.40340805053711,topk,
12,a chair facing backwards,-28.193395614624023,topk,,a large grey chair,-10.601696968078612,topk,,a large chair,-30.576210021972656,topk,,a small chair,-30.304065704345703,topk,,a large grey desk  facing forwards,-31.334199905395508,topk,,a red desk,-26.97193717956543,topk,,a small grey desk facing forwards,-9.637256622314451,topk,
13,a large grey chair facing the opposite direction of the other chairs,-34.9428825378418,topk,,"a large, grey chair face forwards",-10.795003890991213,topk,,a large chair that is red in color and facing backwards,-34.06174850463867,topk,,a chair facing backwards,-30.97787475585937,topk,,a large grey desk is facing forwards,-31.94906997680664,topk,,"a small, grey desk facing backwards",-29.768611907958984,topk,,a small grey table,-9.19661808013916,topk,
