,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a blue chair on the left,-9.685894012451172,topk,,"a large, blue chair with its back to us",-11.033280372619627,topk,,"a large, green chair facing the left",-11.095166206359863,topk,,a small Grey chair facing forwards,-32.76317596435547,topk,,"a large blue fan, facing backwards",-9.12455940246582,topk,,a fan facing to the left,-30.09772300720215,topk,,"a small, grey fan face forwards",-31.4780387878418,topk,
1,a blue chair facing left,-8.57847785949707,topk,,a backwards-facing blue chair,-9.319695472717283,topk,,a chair that is green and large and facing to the left,-11.741597175598145,topk,,a small grey chair,-24.628759384155277,topk,,"a large, blue fan that is facing backwards",-9.853995323181152,topk,,a green chair facing to the left,-29.835214614868164,topk,,"a grey, small fan facing forwards",-30.518299102783203,topk,
2,"a large, blue chair, facing to the left",-12.022958755493164,topk,,a blue chair facing backwards,-5.6793293952941895,topk,,"a large, green chair to the left",-10.570399284362791,topk,,"a large, green chair",-29.92291831970215,topk,,a large blue fan ,-8.459855079650879,topk,,"a large, green chair",-32.03191375732422,topk,,"a small, grey fan is facing forwards",-30.0849666595459,topk,
3,a blue chair is facing to the left,-9.626581192016602,topk,,"a large, blue chair facing the wall",-9.993552207946776,topk,,"a large, green chair",-11.115836143493652,topk,,a large blue chair facing to the left,-30.837968826293945,topk,,a small grey fan facing forwards,-8.632023811340332,topk,,a large green fan to the left,-31.04009056091309,topk,,a small grey fan facing forwards,-29.88836669921875,topk,
4,"a large, blue, facing-left chair",-9.528947830200195,topk,,"a blue chair, facing backwards",-9.99127960205078,topk,,a large green chair facing the left,-8.727648735046387,topk,,a small grey fan facing forwards,-32.81574630737305,topk,,a blue fan is facing backwards,-9.38419246673584,topk,,a small grey fan facing forwards,-32.09992218017578,topk,,a small grey fan  facing forwards,-30.748668670654297,topk,
5,"a large, blue chair 1",-8.286800384521484,topk,,a small grey fan facing forwards,-10.092214584350586,topk,,a large green chair facing left,-8.75137710571289,topk,,"a small, grey, forward-facing chair",-33.13760757446289,topk,,a blue fan facing backwards,-7.612565517425537,topk,,a green fan faces left,-32.11233901977539,topk,,a large blue chair facing to the left,-30.70992851257324,topk,
6,"a large, blue chair facing to the left in the room",-11.703025817871094,topk,,a large blue chair facing to the left,-10.637364387512209,topk,,a large blue chair facing to the left,-9.62551212310791,topk,,a blue fan facing backwards,-32.672847747802734,topk,,"a large, blue fan is in the room",-9.658551216125488,topk,,a green chair,-30.82327461242676,topk,,"a large, green chair",-31.2259521484375,topk,
7,a big blue chair facing left,-9.047441482543944,topk,,a large blue chair facing backward,-10.454591751098633,topk,,"a large, green chair  (3)",-10.920957565307615,topk,,a grey chair,-26.715763092041016,topk,,"a large, blue fan",-3.2689297199249268,topk,,a green fan facing to the left,-27.152055740356445,topk,,"a small, grey fan""",-30.780494689941406,topk,
8,a blue chair facing the left,-7.6261396408081055,topk,,a large blue chair facing away,-10.467573165893556,topk,,"a large, green chair ",-9.552682876586914,topk,,"a small, grey, chair facing forwards",-34.479854583740234,topk,,a large fan facing backwards,-8.88792896270752,topk,,a green fan ,-31.901660919189453,topk,,a small grey chair facing forwards,-32.37067031860352,topk,
9,"a large, blue chair facing to the left of the room",-9.772299766540527,topk,,a large chair facing backwards,-8.15087890625,topk,,"a large, green chair facing left",-8.207908630371094,topk,,a small grey fan facing forward,-32.17913055419922,topk,,a large fan,-8.268098831176758,topk,,a large green fan facing the left,-31.28566169738769,topk,,a grey fan facing forward,-30.926862716674805,topk,
10,a blue chair is facing left,-9.249470710754396,topk,,a small grey chair facing forwards,-9.83357048034668,topk,,a small grey chair facing forwards,-10.02121925354004,topk,,a small chair,-29.42485237121582,topk,,"a large, blue fan  (5)",-9.66444206237793,topk,,a green fan is facing to the left,-31.8129940032959,topk,,a blue fan facing backwards,-30.58205223083496,topk,
11,a large blue chair,-2.770227193832397,topk,,"a large, blue chair facing the opposite direction of the other chairs",-12.202402114868164,topk,,"a chair that is large, green, and facing to the left",-11.473989486694336,topk,,a small gray chair,-32.6978874206543,topk,,"a large, blue fan facing backward",-8.057794570922852,topk,,"a large, green fan, facing left",-31.815696716308597,topk,,a grey chair,-30.369873046875,topk,
12,"a large, blue chair facing to the left'",-9.298242568969728,topk,,"a large, blue chair facing to the right",-9.874346733093262,topk,,a green chair,-3.71097993850708,topk,,"a small, gray chair facing forwards",-30.949037551879883,topk,,"a large, blue chair facing to the left",-9.104493141174316,topk,,"a large, green fan  facing to the left",-30.261737823486328,topk,,a small grey fan facing forward,-29.31771469116211,topk,
13,a large chair,-8.909103393554688,topk,,a chair facing backwards,-6.365620136260986,topk,,"a large, green chair""",-10.07367706298828,topk,,a large blue chair,-32.62022018432617,topk,,a blue fan ,-9.215261459350586,topk,,"a large, green fan facing to the left",-28.023725509643555,topk,,"a small, grey chair",-30.416786193847656,topk,
14,"a large, blue chair facing to the left",-2.9544928073883057,topk,,"a large, blue fan",-9.17535400390625,topk,,a large green chair is facing to the left,-10.713587760925291,topk,,a chair that is small and grey and facing forwards,-33.42339324951172,topk,,"a small, grey fan facing forwards",-6.768331050872803,topk,,"a small, grey fan facing forwards",-31.28092765808105,topk,,a grey fan is facing forwards,-31.205509185791016,topk,
15,"a large, blue chair facing to the left;",-9.173242568969728,topk,,a blue chair is facing backwards,-10.334482192993164,topk,,a large chair facing to the left,-8.239992141723633,topk,,"a large, blue chair facing to the left",-28.676250457763672,topk,,"a large, blue fan facing backwards",-1.9171698093414309,topk,,"a large, green fan facing the left",-30.25702476501465,topk,,"a large, blue fan",-27.43206214904785,topk,
16,"a large, blue chair facing to the left,",-9.485742568969728,topk,,"a large blue chair, facing backwards",-10.074745178222656,topk,,"a large chair, green in color, facing left",-12.067216873168944,topk,,"a grey, small chair facing forwards",-30.2746639251709,topk,,"a large, blue fan facing forwards",-9.618186950683594,topk,,"a large, green fan facing left",-29.785659790039062,topk,,"a small grey fan, facing forwards",-31.06074333190918,topk,
17,"a large, blue chair is facing to the left",-8.85230541229248,topk,,a backwards large blue chair,-10.505216598510742,topk,,"a large chair, green in color, facing to the left",-11.568696022033691,topk,,"a small, grey fan facing forwards",-32.679744720458984,topk,,"a large, blue fan facing to the left",-9.714579582214355,topk,,"a large, green fan",-29.653369903564453,topk,,"a large, blue chair facing to the left",-28.138404846191406,topk,
18,a large chair facing left,-7.743833065032959,topk,,"a large, blue chair, facing backwards",-10.845992088317873,topk,,a large chair,-9.718232154846191,topk,,"a large, blue fan facing backwards",-33.297237396240234,topk,,a blue fan,-6.863699436187744,topk,,"a  large, green fan facing to the left",-32.01424026489258,topk,,"a small, grey fan ",-28.624244689941406,topk,
19,a blue chair ,-8.600041389465332,topk,,"a large, blue chair facing backward",-8.320113182067871,topk,,"a large, blue chair facing to the left",-8.892953872680664,topk,,"a large, blue chair facing backwards",-32.04777526855469,topk,,a large blue fan is facing backwards,-9.60741901397705,topk,,a green fan facing the left,-30.376798629760746,topk,,a small grey fan facing to the front,-31.7678279876709,topk,
