,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey, desk, facing forwards",-10.386212348937988,topk,,a large blue desk facing forwards ,-9.630261421203612,topk,,"a small, green desk facing to the left",-29.150989532470703,topk,,"a small, green desk",-24.569202423095703,topk,,"a large, blue fan facing forwards'",-30.176795959472656,topk,,"a large, red fan face",-8.780853271484375,topk,,"a small, green fan face",-29.97397994995117,topk,
1,"a large, grey desk facing forwards""",-7.890647888183594,topk,,a large desk that is blue in colour and facing forwards,-11.33103847503662,topk,,a large desk,-29.243358612060547,topk,,"a large, blue desk",-30.06438446044922,topk,,"a large, blue desk",-30.28881454467773,topk,,"a large, red fan""",-8.788665771484375,topk,,a fan facing to the left,-30.20365524291992,topk,
2,"a large, grey desk facing forwards'",-9.562522888183594,topk,,"a small, green desk facing to the left",-10.262272834777832,topk,,a desk facing backwards,-28.982254028320312,topk,,"a small, green desk facing to the left",-22.967151641845703,topk,,"a small, green fan",-30.987998962402344,topk,,a large red desk,-9.34577751159668,topk,,"a small, green fan",-28.21616744995117,topk,
3,"a large, grey desk facing forwards is in the room",-9.601014137268066,topk,,"a large, blue table",-10.440083503723145,topk,,a large red desk,-27.511425018310547,topk,,"a small, green fan facing to the left",-29.29986572265625,topk,,"a large, blue fan  facing forwards",-28.90851783752441,topk,,a large red fan facing backward,-9.541418075561523,topk,,"a small, green desk facing to the left",-29.678335189819336,topk,
4,a large desk,-7.703898429870605,topk,,a large desk,-8.159015655517578,topk,,"a large, red desk, facing backwards",-28.98329734802246,topk,,a small green desk facing left,-26.554668426513672,topk,,"a large, blue fan is in the room",-30.95188331604004,topk,,a red desk facing backwards,-9.05573272705078,topk,,"a small, green fan on the left",-29.81196403503418,topk,
5,"a large, grey desk facing forwards  (1)",-11.230948448181152,topk,,a large desk with a blue surface,-10.105842590332031,topk,,a red desk facing backwards,-24.538793563842773,topk,,"a small, green desk faces to the left",-30.02471160888672,topk,,"a large, blue fan facing forwards ",-27.668983459472656,topk,,"a small, green fan facing to the left",-10.256831169128418,topk,,"a small, green fan facing to the left",-26.953418731689453,topk,
6,"a large grey desk facing forwards""",-9.86656665802002,topk,,a large desk that is blue in color and facing forwards,-10.965765953063965,topk,,"a large, red desk with its back facing us",-32.49312210083008,topk,,"a green, small desk facing to the left",-30.687152862548828,topk,,a blue desk,-28.81960678100586,topk,,"a large, red fan facing backward",-8.387848854064941,topk,,a green fan facing to the left,-30.586240768432617,topk,
7,"a large, grey desk, facing forwards",-10.972540855407717,topk,,"a large blue desk, facing forwards",-10.218626022338867,topk,,"a large, red desk face",-29.841272354125977,topk,,a small green desk ,-28.79891586303711,topk,,"a large, blue fan facing forwards in a room",-31.438661575317383,topk,,"a large, red fan",-3.819915294647217,topk,,a small green fan is facing to the left,-30.46633720397949,topk,
8,"a large, grey desk",-7.301888942718506,topk,,"a large blue desk facing forwards""",-10.349011421203612,topk,,a red desk facing away,-29.570045471191406,topk,,"a small, green desk to the left",-29.28438186645508,topk,,"a large, blue fan",-24.729137420654297,topk,,"a large, red fan facing forwards",-8.661286354064941,topk,,a small green desk facing left,-30.00985717773437,topk,
9,"a large, grey desk in the room",-10.263622283935549,topk,,a blue desk,-5.465970993041992,topk,,"a large, red desk that is facing backwards",-32.42080307006836,topk,,a small green desk is facing to the left,-30.292598724365234,topk,,a large fan,-28.713211059570312,topk,,a large red fan ,-9.662101745605469,topk,,a small green fan facing the left,-27.92965507507324,topk,
10,a blue desk,-9.75271224975586,topk,,a blue desk in the room,-10.506083488464355,topk,,"a large, red desk  facing backwards",-30.667478561401367,topk,,a green desk facing left,-29.94165802001953,topk,,"a large, blue fan facing forwards in the room",-29.84967422485352,topk,,"a large red fan, facing backwards",-10.004852294921877,topk,,a small green fan to the left,-28.45621490478516,topk,
11,a large grey desk facing forwards in a room,-10.019216537475586,topk,,"a  large, blue desk",-9.887359619140623,topk,,"a large, red desk facing backward",-30.010581970214844,topk,,"a small desk, green",-30.15701103210449,topk,,"a large, blue fan facing forwards",-24.07523536682129,topk,,"a large, red fan faces backwards",-9.706941604614258,topk,,a small green fan facing left,-29.563217163085938,topk,
12,"a large, grey desk facing forwards 1",-10.7130765914917,topk,,a desk facing forwards,-9.943984031677246,topk,,a large desk that is red in color and facing backwards,-32.425392150878906,topk,,"a small, green desk facing the left",-29.18728256225586,topk,,a large blue fan facing forwards,-28.948246002197266,topk,,"a large, red fan in the room",-10.15122127532959,topk,,"a large, blue fan facing forwards",-30.19253921508789,topk,
13,a desk facing forwards,-8.160381317138672,topk,,a blue desk in a room,-10.908233642578123,topk,,a red desk backwards,-29.80208969116211,topk,,a small green desk facing the left,-30.233097076416016,topk,,a large fan facing forwards,-28.53742218017578,topk,,a large fan facing backwards,-6.491487503051758,topk,,"a small, green fan that is facing to the left",-32.94052505493164,topk,
14,"a large, grey desk  ",-9.88503646850586,topk,,a blue desk facing forward,-10.519460678100586,topk,,"a large, red desk facing the opposite direction of the others",-33.778438568115234,topk,,"a small, green desk face to the left",-30.28064346313477,topk,,a blue fan,-25.940114974975582,topk,,a large fan,-8.650492668151855,topk,,a small fan facing to the left,-28.555814743041992,topk,
15,a large grey desk is facing forwards,-9.691224098205566,topk,,a large blue desk facing forwards in a room,-11.372674942016602,topk,,"a large, red desk",-24.755334854125977,topk,,a small green desk,-25.97079086303711,topk,,"a  large, blue fan facing forwards",-30.560453414916992,topk,,a large red fan,-9.72467803955078,topk,,a green desk facing left,-30.35137939453125,topk,
16,a large grey desk  facing forwards,-9.844432830810549,topk,,a blue desk facing forwards,-5.128835678100586,topk,,a red desk,-25.24740219116211,topk,,a green small desk,-29.88706588745117,topk,,"a large, blue fan""",-29.736949920654297,topk,,"a  large, red fan facing backwards",-9.822742462158203,topk,,a green fan facing the left,-30.410964965820312,topk,
17,a gray desk,-9.891030311584473,topk,,a large desk facing forwards that is blue in color,-12.035477638244627,topk,,"a large, red desk  ",-30.458459854125977,topk,,"a large, blue desk facing forwards",-28.69487953186035,topk,,"a large, blue fan that is facing forwards",-31.1594181060791,topk,,"a large, red fan  facing backwards",-8.643436431884766,topk,,a small green fan facing to the left,-28.439210891723636,topk,
18,a large grey desk facing forwards in the room,-8.812782287597656,topk,,a large blue desk facing forwards,-5.731823921203613,topk,,a large red desk facing backward,-30.57403564453125,topk,,"a small, green desk""",-29.795764923095703,topk,,a large blue fan,-30.21263694763184,topk,,"a large, red fan that is facing backwards",-9.845619201660156,topk,,"a small, green fan""",-30.10679244995117,topk,
19,"a large, grey desk  facing forwards",-8.589519500732422,topk,,"a blue desk""",-10.661283493041992,topk,,"a red desk, facing backwards",-28.50138664245605,topk,,a small green desk to the left,-30.10002899169922,topk,,"a large, blue fan facing forwards is in the room",-31.384254455566406,topk,,"a large, red fan facing to the left",-10.076763153076172,topk,,"a small, green fan is facing to the left",-30.04784774780273,topk,
20,a large grey facing forwards desk,-9.451543807983398,topk,,a large desk that is blue in colour,-11.535265922546388,topk,,a red desk that is facing backwards,-30.108417510986328,topk,,a small desk facing left,-28.29521751403809,topk,,a large blue fan  facing forwards,-30.91316032409668,topk,,a large red fan facing backwards,-9.816770553588867,topk,,"a small, green fan facing the left",-28.86307144165039,topk,
21,"a large, grey desk facing forwards, ",-10.536670684814451,topk,,"a large desk, blue in colour, facing forwards",-10.133642196655272,topk,,a red table,-29.459367752075195,topk,,a small green desk facing to the left,-26.73988151550293,topk,,a large blue desk,-29.922426223754883,topk,,a red fan ,-10.324268341064451,topk,,"a large, red fan facing backwards",-30.044696807861328,topk,
22,"a large, grey desk ",-6.283473968505859,topk,,a large blue desk is facing forwards,-10.509790420532228,topk,,"a large, red desk ",-27.427209854125977,topk,,"a small, green desk facing left",-29.326114654541016,topk,,"a large, blue fan, facing forwards",-33.57843780517578,topk,,"a large, red desk",-9.392607688903809,topk,,a small green fan,-29.18711853027344,topk,
23,"a large, grey desk facing forwards  (1) ",-14.020010948181152,topk,,a large desk is blue and facing forwards,-10.77218246459961,topk,,"a red, large desk facing backwards",-30.504024505615234,topk,,a green desk facing to the left,-28.26586532592773,topk,,"a large blue fan, facing forwards",-30.87933921813965,topk,,a fan facing backwards,-7.878631591796875,topk,,a small green desk facing to the left,-32.27399063110352,topk,
