,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a large red sofa,-24.351089477539062,topk,,a large red sofa,-31.228086471557617,topk,,"a small, blue  sofa",-32.115177154541016,topk,,a small green sofa ,-10.204235076904297,topk,,a large red sofa,-12.346912384033203,topk,,"a small, blue  desk facing to the right",-32.677364349365234,topk,,"a small, green desk facing backwards",-22.20390510559082,topk,
1,"a large,",-30.757568359375,topk,,a small red sofa facing right,-28.85752296447754,topk,,"a large, red sofa",-33.206905364990234,topk,,"a small, green desk facing backwards",-10.755728721618652,topk,,"a small, green desk facing backwards",-9.788192749023438,topk,,"a small, green desk facing backwards",-32.7608528137207,topk,,"a small, green desk  facing backwards",-29.325010299682617,topk,
2,"a large, red sofa""",-30.80885887145996,topk,,"a small, red desk",-30.65188217163086,topk,,a small blue sofa facing to the right,-29.226863861083984,topk,,a small green sofa facing to the right,-11.184473037719728,topk,,a small green desk facing backwards,-12.101950645446776,topk,,"a small, blue desk that faces to the right",-32.607845306396484,topk,,"a small, green desk facing downwards",-31.52462387084961,topk,
3,"a large, red sofa that is facing to the right",-31.205739974975582,topk,,"a small, red couch",-29.76125717163086,topk,,a small green sofa facing backwards,-33.31948471069336,topk,,"a small, green sofa facing the opposite direction of the others",-11.958725929260254,topk,,a ,-12.059091567993164,topk,,a small blue sofa facing to the right,-31.95297241210937,topk,,a small green desk facing backwards,-31.667552947998047,topk,
4,"a large, red sofa, facing to the right",-33.4749755859375,topk,,a ,-32.19195556640625,topk,,"a small, blue, right-facing sofa",-33.120948791503906,topk,,a small green sofa,-10.516735076904297,topk,,"a large, red sofa",-10.71072769165039,topk,,"a small, blue desk facing to the left",-32.026756286621094,topk,,"a small, green desk face backwards",-30.842893600463867,topk,
5,"a large, red sofa faces right",-31.234420776367188,topk,,a small red couch,-32.192989349365234,topk,,a small,-32.60652542114258,topk,,"a small, blue sofa facing to the right",-10.373112678527832,topk,,"a small, blue desk",-12.213788032531738,topk,,"a small, blue desk",-26.1484317779541,topk,,a green desk facing backwards ,-31.84276390075684,topk,
6,"a large, red sofa",-25.18385887145996,topk,,"a small , red sofa facing to the right",-33.19447326660156,topk,,"a small, green sofa",-32.60725402832031,topk,,a small green sofa facing backwards,-7.969293594360352,topk,,"a small , red desk facing to the right",-12.516407012939451,topk,,"a small blue desk, facing to the right",-32.559383392333984,topk,,a small green desk facing to the right,-31.88286590576172,topk,
7,a large red facing right sofa,-30.755380630493164,topk,,"a large, red sofa",-31.121383666992188,topk,,a blue small sofa facing to the right,-32.766639709472656,topk,,a small sofa facing backwards,-8.659016609191895,topk,,a small  red desk facing to the right,-11.748668670654297,topk,,"a small, blue desk-facing to the right",-32.62392807006836,topk,,"a large, red sofa",-29.822954177856445,topk,
8,"a large, red sofa 1",-31.27076911926269,topk,,a small sofa facing right,-31.871353149414062,topk,,a blue sofa is facing to the right,-32.812347412109375,topk,,"a small, green sofa ",-8.038637161254883,topk,,a small,-10.933095932006836,topk,,"a small, blue desk that is facing to the right",-31.61142349243164,topk,,"a small, green desk faced backwards",-31.60688018798828,topk,
9,"a large, red sofa  (1)",-30.82694625854492,topk,,"a small sofa, red in color, facing to the right",-45.78014755249024,topk,,a blue sofa,-29.036243438720703,topk,,"a small green sofa, facing backwards",-10.061220169067385,topk,,a small red desk is in the room,-12.572856903076172,topk,,"a small, blue desk faced to the right",-32.26007461547852,topk,,a small green desk ,-31.61827087402344,topk,
10,"a large, red sofa ",-27.20729637145996,topk,,"a small red sofa, facing right",-32.2441520690918,topk,,a small blue sofa facing to the right ,-33.539363861083984,topk,,"a small, green sofa",-5.976137161254883,topk,,"a small,  red desk facing to the right",-12.37881851196289,topk,,"a small, blue desk facing  to the right",-32.64985656738281,topk,,a small,-31.76673126220703,topk,
11,a red sofa facing the right,-29.42533493041992,topk,,"a small, blue sofa facing to the right",-31.86236572265625,topk,,a blue couch,-32.48918914794922,topk,,"a small, green sofa  ",-10.773012161254885,topk,,"a  small, red desk facing to the right",-10.104317665100098,topk,,"a small, blue desk  (6)",-32.33037567138672,topk,,"a small, green desk that is facing backwards",-30.760404586791992,topk,
12,"a large, red sofa to the right",-30.4035587310791,topk,,a small  red sofa facing to the right,-31.762826919555664,topk,,a small blue sofa facing right,-30.01903915405273,topk,,a small green sofa is facing backwards,-9.352216720581056,topk,,"a large, red sofa facing to the right",-10.098928451538086,topk,,a small desk facing to the right,-32.757328033447266,topk,,a small desk,-31.420928955078125,topk,
13,a red sofa facing right,-27.42731094360352,topk,,a small red sofa  (2),-32.460235595703125,topk,,a small blue sofa is facing to the right,-31.966796875,topk,,"a  small, green sofa facing backwards",-10.668432235717772,topk,,"a  small, red desk  facing to the right",-11.89608097076416,topk,,"a small, blue sofa",-29.42876243591309,topk,,"a small, green desk faces backwards",-30.748363494873047,topk,
14,a large sofa facing right,-29.529373168945312,topk,,a small,-30.9480094909668,topk,,a blue sofa facing right,-30.328353881835938,topk,,a sofa facing backwards,-10.268402099609377,topk,,a red sofa facing to the right,-12.314556121826172,topk,,a blue desk facing right,-32.81938934326172,topk,,"a small, green desk  ",-31.16741180419922,topk,
15,a red sofa is facing to the right,-30.450841903686523,topk,,a small red sofa facing to the right ,-32.567649841308594,topk,,a small blue sofa ,-32.927284240722656,topk,,"a small, green sofa that faces backwards",-10.632675170898438,topk,,"a small,",-10.06621551513672,topk,,a small blue desk,-32.64918899536133,topk,,"a small, green desk facing to the left",-30.359437942504883,topk,
16,"a large, red sofa is in the room",-31.08613395690918,topk,,a small red sofa that is facing to the right,-34.414791107177734,topk,,a blue sofa facing the right,-31.947912216186523,topk,,"a small, green sofa backwards",-10.327699661254885,topk,,a small red desk faces to the right,-11.868326187133787,topk,,"a small, blue desk  facing to the right",-29.36353874206543,topk,,"a small, green desk facing sideways",-31.813282012939453,topk,
17,a large Red sofa,-31.26934814453125,topk,,"a small red sofa, facing to the right",-30.043190002441406,topk,,a small blue sofa that is facing to the right,-33.54166793823242,topk,,"a large, red sofa facing to the right",-10.853081703186035,topk,,a small red desk,-10.456609725952148,topk,,"a small,",-32.79039001464844,topk,,"a small, green desk facing the opposite direction of other objects",-33.069610595703125,topk,
18,a large sofa facing to the right,-28.593896865844727,topk,,a sofa,-30.20758056640625,topk,,"a small, blue sofa",-23.01992416381836,topk,,"a small, green sofa with its back to the viewer",-11.569116592407228,topk,,a small red desk facing to the right,-10.821971893310549,topk,,"a small, blue desk, facing to the right",-32.28922271728516,topk,,"a small, green desk ",-28.41741180419922,topk,
19,a large sofa,-28.46692276000977,topk,,"a small, red  sofa",-31.287273406982425,topk,,"a small, red sofa",-32.144020080566406,topk,,"a small, green sofa with its back facing the viewer",-12.119462013244627,topk,,a green desk facing backwards,-12.40865707397461,topk,,"a small, blue desk facing to the  right",-32.992210388183594,topk,,"a small, green desk, facing backwards",-29.96476936340332,topk,
20,"a large, red sofa, facing right",-31.322566986083984,topk,,a little red sofa facing to the right,-32.1489143371582,topk,,"a small, blue",-32.51992416381836,topk,,"a small,",-10.550492286682127,topk,,a small red desk  facing to the right,-10.577569961547852,topk,,"a small, blue desk""",-31.4921817779541,topk,,"a small, green desk facing the wall",-31.256404876708984,topk,
21,"a large, red sofa facing to the right",-25.427709579467773,topk,,"a small, red sofa",-22.46438217163086,topk,,a small blue sofa faces to the right,-33.1209716796875,topk,,"a small, green sofa facing backward",-8.933475494384766,topk,,"a small red desk, facing to the right",-10.462092399597168,topk,,a green desk facing backwards,-32.92112731933594,topk,,"a small, green desk facing ",-31.758594512939453,topk,
22,a large,-30.922576904296875,topk,,"a large, red sofa facing to the right",-30.665855407714844,topk,,"a large, red sofa facing to the right",-33.21158981323242,topk,,"a small, green sofa facing to the left",-10.074554443359377,topk,,a small red desk ,-9.769109725952148,topk,,"a small, blue desk faces to the right",-31.09308433532715,topk,,"a small,",-31.21617889404297,topk,
23,a red sofa facing to the right,-26.459692001342773,topk,,a red sofa facing to the right,-29.987701416015625,topk,,"a small blue sofa, facing to the right",-41.04924774169922,topk,,"a small, green sofa faces backwards",-10.237200736999512,topk,,a small blue desk facing to the right,-12.477956771850586,topk,,a small blue desk facing to the right,-30.479183197021484,topk,,a green desk facing backward,-31.698793411254883,topk,
24,"a large, red sofa  facing to the right",-30.439170837402344,topk,,a small red sofa faces to the right,-32.39616775512695,topk,,a small blue sofa  facing to the right,-32.26774978637695,topk,,"a small, green sofa facing to the right",-11.06759548187256,topk,,"a small, blue desk facing to the right",-9.731051445007324,topk,,"a small, blue desk ",-28.9843692779541,topk,,"a small, green desk facing the opposite direction of the other desks and sofas",-33.77338409423828,topk,
25,a big red sofa facing right,-31.129608154296875,topk,,"a small,",-30.42304992675781,topk,,a small red sofa,-31.39855194091797,topk,,"a small, green sofa facing forwards",-9.511600494384766,topk,,"a  small, red desk",-11.965394973754885,topk,,"a  small, blue desk facing to the right",-32.26028060913086,topk,,"a small, green table",-30.079776763916016,topk,
26,"a large, red sofa is facing to the right",-36.48686218261719,topk,,a small red sofa 2,-32.321136474609375,topk,,"a small,",-31.858715057373047,topk,,a small green desk,-8.948667526245117,topk,,a small sofa facing to the right,-12.726347923278809,topk,,a small blue desk facing the right,-32.45050048828125,topk,,a green desk facing backwards,-28.25682640075684,topk,
27,a red sofa,-27.158891677856445,topk,,a small red sofa facing the right,-32.733028411865234,topk,,"a blue sofa, facing to the right",-32.473365783691406,topk,,a green desk facing backwards,-10.06705093383789,topk,,a red desk,-6.91154670715332,topk,,a,-30.51744079589844,topk,,"a small, green desk facing",-31.407032012939453,topk,
28,"a red sofa, facing to the right",-31.28974723815918,topk,,a small sofa,-29.97080421447754,topk,,a small  blue sofa facing to the right,-33.08684539794922,topk,,a green sofa is facing backwards,-10.464983940124512,topk,,"a small, red  desk facing to the right",-10.850043296813965,topk,,a small  blue desk facing to the right,-32.761436462402344,topk,,a small blue desk facing to the right,-31.74512481689453,topk,
29,"a large, red sofa faces to the right",-31.29936408996582,topk,,a small red sofa  facing to the right,-30.62211799621582,topk,,"a  small, blue sofa facing to the right",-32.409889221191406,topk,,"a small, green sofa with its back facing us",-11.75788116455078,topk,,a,-8.16846752166748,topk,,"a small, blue desk face to the right",-32.811180114746094,topk,,"a small, green desk facing the opposite direction of the other desks",-33.535797119140625,topk,
30,a red sofa ,-30.197954177856445,topk,,"a  small, red sofa",-30.517885208129883,topk,,"a small, blue couch",-31.15273666381836,topk,,a green sofa facing backward,-10.370189666748049,topk,,a small red desk is facing to the right,-10.502079010009766,topk,,"a small, blue desk facing the right",-30.52233123779297,topk,,"a small, green desk facing to the right",-30.203187942504883,topk,
31,a red couch,-30.615737915039062,topk,,a small red sofa is facing to the right,-30.667465209960938,topk,,a small Blue sofa,-33.162315368652344,topk,,"a small, green sofa, facing backwards",-11.042766571044922,topk,,a small red desk facing to the left,-12.769250869750977,topk,,"a small, blue desk is facing to the right",-31.03319931030273,topk,,"a small, blue desk facing to the right",-30.606565475463867,topk,
32,a red sofa to the right,-31.19794273376465,topk,,a red couch,-31.548141479492188,topk,,a small blue sofa,-32.184574127197266,topk,,a,-9.36121940612793,topk,,a small red desk facing the right,-11.647590637207031,topk,,a blue desk,-31.06587219238281,topk,,a small green desk facing forwards,-31.827903747558597,topk,
33,a,-28.8812255859375,topk,,a small sofa facing to the right,-28.7218074798584,topk,,"a small, blue desk facing to the right",-33.04246520996094,topk,,"a small, green sofa facing the opposite direction of the other sofas",-11.615324020385742,topk,,"a small, green desk",-12.537416458129885,topk,,"a small, blue desk facing right",-31.347640991210938,topk,,"a small, green desk facing  backwards",-31.605209350585938,topk,
34,"a red, large sofa",-30.53348159790039,topk,,a,-28.60601806640625,topk,,a small sofa facing to the right,-33.17961502075195,topk,,"a small, green couch facing backwards",-9.824071884155272,topk,,a blue desk facing to the right,-11.584434509277344,topk,,a small blue desk facing right,-32.033206939697266,topk,,a,-29.663604736328125,topk,
35,"a large, red sofa facing right",-27.687280654907227,topk,,a blue sofa facing to the right,-32.7564697265625,topk,,a,-30.26018714904785,topk,,"a small, green sofa that is facing backwards",-9.12770652770996,topk,,"a small, red",-11.79344367980957,topk,,a small blue desk  facing to the right,-32.21837615966797,topk,,a small desk facing backwards,-28.37111091613769,topk,
36,"a large, red sofa (1)",-31.187471389770508,topk,,"a small, red",-31.67531967163086,topk,,a small blue sofa facing the right,-32.8023681640625,topk,,a blue sofa facing to the right,-9.880023002624512,topk,,a small red desk face to the right,-12.196066856384276,topk,,a blue desk facing the right,-32.890228271484375,topk,,"a small, green desk",-25.58928680419922,topk,
37,"a large, red sofa  ",-30.85573387145996,topk,,a small red sofa facing to the right,-31.011552810668945,topk,,"a small, blue, facing-right sofa",-33.33354949951172,topk,,"a small, green sofa  facing backwards",-9.438060760498049,topk,,a sofa facing to the right,-11.888476371765137,topk,,a blue sofa facing to the right,-32.08931350708008,topk,,a desk facing backwards,-30.08522224426269,topk,
38,a red thing,-37.274681091308594,logic,,a small red sofa ,-32.21471405029297,topk,,"a small blue sofa, facing right",-33.148826599121094,topk,,a small green sofa facing backward,-10.365345001220703,topk,,"a small, red sofa facing to the right",-12.177667617797852,topk,,"a small, blue desk facing backwards",-32.60101318359375,topk,,a blue desk facing to the right,-31.55597877502441,topk,
39,a red thing facing to the right,-41.17829132080078,logic,,a red thing,-36.72550582885742,logic,,a blue sofa facing to the right,-28.2993106842041,topk,,"a small, green, backwards-facing sofa",-10.764920234680176,topk,,"a small, red  desk",-12.55109405517578,topk,,a blue desk facing to the right,-29.11247062683105,topk,,"a small, green sofa facing backwards",-30.56134605407715,topk,
40,a red thing facing backwards,-47.327144622802734,logic,,a red thing facing to the right,-39.80741500854492,logic,,"a blue, small sofa facing to the right",-32.69562911987305,topk,,"a small, green sofa facing backwards",-5.771201133728027,topk,,a small red sofa facing to the right,-11.493075370788574,topk,,a small blue desk ,-32.39137649536133,topk,,"a  small, green desk facing backwards",-31.277023315429688,topk,
41,a red sofa,-24.365413665771484,logic,,a red thing facing backwards,-45.50886535644531,logic,,a blue sofa ,-32.5049934387207,topk,,"a small, green sofa with its back facing forward",-11.330862998962402,topk,,a small red desk that is facing to the right,-12.634800910949709,topk,,"a small, blue desk  ",-32.14842987060547,topk,,a small table facing backwards,-31.867826461791992,topk,
42,a red sofa facing to the right,-25.379852294921875,logic,,a red sofa,-27.299222946166992,logic,,a little blue sofa facing to the right,-33.22185516357422,topk,,a green sofa facing backwards,-9.53005313873291,topk,,a small  red desk,-12.159244537353516,topk,,a red thing,-19.858062744140625,logic,,"a small, green desk facing forwards",-28.703907012939453,topk,
43,a red sofa facing backwards,-34.03070831298828,logic,,a red sofa facing to the right,-28.196895599365234,logic,,a blue couch facing to the right,-33.278343200683594,topk,,"a small, green sofa is facing backwards",-7.71708869934082,topk,,a red thing,-38.672882080078125,logic,,a red thing facing to the right,-22.365142822265625,logic,,"a small, red desk facing to the right",-30.88179588317871,topk,
44,a red desk,-35.1818962097168,logic,,a red sofa facing backwards,-34.26631164550781,logic,,a small blue couch,-32.181854248046875,topk,,a green facing backwards sofa,-10.707646369934082,topk,,a red thing facing to the right,-41.37557601928711,logic,,a red thing facing backwards,-26.525691986083984,logic,,"a small, green desk is facing backwards",-30.06986427307129,topk,
45,a red desk facing to the right,-36.11238479614258,logic,,a red desk,-32.59553909301758,logic,,a small blue sofa facing to the left,-33.60105514526367,topk,,a small green couch,-10.343461990356444,topk,,a red thing facing backwards,-48.312442779541016,logic,,a red sofa,-12.042595863342283,logic,,"a small, green desk facing backward",-30.681869506835938,topk,
46,a red desk facing backwards,-39.30865859985352,logic,,a red desk facing to the right,-33.82345962524414,logic,,a red thing,-19.701852798461918,logic,,a red thing,-40.125030517578125,logic,,a red sofa,-30.985916137695312,logic,,a red sofa facing to the right,-13.153404235839844,logic,,a red thing,-40.92632675170898,logic,
47,a green thing,-41.320682525634766,logic,,a red desk facing backwards,-37.08770751953125,logic,,a red thing facing to the right,-22.5666446685791,logic,,a red thing facing to the right,-42.79216384887695,logic,,a red sofa facing to the right,-32.39139175415039,logic,,a red sofa facing backwards,-17.660717010498047,logic,,a red thing facing to the right,-43.8970947265625,logic,
48,a green thing facing to the right,-48.15739440917969,logic,,a green thing,-41.39971923828125,logic,,a red thing facing backwards,-27.1706657409668,logic,,a red thing facing backwards,-45.40876388549805,logic,,a red sofa facing backwards,-37.66097640991211,logic,,a red desk,-11.650235176086426,logic,,a red thing facing backwards,-46.24384307861328,logic,
49,a green thing facing backwards,-43.139739990234375,logic,,a green thing facing to the right,-47.78316116333008,logic,,a red sofa,-11.159274101257324,logic,,a red sofa,-31.483936309814453,logic,,a red desk,-26.99790382385254,logic,,a red desk facing to the right,-12.13778591156006,logic,,a red sofa,-32.08678436279297,logic,
50,a green sofa,-32.52745056152344,logic,,a green thing facing backwards,-43.185821533203125,logic,,a red sofa facing to the right,-12.351689338684082,logic,,a red sofa facing to the right,-32.410667419433594,logic,,a red desk facing to the right,-27.844263076782227,logic,,a red desk facing backwards,-17.397441864013672,logic,,a red sofa facing to the right,-33.56679916381836,logic,
51,a green sofa facing to the right,-37.39342880249024,logic,,a green sofa,-33.13783264160156,logic,,a red sofa facing backwards,-17.196392059326172,logic,,a red sofa facing backwards,-36.628936767578125,logic,,a red desk facing backwards,-36.691162109375,logic,,a green thing,-19.308612823486328,logic,,a red sofa facing backwards,-37.34822082519531,logic,
52,a green sofa facing backwards,-32.977874755859375,logic,,a green sofa facing to the right,-37.377689361572266,logic,,a red desk,-14.369600296020508,logic,,a red desk,-34.011966705322266,logic,,a green thing,-40.79579925537109,logic,,a green thing facing to the right,-25.099580764770508,logic,,a red desk,-33.44009780883789,logic,
