,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a small red chair to the right,-30.23918914794922,topk,,"a small, red chair facing the left",-7.136041641235352,topk,,a blue chair facing backwards,-10.222389221191406,topk,,a grey sofa facing forwards,-32.29498291015625,topk,,"a small, red sofa (5)",-31.54633903503418,topk,,"a  small, blue sofa facing backwards",-32.75273132324219,topk,,a grey sofa facing forwards,-8.861654281616211,topk,
1,"a small, red chair, facing right",-29.92497062683105,topk,,"a small, red chair - facing to the left",-10.612585067749023,topk,,"a small, blue chair in the room",-10.091506004333496,topk,,a large grey chair faces forwards,-32.079586029052734,topk,,"a small, red sofa ",-27.60968399047852,topk,,a blue chair facing backwards,-31.890714645385746,topk,,"a large, grey sofa, facing forwards",-9.379499435424805,topk,
2,a red chair ,-30.80756187438965,topk,,a blue chair facing backwards,-10.225629806518556,topk,,"a blue chair, facing backwards",-9.299463272094728,topk,,a large gray chair facing forwards,-31.10343170166016,topk,,a red sofa facing left,-31.46990203857422,topk,,"a blue, small sofa facing backwards",-32.10177230834961,topk,,"a large, grey sofa",-7.927479267120361,topk,
3,a small red chair 1,-30.937488555908203,topk,,a small red chair is facing to the left,-10.809148788452148,topk,,a small blue chair is facing backwards,-10.473124504089355,topk,,a blue chair facing backwards,-32.527244567871094,topk,,a small red sofa facing to the left,-27.2082462310791,topk,,"a small, blue sofa facing backwards",-28.46719741821289,topk,,a small red chair facing to the left,-9.939041137695312,topk,
4,a red chair is facing to the right,-31.24012756347656,topk,,a small red chair facing to the left,-5.63228702545166,topk,,a blue chair that is facing backwards,-9.222341537475586,topk,,"a large chair, facing forwards",-32.658592224121094,topk,,"a  small, red sofa facing to the left",-31.362957000732425,topk,,a blue sofa facing backwards,-28.790367126464844,topk,,"a large, grey sofa  facing forwards",-8.481685638427734,topk,
5,a small red chair facing to the left,-30.581695556640625,topk,,a red chair facing to the left,-6.979221820831299,topk,,"a small, blue chair with its back to us",-10.609642028808594,topk,,a large grey chair that is facing forwards,-32.97637176513672,topk,,"a small red sofa, facing to the left",-30.574169158935547,topk,,"a small, blue sofa facing upwards",-32.95112991333008,topk,,"a large, grey sofa is facing forwards",-9.380374908447266,topk,
6,a small red chair,-30.254648208618164,topk,,"a small, red chair 2",-9.120586395263672,topk,,"a small, blue chair facing backward",-8.151278495788574,topk,,a large grey chair facing the front,-32.71599578857422,topk,,"a small, red sofa faces left",-30.412599563598636,topk,,"a small, blue sofa that is facing backwards",-31.19856834411621,topk,,"a small, blue sofa facing backwards",-7.379486560821533,topk,
7,"a small, red chair  (1)",-31.39727783203125,topk,,"a small, red chair, facing to the left, in the room",-11.64844799041748,topk,,"a small, blue chair",-5.2714948654174805,topk,,"a large grey chair, facing forwards",-31.829402923583984,topk,,a small  red sofa facing to the left,-31.53647994995117,topk,,"a small, blue chair facing backwards",-30.938383102416992,topk,,a blue sofa facing backwards,-10.32982349395752,topk,
8,"a small, red chair facing to the right",-30.635818481445312,topk,,a small red chair,-10.331220626831056,topk,,"a small, blue sofa facing backwards",-7.42061185836792,topk,,a large grey chair facing forwards in the room,-32.15193176269531,topk,,"a small, red sofa",-24.484682083129883,topk,,"a small, blue, backwards-facing sofa",-32.90480041503906,topk,,a small red chair,-10.273845672607422,topk,
9,"a small, red chair facing the right side",-31.907947540283203,topk,,"a small, red chair facing to the right",-6.69815731048584,topk,,a blue sofa facing backwards,-9.13596534729004,topk,,a small red chair facing to the left,-33.62264633178711,topk,,a small,-30.808135986328125,topk,,"a small, blue sofa",-30.525714874267575,topk,,"a small, red chair facing to the right",-7.64699125289917,topk,
