,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a small red chair to the right,-30.23918914794922,topk,,"a small, red chair facing the left",-7.136041641235352,topk,,a blue chair facing backwards,-32.247779846191406,topk,,"a large, grey chair ",-7.15777063369751,topk,,"a small, red sofa (5)",-31.5400447845459,topk,,a blue chair facing backwards,-31.890714645385746,topk,,a large grey sofa is facing forwards,-32.57347869873047,topk,
1,"a small, red chair, facing right",-29.92497062683105,topk,,a blue chair facing backwards,-10.225629806518556,topk,,"a small, blue chair in the room",-32.11689376831055,topk,,a grey sofa facing forwards,-9.696510314941406,topk,,"a small, red sofa ",-27.60965347290039,topk,,"a blue, small sofa facing backwards",-32.669315338134766,topk,,a grey sofa facing forwards,-29.259315490722656,topk,
2,a red chair ,-30.80756187438965,topk,,a small red chair is facing to the left,-10.476442337036133,topk,,"a blue chair, facing backwards",-31.324853897094727,topk,,a large grey chair faces forwards,-10.192867279052734,topk,,"a small, red, left-facing sofa",-31.610462188720703,topk,,"a small, blue sofa with its back to us",-34.394100189208984,topk,,"a large, grey sofa, facing forwards",-31.38882064819336,topk,
3,a red chair is facing to the right,-31.24012756347656,topk,,a small red chair facing to the left,-9.332014083862305,topk,,a small blue chair is facing backwards,-32.49851608276367,topk,,a large gray chair facing forwards,-9.216712951660156,topk,,a red sofa facing left,-30.574190139770508,topk,,a small blue sofa is facing backwards,-33.378780364990234,topk,,"a large, grey sofa",-29.93529319763184,topk,
4,a small red chair facing to the left,-30.581695556640625,topk,,a red chair facing to the left,-8.636215209960938,topk,,a blue chair that is facing backwards,-31.247732162475582,topk,,a grey chair ,-9.781692504882812,topk,,"a red sofa, facing to the left",-32.06929397583008,topk,,"a small, blue sofa facing backwards",-28.46719741821289,topk,,"a large, grey sofa  facing forwards",-31.37965583801269,topk,
5,a small red chair,-30.254648208618164,topk,,"a small, red chair 2",-10.30296516418457,topk,,"a small, blue chair that is facing backward",-33.19107437133789,topk,,a grey chair facing forward,-8.605155944824219,topk,,"a  small, red sofa facing to the left",-31.362957000732425,topk,,a blue sofa facing backwards,-32.30754089355469,topk,,"a large, grey sofa is facing forwards",-31.387771606445312,topk,
6,"a small, red chair  (1)",-31.39727783203125,topk,,"a small, red chair, facing to the left, in the room",-11.64844799041748,topk,,"a small, blue chair with its back to us",-33.2456169128418,topk,,"a large, grey sofa",-8.446357727050781,topk,,a small sofa facing left,-31.7297477722168,topk,,"a small, blue sofa facing upwards",-32.95112991333008,topk,,"a small, blue sofa facing backwards",-29.387296676635746,topk,
7,"a small, red chair facing to the right",-28.252010345458984,topk,,a small red chair,-10.331220626831056,topk,,"a small, blue sofa facing backwards",-29.44600486755371,topk,,a chair facing forwards,-9.864526748657228,topk,,"a small, red sofa faces left",-30.94176483154297,topk,,"a small, blue sofa that is facing backwards",-31.19856834411621,topk,,a blue sofa facing backwards,-32.3376350402832,topk,
8,a small chair,-29.78470230102539,topk,,"a small, red chair facing to the right",-6.713708877563477,topk,,a blue sofa facing backwards,-31.16135597229004,topk,,a large grey chair facing the front,-10.292285919189451,topk,,a small  red sofa facing to the left,-31.53646469116211,topk,,"a small, blue chair facing backwards",-30.938383102416992,topk,,a grey chair,-31.70893859863281,topk,
9,a small red chair ,-29.887460708618164,topk,,a small red chair ,-9.932783126831056,topk,,"a small, blue chair facing to the left",-31.25783920288086,topk,,"a large grey chair, facing forwards",-10.218527793884276,topk,,"a small, red sofa",-24.48465156555176,topk,,"a small, blue, backwards-facing sofa",-32.52851486206055,topk,,a small red chair,-30.34178352355957,topk,
10,"a red chair, facing right",-30.295352935791016,topk,,a small red chair facing the left,-8.121123313903809,topk,,a small blue chair facing to the left,-32.74287033081055,topk,,"a large, grey chair that is facing forwards",-9.809161186218262,topk,,"a small, red sofa facing  to the left",-31.602096557617188,topk,,"a small, blue sofa",-30.525714874267575,topk,,a large chair facing forwards,-32.33610153198242,topk,
11,a red chair facing the right,-28.626554489135746,topk,,"a small, red chair is facing to the left",-9.375932693481444,topk,,"a small, blue chair facing the opposite direction of the other chairs",-33.71051406860352,topk,,a small red chair facing to the left,-10.71676254272461,topk,,a small red sofa,-25.39826774597168,topk,,"a small, blue sofa with its back to the viewer",-34.16446685791016,topk,,"a small, red chair facing to the right",-29.65480232238769,topk,
12,a chair facing to the right,-30.755128860473636,topk,,"a  small, red chair facing to the left",-10.208466529846191,topk,,"a small, red chair facing to the right",-32.36901092529297,topk,,"a grey, large chair",-8.145914077758789,topk,,a red sofa facing the left,-31.31273651123047,topk,,"a small, blue sofa with its back facing us",-34.31034851074219,topk,,"a large, grey sofa faces forwards",-31.851024627685547,topk,
13,"a small, red chair that is facing to the right",-31.75194931030273,topk,,"a small, red chair to the left",-9.878448486328123,topk,,"a small, blue chair turned around",-31.731550216674805,topk,,a grey chair,-9.46532917022705,topk,,"a small, red sofa is in the room",-31.30538558959961,topk,,"a small, blue sofa facing backward",-30.693761825561523,topk,,"a large, grey, facing forwards sofa",-32.5427360534668,topk,
14,a small red chair facing the right,-28.153209686279297,topk,,"a small, red chair  ",-10.171795845031738,topk,,a chair facing backwards,-30.676332473754883,topk,,a large chair facing forwards,-6.274848461151123,topk,,"a small, red sofa, facing left",-29.98429298400879,topk,,a blue sofa facing backward,-32.478904724121094,topk,,"a large, grey sofa""",-32.08373260498047,topk,
15,"a small, red chair  ",-31.02700424194336,topk,,"a small, red chair, facing to the left",-7.53356122970581,topk,,"a small, blue chair facing backwards",-31.21178436279297,topk,,a large grey chair,-9.950451850891112,topk,,"a small, red sofa faces to the left",-30.20682144165039,topk,,"a small, blue sofa  ",-32.93196487426758,topk,,"a small, blue chair facing backwards",-31.473953247070312,topk,
16,a small red chair facing right,-30.49041748046875,topk,,"a small, red chair that is facing to the left",-9.97006607055664,topk,,a blue chair is facing backwards,-31.283506393432617,topk,,"a small, red chair facing to the right",-8.905984878540039,topk,,"a small, red sofa is facing to the left",-28.67987060546875,topk,,a blue facing backwards,-33.07008361816406,topk,,"a small, blue sofa",-32.14965057373047,topk,
