,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey desk facing forwards""",-7.925826072692871,topk,,a large blue desk facing forwards ,-31.64588737487793,topk,,"a large, red desk with its back facing the viewer",-33.71198272705078,topk,,a little green desk,-9.038405418395996,topk,,"a large, blue fan-facing forwards",-31.3934383392334,topk,,"a large, red fan face",-29.78085327148437,topk,,"a small, green fan facing to the left""",-27.56430435180664,topk,
1,"a large, grey desk facing forwards'",-9.605513572692873,topk,,a large desk that is blue in colour and facing forwards,-33.18446350097656,topk,,"a small, green desk facing to the left",-29.150989532470703,topk,,"a small, green desk",-3.979357957839966,topk,,"a large, blue desk",-30.28881454467773,topk,,"a large, red fan""",-29.78866577148437,topk,,"a small, green fan",-28.21616744995117,topk,
2,"a large, grey desk facing forwards is in the room",-9.710537910461426,topk,,"a small, green desk facing to the left",-32.27789306640625,topk,,"a large, red desk facing the opposite direction of the other objects",-34.75314712524414,topk,,"a large, blue desk",-7.614285945892334,topk,,"a large, blue fan  facing forwards",-28.89678192138672,topk,,"a large, red fan (6) facing backwards",-32.48997116088867,topk,,"a small, green desk facing to the left",-29.678335189819336,topk,
3,a large grey desk facing forward,-8.813691139221191,topk,,"a large, blue table",-32.455711364746094,topk,,a large desk,-29.243358612060547,topk,,"a small, green desk facing to the left",-2.3773081302642822,topk,,"a small, green fan facing to the left",-31.160253524780277,topk,,a large fan that is red in color and facing backwards,-33.127967834472656,topk,,"a small, green fan on the left",-28.918609619140625,topk,
4,a large desk,-7.755463600158691,topk,,a large desk,-30.17464256286621,topk,,a desk facing backwards,-28.982254028320312,topk,,"a small, green fan facing to the left",-8.710021018981934,topk,,a large  blue fan,-31.571264266967773,topk,,a large red desk,-30.345779418945312,topk,,"a small, green fan facing to the left in the room",-29.169513702392575,topk,
5,"a large, grey desk, facing forwards",-8.59997844696045,topk,,a large desk with a blue top,-32.35578536987305,topk,,a large red desk,-28.175487518310547,topk,,"a small, green desk faced to the left",-9.955235481262209,topk,,"a large, blue fan in the room",-30.913799285888672,topk,,"a small, green fan facing to the left",-31.25683212280273,topk,,"a small, green fan facing to the left",-23.47055435180664,topk,
6,"a large, grey desk",-7.352505683898926,topk,,a large desk that is blue in color and facing forwards,-32.989479064941406,topk,,"a large, red desk, facing backwards",-29.35483932495117,topk,,"a small green desk, facing left",-10.293397903442385,topk,,"a large, blue fan is in the room",-30.940731048583984,topk,,"a large, red fan facing backward",-29.387847900390625,topk,,"a small, green fan facing to the left'",-29.45492935180664,topk,
7,"a large, grey desk in the room",-9.73855972290039,topk,,"a large blue desk, facing forwards",-32.234249114990234,topk,,a red desk facing backwards,-24.538793563842773,topk,,"a green, small desk",-9.974544525146484,topk,,"a large, blue fan",-24.729137420654297,topk,,"a large, red fan",-24.81991577148437,topk,,"a small, green fan facing to the left ",-27.22836685180664,topk,
8,a desk facing forwards,-8.224414825439453,topk,,a large desk facing forwards that is blue,-32.675819396972656,topk,,"a large, red desk with its back facing us",-32.04404067993164,topk,,a small green desk facing left,-9.319191932678224,topk,,a large fan,-28.713211059570312,topk,,"a large, red fan facing the wall",-32.4305419921875,topk,,a green fan facing to the left,-29.304990768432617,topk,
9,"a large, grey desk  ",-9.922712326049805,topk,,"a large blue desk facing forwards""",-32.3646354675293,topk,,a large desk with a red color facing backwards,-32.12250900268555,topk,,"a small, green desk faces to the left",-9.434869766235352,topk,,"a large, blue fan face",-30.354137420654297,topk,,"a large, red fan facing forwards",-29.661285400390625,topk,,a green desk,-29.45279884338379,topk,
10,a large grey desk ,-7.664493560791016,topk,,"a large, blue fan",-32.815086364746094,topk,,a red desk facing the opposite direction of the others,-32.43842315673828,topk,,a green desk,-5.498836040496826,topk,,a blue fan ,-30.775371551513672,topk,,"a large, red fan faces backwards",-30.706941604614254,topk,,a small green fan facing the left,-27.92965507507324,topk,
