,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey, desk, facing forwards",-31.38290786743164,topk,,a large desk that is blue in colour and facing forwards,-33.360321044921875,topk,,"a large, red desk""",-30.57783889770508,topk,,"a small, green table",-30.761756896972656,topk,,"a large, blue fan-facing forwards",-31.385629653930664,topk,,"a large red fan facing backwards""",-30.65835952758789,topk,,"a small, green desk",-7.530124664306641,topk,
1,a huge grey desk facing forward,-31.207971572875977,topk,,"a small, green desk facing to the left",-33.27594757080078,topk,,"a small, green desk facing to the left",-29.14759063720703,topk,,a little green desk,-29.65340232849121,topk,,"a large, blue desk",-30.27023696899414,topk,,"a large, red fan""",-29.771413803100582,topk,,"a small, green fan",-7.891369342803955,topk,
2,a large desk,-28.61976432800293,topk,,"a large, blue table",-33.45977020263672,topk,,a large desk,-29.256744384765625,topk,,"a small, green desk",-24.58797645568848,topk,,"a large, blue fan  facing forwards",-29.92179107666016,topk,,a large red fan facing backward,-30.512222290039062,topk,,"a small, green desk facing to the left",-5.992000579833984,topk,
3,"a large desk, facing forwards",-30.61978530883789,topk,,a large desk,-30.165061950683597,topk,,"a large, red desk, facing backwards",-31.198631286621094,topk,,"a small, green fan",-30.857383728027344,topk,,a large blue fan ,-29.934295654296875,topk,,"a small, green fan facing to the left",-31.221271514892575,topk,,"a small, green fan on the left",-9.484801292419434,topk,
4,"a grey, large, desk, facing forwards",-32.47528076171875,topk,,a large desk with a blue top,-33.6067008972168,topk,,a red desk facing backwards,-24.60199737548828,topk,,"a small, green desk facing to the left",-23.041675567626957,topk,,"a small, green fan facing to the left",-31.161266326904297,topk,,a red desk facing backwards,-30.017112731933597,topk,,"a small, green fan facing to the left",-6.632934093475342,topk,
5,"a large, grey desk",-23.12887954711914,topk,,"a small, green fan facing to the left",-33.78479766845703,topk,,"a large, red desk with its back facing us",-32.53312683105469,topk,,"a small, green fan facing to the left",-29.37566947937012,topk,,"a large, blue fan in the room",-31.4829158782959,topk,,"a large, red fan facing backward",-29.40933609008789,topk,,a green fan facing to the left,-10.278791427612305,topk,
6,a large desk that is grey in colour and facing forwards,-32.82268524169922,topk,,a large desk with a blue surface,-33.440216064453125,topk,,a red desk facing away,-29.68012237548828,topk,,"a small, green desk faced to the left",-30.55911636352539,topk,,"a large, blue fan is in the room",-30.93140983581543,topk,,"a large, red fan",-24.771413803100582,topk,,a small green desk facing left,-8.978062629699707,topk,
7,a desk facing forwards,-31.471424102783203,topk,,a large desk that is blue in color and facing forwards,-32.9603157043457,topk,,"a large, red desk that is facing backwards",-30.46077537536621,topk,,"a small, green desk on the left",-31.10957336425781,topk,,a blue desk,-28.77911758422852,topk,,"a large, red fan facing forwards",-29.74527359008789,topk,,a small green fan facing the left,-8.122742652893066,topk,
8,"a  large, grey desk facing forwards",-31.772891998291016,topk,,"a large blue desk, facing forwards",-32.238525390625,topk,,"a large, red desk  facing backwards",-30.610530853271484,topk,,"a large, grey desk",-30.812780380249023,topk,,"a large, blue fan",-24.72886085510254,topk,,a large red fan ,-30.633020401000977,topk,,a small green fan to the left,-8.123089790344238,topk,
9,a large grey table,-31.230504989624023,topk,,"a large blue desk""",-33.51911544799805,topk,,"a large, red desk facing backward",-29.95050048828125,topk,,a blue desk,-30.841123580932617,topk,,a large blue fan facing forward,-30.694408416748047,topk,,"a large red fan, facing backwards",-30.987289428710938,topk,,a small green fan facing left,-9.51792812347412,topk,
10,"a grey, large, desk, facing, forwards",-32.65742111206055,topk,,"a large, blue, desk",-32.53791809082031,topk,,a large desk that is red in color and facing backwards,-32.442596435546875,topk,,"a green, small desk",-30.52413749694824,topk,,a large fan,-28.68400001525879,topk,,"a large, red fan faces backwards",-30.660978317260746,topk,,"a large, blue fan facing forwards",-9.868340492248535,topk,
11,a large desk that is grey and facing forwards,-32.13132858276367,topk,,"a large, blue fan",-32.80157470703125,topk,,a large desk facing backwards,-28.683422088623047,topk,,"a small, green desk faces to the left",-29.78837776184082,topk,,"a large, blue fan  (5)",-31.454973220825195,topk,,"a large, red fan in the room",-31.672821044921875,topk,,"a small, green fan that is facing to the left",-16.59567642211914,topk,
12,"a grey, large desk",-31.22209358215332,topk,,"a large desk, blue in colour",-33.56842803955078,topk,,"a large, red desk",-24.75752639770508,topk,,"a green, small desk facing to the left",-30.09821319580078,topk,,a large blue fan facing forwards,-25.79724884033203,topk,,a large fan facing backwards,-28.13538360595703,topk,,a small green fan facing left ,-10.340216636657717,topk,
13,a large desk that is grey in color and facing forwards,-32.46085357666016,topk,,"a  large, blue desk",-31.922134399414062,topk,,a red desk,-25.31187629699707,topk,,"a small, green desk to the left",-29.279653549194336,topk,,"a large, blue fan facing forwards",-23.27629852294922,topk,,a large fan,-29.641698837280277,topk,,a small fan facing to the left,-8.159802436828613,topk,
14,a large grey desk ,-28.527400970458984,topk,,a large desk that is blue in color and faces forwards,-34.04835510253906,topk,,"a large, red desk  ",-30.42940139770508,topk,,"a small, green desk faces left",-30.90265655517578,topk,,a fan facing forwards,-30.02647590637207,topk,,a red fan facing backward,-31.01879119873047,topk,,a green fan facing the left,-10.093389511108398,topk,
15,a large desk ,-31.26038932800293,topk,,"a large desk, blue",-33.050289154052734,topk,,a large red desk facing backward,-30.52802848815918,topk,,a green desk to the left,-29.95974540710449,topk,,a large fan facing forwards,-27.92922019958496,topk,,a large red fan,-30.69277572631836,topk,,a small green fan facing to the left,-8.073119163513184,topk,
16,a large grey desk  facing forwards,-30.19649887084961,topk,,"a large desk that is blue in color, facing forwards",-34.03153991699219,topk,,"a red desk, facing backwards",-28.64606666564941,topk,,a green desk facing left,-28.208526611328125,topk,,a blue fan,-25.881458282470703,topk,,"a large, red fan  facing backwards",-29.60696029663086,topk,,"a small, green fan""",-9.774181365966797,topk,
17,a large grey desk is facing forwards,-30.640329360961918,topk,,a large blue desk facing forwards,-32.06047439575195,topk,,a red desk that is facing backwards,-29.604984283447266,topk,,a small green facing left desk,-30.758197784423828,topk,,"a  large, blue fan facing forwards",-30.514467239379883,topk,,"a large, red fan that is facing backwards",-30.810640335083008,topk,,"a small, green fan is facing to the left",-9.720974922180176,topk,
18,a gray desk,-30.798728942871094,topk,,a large desk that is blue in colour,-33.5230598449707,topk,,"a large, red desk ",-27.43721389770508,topk,,"a large, red desk",-29.170568466186523,topk,,"a large, blue fan""",-29.72104835510254,topk,,"a large, red fan facing to the left",-30.33346176147461,topk,,a green fan to the left,-9.760790824890137,topk,
19,a large grey desk  (1),-31.74763298034668,topk,,a large blue desk is in the room,-33.797367095947266,topk,,"a large, red desk face backwards",-30.792665481567383,topk,,"a small, green desk facing the left",-28.46921157836914,topk,,"a large, blue fan that is facing forwards",-31.51028251647949,topk,,a large red fan facing backwards,-26.642736434936523,topk,,a small green desk,-8.161229133605957,topk,
20,a large grey facing forwards desk,-30.979347229003903,topk,,"a large desk, blue in colour, facing forwards",-32.20427703857422,topk,,"a red, large desk facing backwards",-31.171056747436523,topk,,a green desk on the left,-30.61616897583008,topk,,a large blue fan,-27.137420654296875,topk,,"a large, red desk",-30.431583404541016,topk,,"a small, green fan facing the left",-8.549613952636719,topk,
21,a grey facing forwards desk,-30.918724060058597,topk,,a blue object,-33.63549041748047,topk,,"a large, red desk facing the opposite direction of the other desks",-33.48994445800781,topk,,a small green desk,-23.824609756469727,topk,,a fan,-29.166824340820312,topk,,a large red fan facing backwards ,-30.48648452758789,topk,,"a large, red fan facing backwards",-8.722976684570312,topk,
22,"a grey, large desk facing forwards",-31.637819290161133,topk,,a large blue desk  (2),-33.84405899047852,topk,,a small green desk facing to the left,-30.29671287536621,topk,,a green small desk,-29.865827560424805,topk,,a large blue fan  facing forwards,-30.947736740112305,topk,,a fan facing backwards,-28.86630630493164,topk,,a small green fan,-8.807050704956055,topk,
23,a grey desk,-24.22245216369629,topk,,a large blue desk is facing forwards,-32.78336334228516,topk,,"a red desk""",-30.71883773803711,topk,,"a small, green desk that faces to the left",-31.402965545654297,topk,,"a large fan, facing forwards",-31.59623146057129,topk,,"a red fan, facing backwards",-30.41415405273437,topk,,a small green desk facing to the left,-8.267440795898438,topk,
24,"a large,",-31.238243103027344,topk,,a large desk is blue and facing forwards,-32.57917404174805,topk,,a desk,-29.24907493591309,topk,,"a large, blue desk facing forwards",-28.675512313842773,topk,,a large blue desk,-29.93171119689941,topk,,"a large, red fan  ",-30.943288803100582,topk,,"a small, green fan faces to the left",-9.602217674255373,topk,
25,a large grey desk in the room,-31.343551635742188,topk,,"a large desk, blue in color, facing forwards",-31.991891860961918,topk,,a red desk facing the opposite direction of the other desks,-32.82453918457031,topk,,"a small, green desk""",-29.837974548339844,topk,,"a large, blue fan, facing forwards",-30.990314483642575,topk,,a fan,-29.90350151062012,topk,,a green desk facing to the left,-9.608576774597168,topk,
26,"a large desk, grey, facing forwards",-31.00956344604492,topk,,a large blue desk in the room,-33.49762344360352,topk,,"a large, red desk is facing backwards",-29.28392601013184,topk,,"a small, green desk facing left",-27.58823776245117,topk,,"a large blue fan, facing forwards",-30.85322952270508,topk,,"a large,",-31.181367874145508,topk,,"a small, green fan to the left",-7.793436050415039,topk,
27,"a desk, facing forwards",-31.42100715637207,topk,,a large desk in the room,-32.854007720947266,topk,,"a large, red desk faces backwards",-30.7032413482666,topk,,"a small, green desk in the room",-31.459583282470703,topk,,"a large, blue desk facing forwards",-29.056150436401367,topk,,"a large, red fan, facing backwards",-31.559907913208008,topk,,"a small, green fan ",-7.516369342803955,topk,
28,a large grey desk,-26.199275970458984,topk,,a large desk with a blue color,-32.94132614135742,topk,,a red desk is facing backwards,-28.27989959716797,topk,,a desk,-30.80868148803711,topk,,a large blue fan faces forwards,-31.430818557739254,topk,,"a large, red fan facing backwards",-22.82339859008789,topk,,"a small green fan, facing to the left",-10.021730422973633,topk,
29,a grey large desk facing forwards,-30.308292388916016,topk,,"a large,",-32.58927536010742,topk,,a red desk turned backwards,-30.758169174194336,topk,,a green desk facing to the left,-30.56205177307129,topk,,"a large, blue fan  ",-30.97886085510254,topk,,"a large, red fan facing the opposite direction of the other objects",-34.2161750793457,topk,,a small fan,-10.00762176513672,topk,
30,a grey facing desk,-31.544448852539062,topk,,a blue table,-31.838960647583008,topk,,"a large, red desk facing forwards",-30.63800048828125,topk,,a small green table,-30.68236541748047,topk,,"a large, blue fan is facing forwards",-29.86868667602539,topk,,"a large, red fan  (6)",-31.758752822875977,topk,,"a small, green fan  facing to the left",-9.000444412231445,topk,
31,a large desk facing forwards,-27.344148635864254,topk,,a large desk that is blue and facing forwards,-32.256893157958984,topk,,a red desk with its back facing us,-31.28675842285156,topk,,a green desk facing the left,-30.01836204528809,topk,,"a large, blue fan 5",-31.58992576599121,topk,,"a large, red fan facing to the right",-32.17862319946289,topk,,a,-8.627811431884766,topk,
32,"a large desk, grey in color, facing forwards",-30.667346954345703,topk,,a large blue desk,-32.33161544799805,topk,,a,-28.685867309570312,topk,,"a small, green desk  facing to the left",-29.762001037597656,topk,,a large fan in the room,-31.128448486328125,topk,,"a large, red fan faced backwards",-31.52587509155273,topk,,a small desk,-9.677331924438477,topk,
33,a large gray desk facing forwards,-30.042490005493164,topk,,a large blue desk  facing forwards,-32.71919250488281,topk,,"a large, red desk facing backwards",-23.23175048828125,topk,,"a small, green desk is facing to the left",-29.58254814147949,topk,,"a large, blue fan ",-27.61167335510254,topk,,a red fan,-30.965675354003903,topk,,"a large, red desk facing backwards",-10.012659072875977,topk,
34,"a desk, grey, large, facing forwards",-31.48260498046875,topk,,"a large, blue  desk",-32.73533248901367,topk,,a large red desk facing backwards,-29.397579193115234,topk,,"a small, green desk ",-27.291099548339844,topk,,"a large, blue fan faces forwards",-30.1533145904541,topk,,a red fan facing backwards,-30.47337913513184,topk,,"a small, green fan, facing to the left",-11.279388427734377,topk,
35,a desk,-31.249591827392575,topk,,"a large, blue",-33.03594970703125,topk,,a red desk with its back to us,-31.53970718383789,topk,,a little green table,-30.62215232849121,topk,,a,-29.947296142578125,topk,,"a large, red fan ",-27.919851303100582,topk,,a small green fan on the left,-8.640141487121582,topk,
36,a large grey desk faces forwards,-31.49259185791016,topk,,"a large desk, blue in color",-33.31446075439453,topk,,a red desk ,-28.29624938964844,topk,,"a small, green, facing-left desk",-30.95643615722656,topk,,a large blue fan is facing forwards,-30.81354713439941,topk,,"a large, red fan is facing backwards",-30.32138442993164,topk,,a small green fan ,-8.861738204956055,topk,
37,a large grey desk is in the room,-31.708969116210938,topk,,a large blue desk ,-33.62067794799805,topk,,a red desk facing backward,-29.941774368286133,topk,,"a small, green desk, facing left",-30.840192794799805,topk,,"a large, blue fan face forwards",-31.411563873291016,topk,,a,-29.180736541748047,topk,,"a small, green fan facing left",-6.934755802154541,topk,
38,a large,-30.892784118652344,topk,,a large desk facing forwards,-29.252477645874023,topk,,a grey thing facing forwards,-20.55057907104492,logic,,a,-29.31467628479004,topk,,a grey thing facing forwards,-20.883060455322266,logic,,"a large, red desk facing backwards",-28.619359970092773,topk,,a grey thing facing forwards,-22.77372360229492,logic,
39,"a large, gray desk facing forwards",-31.18386650085449,topk,,a large blue desk facing forward,-32.17528533935547,topk,,a grey thing facing to the left,-27.02969741821289,logic,,"a small, green desk  ",-30.478599548339844,topk,,a grey thing facing to the left,-26.625768661499023,logic,,a large red desk facing backwards,-30.905208587646484,topk,,a grey thing facing to the left,-27.540773391723636,logic,
40,a big grey desk facing forward,-31.172971725463867,topk,,a desk,-29.77761459350586,topk,,a grey thing,-18.102453231811523,logic,,"a large, grey desk facing forwards",-31.057756423950195,topk,,a grey thing,-18.58477783203125,logic,,"a large, red fan face backwards",-31.733152389526367,topk,,a grey thing,-20.35770034790039,logic,
