,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a large desk,-28.61976432800293,topk,,"a large, blue  desk",-10.664426803588867,topk,,a large red desk ,-30.430408477783203,topk,,"a green, small desk facing to the left",-30.09820556640625,topk,,a large blue fan is facing forwards,-31.091323852539062,topk,,"a large,",-10.222384452819824,topk,,"a large, red fan facing backwards",-29.049148559570312,topk,
1,a desk,-27.4458122253418,topk,,a large desk,-8.141624450683594,topk,,a large desk,-29.256744384765625,topk,,"a large, blue desk facing forwards",-33.291343688964844,topk,,a large desk,-31.38063621520996,topk,,"a large, red fan facing backwards",-1.8644150495529173,topk,,"a small, green fan facing to the left,",-29.179630279541016,topk,
2,"a large grey desk, facing forwards",-29.98921203613281,topk,,"a large,",-10.565835952758787,topk,,"a large,",-31.199493408203125,topk,,"a green, small desk",-30.52413749694824,topk,,"a large, blue fan""",-29.72104835510254,topk,,"a large, red fan faces backwards",-9.425028800964355,topk,,"a small, green fan to the left",-28.11960792541504,topk,
3,"a grey, large desk facing forwards",-31.624162673950195,topk,,a large desk that is blue in colour and facing forwards,-11.356669425964355,topk,,a large desk that is red in color and facing backwards,-32.442596435546875,topk,,a small green desk is facing to the left,-30.087236404418945,topk,,"a large, blue desk facing forwards",-30.075101852416992,topk,,a large blue fan,-10.627984046936035,topk,,a small green fan facing left,-30.092077255249023,topk,
4,"a large, grey desk in the room",-31.24770736694336,topk,,"a large desk facing forwards, painted blue",-11.259592056274414,topk,,a desk,-29.24907493591309,topk,,a small green desk ,-28.809711456298828,topk,,"a large fan, blue in colour, facing forwards",-32.30797576904297,topk,,"a large, red fan  ",-9.984305381774902,topk,,"a small, green fan facing to the left",-23.445255279541016,topk,
5,"a large, grey desk",-25.19150733947754,topk,,a large desk that is blue in colour,-11.492782592773438,topk,,"a large, red fan facing backwards",-30.794700622558597,topk,,"a large, grey desk",-30.812780380249023,topk,,"a large, blue fan  |   facing forwards",-32.61790466308594,topk,,"a large, red fan facing downwards",-10.801915168762209,topk,,"a small, green fan facing to the left""",-27.570255279541016,topk,
6,a large grey desk is facing forwards,-30.659889221191406,topk,,"a large, blue",-10.9344482421875,topk,,a large red desk is facing backwards,-31.41268539428711,topk,,a green desk facing the left,-30.65315818786621,topk,,a large blue fan,-30.199920654296875,topk,,"a large, red fan facing to the left",-10.17558479309082,topk,,a small green fan,-29.13322257995605,topk,
7,a large desk that is grey in color and facing forwards,-32.4734992980957,topk,,"a large desk that is blue in color, facing forwards",-12.001636505126951,topk,,a large desk facing backwards,-30.928489685058597,topk,,"a small, green fan facing to the left",-30.163551330566406,topk,,a large blue fan  facing forwards,-31.588285446166992,topk,,"a large, red fan-facing backwards",-10.686589241027832,topk,,a small green fan faces left,-30.346899032592773,topk,
8,a large grey desk facing forwards ,-28.89891624450684,topk,,"a  large, blue desk facing forwards",-10.77127170562744,topk,,"a red, large desk facing backwards",-31.17908477783203,topk,,a small green fan,-31.03173446655273,topk,,"a large, blue fan faces forwards",-30.154674530029297,topk,,"a large, red fan that is facing backwards",-12.093770027160645,topk,,"a large, blue fan facing forwards",-29.14330291748047,topk,
9,a large,-30.892784118652344,topk,,"a large, blue, desk",-10.459854125976562,topk,,a large desk that is red and facing backwards,-31.64962577819824,topk,,"a small, green, facing-left desk",-31.545656204223636,topk,,a blue desk facing forwards,-30.45415496826172,topk,,"a  large, red fan facing backwards",-9.849723815917969,topk,,"a small, green fan, facing to the left",-29.352468490600582,topk,
10,a large grey desk facing forwards in a room,-30.62226676940918,topk,,"a small, green desk facing to the left",-11.252509117126465,topk,,"a large, red desk backwards",-31.03096389770508,topk,,a small green desk faces to the left,-31.27655792236328,topk,,a large blue fan facing forwards,-30.669761657714844,topk,,"a large, red fan facing to the right",-10.438690185546877,topk,,"a small, green desk facing to the left",-30.74584579467773,topk,
11,a large grey desk,-26.207019805908203,topk,,a desk facing forwards,-10.870277404785156,topk,,"a small, green fan facing to the left",-31.02854347229004,topk,,a green desk on the left,-31.45113754272461,topk,,"a small, green fan facing to the left",-31.161266326904297,topk,,"a large, red fan (6)",-10.809900283813477,topk,,a green fan facing left,-28.260011672973636,topk,
12,a large grey desk facing forwards,-25.30516624450684,topk,,a large,-10.607599258422852,topk,,"a large, red desk, facing backwards",-28.95670509338379,topk,,a green table,-29.99026107788086,topk,,"a  large, blue fan facing forwards",-30.514467239379883,topk,,"a small, green fan facing to the left",-10.262287139892578,topk,,a small green fan facing the left,-28.44891357421875,topk,
