,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey chair ",-28.595855712890625,topk,,"a large, grey chair ",-7.006994247436523,topk,,"a large, red chair  facing backwards",-30.49814796447754,topk,,"a small, grey chair that is facing backwards",-32.485504150390625,topk,,"a large, grey desk facing forwards""",-28.15781784057617,topk,,"a large, red desk with its back facing the viewer",-33.94862365722656,topk,,"a large, grey desk facing backwards",-9.6525239944458,topk,
1,a grey chair ,-30.367895126342773,topk,,"a large, grey chair facing forwards;",-9.072182655334473,topk,,a red chair ,-29.301794052124023,topk,,"a large, grey chair facing backwards",-28.740694046020508,topk,,"a large, grey desk facing forwards'",-30.57188034057617,topk,,"a large, red desk""",-31.87405776977539,topk,,"a small, grey desk faced backwards",-9.996603965759276,topk,
2,"a large, grey, backwards chair",-31.38937759399414,topk,,"a large, grey chair facing forwards is in the room",-9.46137237548828,topk,,a red chair facing backward,-29.8608341217041,topk,,a small grey chair,-30.11031913757324,topk,,"a large, grey desk facing forwards is in the room",-31.690837860107425,topk,,"a large, red desk facing the opposite direction of the other objects",-35.70858383178711,topk,,"a large, grey chair facing backwards",-9.115253448486328,topk,
3,"a large, grey chair facing backwards",-28.62410545349121,topk,,"a large, grey chair facing backwards",-9.210869789123535,topk,,"a large, red chair facing backwards""",-28.401391983032227,topk,,"a grey, small chair facing backwards",-31.147193908691406,topk,,a large desk,-29.349754333496094,topk,,a large desk,-30.816207885742188,topk,,a small grey chair,-10.096132278442385,topk,
4,"a grey chair facing backwards, large",-31.44476318359375,topk,,"a large, grey chair facing forwards,",-9.673745155334473,topk,,a red chair facing backwards ,-30.77346611022949,topk,,a grey desk facing backwards,-30.65822029113769,topk,,"a large, grey desk, facing forwards",-29.925535202026367,topk,,"a large, red desk, facing backwards",-31.987529754638672,topk,,"a small, grey desk in the room",-10.138968467712402,topk,
5,"a grey chair facing backwards, large in size",-30.64950561523437,topk,,a large grey chair facing the front,-9.813611030578612,topk,,"a large, red chair facing backwards ",-27.385766983032227,topk,,a small grey chair ,-29.72750663757324,topk,,"a large, grey desk facing forward",-31.365455627441406,topk,,a red desk facing backwards,-27.37980842590332,topk,,"a small, grey desk is facing backwards",-9.01482105255127,topk,
6,a large chair facing backwards,-31.39219284057617,topk,,"a large, grey chair that is facing forwards",-8.887815475463867,topk,,"a large, red chair facing backwards",-23.627954483032227,topk,,a small chair facing backwards,-29.38166046142578,topk,,"a large, grey desk",-25.18516159057617,topk,,"a large, red desk with its back facing us",-33.75925064086914,topk,,a ,-10.123233795166016,topk,
7,a backwards grey chair,-29.049575805664062,topk,,a grey chair,-9.10271167755127,topk,,a large red chair facing backwards,-29.0539608001709,topk,,"a large, red chair facing backwards",-30.84538459777832,topk,,"a large, grey desk facing forwards """,-31.62656784057617,topk,,"a large red desk, facing backwards",-32.276302337646484,topk,,"a small, grey desk ",-6.778722286224365,topk,
8,"a large, grey chair, facing backwards",-29.47889518737793,topk,,a large chair facing forwards,-7.120296955108643,topk,,a large chair,-30.51893424987793,topk,,"a small, grey chair",-31.268245697021484,topk,,a desk facing forwards,-28.612762451171875,topk,,"a large, red chair facing backwards",-29.462461471557617,topk,,"a small, grey desk  facing backwards",-9.095932960510254,topk,
9,a grey chair that is facing backwards,-31.50763702392578,topk,,"a large, grey desk",-8.127781867980957,topk,,a large red chair,-30.93737030029297,topk,,"a small, grey, backwards-facing chair",-31.398096084594727,topk,,"a  large, grey desk facing forwards",-30.24001884460449,topk,,"a large, red desk that is facing backwards",-31.16390037536621,topk,,a grey desk facing backwards,-7.804951190948486,topk,
