,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a small, blue fan facing to the left",-2.34887433052063,topk,,"a small, blue fan facing to the left",-9.738123893737791,topk,,"a small, blue fan facing to the left",-8.375683784484863,topk,,a large fan is red and facing backwards,-31.141876220703125,topk,,a small green sofa facing left,-27.69000625610352,topk,,a large blue sofa is facing to the left,-31.44571876525879,topk,,"a large, red sofa facing forwards",-29.537586212158203,topk,
1,"a small, blue fan is facing to the left",-9.44520664215088,topk,,"a small, green fan (2)",-10.260396003723145,topk,,a fan facing to the left,-10.056473731994627,topk,,"a small, green fan",-28.17805290222168,topk,,"a small, green sofa  (5)",-30.355966567993164,topk,,"a large, blue sofa faced to the left",-32.62918472290039,topk,,a large sofa facing backwards,-28.32720375061035,topk,
2,"a small fan, blue in color, facing left",-10.354864120483398,topk,,a fan facing to the left,-10.793657302856444,topk,,a small blue fan facing to the left,-10.110791206359863,topk,,a red fan facing to the left,-30.87179946899414,topk,,a green couch facing left,-30.7510986328125,topk,,"a large, blue sofa is facing to the left",-33.32160568237305,topk,,"a large, red sofa facing backwards ",-26.968528747558597,topk,
3,"a small, blue fan in the room",-10.128962516784668,topk,,"a small, green fan, facing left",-10.714972496032717,topk,,"a large, blue fan-facing to the left",-10.211952209472656,topk,,a large fan that is red in color and facing backwards,-31.358131408691406,topk,,"a small, green sofa ",-27.84142303466797,topk,,"a small, blue fan facing to the left",-33.49494552612305,topk,,"a large, red sofa facing backwards in the room",-30.281574249267575,topk,
4,"a blue, small fan facing to the left",-10.17146110534668,topk,,"a small, green fan",-5.0812530517578125,topk,,a big blue fan facing left,-10.273845672607422,topk,,a red sofa facing backwards,-28.80339813232422,topk,,a small sofa,-28.93260383605957,topk,,"a large, blue sofa (6)",-34.013851165771484,topk,,a large red sofa facing backward,-30.365840911865234,topk,
5,a small fan facing left,-8.049763679504395,topk,,"a small, green fan facing to the left",-4.670292854309082,topk,,"a  large, blue fan facing to the left",-10.570867538452148,topk,,a red fan that is facing backwards,-29.452608108520508,topk,,"a small, green sofa faces left",-30.39191627502441,topk,,"a small, green fan",-32.43217849731445,topk,,"a large, red sofa is facing backwards",-29.770864486694336,topk,
6,"a small, blue fan  facing to the left",-9.05156135559082,topk,,"a small, green fan 2",-10.236000061035156,topk,,"a large, blue fan faces to the left",-9.109834671020508,topk,,a large red fan facing backward,-29.496915817260746,topk,,"a small, green fan facing to the left",-31.198955535888672,topk,,"a large, blue sofa 6",-32.6380500793457,topk,,a red sofa facing backwards,-30.237865447998047,topk,
7,"a small, blue fan to the left",-8.406272888183594,topk,,a small green fan is facing to the left,-10.948983192443848,topk,,"a large, blue fan, facing left",-9.93564796447754,topk,,"a large, red, backwards fan",-30.711652755737305,topk,,a small green sofa  facing to the left,-31.077491760253903,topk,,a large blue sofa  facing to the left,-31.443084716796875,topk,,"a large, red sofa facing to the right",-31.460289001464844,topk,
8,a small fan that is blue in color and facing to the left,-10.65321922302246,topk,,a small green fan facing the left,-8.877323150634766,topk,,"a small, green fan facing to the left",-10.66264820098877,topk,,"a large, red fan",-22.69076919555664,topk,,a little green sofa facing left,-31.148439407348636,topk,,"a  large, blue sofa facing to the left",-31.29966354370117,topk,,"a large, red sofa facing to the left",-31.765958786010746,topk,
9,"a fan, blue, small, facing left",-10.954859733581545,topk,,a blue fan facing to the left,-10.163324356079102,topk,,"a large, blue fan facing left",-7.455976486206055,topk,,a large red fan ,-30.286544799804688,topk,,"a small, green sofa""",-30.74767303466797,topk,,"a large, blue sofa on the left",-33.81177520751953,topk,,"a large, red sofa facing backwards is in the room",-30.964920043945312,topk,
10,"a blue, small fan facing left",-9.419699668884276,topk,,a small green fan to the left,-10.65629768371582,topk,,"a large, blue fan is facing to the left",-10.952736854553224,topk,,a red fan facing the opposite direction of the other fans,-31.80625534057617,topk,,"a small, green sofa;",-31.09142303466797,topk,,a blue sofa facing to the left,-32.22926712036133,topk,,"a large, red sofa faces backwards",-31.263437271118164,topk,
11,"a small, blue fan, facing to the left",-7.706088542938232,topk,,"a small fan facing to the left, colored green",-11.01717758178711,topk,,"a large, blue fan in the room",-10.38985824584961,topk,,a backwards red fan,-29.07011032104492,topk,,"a small, green sofa face",-30.52111053466797,topk,,a large blue sofa faces to the left,-32.730621337890625,topk,,"a large, red sofa facing backwards is object 7 in the room",-31.62984848022461,topk,
