,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a red sofa, facing to the right",-30.70908737182617,topk,,a small red couch,-32.19646072387695,topk,,"a small, blue sofa facing to the right""",-28.72180557250977,topk,,"a small, green sofa ",-9.95620822906494,topk,,"a small, red desk",-24.830718994140625,topk,,"a small, blue desk facing to  the right",-11.253317832946776,topk,,"a small, green desk",-25.55951690673828,topk,
1,"a large red sofa, facing to the right",-30.66795539855957,topk,,a small red sofa facing the right,-32.1140251159668,topk,,"a small, blue sofa faces to the right",-31.14413452148437,topk,,a small green sofa facing backwards,-8.075997352600098,topk,,"a small, red desk  (5)",-31.720993041992188,topk,,"a small, blue  desk facing to the right",-10.593461036682127,topk,,"a small, green desk facing to the left",-31.1917724609375,topk,
2,a large red sofa facing to the right,-25.54903030395508,topk,,a little red sofa facing to the right,-33.100318908691406,topk,,"a small, blue sofa facing to the right,",-31.72552490234375,topk,,"a small, green sofa facing backwards",-3.1948671340942383,topk,,"a small, red desk ",-27.494781494140625,topk,,"a  small, blue desk facing to the right",-11.099161148071287,topk,,"a small, green sofa facing backwards",-30.55488967895508,topk,
3,"a large, red, sofa, facing, right",-32.22369766235352,topk,,a small red sofa facing to the left,-33.06561279296875,topk,,a blue small sofa,-31.78772735595703,topk,,a green sofa facing backward,-10.440093040466309,topk,,a red desk facing to the right,-28.748594284057617,topk,,"a small, blue desk that faces to the right",-10.548789024353027,topk,,"a small, green desk facing backwards in the room",-29.388185501098636,topk,
4,a large red sofa is in the room,-32.057743072509766,topk,,"a small, red",-31.693527221679688,topk,,"a small, blue sofa facing to the right'",-30.90149307250977,topk,,"a small, green sofa facing backwards  (4)",-10.936923027038574,topk,,"a small, red sofa",-31.369853973388672,topk,,a blue desk facing the right,-10.855982780456545,topk,,a desk facing backwards,-30.121671676635746,topk,
5,"a large, red facing to the right",-32.6334228515625,topk,,a small red sofa  (2),-32.44404602050781,topk,,"a small, blue sofa faced to the right",-32.051795959472656,topk,,"a small, green sofa facing backwards  ",-10.491742134094238,topk,,"a small, red desk  is facing to the right",-32.556602478027344,topk,,"a small, blue desk facing to the left",-9.978582382202148,topk,,"a small, green desk facing to the right",-31.08531188964844,topk,
6,"a red, large sofa facing right",-31.885019302368164,topk,,a small red sofa is facing to the right,-30.955265045166016,topk,,"a small, blue sofa is in the room",-32.281917572021484,topk,,"a small, green sofa facing backwards'",-9.335492134094238,topk,,a small red sofa,-31.671735763549805,topk,,"a small, blue desk facing right",-8.52477741241455,topk,,"a small, green desk facing forwards",-29.593505859375,topk,
7,a red sofa ,-30.111143112182617,topk,,a ,-32.21112823486328,topk,,"a small, blue sofa facing to the right (3)",-32.81485748291016,topk,,"a small, green sofa facing the opposite direction of the others",-12.340272903442385,topk,,"a small, red desk face to the right",-30.962026596069336,topk,,"a small, blue desk  facing to the right",-9.133206367492676,topk,,"a small, green desk facing backwards  (7)",-30.77802276611328,topk,
8,a large red sofa to the right,-30.99210357666016,topk,,"a small, red sofa",-22.47477531433105,topk,,"a small, blue sofa",-25.174863815307617,topk,,"a small, green sofa facing backwards""",-7.733929634094238,topk,,"a small, red desk is in the room",-31.64539909362793,topk,,"a small, blue desk ",-6.881504058837891,topk,,"a small, green desk facing backwards;",-30.58087158203125,topk,
9,a red sofa facing to the right ,-31.110572814941406,topk,,a small red sofa  facing to the right,-30.64324951171875,topk,,"a small, blue sofa facing right",-29.35196685791016,topk,,"a small, green sofa faces backwards",-10.541749954223633,topk,,a small  red desk facing to the right,-32.57916641235352,topk,,"a small, blue desk;",-11.061192512512209,topk,,"a small, green desk is facing backwards",-29.833341598510746,topk,
10,"a large, red couch",-31.60997772216797,topk,,a small red sofa,-29.610313415527344,topk,,"a small, blue sofa that is facing to the right",-31.82856750488281,topk,,"a small, green sofa with its back facing the viewer",-11.760537147521973,topk,,"a small, red desk facing the right",-29.83319854736328,topk,,"a small, blue table",-10.712388038635254,topk,,"a small, green desk facing backwards, ",-31.06975746154785,topk,
11,a large red sofa  facing to the right,-32.07923126220703,topk,,"a  small, red sofa facing to the right",-34.13059616088867,topk,,"a small, blue sofa  ",-31.221738815307617,topk,,a green sofa is facing backwards,-10.519472122192385,topk,,"a small, blue desk facing to the right",-30.77166557312012,topk,,"a small, blue desk",-4.100254535675049,topk,,"a small, red desk facing to the right",-30.829669952392575,topk,
